au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-container-h2	2.0	-	9074909c62abebb493b56c772b6e83d0bd854c40
com.alipay.sofa	sofa-ark-maven-plugin	3.0.5	-	c511700739631f86a1168e319a12b8e33f7eafdf
com.alipay.sofa	sofa-ark-maven-plugin	3.0.6	-	5812e1ed3c5abbfc81fa19bcf111b050c5999b84
com.alipay.sofa	sofa-ark-maven-plugin	3.0.7	-	e7cc95b8f5c915b4153615d970ab74cab5233b71
com.alipay.sofa	sofa-ark-maven-plugin	3.1.0	-	8d037e54047b9d6e78141c669a7ab1d57e44cb72
com.alipay.sofa	sofa-ark-maven-plugin	3.1.1	-	d0fa373b65788f8c096f58bcf46c5197a8f4e643
com.alipay.sofa	sofa-ark-maven-plugin	3.1.10	-	ec34f82b76417ec871cad9f244c090e6c181e7a7
com.alipay.sofa	sofa-ark-maven-plugin	3.1.2	-	1e694a34c5e8a25abdff1e9ea5ff6dcf21a97bdc
com.alipay.sofa	sofa-ark-maven-plugin	3.1.3	-	01b4f7cd42b6591e337977ac32df2eeee7bd94ce
com.alipay.sofa	sofa-ark-maven-plugin	3.1.4	-	661831d34840d6d9991b80126ebdcab32d264297
com.alipay.sofa	sofa-ark-maven-plugin	3.1.5	-	4701107516460ca94903296a23f4c4a80ed0f526
com.alipay.sofa	sofa-ark-maven-plugin	3.1.6	-	89863eb673bce01a276ef737c24a3bc8ca38b76f
com.alipay.sofa	sofa-ark-maven-plugin	3.1.7	-	c92a80d66ae4a18da61eb665fd6012c31f5faa99
com.alipay.sofa	sofa-ark-maven-plugin	3.1.8	-	23f0f97add9f521c3a57d80404b92c39496c974b
com.alipay.sofa	sofa-ark-maven-plugin	3.1.9	-	b76e6c6f3a18fa613cee8449a411b5b816dafbef
com.alipay.sofa	sofa-ark-maven-plugin	3.1.9.rpa	-	f611e6735500c24afc2a5c629da4c1b822904bc5
com.amazonaws.resources	aws-resources-iam	0.0.1	-	7031069f7183eb83b31bf90b5af6a7ba9cedd7f5
com.amazonaws.resources	aws-resources-iam	0.0.2	-	623cc1a0896fce853c40308ca063b21a7a73f442
com.amazonaws.resources	aws-resources-iam	0.0.3	-	75fa21dd1306074f1d984d65911269b10620379c
com.bwsw	sj-mesos-framework_2.12	1.1.0	-	7749fae48ea62018feff6aced81d8e42d353b426
com.clovellytech	h4sm-features-comm_2.12	0.0.38	-	6a796896e89b2d762d4e13fac2d01897cac90e90
com.clovellytech	h4sm-features-comm_2.12	0.0.39	-	4874dbf29bbb936c4c3c8db5cc67fde492e7f9b4
com.clovellytech	h4sm-features-comm_2.12	0.0.40	-	dd512678031098d1716c1c9f24c48054af19d475
com.clovellytech	h4sm-features-comm_2.12	0.0.41	-	2d697d811f5bbd2399a7134c8ea9869dbc9a2090
com.clovellytech	h4sm-features-comm_2.12	0.0.42	-	cdf61d0ac51dab3e6cb7c02e5e8bdd73891c0aa9
com.clovellytech	h4sm-features-comm_2.12	0.0.43	-	8517e40a880a9848739e26bf89918d840838e9a9
com.clovellytech	h4sm-features-comm_2.12	0.1.0	-	0693066dd13c33b96e3961f06383592aa55c7b9f
com.clovellytech	h4sm-features-comm_2.12	0.1.0.1	-	3471fb9a01fd234dd819681093bb6b6c82f0c865
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-db-int	1.0.8-RELEASE	-	86da0193c65eed107423b3ca9df72c1b8a2fca34
com.epam.jdi	jdi-light-material-ui	1.4.10	-	21ce6fada1a0702fad94ebf9530887b62eddec5e
com.epam.jdi	jdi-light-material-ui	1.4.11	-	5b569edc47d37dd5be2e2029968508d65726ad61
com.epam.jdi	jdi-light-material-ui	1.4.12	-	6ba5a44fceaff8c46ce4ae68b1bfb4f08f2df336
com.epam.jdi	jdi-light-material-ui	1.4.8	-	201bfa8b8a45bafb7f626cb0c5d7ebdfbce2109a
