at.unbounded	serialization	0.1.0		faef02d224de42139c1dbbafe79559e1c466c41e
aws.sdk.kotlin	mediastore-jvm	0.16.0		aa5ff75fb74c90383515acc23be11ba72c30b566
aws.sdk.kotlin	mediastore-jvm	0.16.1-beta		a2526f055779e166a29f0ae09eef17941eed73c5
aws.sdk.kotlin	mediastore-jvm	0.16.2-beta		f1700f8242517fe008cf5baddb8e14ffcb3ed8a7
aws.sdk.kotlin	mediastore-jvm	0.16.3-beta		97ef72fe47895e716696c3bbf7176f27d76d86cb
aws.sdk.kotlin	mediastore-jvm	0.16.4-beta		36e11da7da8d2ec357d057340efc542c859aec64
aws.sdk.kotlin	mediastore-jvm	0.16.5-beta		f782f375fc2a71dcf523d53764d094db2c3d6a28
aws.sdk.kotlin	mediastore-jvm	0.16.6-beta		b13aeeddcb4f6d7f186a8409e31403ff41f81b23
aws.sdk.kotlin	mediastore-jvm	0.16.7-beta		ba737e9dc1082ba8d29dc54430bc4d63fec4dcac
aws.sdk.kotlin	mediastore-jvm	0.17.0-beta		b1d3dacd2c43fad68f610fdefd52bd07bbc87ec0
aws.sdk.kotlin	mediastore-jvm	0.17.1-beta		f6ef8507fcf6589c00b4582b2093806149ff4273
aws.sdk.kotlin	mediastore-jvm	0.17.10-beta		1a98980f2062cf681cad86e14874ba5bf3e4e0b1
aws.sdk.kotlin	mediastore-jvm	0.17.11-beta		fca73d9023351b6a59808a135a0a11477d803b23
aws.sdk.kotlin	mediastore-jvm	0.17.12-beta		917f60b2dafb6a478c4464da5b2eb39962013780
aws.sdk.kotlin	mediastore-jvm	0.17.2-beta		45276e650787eed4802fcf68ecf3ef788fe2a902
aws.sdk.kotlin	mediastore-jvm	0.17.3-beta		396a1489c6032c05f5d81d6c0dfb34b60ad9f418
aws.sdk.kotlin	mediastore-jvm	0.17.4-beta		fe904526c41a1cc3315b34604767b59e4d610737
aws.sdk.kotlin	mediastore-jvm	0.17.5-beta		e14074d2aa51adacfb2d7101f1fc2439169752fb
aws.sdk.kotlin	mediastore-jvm	0.17.6-beta		aec6b60dcba7fd82988f115432ebc86991a7c119
aws.sdk.kotlin	mediastore-jvm	0.17.7-beta		7c84258a19678e522a14d36e0775489e9b65f0ab
aws.sdk.kotlin	mediastore-jvm	0.17.8-beta		295888bbcfdec4db64497674b6d172a00a25141c
aws.sdk.kotlin	mediastore-jvm	0.17.9-beta		0d925d4a0188103dde7addc5d7258331c6dbecfa
aws.sdk.kotlin	mediastore-jvm	0.18.0-beta		097d82635953ed4a51d9344c23ca97f0727ba74b
aws.sdk.kotlin	mediastore-jvm	0.19.0-beta		21823716516cbace77562bd185fd6fda82c0c9e7
aws.sdk.kotlin	mediastore-jvm	0.19.1-beta		22f00ed6c42a2dbf54668c66318af67703686c3d
aws.sdk.kotlin	mediastore-jvm	0.19.2-beta		b3d340d06886fc71b1e73116cb40d9e2d1f51407
aws.sdk.kotlin	mediastore-jvm	0.19.3-beta		b54376cb228ef355c939f1c0d4e7eef4ffec60e4
aws.sdk.kotlin	mediastore-jvm	0.19.4-beta		43d42f8aa97bdc48a61ee1362cd5e8e8d889af57
aws.sdk.kotlin	mediastore-jvm	0.19.5-beta		8e720a30d6cc68ff01af73f141f72fbc572e0d94
aws.sdk.kotlin	mediastore-jvm	0.20.0-beta		4f9b468714bef09f6edfb0a3e24fbfabb3122c46
aws.sdk.kotlin	mediastore-jvm	0.20.1-beta		60b3d116b21c1a1edcaaac257dd2c06ce2316080
aws.sdk.kotlin	mediastore-jvm	0.20.2-beta		afdc20cddb6742d16d3f0f9b30c111d83cbe8746
aws.sdk.kotlin	mediastore-jvm	0.20.3-beta		d8893f718bfa0d7635d26d21843c648b07b46231
aws.sdk.kotlin	mediastore-jvm	0.21.0-beta		ffe489158d6a55b47625b9c7f346054a1df61b5e
aws.sdk.kotlin	mediastore-jvm	0.21.1-beta		2aae3d5db68369fccc8abd4908b36bb334ad4f7a
aws.sdk.kotlin	mediastore-jvm	0.21.2-beta		04a151f1c6055985de5088ebfecf8a85cff2b6e9
aws.sdk.kotlin	mediastore-jvm	0.21.3-beta		db6daf33d6c548da5c9fc8abde915cc6522c51cd
aws.sdk.kotlin	mediastore-jvm	0.21.4-beta		360353c57fe53c62e9e412d0ea4ba9de4064cb58
aws.sdk.kotlin	mediastore-jvm	0.21.5-beta		391288f82f8038625d8a2de6e6327954434d792e
aws.sdk.kotlin	mediastore-jvm	0.22.0-beta		5e6846b5ee04cde0277e6b21aad2fe9fb78f4a0a
aws.sdk.kotlin	mediastore-jvm	0.22.1-beta		891a3bcc0a13b15ea1b8946a795e6c3d1e1565c1
aws.sdk.kotlin	mediastore-jvm	0.23.0-beta		8b78936afad0a382831056b1fc485a9571662555
aws.sdk.kotlin	mediastore-jvm	0.24.0-beta		0a36f24c6349d18a8447a3c3ed54cc6d0613ef89
aws.sdk.kotlin	mediastore-jvm	0.25.0-beta		e51c3f5d8b3c970fb5ef40e69b40ac5bf509be34
aws.sdk.kotlin	mediastore-jvm	0.26.0-beta		43d122683532c045744dbca6cf3c78ffc9ffa71d
aws.sdk.kotlin	mediastore-jvm	0.26.1-beta		24d3ef279317bee3374df31dbfe78078045c3fe9
aws.sdk.kotlin	mediastore-jvm	0.27.0-beta		30be55935d7226e97881031174404b6f01abb249
aws.sdk.kotlin	mediastore-jvm	0.27.1-beta		624b1c82b37f39349dd1008db54dacb30ffbebcb
aws.sdk.kotlin	mediastore-jvm	0.27.2-beta		c9d6b4436a333b660c0bd60d114c946b217fa2aa
aws.sdk.kotlin	mediastore-jvm	0.28.0-beta		3440982651317747162fbaa4df29534815c71b64
aws.sdk.kotlin	mediastore-jvm	0.28.1-beta		e6564023c57bc35bf841e775bb0a9078d70efb08
aws.sdk.kotlin	mediastore-jvm	0.28.2-beta		4bc3b688761d6d2caa05646c559ff7aec5f052f8
aws.sdk.kotlin	mediastore-jvm	0.29.0-beta		a75dc2dabdb798cce55efa4bc303f9476157d62d
aws.sdk.kotlin	mediastore-jvm	0.29.1-beta		c4c417c33625dbd6da4b5e578667ae353ab712d6
aws.sdk.kotlin	mediastore-jvm	0.30.0-beta		02617691f8d4f9f67d8deccc3b1a741ea0549640
aws.sdk.kotlin	mediastore-jvm	0.30.1-beta		59512e2f089c7c574e9f2e8adb6e5c930349f3bd
aws.sdk.kotlin	mediastore-jvm	0.31.0-beta		0efa2d99d61e372761e918e79e0d7416e4dffa1c
aws.sdk.kotlin	mediastore-jvm	0.32.0-beta		6e84a592149548e80a630b24a406ec1ddc50e963
aws.sdk.kotlin	mediastore-jvm	0.32.1-beta		e582e99b710bf0f41f5d2c8e359d9f50e8f1c5b1
aws.sdk.kotlin	mediastore-jvm	0.32.2-beta		2bc7ddb2f320f8caa68b0fcfba69789bf0598333
aws.sdk.kotlin	mediastore-jvm	0.32.3-beta		18a22c37ac571114fa205aa47df68ad6734e1dc1
aws.sdk.kotlin	mediastore-jvm	0.32.4-beta		88d4580d11c098a651912a4c4d1151275567b24c
aws.sdk.kotlin	mediastore-jvm	0.32.5-beta		2c7e57a6aeb3a89588d27859b73e9a0411a37b07
aws.sdk.kotlin	mediastore-jvm	0.33.0-beta		9cff8d6f5e16cf3fe01c3d0e0e19fba7eb8bdf68
aws.sdk.kotlin	mediastore-jvm	0.33.1-beta		b4bb1e1fabd9e641a619a64f1ec23e80c4c09954
aws.sdk.kotlin	mediastore-jvm	0.34.0-beta		948435f892b07faf97e6dc9a9fd7dc8bcc0163a0
