ai.yda-framework	rag-assistant-starter	0.1.0		073f7642cc400ed68193f1f83f92ef78fcfa16c3
cn.danielw	fast-object-pool	2.0.0		89910cddefec699d5e33a0f5e30fa3158f89ff83
cn.danielw	fast-object-pool	2.1.0		b447efe413e79e87aba5c62ab9252cc3164cd29b
cn.danielw	fast-object-pool	2.1.1		ae271edd4b4968626ff012d0c52a411d10016df9
cn.danielw	fast-object-pool	2.1.2		c60c2507a2285d6761621172a44006741e9a49c8
cn.danielw	fast-object-pool	2.2.0		78e823ede47a19dc7723878ae1d9c499f95220c0
cn.danielw	fast-object-pool	2.2.1		98e5ece69969d6e10c9a53c05951b111f6c1b09b
com.bbossgroups.pdp	pdp-ldap	5.0.2		be713d2debe642648c96e7eb324faafc5120ba24
com.bbossgroups.pdp	pdp-ldap	5.0.2.1		5cc40e35be09fc81cddb0072e7234ede2da006bd
com.bbossgroups.pdp	pdp-ldap	5.0.2.3		6bb7310b85584c30852d752ed008b83bd2d1bf42
com.bbossgroups.pdp	pdp-ldap	5.0.2.4		203fa2fd1bfa76b50c066c24046d44ff09e5bff8
com.bbossgroups.pdp	pdp-ldap	5.0.3.6		d5625ec775d7557ae2811475bbbfaf7a45d3bbce
com.bbossgroups.pdp	pdp-ldap	5.0.3.9		6a429370e46eb62da1c205b7592bacc51fd260ce
com.bbossgroups.pdp	pdp-ldap	5.0.3.9.1		c10626454502aebfb86e89bad265f60c1caab8e9
com.bbossgroups.pdp	pdp-ldap	5.0.3.9.2		8139a4a46f7d2a5f07cdb58b47254ba5efb1877c
com.bbossgroups.pdp	pdp-ldap	5.0.9		a3162c726a8f88079853eda4a86caa326128b372
com.bbossgroups.pdp	pdp-ldap	5.6.2		bf3b3bf73844816e9de36d9d72589baea5892ed7
com.bbossgroups.pdp	pdp-ldap	5.6.4		fa0a380d97d396f934e915a4f494c3cac66df0aa
com.comcast	ip4s-core_sjs0.6_2.12	1.1.0		2c231f4bbeb5548567f2c57bdf26b2a529e8aa31
com.comcast	ip4s-core_sjs0.6_2.12	1.1.1		e9a22c6f92c836aacfb7a4dd83fb275f0fd3fa32
com.comcast	ip4s-core_sjs0.6_2.12	1.2.0		68512f3be09ec3a4f538c89ef9bc4edf81457f55
com.comcast	ip4s-core_sjs0.6_2.12	1.2.1		6500f3f1f6fc013a72d145f228866ef665257cec
com.comcast	ip4s-core_sjs0.6_2.12	1.3.0		2847260e702cbad9c3cedfac6fd99c35364871aa
com.episode6.hackit.auto.factory	auto-factory-annotations	1.0-beta5		1b60f81eb9a131ef43dd90fe32d3c90ade284928
com.ethlo.json2xsd	jsons2xsd	2.0		d5c565f6f5ac8017be3fd3620fd0096ade909c69
com.ethlo.json2xsd	jsons2xsd	2.1.0		400b753ed54d5ce3c17fb9d260be02ebd0cca58e
com.farao-community.farao	farao-native-crac-io-api	2.4.1		17b236daf2bbb45337d27651ab2dba25a613796a
com.farao-community.farao	farao-native-crac-io-api	2.4.2		17f3c1913d6b396a44b0dfe597ee357203c5dffb
com.farao-community.farao	farao-native-crac-io-api	2.4.3		b4418511f4f4ad9c8d2f9550c316ca64c3aeb9ea
com.farao-community.farao	farao-native-crac-io-api	3.0.0		25a013cdf6fb3b694000216325ee190ef5b3585b
com.farao-community.farao	farao-native-crac-io-api	3.1.0		88f08f6d6c9fe65836464792f099ef27f719587d
com.farao-community.farao	farao-native-crac-io-api	3.2.0		96f1d96ca2f1d021b7ebafed0a3bcff699a3a28f
com.farao-community.farao	farao-native-crac-io-api	3.3.0		6805decced83c9a36faa9b6775a4347276dd6f11
com.farao-community.farao	farao-native-crac-io-api	3.3.2		9f8dbb25064aa822a955d361e1a6fa3d05eddb8f
com.farao-community.farao	farao-native-crac-io-api	3.3.3		92bcc876142ce8a0149cf7be465c2537721c87f9
com.farao-community.farao	farao-native-crac-io-api	3.4.0		3183435963c837af44dfcfe062493b56b3139c49
com.farao-community.farao	farao-native-crac-io-api	3.4.1		ef355be76dd7ef723377aef40e69b4ffcb3b7dc8
com.farao-community.farao	farao-native-crac-io-api	3.4.2		50cf24d99f060d2b83e365f73b274fc1a51b5acc
com.farao-community.farao	farao-native-crac-io-api	3.4.3		a7fc989245231f0cb79e99ce9f3dd996b6c9f5b1
com.farao-community.farao	farao-native-crac-io-api	3.5.0		73cc4b8c08aaae78fbe507d56ed7e73802561803
com.farao-community.farao	farao-native-crac-io-api	3.6.0		509948c05b09a4b9bcc49f235ec98d2ffc995651
com.farao-community.farao	farao-native-crac-io-api	3.7.0		9647e03f9d03585abad89f7181e3cc6b06350ab5
com.farao-community.farao	farao-native-crac-io-api	3.7.1		6283ba5b199914786dd3dd98c73d772a963a70e7
com.farao-community.farao	farao-native-crac-io-api	3.8.0		bb295fd49e458f93c57c3adf65bc0d2c7fa9b1e8
com.farao-community.farao	farao-native-crac-io-api	3.9.0		9359c4bb1b5578c589a337156b00a85a17d33e88
com.farao-community.farao	farao-native-crac-io-api	3.9.1		6e6ae60cc9e66d1538c7e1492e71948640532fb0
com.farao-community.farao	farao-native-crac-io-api	3.9.3		d4f5a0a7d8db38370b831fa709c891b866a04a83
com.farao-community.farao	farao-native-crac-io-api	3.9.4		2338702bf04fa78a83fc78bce379a81300c59cc3
com.farao-community.farao	farao-native-crac-io-api	4.0.0		fd1ad891c1fd368297bfc6d9dff8fb2dcc160ee2
com.farao-community.farao	farao-native-crac-io-api	4.0.1		b199776350d99d2919c8e3b0a8603e300ce0efa5
com.farao-community.farao	farao-native-crac-io-api	4.1.0		9c55961866457aa9912e3bcae0daa6073b7a91f3
com.farao-community.farao	farao-native-crac-io-api	4.1.1		e4304be7a6a74f41c6754f48e8dd0d05ff394ae2
com.farao-community.farao	farao-native-crac-io-api	4.1.2		f2fcca2ee28a262f4dc800b4c88c057313672f35
com.farao-community.farao	farao-native-crac-io-api	4.1.3		fd6329ccab6dbe2c28bbbd8c12eaac32454f7363
com.farao-community.farao	farao-native-crac-io-api	4.1.4		d7abd03442025f84d780f5109711a5d5f0aa5b7d
com.farao-community.farao	farao-native-crac-io-api	4.2.0		cf6f561fdc1a9fb96fa25b16f7f58ce52ebea03e
com.farao-community.farao	farao-native-crac-io-api	4.2.1		ad72f4ab92e64d8986e7a7e86c3a07ecb14696dd
com.farao-community.farao	farao-native-crac-io-api	4.2.2		bc18da1e8169cda69856e4951c98854d128b17e4
com.farao-community.farao	farao-native-crac-io-api	4.2.3		58cab42d43ac01aeb2086e8a20cb1e1c69da4ab0
com.farao-community.farao	farao-native-crac-io-api	4.2.4		c24bd627768ffccc2abd72b673d9523e6f61d2b5
com.farao-community.farao	farao-native-crac-io-api	4.2.4.1		06a3d0303cd5c7176ffc6f4fcebe7e723e710095
com.farao-community.farao	farao-native-crac-io-api	4.2.5		e16605166bac3afb248d016bf2172e20141e0073
com.farao-community.farao	farao-native-crac-io-api	4.2.6		94a6431b58cb6947dfcfc0fa0c322ca2b83b203e
com.farao-community.farao	farao-native-crac-io-api	4.3.0		52a53de6fa1c8e16988c219c6c2c3696135dc6ce
com.farao-community.farao	farao-native-crac-io-api	4.4.0		a9abe45c0c90c8b1d7c23c040531df4b6569a963
com.farao-community.farao	farao-native-crac-io-api	4.4.1		bf979c28c224473f9595289845251b03f048765d
com.farao-community.farao	farao-native-crac-io-api	4.5.0		979b3fb452795c16299d8127d435ec536bacec7f
com.farao-community.farao	farao-native-crac-io-api	4.5.1		4bab65d1be78e309029f3b8b1c5eaa9a93631e3b
com.farao-community.farao	farao-native-crac-io-api	4.6.0		589957e84df868c87ec5d754106d913753fc55a1
com.farao-community.farao	farao-native-crac-io-api	4.6.1		657fe7b6feaec641e8274e6f35f38fee8f078c8f
com.farao-community.farao	farao-native-crac-io-api	4.6.2		a3f28b7a48bddc6ce61806037f8d535858affb93
com.farao-community.farao	farao-native-crac-io-api	5.0.0		4c3cdc1b81ee79aa3b3a874ad3139a88c014c67c
com.github.bogdanovmn.common	common-log	1.4.9		526478cd88abb5e7bc60625d396df6c4a6b7ff3d
com.github.bogdanovmn.common	common-log	1.5.0		f2ca6f762a6882c8c0a8554d5a1a64102c5c685a
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.10		a46330a0f77968388914aaf551bec6cbde8892ab
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.2		f94226d0f347ac914dbaa734d48bccbd9abb057c
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.3		9681e8b817f880fb8951d71614bd1b8ea493d2fa
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.4		d4e3af6671552e4aa2d53d56ed90b828a2c7496b
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.5		87dbf4bd7f74f781564a25ffaf85a607b53fbdc2
com.github.dcsolutions.kalinka	kalinka-cluster-zk	0.0.6		df67a8681026752af02cd30ec5b481cb2cb012d2
