app.cash.copper	copper	1.0.0		N/A
br.jus.stf.digital	core	0.1.0		f1fcb9c2e98ea6da44a2509ed9a4addac6af100a
br.jus.stf.digital	core	0.2.0		c86f3eabd4f9eefe34d3f9d03b9b5c42e77a3b2d
br.jus.stf.digital	core	1.0.0		fad421b288d5171587027ad252b9a530ef5d2763
br.jus.stf.digital	core	1.0.0-RC		93af2a8a84cd6aab2ebbacba5f84430fa77d1983
br.jus.stf.digital	core	1.0.1		4cff2138590ef337612e46d7bb60494758ddb19e
br.jus.stf.digital	core	1.0.2		3d05dfc0cb84013866fd163489e0db9e987ba700
br.jus.stf.digital	core	1.0.3		96131df53b6e4a05fddda617c907812b7c87493b
br.jus.stf.digital	core	1.0.4		1bbf43ad048a93dbb934f62fe9fb4247934bf2c2
br.jus.stf.digital	core	1.0.5		dcb1650a2a46d82ca963c9514d0cd1fa2d7b21ed
br.jus.stf.digital	core	1.0.6		b89f36ca8a36140550c9dd28428083a462da9b98
br.jus.stf.digital	core	1.0.7		dbc9b016e0f6a15d3ea30b27924a259b416a08a0
br.jus.stf.digital	core	1.0.8		d0f74d4a9d545c838613a30073cd54bdbd1ce3a5
br.jus.stf.digital	core	1.0.9		3f16ea89c2b9ab803bd02b23f98ad5e352eb62d9
br.jus.stf.digital	core	1.0.9-RC01		0bebb751d72410f81d8e81f8707316f396181fef
br.jus.stf.digital	core	1.1.0		1a9b992a5e93dd6ce3a53fa11980682da39de7f9
br.jus.stf.digital	core	1.1.0-RC01		8a0cf9556ae3bea2a4c97935fd31190f8b53685a
br.jus.stf.digital	core	1.2.0		ac98dce50184c4ae29203f6fdfa5f8bca61f9019
br.jus.stf.digital	core	1.2.1-MVN-RC		626abb353c7d04851d17c33f0f77b5aa585bbd67
br.jus.stf.digital	core	1.3.0		7db6408486ae6606e44b827de9bd751b45201a73
br.jus.stf.digital	core	1.4.0		f8ba156e779e6dfac8d7e920d2e902f75865941a
br.jus.stf.digital	core	1.5.0		aa96985bcd5c0d498b490f58a235de0e655af41a
br.jus.stf.digital	core	1.6.0		266f6415b142ccbd5f0c19f50dd8a1571d4102ba
br.jus.stf.digital	core	2.0.0		5ccd033bde525f213687558960eae6ecc394ef1e
br.jus.stf.digital	core	2.0.1		5ddfe891c436084d21b4ec2f1e72dbd35f314900
br.jus.stf.digital	core	2.1.0		d57a1f8813f4cc67d74c5d05eb18a90707af5dd9
br.jus.stf.digital	core	2.1.1		f562f0652d70eadc796f14062252d650a0ca8258
br.jus.stf.digital	core	2.2.0		48c425f2549686873ad6bcb53328b6b241470c10
br.jus.stf.digital	core	2.2.1		053acbaca75b538a8dc92fdf0b1257860393d29c
br.jus.stf.digital	core	2.2.2		444ca5cedb596e8bc80a43bbf82d50b6f94c4fdf
br.jus.stf.digital	core	2.2.3		eeb9b34e7dcda3038b850d85bf808bda70da5728
br.jus.stf.digital	core	2.3.0		bcce40d55356778909c3793d8b3057a77845d7fe
br.jus.stf.digital	core	2.3.1		0c0256517ff9e3498004ac36ac6228d0445743d8
ch.epfl.scala	scalafix-reflect_2.13.13	0.12.0		99f0421dbccd00f6483f9f05cfbbe3f38f4678d1
cn.rongcloud.sdk	face_beautifier	0.0.0.1		N/A
cn.rongcloud.sdk	face_beautifier	0.0.0.2		N/A
cn.rongcloud.sdk	face_beautifier	0.0.0.3		N/A
cn.rongcloud.sdk	face_beautifier	0.0.0.4		N/A
cn.rongcloud.sdk	face_beautifier	0.0.0.5		N/A
cn.rongcloud.sdk	face_beautifier	0.0.1		N/A
cn.rongcloud.sdk	face_beautifier	0.0.2		N/A
cn.rongcloud.sdk	face_beautifier	0.0.3		N/A
cn.rongcloud.sdk	face_beautifier	0.0.4		N/A
cn.rongcloud.sdk	face_beautifier	0.0.5		N/A
cn.rongcloud.sdk	face_beautifier	5.1.11		N/A
cn.rongcloud.sdk	face_beautifier	5.1.11.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.12		N/A
cn.rongcloud.sdk	face_beautifier	5.1.13		N/A
cn.rongcloud.sdk	face_beautifier	5.1.14		N/A
cn.rongcloud.sdk	face_beautifier	5.1.14.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.14.3		N/A
cn.rongcloud.sdk	face_beautifier	5.1.14.4		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.2		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.3		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.4		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.5		N/A
cn.rongcloud.sdk	face_beautifier	5.1.15.7		N/A
cn.rongcloud.sdk	face_beautifier	5.1.16		N/A
cn.rongcloud.sdk	face_beautifier	5.1.16.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.16.3		N/A
cn.rongcloud.sdk	face_beautifier	5.1.16.4		N/A
cn.rongcloud.sdk	face_beautifier	5.1.16.6		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.13		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.2		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.3		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.4		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.60		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.61		N/A
cn.rongcloud.sdk	face_beautifier	5.1.17.62		N/A
cn.rongcloud.sdk	face_beautifier	5.1.6		N/A
cn.rongcloud.sdk	face_beautifier	5.1.6.1		N/A
cn.rongcloud.sdk	face_beautifier	5.1.9.1		N/A
cn.rongcloud.sdk	face_beautifier	5.2.0		N/A
com.aliyun	trusted_server20200613	1.0.0		a23b3f67d4246c6a1ba611cdecc0dbb14538eb53
com.aliyun	trusted_server20200613	1.0.0	shaded	fdc6b880dec95eeedb56a5993cbc45d564e34005
com.appsflyer	adrevenue	5.1.0		N/A
com.appsflyer	adrevenue	6.4.2		N/A
com.appsflyer	adrevenue	6.4.3		N/A
com.appsflyer	adrevenue	6.5.2		N/A
com.appsflyer	adrevenue	6.5.3		N/A
com.appsflyer	adrevenue	6.5.4		N/A
com.appsflyer	adrevenue	6.5.41		N/A
com.appsflyer	adrevenue	6.9.0		N/A
com.appsflyer	adrevenue	6.9.1		N/A
com.baffalotech	baffalotech-integration-demo	1.0.2		36c1dfa2d86f26f8ab6fc7739233034fe4cd1218
com.baffalotech	baffalotech-integration-demo	1.0.5		296a46c99cc636024537aa0d84a0a9485ecba49b
com.coherentlogic.fraser.client	fraser-client-core	2.0.2-RELEASE		d0c36e4cebd37c904a0d19d3f405bd55c2cf904f
com.coherentlogic.fraser.client	fraser-client-core	2.0.2.1-RELEASE		a4639bc36b29726c2f0e27b1bf4eb8bbf26c3c8c
com.coherentlogic.fraser.client	fraser-client-core	2.0.3-RELEASE		00ab36daa524801305dabb63340088429630def5
com.github.andyglow	json-facade-circe_2.11	0.1		00fce228e94ad78e71dbf27a9764f90842aee448
com.github.andyglow	json-facade-circe_2.11	0.1.1		556d01c4bc176d36a026b06e7c5cf04a6b0c3460
com.github.honoluluhenk.id-class	id-class-readme-demos	0.0.4		d9923e4d547d9ad67de4268d86e4d9fd629113d7
com.github.honoluluhenk.id-class	id-class-readme-demos	1.0.0		9e5cd06b4332553201e0c9109aa80f03fef7fafe
com.github.honoluluhenk.id-class	id-class-readme-demos	1.0.1		7c838fa1356d249ef590b7f68da7ec51511cb54b
com.github.imrafaelmerino	mongo-values	0.1		61dc9de11263435dd047e0aa9a4a4a78ef4976c1
com.github.imrafaelmerino	mongo-values	0.2		bc5a0262c9fb0b8767f8462868b425d7927bfa39
com.github.imrafaelmerino	mongo-values	0.3		614f40dc3596c44df571b1b79217102a2fcb1af6
com.github.imrafaelmerino	mongo-values	0.4		d47958e34223df5f07df13625081b87e5d9d828f
com.github.imrafaelmerino	mongo-values	0.5		9109bff31abeb70c4571ffd3764ef3c4e507eec3
com.github.imrafaelmerino	mongo-values	0.6		475907a54607fe44612c8f8975a0f27a21212b99
com.github.imrafaelmerino	mongo-values	0.6.1		d628b931a3b0b7c2f8d1f4259ed01f54c8270aed
com.github.imrafaelmerino	mongo-values	0.7		4e5e3e40a8e62b86d6d7baec0491d29c2e5810ec
com.github.imrafaelmerino	mongo-values	0.8		01ece2e1fe16aa68ba6b6dd2ac7990c3319b22cf
com.github.imrafaelmerino	mongo-values	0.9		e6c06efb0d8fe0e78fb03852054e35623750d709
com.github.imrafaelmerino	mongo-values	0.9.1		6a54658ea17ef4f9d2988bc9aa5cb24a4da997ce
com.github.imrafaelmerino	mongo-values	0.9.2		93c949a25905c3a828be8097b747788c9d15d98e
com.github.imrafaelmerino	mongo-values	0.9.3		4343e62398f85c9d7d324d4108b36d62f3e8f040
com.github.imrafaelmerino	mongo-values	0.9.4		7302f890972221ccfc8f309baaad124216a10ced
com.github.imrafaelmerino	mongo-values	0.9.5		84eccca3bf20e5d509dc05f8bc03d13aa8258213
com.github.imrafaelmerino	mongo-values	0.9.6		2ca331c39fd78551e387694997b6d1646060c022
com.github.imrafaelmerino	mongo-values	1.0.1		b034edd84facf90e5980c0e1040773a709645949
com.github.imrafaelmerino	mongo-values	1.0.1	jdk8	b034edd84facf90e5980c0e1040773a709645949
com.github.imrafaelmerino	mongo-values	1.0.2		58dd8bc7be3cca931ecab3f96f2a855bed75b188
com.github.imrafaelmerino	mongo-values	1.0.3		a10634a8a0e51f55b94fa2947cb3f736510dc8c8
com.github.imrafaelmerino	mongo-values	2.0.0		f21683f0e6541f54c081c83e86463604384585d6
com.github.jnthnclt	os.lab.roaring	0.1		e5f281587fa355389b8315e31b196eeb6b73b545
com.github.jnthnclt	os.lab.roaring	0.2		c97b6ea4be0d4ee88e3903a7e68753060c0f3b3e
com.github.jnthnclt	os.lab.roaring	0.3		dba5943a07fec7462cd35ea9ac86d9b67d527a08
com.github.jnthnclt	os.lab.roaring	0.4		678ae348d3a13da05e84df3f07b12a8348ac4ec8
com.github.jnthnclt	os.lab.roaring	0.6		e107e66a01f022fcbe1e8db7cace9c17903af596
com.github.jnthnclt	os.lab.roaring	0.7		ab9c694a288f84ed9f9263b0ace9e2a98f4452c2
com.github.jnthnclt	os.lab.roaring	0.8		f26b13908cfbe5d156a919c90565c4e4dbc0e175
com.github.jnthnclt	os.lab.roaring	0.9		0633b4c22bb2e9e83963a579165602a836af581c
com.github.jnthnclt	os.lab.roaring	1.0		8b277adce1a783ac700a9bcb70fea3de45e7a5aa
com.github.jnthnclt	os.lab.roaring	1.1		67e82bc5cee481d050ad87d6531cdb108a1b7c1e
com.github.jnthnclt	os.lab.roaring	1.10		28f60e0a0290a01e02d85a54b902686ea0490f29
com.github.jnthnclt	os.lab.roaring	1.11		b9e571a3243717d75c029117de15311f84cf9b57
com.github.jnthnclt	os.lab.roaring	1.12.0		2cd03e1d7228feded3194be73d5f1853ceea248f
com.github.jnthnclt	os.lab.roaring	1.12.1		fda83e45d2d48562f24259c63c05b5637457d3ad
com.github.jnthnclt	os.lab.roaring	1.12.2		e043655cbfd99863bceebed8415c7c8b9cc642a6
com.github.jnthnclt	os.lab.roaring	1.2		4986da478557403a38c2111962a22dcf325b3009
com.github.jnthnclt	os.lab.roaring	1.3		a475cfee2a0f29ff41ea510e062fe71b26afbf09
