app.softwork.serviceloader	runtime-wasm-wasi	0.0.15		N/A
at.asitplus.wallet	ehic	1.0.0		ae38f493bc66561d269e5cef52b32e0a09570700
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.10		f7f3f94a8667133dfb2eeacc90a03f122727d0df
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.11		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.12		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.13		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.14		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.15		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.16		c9a31b326811efc7de1e50d800ad770f35dfd9e5
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.17		3767dde0b99543da1b909b5f65779a5455f699c4
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.18		3767dde0b99543da1b909b5f65779a5455f699c4
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.19		3767dde0b99543da1b909b5f65779a5455f699c4
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.20		3767dde0b99543da1b909b5f65779a5455f699c4
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.21		3767dde0b99543da1b909b5f65779a5455f699c4
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.22		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.23		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.24		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.25		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.26		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.27		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.28		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.29		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.30		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.31		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.32		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.33		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.34		e373086faf727391a83913b698163011174e4923
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.3.9		f7f3f94a8667133dfb2eeacc90a03f122727d0df
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.0		5aeb6eb2bb2f52f7ed52806f043384be9a073724
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.1		5aeb6eb2bb2f52f7ed52806f043384be9a073724
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.10		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.11		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.12		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.13		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.14		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.15		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.16		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.2		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.3		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.4		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.5		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.6		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.7		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.8		630fa41c25e26695f63bebb3c1f173b2c1e3089c
aws.smithy.kotlin	http-client-engine-okhttp4-jvm	1.4.9		630fa41c25e26695f63bebb3c1f173b2c1e3089c
cloud.caroline	caroline-sdk-internal	0.0.1		cda3614742187902d8ab759ebc029be7e88a9f1f
cloud.caroline	caroline-sdk-internal	0.0.1	all	7659e23c9e4dc43cd6333a5aa31d3161b72dc8f3
com.adaptrex	adaptrex-sandbox-tapestry-cayenne-di	0.9.13		N/A
com.adaptrex	adaptrex-sandbox-tapestry-cayenne-di	0.9.14		N/A
com.adaptrex	adaptrex-sandbox-tapestry-cayenne-di	1.0-Alpha		N/A
com.adaptrex	adaptrex-sandbox-tapestry-cayenne-di	1.0-Alpha2		N/A
com.adaptrex	adaptrex-sandbox-tapestry-cayenne-di	1.0-Alpha3		N/A
com.africapoa.fn	app	0.0.1		072ea49f2d1a848032af6533b409dec3fc2f4192
com.cedarsoft.rest	jersey	1.0.0		748bf371c40a1a25271124316ae442e6811e7fb9
com.devbrackets.android	exomedia	5.0.0		N/A
com.devbrackets.android	exomedia	5.0.0-beta01		N/A
com.devbrackets.android	exomedia	5.1.0		N/A
com.devbrackets.android	exomedia	5.2.0		N/A
com.g2forge.reassert	re-assert	0.0.1		c8aeb5b83a579cb707183a24498006cf5cc6b686
com.g2forge.reassert	re-assert	0.0.2		59a5bb99b4d650fe465370651917f9c6639eccfa
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.6.0		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.6.0	metadata	563e34569c96cecbdebc19fcb397391c5c3a0dce
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.0		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.0	metadata	7a71e25d0e7c98e284f85eef577ff244dbb340dd
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.1		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.1	metadata	080abc7353a3af4dfe9dbe92c7164bc23ea146df
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.2		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	2.7.2	metadata	193b48f37474e93440f8586d4c82a76cc1ea7047
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.0		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.0	metadata	bf79dbf91153caeb158e26b32fca412125bebc13
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.1		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.1	metadata	f6f54d9f390f3b86aa8a12826441c6ad5a0bd566
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.2		N/A
com.github.ajalt.mordant	mordant-coroutines-iosx64	3.0.2	metadata	5940502ead0b4affbb0d4c64fe9269fc5cbdd12b
com.github.cuzfrog	simple-sri_sjs0.6_2.12	0.2.0		19362d773f1a2472896745d671c9a6e4f595c505
com.github.cuzfrog	simple-sri_sjs0.6_2.12	0.3.0		16771a8cf843b806b2ede713a6938d8efc64b940
com.github.gustavodsf	javers-spring-mongo	5.15.0		0ea0c39b5a3e5b7de579b45739577743cc7ded99
com.github.gustavodsf	javers-spring-mongo	5.15.1		c15f7d213e79a90fc80d22d72453f74dc5663b39
com.github.gustavodsf	javers-spring-mongo	5.16.0		9fbbe20820a2c8d1ebb7fc5633f268000a51db5c
com.github.houbb	expression-integration-api	0.1.0		98d9b0e683cb6767c0fbef180fd2c72fe75d6947
com.github.houbb	expression-integration-api	0.2.0		5f5551986a98fc2f962ca633de4b281d6240ddff
com.github.houbb	expression-integration-api	0.3.0		c90fe3f70f1dc8d445694c2bac3689d12a4bfaca
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.0.6		e9c1f9010a6b0241a876c4615035e2619813c447
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.0.6-2		aa61388ded81f22bc293b5d42b98240c008f7114
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0		e2fece2096e31e8f0595662eea82ee0b2fc800cc
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0-2		cf32091ec6fb802cc85c5042e56e396d6c82c8ad
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0-3		cc155419efa8260535fde1ae7c9828b46f66b6d4
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0-4		3ce9c2f18ddabb25770a146a6a69846130d6f7ee
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0-RC1		488b9f07d66cc9bc67c416db58ef0920ffac2b44
com.github.japgolly.fork.scalaz	scalaz-scalacheck-binding_sjs0.5_2.11	7.1.0-RC2		64a62829e0fa0edcf393045b2e9b631246ea6222
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.10.0		742f7f1b95885f176e5fcfe4d1191174f3852cab
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.0		96983bcd38f4976d3e7d4b128768602e4e486bc1
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.1		fb6b6c2be39dbff8aa8628bd618bf368aaf56ceb
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.10		034f34737d6221ce6b68e1dddf773305c6b6cfb6
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.11		e24c3dd002c75eab9a028be4db4aee5921023082
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.12		b16b4de42ca0ee1f04bf902dcc0917ffe3b657ef
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.13		543f5e6ad20b4ac0e1c24144e7dd52df1aaf7adb
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.2		bc046b6616f626d52867c9234c74cfd297e92f80
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.3		d3a3033715d8a822a7a771eeee378f286ef07597
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.4		254adbe8e9d60fcccdaee32e39093ac5972b65b3
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.5		63d53d011f5453a75470721da9a9a98ef1e6f715
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.6		765d7f85cb434b35edca41f9746c350604a0ed71
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.7		e695a94da64f33e4e0cc2938c6cb112ee9243dbe
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.8		77776ea87a85520a77ee3f71a3a1d62e52c1cf65
com.github.plokhotnyuk.rtree2d	rtree2d-core_sjs1_2.12	0.11.9		0ea6cfe646ca42c3c3a3ef7eed5938d9d463c973
com.github.wsiegenthaler	lobos_2.13	0.10.0		1ddb8d00cc187211ab35c93f3e874645d89e92bb
com.google.http-client	google-http-client-android	1.11.0-beta		78aad9b802814dba7adcb0516dcb0ab63d1c56a6
com.google.http-client	google-http-client-android	1.12.0-beta		27a98e80ee99bd3cc2facff192b3f9b947941c1a
com.google.http-client	google-http-client-android	1.13.0-beta		1b7d18917d4c3f57bcf9d758d7c3d5ee2d19aabd
com.google.http-client	google-http-client-android	1.13.1-beta		e471a52714d1300f6c0d43dd7ed9e34bf3c9fb23
com.google.http-client	google-http-client-android	1.14.0-beta		d572fc8871ca6ac972229248bf71242771eb82aa
com.google.http-client	google-http-client-android	1.14.1-beta		3a1ffc4a9ba7f117db01f81008d11879dd7db527
com.google.http-client	google-http-client-android	1.15.0-rc		421c895ef9f2b3df70de11912620e25a256e8afc
com.google.http-client	google-http-client-android	1.16.0-rc		01860fa097ae12b727fa59433fa6a7f28c33dcc6
com.google.http-client	google-http-client-android	1.17.0-rc		f3fc9acc57c2a55fd17a421710f564b73dabda21
com.google.http-client	google-http-client-android	1.18.0-rc		cc519375a59b88327d65b79172798e7e6417bc78
com.google.http-client	google-http-client-android	1.19.0		e3f11020c2c812112803d252d1392872d3f619c8
com.google.http-client	google-http-client-android	1.20.0		313dc99a7963523871495897ca11aa8472b3c6fd
com.google.http-client	google-http-client-android	1.21.0		58768eec41118e917eba75ff6d5b022e01c76efc
com.google.http-client	google-http-client-android	1.22.0		6d1e1a76a16a244ab2f41775791be1dd0ec2878a
com.google.http-client	google-http-client-android	1.23.0		1bbe77a8594d7892571266392b8a7dd0a5980664
com.google.http-client	google-http-client-android	1.24.1		015350d25dc0e6e96fc0f2cece37b79f32421f8c
com.google.http-client	google-http-client-android	1.25.0		cf407b7190e978fb811bc76c9297e78a2c564a38
com.google.http-client	google-http-client-android	1.26.0		15383f27f3b703a6ce5b4bdaa2e16446eb61b860
com.google.http-client	google-http-client-android	1.27.0		2a38fb6cd2fc2457bd2395d28f12a3ae42663cf6
com.google.http-client	google-http-client-android	1.28.0		1bc0f31e40b1655d61dfaa7615bbc9240b729fba
com.google.http-client	google-http-client-android	1.29.0		ea1c5804077911f97f181549639da1bf0bba1f85
com.google.http-client	google-http-client-android	1.29.1		c68876419a6c0eb25a0e81de11a1420dffc3242b
com.google.http-client	google-http-client-android	1.29.2		703113197396a652bd5efa304f04fdef94b2e523
com.google.http-client	google-http-client-android	1.30.0		799fcca62026a06954bebca9306fcbc3d7164507
com.google.http-client	google-http-client-android	1.30.1		30cd39f2996d44fa180e3a3865b77b2dc155a46e
com.google.http-client	google-http-client-android	1.30.2		b1295901911d49800c02f452f1b74a0b45106f50
com.google.http-client	google-http-client-android	1.31.0		692f83c49d32a475eea55bcde9048943251cd698
com.google.http-client	google-http-client-android	1.32.0		3592dc6977ec7f68207bf4136bfb184821e796d0
com.google.http-client	google-http-client-android	1.32.1		99219f492e3517d01fb9c80a75e99328f81b0817
com.google.http-client	google-http-client-android	1.33.0		9d88b55258255d67b08fe4771495ca1e3f5e94a2
com.google.http-client	google-http-client-android	1.34.0		8199d30461e60adcd6cf21d58d2585be373df621
com.google.http-client	google-http-client-android	1.34.1		699062f2ab777340c6e6e959b2406b02185d4b43
com.google.http-client	google-http-client-android	1.34.2		90c375c3a15d5f3df929e82912f9cf62e7328465
com.google.http-client	google-http-client-android	1.35.0		ec6a231a396cce912aeb99334706ddb9f449a01e
com.google.http-client	google-http-client-android	1.36.0		7627eb931b4b019368584aca1b7e440813808b9d
com.google.http-client	google-http-client-android	1.37.0		8eb524340f75d411404a022ab10c2a20776f7261
com.google.http-client	google-http-client-android	1.38.0		4b5973cde34db4a7eb7c101516fc3f04639b83f7
com.google.http-client	google-http-client-android	1.38.1		024da3bebd0b58ae4aa4012093161edbf6862c8e
com.google.http-client	google-http-client-android	1.39.0		0b376124eb80a532b61fa77f19bd28a644d67210
com.google.http-client	google-http-client-android	1.39.1		a76736389ab05e749176d11b7d6bef5953cbf208
com.google.http-client	google-http-client-android	1.39.2		6c6ec9c359359e3f810a6fe0546e5159d2b98677
com.google.http-client	google-http-client-android	1.39.2-sp.1		b5ecdc30026c7550179e48d615d84cec970f2994
com.google.http-client	google-http-client-android	1.40.0		a3b60b2c29872a76dbe704280ac96402c32006d6
com.google.http-client	google-http-client-android	1.40.1		730b4c2edcb97d973ae74feb825141b5eab4565c
com.google.http-client	google-http-client-android	1.41.0		5bca9ea9c0f2283b95364dda7d0ddf0bcb426468
com.google.http-client	google-http-client-android	1.41.1		d196e59b05a54167b0280d491b366cb6b43f61c8
com.google.http-client	google-http-client-android	1.41.2		ece2af2785599193bd21542b73037f9fc74b9742
com.google.http-client	google-http-client-android	1.41.3		90523773cabfcd6b8bf69248532ee7c440e74729
com.google.http-client	google-http-client-android	1.41.4		98e4857c61262205285d80b183cc3e0bd322e697
com.google.http-client	google-http-client-android	1.41.5		87ae6107ffef4a029e52c93cca215d90edd58339
