at.released.cassettes	cassettes-common-xdg-js	0.1-alpha01		N/A
aws.sdk.kotlin	robomaker-jvm	0.16.0		15854019c242635d61d7b324030576def5134908
aws.sdk.kotlin	robomaker-jvm	0.16.1-beta		a7f47340455d6ecc98498f803cddb11191bc886d
aws.sdk.kotlin	robomaker-jvm	0.16.2-beta		ba7aa8bea3b34443c4f6e196d40ccc792524238a
aws.sdk.kotlin	robomaker-jvm	0.16.3-beta		b30262cf4a5e42e4e18f4159972e1d9494c0622f
aws.sdk.kotlin	robomaker-jvm	0.16.4-beta		daae3836277aff3e1a6d9691334aa8f94e478026
aws.sdk.kotlin	robomaker-jvm	0.16.5-beta		e06fd098ef644f5abca87200c58451ed3a2c86ad
aws.sdk.kotlin	robomaker-jvm	0.16.6-beta		015356808adff7baf26b16e4526c00a0a86e82f6
aws.sdk.kotlin	robomaker-jvm	0.16.7-beta		7bc7267f56f284a2a41af0d0a677aa6fb22bd029
aws.sdk.kotlin	robomaker-jvm	0.17.0-beta		d8a1439db438d7a846f6395f5cc3eb2aa541ed5e
aws.sdk.kotlin	robomaker-jvm	0.17.1-beta		7d2c25273a17e736847e041948b24e454202df63
aws.sdk.kotlin	robomaker-jvm	0.17.10-beta		0c16dd01c5fee3d53aa40c81c82834972ad245fb
aws.sdk.kotlin	robomaker-jvm	0.17.11-beta		3f14d518ba0bfce0b271f1ee075207d4400fa0ad
aws.sdk.kotlin	robomaker-jvm	0.17.12-beta		dca9118e41521e231dbebe3c508aea05254e7838
aws.sdk.kotlin	robomaker-jvm	0.17.2-beta		162567a574dcd15b13998f6a1a7bcdab51a1e7b6
aws.sdk.kotlin	robomaker-jvm	0.17.3-beta		d1cb61736a36ec6158bfe0731d46d5fb1267596f
aws.sdk.kotlin	robomaker-jvm	0.17.4-beta		d19ae91d1904ff8a308583d0bd5c11ca4fda67ea
aws.sdk.kotlin	robomaker-jvm	0.17.5-beta		a591894279b7da64dc2ca5c6027201aed4d5a465
aws.sdk.kotlin	robomaker-jvm	0.17.6-beta		5d2a2149b0d259de936935a7be6a45d03375fcdb
aws.sdk.kotlin	robomaker-jvm	0.17.7-beta		b03965928d8cb4fe5397318cb159528976f18b7b
aws.sdk.kotlin	robomaker-jvm	0.17.8-beta		cba0d65283b5280d0f9621b3eba480d58b3e0d94
aws.sdk.kotlin	robomaker-jvm	0.17.9-beta		e7471b61adaccc86a10cffebbb724aec0fc98151
