ch.voulgarakis	spring-cloud-stream-binder-jms	1.0.0.RELEASE		5377e68c88bd300df6dd6b149429c0829aab3230
dev.profunktor	http4s-jwt-auth_2.12	1.0.0-RC2		610dc184cedd0ed2b9cf2ec16815205d99ceba6e
dev.profunktor	http4s-jwt-auth_2.12	1.0.0-RC3		03946df9f830c6b7b1726c9577ce329e59194565
dev.profunktor	http4s-jwt-auth_2.12	1.2.0		769a5806eb31563333e6892d7d3bbb7bfa88bce1
dev.profunktor	http4s-jwt-auth_2.12	1.2.1		df566fcaa53f8a0be5aa1d46650d134777da5ec5
dev.profunktor	http4s-jwt-auth_2.12	1.2.2		f8bde11bb7b914f2c6bdbe363e355c758c194702
dev.profunktor	http4s-jwt-auth_2.12	1.2.3		0b65d274e54cc0e608d8c3ec78c759af22d87471
dev.profunktor	http4s-jwt-auth_2.12	2.0.0		c811ddfe134f146f363de282529d49556f3283a2
dev.profunktor	http4s-jwt-auth_2.12	2.0.1		93eda99f5a9bace92816857ba19cda26e88ed392
dev.profunktor	http4s-jwt-auth_2.12	2.0.2		66a1c5bfb9e5f1e66b0ee836e8132fc7b1eab381
dev.profunktor	http4s-jwt-auth_2.12	2.0.3		11d739e08abfb22c371261406e5f9f0fbffe3734
dev.profunktor	http4s-jwt-auth_2.12	2.0.4		dfa7c5250c9b887241b8ff122b4b6e2bc056fc06
dev.profunktor	http4s-jwt-auth_2.12	2.0.5		ce0d7a06ae695c3f577722211bb3a4152f9c6aa1
dev.profunktor	http4s-jwt-auth_2.12	2.0.7		0737b75e311b7cec951f4dfe5cc4a76d9222ab97
dev.voidframework	voidframework-redis	1.0.2		974b52f6220cbfb4a1f8c1b4a2a6d4b904dc948c
dev.voidframework	voidframework-redis	1.1.0		e63a6f9e08ce35697cdd3d83d43e7f64b6a8064a
dev.voidframework	voidframework-redis	1.1.1		7ecf6bc310b101c97d2fc725265b4866b0b9e50f
dev.voidframework	voidframework-redis	1.1.2		a2ce19cbf90b1d4f3f857adc4f1f5ef680e27252
dev.voidframework	voidframework-redis	1.10.0		0b7f1884c7c383dc28c93cd2387dadbb7606cc52
dev.voidframework	voidframework-redis	1.11.0		059e7f4268bae03d59ca32e2de2743e2e63eb603
dev.voidframework	voidframework-redis	1.11.1		184cc16e53a35b0a3d3bb2aaee337a8996bfa516
dev.voidframework	voidframework-redis	1.11.2		429a48c5e463af010b707aeaf98166679f0536a8
dev.voidframework	voidframework-redis	1.12.0		871ff11262429635d22662137c7e983b13b354a6
dev.voidframework	voidframework-redis	1.13.0		ac227531c7de92e9347d55ec221c8e8a51d018c0
dev.voidframework	voidframework-redis	1.14.0		923226625df518aa4a8989eea29e0a2c8f7e001c
dev.voidframework	voidframework-redis	1.15.0		c6afc485e3323a084b718409ac4e35f948be90f6
dev.voidframework	voidframework-redis	1.16.0		9a2761b470a6989729affb692f964d8270088fb8
dev.voidframework	voidframework-redis	1.2.0		091db1410d609bb518c8dcd0893f7732a58e3764
dev.voidframework	voidframework-redis	1.2.1		0cbdb549b37eaa8dd6fa11b664c7dfcb87ef117f
dev.voidframework	voidframework-redis	1.3.0		ac62d126cd514a8ff60ff939d8cbd41fd31cf0fe
dev.voidframework	voidframework-redis	1.3.1		fea49b80424745d9e575ead81f7a82660156fc36
dev.voidframework	voidframework-redis	1.3.2		1af49e04c6858720d12428ebac94ef364aa5409e
dev.voidframework	voidframework-redis	1.4.0		fda4a23d86010f65d1d77702195758cf314e1446
dev.voidframework	voidframework-redis	1.5.0		6cc3e93dc069e4d37b9a0d170dddb28375d6a86e
dev.voidframework	voidframework-redis	1.5.1		d97e05b3074042074fdbd758ccc1f34713b5c33c
dev.voidframework	voidframework-redis	1.6.0		c0ef247e930ba85cbd8d11a6e6d846fc59d25842
dev.voidframework	voidframework-redis	1.6.1		2a29b675913f7a24c3086a716f468b485a5983aa
dev.voidframework	voidframework-redis	1.7.0		0cb14d6ca365b7e6b9f48d514882c5bc561c0f9c
dev.voidframework	voidframework-redis	1.8.0		e11b671919d60a1fda20fed474ea459687bed0fa
dev.voidframework	voidframework-redis	1.8.1		e93f05938656fdbe58cf96f2486f003a60b4af43
dev.voidframework	voidframework-redis	1.9.0		a62caf88d24055d785fce01f2e4f4ee514dec0ce
eu.lunisolar.magma	magma-examples	1.0.0		a58f284986670e834ea64323e3a02c4199937a17
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.2.0		b6348cd2bc6773130b28e3719be4e4bac0140e9a
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.3.0		202eb6ca78e9805771d1c12859b63fe6adf89d6d
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.3.1		58cd7d72447f1eb6d8c0bcaa29114461ce73cc11
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.4.0		8b3e762668246313e5aa66f9213f870ae2f1f2b5
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.4.1		2a1b6a7ec62f9e97e3354d9b0c8b8ba7ed958acd
io.fabric8	fabric8-maven-plugin-generator-quarkus	4.4.2		b6fdd142eb20ebe98761f9eccbea8adf3a862984
io.flinkspector	flinkspector-datastream_2.12	0.9.3		f5049a72e4dc3c4543acd5ed5ebcb25dbd8216c3
io.flinkspector	flinkspector-datastream_2.12	0.9.4		e3cf48a962f5d6a24a20cda1e0fb779d6a778ea6
io.getmedusa	medusa-ui	0.3.1		a2c4735fc7db9a7118d744cf5eec555351078f30
io.getmedusa	medusa-ui	0.3.2		2280e5315731bf2c58310660735420ba3b8ec021
io.getmedusa	medusa-ui	0.3.3		983b923946f2e1360150adc20ae009f3986713ff
io.getmedusa	medusa-ui	0.3.4		fffa289819c7df92e38067266b68a18ea29e167b
io.getmedusa	medusa-ui	0.3.5		e877d5992f1494eec699a235429e543efe6904e0
io.getmedusa	medusa-ui	0.3.6		d5d23e40802d6e455b1305475de88d87c16b0e92
io.getmedusa	medusa-ui	0.3.7		fef0be4a78e8b05efce88d15f7d2e71e9d301cbf
io.getmedusa	medusa-ui	0.3.8		8da4df94e2b29aa88f42563d3538d1edd500a3be
io.getmedusa	medusa-ui	0.3.9		5737867bddc8bdf27b4e5f15f2fd911dac819966
io.getmedusa	medusa-ui	0.9.0		4f3a96f1836c08aee576def8ae5822be689d64e2
io.getmedusa	medusa-ui	0.9.1		bb726bba6f05575f2b72e4ea21fc3188883cf621
io.getmedusa	medusa-ui	0.9.2		03d3bcf497251f90fd1e63fcb36a4aafb63095dc
io.getmedusa	medusa-ui	0.9.3		a2bc0a47b78b9c014db9df18ccf321beb25aa3fd
io.getmedusa	medusa-ui	0.9.4		7ec18f2518b63512d7d35f1aff30332c2e572554
io.getmedusa	medusa-ui	0.9.5		f2e9b90fccf25edb18147f8f9d22a0174f954974
io.github.dawdler-series	dawdler-client-plug-db	1.0.2-jdk1.8-RELEASES		a5c72bce2639eb23e73b952fae6ba0b554493400
io.github.dawdler-series	dawdler-client-plug-db	1.0.2-jdk17-RELEASES		19e25a7f2513c77a7b907e0219dcebddbeecc337
io.github.dawdler-series	dawdler-client-plug-db	1.0.2-jdk21-RELEASES		215dabe8ae15b1b66bee2dab016fb3fe0d49fa18
io.github.dawdler-series	dawdler-client-plug-db	1.0.4-jdk1.8-RELEASES		d49b4539233a877e0d628125673564a566d477d0
io.github.dawdler-series	dawdler-client-plug-db	1.0.6-jdk1.8-RELEASES		f5c71871a0e130823f9465f4b2447cbe7e276a82
io.github.dawdler-series	dawdler-client-plug-db	1.0.6-jdk17-RELEASES		583d2d819a2362c5cd30d277fdaec09222ba0605
io.github.dawdler-series	dawdler-client-plug-db	1.0.6-jdk21-RELEASES		9aca359dccae0026add6ec7c76ba8aa59fbd0f04
io.github.dawdler-series	dawdler-client-plug-db	1.0.7-jdk1.8-RELEASES		6b5510113f5bc7388f67687d2263e943ea7fe227
io.github.dawdler-series	dawdler-client-plug-db	1.0.7-jdk17-RELEASES		b41c216b153510cea6e593b5514cd5d4c1bb9d19
io.github.dawdler-series	dawdler-client-plug-db	1.0.7-jdk21-RELEASES		c4a84af36ea21b5297f57f0df44dcf68ead7f073
io.github.dawdler-series	dawdler-client-plug-db	1.0.8-jdk1.8-RELEASES		08a1b75bcc07db3f8fd11791344b2fdd6da4967e
io.github.dawdler-series	dawdler-client-plug-db	1.0.8-jdk17-RELEASES		f36e61479ff3fb188e3d78a10aab61caffda05f8
io.github.dawdler-series	dawdler-client-plug-db	1.0.8-jdk21-RELEASES		b0ccc40f4f5a3c14b56321802612a68a720ad3f0
io.github.dawdler-series	dawdler-client-plug-db	1.8.2-jdk1.8-RELEASES		595fab827b1cc4cf764b06a38c0eb90aa81cbfd4
io.github.dawdler-series	dawdler-client-plug-db	1.8.4-jdk1.8-RELEASES		ba0d348ed546473d245d5f67d212563d57ddb5e6
io.github.dawdler-series	dawdler-client-plug-db	17.2-jdk17-RELEASES		18f53e0693cf88b8c783565ab45da090c571663d
io.github.dawdler-series	dawdler-client-plug-db	17.4-jdk17-RELEASES		077a3ecdb02f2b007d6f42ba26a422466b86c2bc
io.github.dawdler-series	dawdler-client-plug-db	21.2-jdk21-RELEASES		2f3ddd2bb6afcf5d760cb4cc58b990a884109c73
io.github.dawdler-series	dawdler-client-plug-db	21.4-jdk21-RELEASES		26d86474bc39e92d0d905ca451a28f54a693a77a
io.github.harvies.charon	charon-mongo-spring-boot-starter	0.0.6		7a5d639e0b23313d25c8654e1838546ffc2cecca
io.github.harvies.charon	charon-mongo-spring-boot-starter	0.0.7		15207d6ea3a53ac955d086e4ac5d6f532efef692
io.github.harvies.charon	charon-mongo-spring-boot-starter	0.0.8		ed2118f79a8c5960d58b7cf2df7fceda81bd8f97
io.github.samueleresca	pekko-quartz-scheduler_2.12	1.1.0-pekko-1.0.x		91e2d231958fa11301197a473cdeaecf99d93621
io.github.samueleresca	pekko-quartz-scheduler_2.12	1.2.0-pekko-1.0.x		e06861212efff797d9608a93df48c98dcd7684a9
io.github.samueleresca	pekko-quartz-scheduler_2.12	1.2.1-pekko-1.0.x		32d1401ecc48d72b1e5032bdd17e83ad0b3440fc
io.github.samueleresca	pekko-quartz-scheduler_2.12	1.2.2-pekko-1.0.x		7be51064be7307a95e330366f8cde737f92665d3
io.github.samueleresca	pekko-quartz-scheduler_2.12	1.3.0-pekko-1.1.x		4e38e946ccc937be87f73e24b6e0eec7d8f6ae1b
io.github.vaneproject	languagepack	1.0.0		5150efa53794150311850b97b8e20a8bdf02af2b
io.kevinlee	extras-concurrent-testing_2.12	0.1.0		1f13970e1e3dde5a7617d1020b73cd72b66fa554
io.kevinlee	extras-concurrent-testing_2.12	0.10.0		e54cf7f0d580a174662d379e4354c89566ab2f97
io.kevinlee	extras-concurrent-testing_2.12	0.11.0		bcabc3f03919e86a55c77c1cd8b886f7c04a7a61
io.kevinlee	extras-concurrent-testing_2.12	0.12.0		b5e83b3cab14815ca83b90438aec40b43a920722
io.kevinlee	extras-concurrent-testing_2.12	0.13.0		4f1c083a20760a20800f223e95c852ab09306cb3
io.kevinlee	extras-concurrent-testing_2.12	0.14.0		b83eb0a6106fddd99c266c999aa76e6f02e55594
io.kevinlee	extras-concurrent-testing_2.12	0.15.0		d23d380dc57ff5a7a7578a189d3b7f2606909f9b
io.kevinlee	extras-concurrent-testing_2.12	0.16.0		f941066c5a609bc9c0dfbd19949c3a073b74cfbd
io.kevinlee	extras-concurrent-testing_2.12	0.17.0		19d5c271007fcbf4056bdb7fe06ca1ad6509de8d
io.kevinlee	extras-concurrent-testing_2.12	0.18.0		ac80c82e07c563e0b5d79f28c95dea99b03e5608
io.kevinlee	extras-concurrent-testing_2.12	0.19.0		29293d9886098697667790fd363d6d9de9d2a4f6
io.kevinlee	extras-concurrent-testing_2.12	0.2.0		7a75bceb4fbd6d4260d3a2755b6fdf5340890136
io.kevinlee	extras-concurrent-testing_2.12	0.20.0		cd62d2fe644f06ec4f0d104f4dc0ed6c80012551
io.kevinlee	extras-concurrent-testing_2.12	0.21.0		323d0be06ac0903a11de8274c915230cb5f9e4af
io.kevinlee	extras-concurrent-testing_2.12	0.21.1		a527525b14156cc911b955ec8b61b3fbbbde9b16
io.kevinlee	extras-concurrent-testing_2.12	0.22.0		9bff6ec7d896c578de5b67a9463126181a8dae02
io.kevinlee	extras-concurrent-testing_2.12	0.23.0		b5f43a84e68c76778b405ca915e510ea87e26815
io.kevinlee	extras-concurrent-testing_2.12	0.24.0		24c81b4574d42708606e41315edf6670a7cf734a
io.kevinlee	extras-concurrent-testing_2.12	0.25.0		d8b7c197ed6ea75e247feade89eb575e71046959
io.kevinlee	extras-concurrent-testing_2.12	0.26.0		bbb469fb9c8c093d42faffc30837e74c43842bd2
io.kevinlee	extras-concurrent-testing_2.12	0.27.0		ef5c64e537b5df0173fb10e27b868e35351d7aa6
io.kevinlee	extras-concurrent-testing_2.12	0.28.0		9cadff4bef746c92662c10e5143c24b74a2ca945
io.kevinlee	extras-concurrent-testing_2.12	0.29.0		514491d58a519795f0a69896ea3c8ae90daeaf9f
io.kevinlee	extras-concurrent-testing_2.12	0.3.0		9f178986d3ecb3dedbb08e678cfd7943e1f6c05e
io.kevinlee	extras-concurrent-testing_2.12	0.30.0		bd16eba1e36fa30163b197cef420fe1b33fb5e39
io.kevinlee	extras-concurrent-testing_2.12	0.31.0		4f1b16e80fb92ea7616dcbec78bf964c4ed4b4cd
io.kevinlee	extras-concurrent-testing_2.12	0.32.0		7c4929fde86a2f90a5a69a891dffbd8c1b8b6797
io.kevinlee	extras-concurrent-testing_2.12	0.33.0		5dce5bb932068643e370b445dc05227255dd28b1
io.kevinlee	extras-concurrent-testing_2.12	0.34.0		cafd991b02f4064f53cc36b42c5cc2808b442c25
io.kevinlee	extras-concurrent-testing_2.12	0.35.0		c6343b2c9f95fc45da73e5f43b2c6eb0232b1829
io.kevinlee	extras-concurrent-testing_2.12	0.36.0		add98758fa81577ac3661daa383e84f2ab41da9f
io.kevinlee	extras-concurrent-testing_2.12	0.37.0		162b2786cfa57043612b615280b7e54a026b72d0
io.kevinlee	extras-concurrent-testing_2.12	0.38.0		101b4c251809a86a217f9d281d45758a3feffc8b
io.kevinlee	extras-concurrent-testing_2.12	0.39.0		521a728f9c5bee1f12630c51c42b49b39f70e458
io.kevinlee	extras-concurrent-testing_2.12	0.4.0		dd7e0238fc6cb031f15dd1cbb6694c7c610419a8
io.kevinlee	extras-concurrent-testing_2.12	0.40.0		bc33ecb895db60e5ffd5b892e586eb2586dba6e5
io.kevinlee	extras-concurrent-testing_2.12	0.41.0		82fb92c7761a4b99b7cb27f97584de57ea656aa5
io.kevinlee	extras-concurrent-testing_2.12	0.42.0		48ca8e6e8d861a9933dd466588b7b0726532d39c
io.kevinlee	extras-concurrent-testing_2.12	0.43.0		b31e5f5a656c8ca8ff7aba40ea0cefe36d94ab09
io.kevinlee	extras-concurrent-testing_2.12	0.44.0		73d52a624fbad9a3b4c99955d6c367ff90a0cc42
io.kevinlee	extras-concurrent-testing_2.12	0.5.0		0d5e1df91d8359c4d8ae1ec17674472a84af4dfb
io.kevinlee	extras-concurrent-testing_2.12	0.6.0		87aa8ecb468a6f79cc0fd321463708f49be1f924
io.kevinlee	extras-concurrent-testing_2.12	0.7.0		b838bd80e443913f0aa7436836c5e18c4f04c9c7
io.kevinlee	extras-concurrent-testing_2.12	0.8.0		8f4cc55ea5df5b0b303923fe12302116191be215
io.kevinlee	extras-concurrent-testing_2.12	0.9.0		bda2759e1dfbdb445b793977b1ceda989a1e4d7e
io.kotest	kotest-assertions-ktor-js	6.0.0.M2		N/A
io.kotest	kotest-assertions-ktor-js	6.0.0.M3		N/A
io.openliberty.features	servlet-5.0	21.0.0.12		N/A
io.openliberty.features	servlet-5.0	22.0.0.1		N/A
io.openliberty.features	servlet-5.0	22.0.0.10		N/A
io.openliberty.features	servlet-5.0	22.0.0.11		N/A
io.openliberty.features	servlet-5.0	22.0.0.12		N/A
io.openliberty.features	servlet-5.0	22.0.0.13		N/A
io.openliberty.features	servlet-5.0	22.0.0.2		N/A
io.openliberty.features	servlet-5.0	22.0.0.3		N/A
io.openliberty.features	servlet-5.0	22.0.0.4		N/A
io.openliberty.features	servlet-5.0	22.0.0.5		N/A
io.openliberty.features	servlet-5.0	22.0.0.6		N/A
io.openliberty.features	servlet-5.0	22.0.0.7		N/A
io.openliberty.features	servlet-5.0	22.0.0.8		N/A
io.openliberty.features	servlet-5.0	22.0.0.9		N/A
io.openliberty.features	servlet-5.0	23.0.0.1		N/A
io.openliberty.features	servlet-5.0	23.0.0.10		N/A
io.openliberty.features	servlet-5.0	23.0.0.11		N/A
io.openliberty.features	servlet-5.0	23.0.0.12		N/A
io.openliberty.features	servlet-5.0	23.0.0.2		N/A
io.openliberty.features	servlet-5.0	23.0.0.3		N/A
io.openliberty.features	servlet-5.0	23.0.0.4		N/A
io.openliberty.features	servlet-5.0	23.0.0.5		N/A
io.openliberty.features	servlet-5.0	23.0.0.6		N/A
io.openliberty.features	servlet-5.0	23.0.0.7		N/A
io.openliberty.features	servlet-5.0	23.0.0.8		N/A
io.openliberty.features	servlet-5.0	23.0.0.9		N/A
io.openliberty.features	servlet-5.0	24.0.0.1		N/A
io.openliberty.features	servlet-5.0	24.0.0.10		N/A
io.openliberty.features	servlet-5.0	24.0.0.11		N/A
io.openliberty.features	servlet-5.0	24.0.0.12		N/A
io.openliberty.features	servlet-5.0	24.0.0.2		N/A
io.openliberty.features	servlet-5.0	24.0.0.3		N/A
io.openliberty.features	servlet-5.0	24.0.0.4		N/A
io.openliberty.features	servlet-5.0	24.0.0.5		N/A
io.openliberty.features	servlet-5.0	24.0.0.6		N/A
io.openliberty.features	servlet-5.0	24.0.0.7		N/A
io.openliberty.features	servlet-5.0	24.0.0.8		N/A
io.openliberty.features	servlet-5.0	24.0.0.9		N/A
io.openliberty.features	servlet-5.0	25.0.0.1		N/A
io.openliberty.features	servlet-5.0	25.0.0.2		N/A
io.openliberty.features	servlet-5.0	25.0.0.3		N/A
io.openliberty.features	servlet-5.0	25.0.0.4		N/A
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.7.3		f67db08234b6ad1997e753dcfef2c29713075d0f
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.8.0		2e6b5f9f043657e43c098eaad78bb95cff151337
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.8.1		345811dcf9ba4b51595ffd2d5c9b1693926cfcd9
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.8.2		e26a554a261feea38ee320d20b4f2ac0185aa6a0
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.8.3		24ba2c30edbd15065980a8f5665170bda75eb615
io.qtjambi	qtjambi-quickwidgets-native-linux-arm64	6.9.0		d138453d11411f7de389e4f7055dcf6ac882e04b
io.smallrye	smallrye-bom-3.0	1.0.0		N/A
io.smallrye	smallrye-bom-3.0	1.0.1		N/A
io.snamp.instrumentation	http-reporter	1.0.0		ba6ae32db2f187399f0b018d0fe5fdf07c1af590
io.xlate	jsonapi-rvp	0.0.1		da14e86395831f7221ae39f4abeb4e489cc9c669
io.xlate	jsonapi-rvp	0.0.10		1bc9b137387256cd7a77d156e58e733be43cf926
io.xlate	jsonapi-rvp	0.0.2		00414e56cfcdc7dd2aeec0db5b46099ffe30f08d
io.xlate	jsonapi-rvp	0.0.3		f5ff9e690425aae6205257526525252a1a026df7
io.xlate	jsonapi-rvp	0.0.4		05f869047782a66c88b7c4a901ba367e3789fc60
io.xlate	jsonapi-rvp	0.0.5		0a55511d00baafe74f4824ea35b2fc8ba617d4fe
io.xlate	jsonapi-rvp	0.0.6		d8bfb85ec1027f2a61b3921e0593d336f83e673a
io.xlate	jsonapi-rvp	0.0.7		ae250098493a9d4b5ecc914eda44cb442edef485
io.xlate	jsonapi-rvp	0.0.8		46ba994c9a8d5e5c4eca8a2e343fdfc3b2ab273f
io.xlate	jsonapi-rvp	0.0.9		bae726a45c5e54f8dd6b51b18f4f13ce71c4a623
io.xlate	jsonapi-rvp	0.1.0		f7fb101ada117b108eddddaf8b705fb00b0d7064
io.xlate	jsonapi-rvp	0.1.1		fa077231e70593c95d8b99ecd96fc1ed342538e3
name.faerytea.kjs.wrapper.streams	kjs-streams-api-js	0.0.1		N/A
net.mamoe	kotlin-jvm-blocking-bridge-native	1.10.6-160.2		N/A
net.officefloor.example	NavigateHttpServer	1.0.1		9f59a848c017fdd4c07e92cfddbc052053d96e9c
org.apache.archiva	test-repository	1.4-M1		3b0f196e0618123107683a1667792a392f56c4ae
org.apache.archiva	test-repository	1.4-M2		41f69d01547cb3a9210f40b8ea312097af9e3003
org.apache.archiva	test-repository	1.4-M3		709acf16173ccdcf2d14a6c485f44e428d4c64ee
org.apache.archiva	test-repository	1.4-M4		8983e2c3eece4ecba60208099a793dbb01372cb7
org.apache.archiva	test-repository	2.0.0		04bf089b04ff51b830be5989f1e55fed9db7c546
org.apache.archiva	test-repository	2.0.1		da17a5e6768512798edad27a1be5df138e4af110
org.apache.archiva	test-repository	2.1.0		9eaa66c02c24e91b8302867191d75eb86a60b11c
org.apache.archiva	test-repository	2.1.1		70a7a1c9cb19b55630b077c8f9a5da79862350ee
org.apache.archiva	test-repository	2.2.0		1935b3d3bcbca47a98bc2047eca558f9f3aff1f8
org.apache.archiva	test-repository	2.2.1		bbc4be100ca587945aec65761e26ad93803724e9
org.apache.archiva	test-repository	2.2.10		N/A
org.apache.archiva	test-repository	2.2.3		2e285645419b132376ed891da8ae6846af432542
org.apache.archiva	test-repository	2.2.4		b422228808fee8a0f9a077d8667a080a114fda9f
org.apache.archiva	test-repository	2.2.5		N/A
org.apache.archiva	test-repository	2.2.6		N/A
org.apache.archiva	test-repository	2.2.7		N/A
org.apache.archiva	test-repository	2.2.8		N/A
org.apache.archiva	test-repository	2.2.9		N/A
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.0.0		23862c32c3e78fd919d69ffde80e13635aa72968
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.0.0-RC1		d12dabd0ce424271865b77e376e3bf576c40f902
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.0.0-RC2		06d53e896565a46ea4d9fbc9dd8bdc336cdb902d
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.0.0-RC3		f62779df51c5b8e4ee72f89ff2913da9e6e1e69c
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.0.0-RC4		60be32819093e1c85c3f18e54ca946311cab6def
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	2.1.0		a098d02c3c60ce9f42e0ac54a2616bbec2dfc6c8
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	3.0.0		a2a3f56a5d73c9ace73262b4c74893e4087969f4
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	3.1.0		e958002699e7121d94ae9466c7bc1a6f0a9eae05
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	3.2.0		e992b945bdcab262dd2564b62b78b2e0fb53dea5
org.apache.causeway.extensions	causeway-extensions-executionlog-applib	3.3.0		58c33afd4fc36f7f6eb52ad752b26ce3d07d0169
org.apache.hop	hop-transform-stringoperations	2.10.0		c53e0587eaa28372a7a00b56b1e78ac00752ba72
org.apache.hop	hop-transform-stringoperations	2.11.0		b0af611ee9ecb188d06fce915d0d9e0df894cbad
org.apache.hop	hop-transform-stringoperations	2.12.0		3ea594e4cdd2e318984e991394e47496f90e0b71
org.apache.hop	hop-transform-stringoperations	2.13.0		a6c4182415dc878947cdeb9c8b8c11652c5a13b3
org.apache.hop	hop-transform-stringoperations	2.2.0		7eb180ce64200d9ede21801de2dd03e2a93d78a3
org.apache.hop	hop-transform-stringoperations	2.3.0		a249d3ed87992d4d6a825d09bf4656ca9bcaab61
org.apache.hop	hop-transform-stringoperations	2.4.0		34caaf845868b4474f7ddeb9240f2236272d0bed
org.apache.hop	hop-transform-stringoperations	2.5.0		f97bae0eef9492de683bced7fdee5f5f5c45573a
org.apache.hop	hop-transform-stringoperations	2.6.0		f654b6e3e839a824119ab71fc90f2569a4086e02
org.apache.hop	hop-transform-stringoperations	2.7.0		afbe8d295f7137c467e160e6382226a64208c201
org.apache.hop	hop-transform-stringoperations	2.8.0		b8267d2cc4b03286a0d3b46d29be818593f09f25
org.apache.hop	hop-transform-stringoperations	2.9.0		7d96bf6921d1287754a18c162a17660167482cbb
org.embulk	embulk-deps	0.10.29		a4aa2082c1d7b8685a4be420468c18a9df348a09
org.embulk	embulk-deps	0.10.29.1		e07edbd5a7522079b017bddfa63d7b76839573aa
org.embulk	embulk-deps	0.10.29.2		e10b1ac31cc01bb6ba34739fd31eeeb4b9e2983f
org.embulk	embulk-deps	0.10.30		66ce7e88cee041f82df22f08d84f7cce4f49a5da
org.embulk	embulk-deps	0.10.31		fe32b72b7cf514b91addaa5e1eb9fd1b5ff1be23
org.embulk	embulk-deps	0.10.31.1		57ddb94107a271c3557d3b6bdc39b5e29ad3b4b9
org.embulk	embulk-deps	0.10.31.2		4cae6aea24a55e5db62e415f261a76bcf907e78d
org.embulk	embulk-deps	0.10.31.3		c60a276ff734bdfde289a2207d3924af8b03ce18
org.embulk	embulk-deps	0.10.32		907872e08269d5199edb3852cd1e923596ec4816
org.embulk	embulk-deps	0.10.32.1		d10f491f733ebbce29193b253e10a6d08b689eea
org.embulk	embulk-deps	0.10.32.2		066449aab714cc650bad7381236374a979644ae3
org.embulk	embulk-deps	0.10.32.3		0d9791e42c4b38502b0decd680badb18b79c540a
org.embulk	embulk-deps	0.10.33		40d56a8efdef96cc9d739353ff4289a76313696c
org.embulk	embulk-deps	0.10.34		0482b88f5f75e4ab0f81c26c67f16dd3ed6285a1
org.embulk	embulk-deps	0.10.35		78fe006488eb81190bd67aef7f278e775fa2f814
org.embulk	embulk-deps	0.10.36		5b484582d2204df4ec07674a44083c19d1096e1e
org.embulk	embulk-deps	0.10.37		a3c2aa52b0fb78b1123fb7db720efeefdc8d894a
org.embulk	embulk-deps	0.10.38		bdc7680fc42f4b04f720f0c05dfbdee62fb0b46f
org.embulk	embulk-deps	0.10.39		051d2f54d9445735506dd1d14a3568d41a2d4c98
org.embulk	embulk-deps	0.10.40		59de40aadc6807f82ad42eeb12e7530fc9dc49df
org.embulk	embulk-deps	0.10.41		77e65d4ef080d38d3a0910f21cb9c97536b5f064
org.embulk	embulk-deps	0.10.42		d0c12db9fdad645ae1120620efc6c378a7831ce2
org.embulk	embulk-deps	0.10.43		2cdf58005aa27c79269523a50d40fbcad1cf9edb
org.embulk	embulk-deps	0.10.44		b05e18db6970f8cf1a66c5b6e5a37602d0d8d7d9
org.embulk	embulk-deps	0.10.45		ed20b64f1dd4f4b4a9d6a217f8a6b6431c7f2c5e
org.embulk	embulk-deps	0.10.46		9b5f2dcd20b80faca0e9cfb5e9bf5dadc19455e7
org.embulk	embulk-deps	0.10.47		d2949f501ca37de2ca127ae87b23c7e9530cf2b1
org.embulk	embulk-deps	0.10.48		76e1a7894ff2286565429c9aa1ec7b77caaf9aca
org.embulk	embulk-deps	0.10.49		6f6a979444a47fb46c7eeaf7bebbf53a1fa60725
org.embulk	embulk-deps	0.10.50		f7714821bea75f2b9e5796fb2736c8a7c31fa2af
org.embulk	embulk-deps	0.11.0		42ecec0a22a556e3eaeb5f4dcebaa743eb6976c7
org.embulk	embulk-deps	0.11.1		b8a75bc66ea27b3186c14f1baf51e54b26ee73e0
org.embulk	embulk-deps	0.11.2		02e22ef0bfff3f3a1584295e83a6196e54f5dbe9
org.embulk	embulk-deps	0.11.3		3859a2d6259615418d937a880aefd45b2f692a0c
org.embulk	embulk-deps	0.11.4		71847bdddbc4a4ae89081cb693ceac29e61955f7
org.embulk	embulk-deps	0.11.5		98d8614e4fc59f771ccad0f07e880970e4072f18
org.huiche	huiche-extra	1.0.0		N/A
