ch.voulgarakis	spring-cloud-stream-binder-jms	1.0.0.RELEASE		5377e68c88bd300df6dd6b149429c0829aab3230
com.github.h-thurow	sansorm	3.8		3f3d0d03bbe4b7e94a5198f26f3b465408cb2f81
com.github.ice-zero-cat	jdbc-template	0.0.1		dc8c5b1e223d73f29f83f9c00c388e02eb11206a
com.github.ice-zero-cat	jdbc-template	0.0.2		ce9bc02dfa683e56acd21c7c32dcaf0faf3e914b
com.github.japgolly.test-state	ext-scalaz_2.13	2.4.0		37025a4009a9eaf5e095d4d6bf8d3b618bdc2613
com.github.japgolly.test-state	ext-scalaz_2.13	2.4.1		de84b8fe620d155957c8ed190cb6f27eb1f4d5b4
com.github.seratch	awscala-simpledb_2.12	0.7.0		b4bfddcb2ebf47531b130a8965b5820841ae8391
com.github.seratch	awscala-simpledb_2.12	0.7.1		e8d222772a45ac303d47dfce25566352e5e1b3e5
com.github.seratch	awscala-simpledb_2.12	0.7.2		12feab186499e3d80fedc7a15a0f62fac8646ad9
com.github.seratch	awscala-simpledb_2.12	0.8.0		4536fc403e24da182d407ca95e59809028c1bb42
com.github.seratch	awscala-simpledb_2.12	0.8.1		c31a87f78af01e191fcfcd8a77b5752e4fe8e528
com.github.seratch	awscala-simpledb_2.12	0.8.2		8b32494e455ba377e436a554a6a49eab50bd0c02
com.github.seratch	awscala-simpledb_2.12	0.8.3		558cfcb289f81365cde80b293adc17521e5781ec
com.github.seratch	awscala-simpledb_2.12	0.8.4		743ed3ace0587a0c9fafca0a01f2a5e167cbf724
com.github.seratch	awscala-simpledb_2.12	0.8.5		198cb996604fe73a4f0820170e21deb1d449b8f0
com.github.seratch	notion-sdk-jvm-parent	0.1.0		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.1		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.10		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.11		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.12		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.13		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.14		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.15		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.16		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.17		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.18		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.19		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.2		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.3		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.4		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.5		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.6		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.7		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.8		N/A
com.github.seratch	notion-sdk-jvm-parent	0.1.9		N/A
com.github.seratch	notion-sdk-jvm-parent	0.2.0		N/A
com.github.seratch	notion-sdk-jvm-parent	0.2.1		N/A
com.github.seratch	notion-sdk-jvm-parent	0.2.2		N/A
com.github.seratch	notion-sdk-jvm-parent	0.3.0		N/A
com.github.seratch	notion-sdk-jvm-parent	0.3.1		N/A
com.github.seratch	notion-sdk-jvm-parent	0.4.0		N/A
com.github.seratch	notion-sdk-jvm-parent	0.4.1		N/A
com.github.seratch	notion-sdk-jvm-parent	0.4.2		N/A
com.github.seratch	notion-sdk-jvm-parent	0.4.3		N/A
com.github.seratch	notion-sdk-jvm-parent	0.5.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.0.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.1.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.10.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.10.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.11.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.11.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.2.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.2.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.3.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.3.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.3.2		N/A
com.github.seratch	notion-sdk-jvm-parent	1.4.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.4.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.4.2		N/A
com.github.seratch	notion-sdk-jvm-parent	1.4.3		N/A
com.github.seratch	notion-sdk-jvm-parent	1.5.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.5.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.6.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.7.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.7.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.7.2		N/A
com.github.seratch	notion-sdk-jvm-parent	1.8.0		N/A
com.github.seratch	notion-sdk-jvm-parent	1.8.1		N/A
com.github.seratch	notion-sdk-jvm-parent	1.9.0		N/A
com.github.shynixn.petblocks	petblocks-bukkit-nms-116R1	8.19.0		6c940b66d67541c38e63f7fa26ae16669f24cb8e
com.github.shynixn.petblocks	petblocks-bukkit-nms-116R1	8.20.0		c9986ba1f17db36220dacd1ce03deb26424a3c43
com.github.shynixn.petblocks	petblocks-bukkit-nms-116R1	8.21.0		7e9859ba8719c9b82169c45cd4d1157a516d3884
com.github.shynixn.petblocks	petblocks-bukkit-nms-116R1	8.22.1		8f06ad68a69c3180f4da4ad4b1b539f91c099729
com.github.shynixn.petblocks	petblocks-bukkit-nms-116R1	8.23.0		3b097c731001e287ec4570d35756d342d9f9768c
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.24.0		5bed3dfc492fffe88e4dc51fe0a77df5439e42f8
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.25.0		894bf133e922f7917ba171b39ecca42b03552d63
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.26.0		8361f16bc748cfb24a97cd82a9793847234fcf70
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.27.0		b4928006c079fcf03c2f4508598084146c2e92f3
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.28.0		9444522722a837a2ea65db09caa9fcb9bb1a9469
com.google.api.grpc	grpc-google-cloud-cloudquotas-v1beta	0.29.0		c9fd16aab5ebaf4a476e985316e977fbc0fe53ab
com.google.maps.android	maps-v3-ktx	1.5.0		N/A
com.google.maps.android	maps-v3-ktx	1.6.0		N/A
com.google.maps.android	maps-v3-ktx	1.7.0		N/A
com.google.maps.android	maps-v3-ktx	1.8.0		N/A
com.google.maps.android	maps-v3-ktx	2.0.0		N/A
com.google.maps.android	maps-v3-ktx	2.1.0		N/A
com.google.maps.android	maps-v3-ktx	2.1.1		N/A
com.google.maps.android	maps-v3-ktx	2.1.2		N/A
com.google.maps.android	maps-v3-ktx	2.1.3		N/A
com.google.maps.android	maps-v3-ktx	2.2.0		N/A
com.google.maps.android	maps-v3-ktx	2.3.0		N/A
com.google.maps.android	maps-v3-ktx	2.4.0		N/A
com.google.maps.android	maps-v3-ktx	3.0.0		N/A
com.google.maps.android	maps-v3-ktx	3.0.1		N/A
com.google.maps.android	maps-v3-ktx	3.1.0		N/A
com.google.maps.android	maps-v3-ktx	3.2.0		N/A
com.google.maps.android	maps-v3-ktx	3.2.1		N/A
com.google.maps.android	maps-v3-ktx	3.3.0		N/A
com.google.maps.android	maps-v3-ktx	3.4.0		N/A
com.googlecode.jsonwebservice	jsonwebservice-ri	0.8.0		57ba151df1cc721a82669b6fb12ba576904cba93
com.ibeetl	beetl-test	3.12.0.RELEASE		7579bf8ae1e086b015f5be16f76744f8bc6611c8
com.ibeetl	beetl-test	3.13.0.RELEASE		06f562e8facbb5231c5208945709fb57736efc50
com.ibeetl	beetl-test	3.14.1.RELEASE		377e08911fe0ace1c9a255ad6f4dfb23fd232a96
com.ibeetl	beetl-test	3.15.0.RELEASE		86da04da73f740c2a5cf85fed7fdfe676c62aba8
com.ibeetl	beetl-test	3.15.1.RELEASE		786a2c05f316795b53a7bab40f27d832ca571949
com.ibeetl	beetl-test	3.15.10.RELEASE		70317c6f99bae30b0591467cf3ab1baf04166fed
com.ibeetl	beetl-test	3.15.12.RELEASE		74c4f85f57c078d260ca9d5af4ebfbba9beaf08c
com.ibeetl	beetl-test	3.15.13.RELEASE		238f2e74270363a3d4647099efeceed9f5d55238
com.ibeetl	beetl-test	3.15.14.RELEASE		3fcd3f4c5f1f9e574260679281cd19562b9762bc
com.ibeetl	beetl-test	3.15.2.RELEASE		586b04fe294acc11bcd3a4b7007ec30d0435620b
com.ibeetl	beetl-test	3.15.3.RELEASE		9076238d68fa214dd7dbd8e22eb78508866d6e93
com.ibeetl	beetl-test	3.15.4.RELEASE		539069b401b62e1ac2d20cae65bac00b6814da44
com.ibeetl	beetl-test	3.15.5.RELEASE		80176eb9d49e7497771c4602fb27d2a850651fd4
com.ibeetl	beetl-test	3.15.6.RELEASE		782cd78c5f13c15ff922ff8b92de876ecf7932e1
com.ibeetl	beetl-test	3.15.7.RELEASE		35b3f3e5e8968efb7e091d63f3a644d9d8b1822a
com.ibeetl	beetl-test	3.15.8.RELEASE		8489d83405e698fba5318e3629d8536e1401db7a
com.ibeetl	beetl-test	3.16.0.RELEASE		cfe380403be1007569b56a8ef21836cd12605c7e
com.ibeetl	beetl-test	3.16.1.RELEASE		6fa62727ab06d0e70e7c17dc5b5006a689cc89ad
