ch.epfl.scala	actions	0.13.17-sourcedeps		18ff8ee1f63321d068e71c133a84c129cc8923b4
cn.featherfly.easyapi	easyapi-core	0.1.0		a8e9926ac2d9d81cd1f3bc93771e30f347eeebf9
cn.featherfly.easyapi	easyapi-core	0.2.0		ba146339ad60251f788f6de88b6ff4ac5c4fd0d7
cn.featherfly.easyapi	easyapi-core	0.2.1		c8141075b4bf8f5d6b1f1c5f58453d5b07ca2278
cn.featherfly.easyapi	easyapi-core	0.2.2		2e4c1c2a2977168055ce9a166fcd4dd3e96da555
cn.featherfly.easyapi	easyapi-core	0.3.0		73d4edba5fed2a3f27c5ed1420a074e0f97a9d17
cn.featherfly.easyapi	easyapi-core	0.3.1		b0c2bc749d56d23f1a6cd4a888850898b04498af
cn.featherfly.easyapi	easyapi-core	0.3.2		fc3aca9b7a6a581b6361c5595bfb6b3de77e0f90
cn.pivoto.polaris.toolkit	polaris-boot-core	3.1.43		cb6a92e48e719a5b854c969310594e3c171595f1
cn.pivoto.polaris.toolkit	polaris-boot-core	3.2.0		7743d38d4bc99ca35a9ceb95c90934ac923f62d1
cn.pivoto.polaris.toolkit	polaris-boot-core	3.2.1		694a897637b0cd727b1231d8105dc5486f2e2bcd
co.elastic.otel.android.instrumentation	okhttp-bytebuddy	1.0.0		N/A
com.aetherealtech	android-ui-toolkit	0.0.1		N/A
com.dispalt	vitess-quill_2.11	0.1.11		cc97661507c4b0cf05cfc6871138a5261acaf19b
com.dispalt	vitess-quill_2.11	0.2.0		7b19fc590ef0104d6a0c79e0bd5ce4531250452e
com.dispalt	vitess-quill_2.11	0.2.1		2884b4c6c076c5f0645d857d19b2968499d1f874
com.dispalt	vitess-quill_2.11	0.3.0		d87bceb7ecc0f8e006f38ed29cdf90cf9c3a168b
com.dispalt	vitess-quill_2.11	0.4.10		facc42b20146cfd5d95904122d743907468eca08
com.dispalt	vitess-quill_2.11	0.4.3		fbaf591d309114ac3e213275edeee107ea2e2b8c
com.dispalt	vitess-quill_2.11	0.4.4		e5db001b8ac70cb67490c942ffea517e7574167c
com.dispalt	vitess-quill_2.11	0.4.5		fee1767a52ccc86da28eb8016f048e298e8b7013
com.dispalt	vitess-quill_2.11	0.4.6		1e826b3896815abcdc11ff0255862249cfd6de83
com.dispalt	vitess-quill_2.11	0.4.7		0cb374d3658a1365530e9ecab8663cd433a7965f
com.dispalt	vitess-quill_2.11	0.4.8		1e50dea85ba90227850e98a6876b09a481d4c376
com.dispalt	vitess-quill_2.11	0.4.9		2d61f88ca719b0f575de900946d973bb07190f42
com.dispalt	vitess-quill_2.11	0.5.0		1b86b1b951ce88a6845f2a72ae20ce083b36b71d
com.dispalt	vitess-quill_2.11	0.6.0		9c72f7b063ba6e269702ac335db4b37ac6e95e36
com.dispalt	vitess-quill_2.11	0.6.1		6beb5637f44c807e64d74c5544ae621cbe293953
com.eed3si9n.verify	verify_0.23	0.2.0		d6e0456eec8563b9b69c8e14892d35470a3e7a32
com.facebook.presto	presto-testing-docker	0.225		8dae247bab20cc320264b92760c6e48a0b4324de
com.facebook.presto	presto-testing-docker	0.226		522262ebfa3e8e0cdd553e0b44218830b2f28afd
com.facebook.presto	presto-testing-docker	0.227		2494268d80351e085b19e1f897c3e38b3bb98826
com.facebook.presto	presto-testing-docker	0.228		c784e0d12d65c08772beb3cf9f9cf82c8756bf5f
com.facebook.presto	presto-testing-docker	0.229		ea39893385c4e639072ece41d1741ff87d1b128f
com.facebook.presto	presto-testing-docker	0.230		554a4631c43850ddaaa68ca99d8dbfe5e367623b
com.facebook.presto	presto-testing-docker	0.231		47106f4b125f944e7e76fff4e64f7aa35f5a0661
com.facebook.presto	presto-testing-docker	0.231.1		19530cdd8fccec9f4c1e0c8173e231b331602996
com.facebook.presto	presto-testing-docker	0.232		101854a3cf714baa07ef11d9e2d6a02673cf7d6e
com.facebook.presto	presto-testing-docker	0.233		f2c329692687e48e73f732930e7a953a2efd25cc
com.facebook.presto	presto-testing-docker	0.233.1		035b8509de9b867ddbda6137bab646712d03c30d
com.facebook.presto	presto-testing-docker	0.234		0c70e19b999b91f4dd64e7171583e9b27208cff4
com.facebook.presto	presto-testing-docker	0.234.1		5d69b02a250bd30c88b7f7b98278802c1441f718
com.facebook.presto	presto-testing-docker	0.234.2		581190c01aa39bd8db4160c43dd1e4f3151642a9
com.facebook.presto	presto-testing-docker	0.234.3		4224a4340b0b4398342cd8a0873b78937ca7189e
com.facebook.presto	presto-testing-docker	0.235		dae7fbcdb1e5e6583facb980290856dbe1faee5f
com.facebook.presto	presto-testing-docker	0.235.1		1937f74e1bcb1f3ad45a60bb75d55ca92f385680
com.facebook.presto	presto-testing-docker	0.236		72a5865cf517ecec580a855fa3d93908d2308183
com.facebook.presto	presto-testing-docker	0.236.1		f6153e944447ceb41eff839f5deebe5000401e95
com.facebook.presto	presto-testing-docker	0.237		180b4568c5fff985d2538883d54e87fb606a41d7
com.facebook.presto	presto-testing-docker	0.237.1		64c8fa3a8807a52d90870f7e053c60f43c5a0b2d
com.facebook.presto	presto-testing-docker	0.237.2		1ec003b0695bd05be2aaa238cb9ca5844f0a9b2f
com.facebook.presto	presto-testing-docker	0.238		db6b2a4c69a3e4ada95b999f7fda8a5d799a1d92
com.facebook.presto	presto-testing-docker	0.238.1		6017f870916e2b7ff7c5b74573166b0af1e65fab
com.facebook.presto	presto-testing-docker	0.238.2		a1b3c27ee2debc0018b39e4854cf90b5c1410b94
com.facebook.presto	presto-testing-docker	0.239		1199646361ad576b3dc400e0d74024de68a6eee6
com.facebook.presto	presto-testing-docker	0.239.1		78d7ec7b688ead05ce4fb64f3348b45b91680233
com.facebook.presto	presto-testing-docker	0.239.2		e1143fcea4d46a9b9c0124a0518d3f611601e2ab
com.facebook.presto	presto-testing-docker	0.239.3		d6b22ede2b7df23733755cc10a0baac8175d0c1c
com.facebook.presto	presto-testing-docker	0.240		8a323a2e62e647e70956f82cedbaa9cf84ede3af
com.facebook.presto	presto-testing-docker	0.240.1		d907a713c219aab0d93efedb13209883c535121c
com.facebook.presto	presto-testing-docker	0.241		1f28e5cc94b61c5878fede1e9fab5907dc785823
com.facebook.presto	presto-testing-docker	0.242		5849f41bc88e694ed29c536a677508f77e477803
com.facebook.presto	presto-testing-docker	0.242.1		8f8c4fd3dcc2cfeac6705a76a84180ea0fa188ae
com.facebook.presto	presto-testing-docker	0.243		56b79386506874370713e14d40258239650a3b28
com.facebook.presto	presto-testing-docker	0.243.1		41d33eba4e8fc6e0ecfa4e1d81db5f46f35fcf29
com.facebook.presto	presto-testing-docker	0.243.2		99914d4e9434f49967d10ed8d0d89e35e1987bb9
com.facebook.presto	presto-testing-docker	0.243.3		86ae6e64e315801c2b35ef96db9bb487f81176bd
com.facebook.presto	presto-testing-docker	0.243.4		260e06d4c5107145c83b33ec748d9403468de0f2
com.facebook.presto	presto-testing-docker	0.244		51e1067fa75acc92ebc12fb498478fdb036760a1
com.facebook.presto	presto-testing-docker	0.244.1		33579018caf986b73657fec5f14af30d86d37563
com.facebook.presto	presto-testing-docker	0.245		3c9795221be0f5a41096c76678992fc0262d01c8
com.facebook.presto	presto-testing-docker	0.245.1		3ab8fce5821c15647bafdad66f170996aa7199e9
com.facebook.presto	presto-testing-docker	0.246		b93eb1162e375f84c5e60b7a4bf47267b7a74a7c
com.facebook.presto	presto-testing-docker	0.247		39bb9e44cee7573152c373d43c2ec69ea956c45d
com.facebook.presto	presto-testing-docker	0.248		10bf76eb7c92316d175c1e8a9a016a025917a945
com.facebook.presto	presto-testing-docker	0.248.1		2c6c4b0663d507acf7e4e24875c68b752cef95dd
com.facebook.presto	presto-testing-docker	0.249		3bb7c29259a31e928958c454544b06bf6254641a
com.facebook.presto	presto-testing-docker	0.249.1		3ec0cbbb5fce13701049bd9d3dbf0bc199b74d28
com.facebook.presto	presto-testing-docker	0.250		2804e12a53477c4be19cded5c26ca09f1aaad5cf
com.facebook.presto	presto-testing-docker	0.251		7bdbc0bd5340fdda26e9c0bdc92a962469861624
com.facebook.presto	presto-testing-docker	0.251.1		e4f8525f25303b042c2c7689145f882d96ec89ae
com.facebook.presto	presto-testing-docker	0.252		0a830c9ce4600bf8af150e627974f0ab92af4f03
com.facebook.presto	presto-testing-docker	0.253		93eb870ea47acddbac26521864c66edfcf9f0f33
com.facebook.presto	presto-testing-docker	0.253.1		6858a5f904749dc131a98c61016d3f05e0456dae
com.facebook.presto	presto-testing-docker	0.254		e84fccee5a2e6ba62dc39db54fbec73d2a0f587a
com.facebook.presto	presto-testing-docker	0.254.1		04de2fea8b9093b871bcb121ee63b9d8ea4b7469
com.facebook.presto	presto-testing-docker	0.255		bca925c96f4186d43667b7c1b40e24e57096a10f
com.facebook.presto	presto-testing-docker	0.256		237fbd31cfc8e30c69589e22e3260ce56879208d
com.facebook.presto	presto-testing-docker	0.257		766ec8fce99942c11703cde11cc31d8c805d3bac
com.facebook.presto	presto-testing-docker	0.258		d38d2e080dfc18ffcf16e77134533919eaedce7f
com.facebook.presto	presto-testing-docker	0.259		7db2586c6444eca6a0b3895eff0fd8ee6763babb
com.facebook.presto	presto-testing-docker	0.259.1		655632cc530eadd72d02237df88d4e20e6899831
com.facebook.presto	presto-testing-docker	0.260		726a9aabb484af05dc921f22117a59dedacd40cd
com.facebook.presto	presto-testing-docker	0.260.1		5f90dff1e0f322f6e6b6035c1d2f50cc686fd956
com.facebook.presto	presto-testing-docker	0.261		b759e1d1dd72df52c8abebc707dd61d11535ebb7
com.facebook.presto	presto-testing-docker	0.262		07ea0ff3c1dc438b76974342188435bcb557bf44
com.facebook.presto	presto-testing-docker	0.263		631d8032ea23bbbfc1b605e7ac400374c9887466
com.facebook.presto	presto-testing-docker	0.263.1		cfb0c753b21ee8d837273c4022e22df4a2ada1aa
com.facebook.presto	presto-testing-docker	0.264		23f05b3961026653471dc7f93fa9fee0f81e2bcd
com.facebook.presto	presto-testing-docker	0.264.1		a12484334ddf5a1228c8e944dc6acc8cd012972e
com.facebook.presto	presto-testing-docker	0.265		3ab7cab97571b92868e1f9d71f61698ae76635d6
com.facebook.presto	presto-testing-docker	0.265.1		58160bc8e99e9454331f27f4eab747340b01f1d0
com.facebook.presto	presto-testing-docker	0.266		918f330e9838322918e7c157ac9de81d692c0429
com.facebook.presto	presto-testing-docker	0.266.1		e64d12cf812b951e22ff3a2b377ba240830b398a
com.facebook.presto	presto-testing-docker	0.267		d140c9bc3188dcf366e8339a337a0c5a09901058
com.facebook.presto	presto-testing-docker	0.268		fee541203e459552db31dbe0caae5aa90537ebd7
com.facebook.presto	presto-testing-docker	0.269		f93fc4dd694e1950478c0d5b017b6a462435edb7
com.facebook.presto	presto-testing-docker	0.270		ad2112114b85d05b8699a09fec867bed3a97b5d8
com.facebook.presto	presto-testing-docker	0.271		41af871e03b955fe2c7535074c8e05e8ce7906e0
com.facebook.presto	presto-testing-docker	0.271.1		562b39f278103a00e0a08d37ed2e3eabbc670b3f
com.facebook.presto	presto-testing-docker	0.272		7a83adbe594beef7492e6712fb9b4ee4f1fe33c1
com.facebook.presto	presto-testing-docker	0.272.1		9d1c39d6cc372087eb443fd96a6534558f5c8a54
com.facebook.presto	presto-testing-docker	0.273		7dcd430485524d89d010c63ec6b95656767db464
com.facebook.presto	presto-testing-docker	0.273.1		e5d28d3bfb839b16d5ef831188010c6f66ab2a73
com.facebook.presto	presto-testing-docker	0.273.2		35f75ff0707c28af76d4b290612bfaabebfff6e1
com.facebook.presto	presto-testing-docker	0.273.3		b330af78edd2bbdf421c692f14d7ae2b994b84c4
com.facebook.presto	presto-testing-docker	0.273.4		06792dc8febeb25fa4196d564fa24b2ca7cde807
com.facebook.presto	presto-testing-docker	0.274		e7170d918d66fb50564d7c8f105d76b83c8d46c7
com.facebook.presto	presto-testing-docker	0.275		13b1cc953aeda735211bf23006ce8ca44a72b4cb
