com.alibaba.cloud	aliyun-redis-spring-boot-starter	1.0.0		a0b8a53d5955cd49130be470a94f9ffdf54f7883
com.amazonaws	aws-java-sdk-directory	1.10.0		728f7d17cf1a7a91568b3d55e334ebbc79a50780
com.amazonaws	aws-java-sdk-directory	1.10.1		4b655706ed73718a834ad92c13e6a08db719324d
com.amazonaws	aws-java-sdk-directory	1.10.10		edf6f44dc8c05cf4c9c82b96f48a19cc5906e647
com.amazonaws	aws-java-sdk-directory	1.10.11		25527c7fde5fd98e9814c1202824eb94957d5d25
com.amazonaws	aws-java-sdk-directory	1.10.12		fdf4d53aa664ad096c08af53f943a4df0a0c904c
com.amazonaws	aws-java-sdk-directory	1.10.13		891fa413f13625808f66ced28abe83e0d363a4d6
com.amazonaws	aws-java-sdk-directory	1.10.14		658acd6765d21afa336045f8851fd88bdd81d4d0
com.amazonaws	aws-java-sdk-directory	1.10.15		688867d21d5442b22f2760ac40732b58838f71b0
com.amazonaws	aws-java-sdk-directory	1.10.16		e99fd4ca4b19f2fa58a88d82ec8c0f6ef648d640
com.amazonaws	aws-java-sdk-directory	1.10.17		0ab17c38bb6dfca755058a5b982c841c3b6c644a
com.amazonaws	aws-java-sdk-directory	1.10.18		5338942e625e237d34fb35a29a99596130107b2a
com.amazonaws	aws-java-sdk-directory	1.10.19		10cbe5a6e353bb7061147a4db39fa6c98e48a8cb
com.amazonaws	aws-java-sdk-directory	1.10.2		62b1cb5942654486f28bda14ea7875bc6c81f9e9
com.amazonaws	aws-java-sdk-directory	1.10.20		2f1ff12cc6354c1d9833388f88283d9b47597626
com.amazonaws	aws-java-sdk-directory	1.10.21		3016e69d86a3b393b4b50bd466ef73398a4b44f2
com.amazonaws	aws-java-sdk-directory	1.10.22		0de5edf21c494a1426a11d0c9876a026bbe5404a
com.amazonaws	aws-java-sdk-directory	1.10.23		0f7721f777469c04aa19ff3bac8a56b28765a3bc
com.amazonaws	aws-java-sdk-directory	1.10.24		4a9c0f02d0eecf248d4bcbc63ec2ffbb3d200187
com.amazonaws	aws-java-sdk-directory	1.10.25		26ab852ae968408734747bd898a99716a29e05fd
com.amazonaws	aws-java-sdk-directory	1.10.26		d53a4ba9771a7bfd7e050190aaf85e615271a55a
com.amazonaws	aws-java-sdk-directory	1.10.27		954770e8a8f84ff76b67efe906c6ff31e60e04ab
com.amazonaws	aws-java-sdk-directory	1.10.28		1fc99171bffb467a0a9ac2faedcf42975370f2c5
com.amazonaws	aws-java-sdk-directory	1.10.29		4d856b51d2b51214303074bcdf68b76c6e8f29d1
com.amazonaws	aws-java-sdk-directory	1.10.3		eec226f5c35aae6dd869193cbb815fd5c31b5b95
com.amazonaws	aws-java-sdk-directory	1.10.30		b227c2440d0abef0a3b5a0b71deba792e24e9bea
com.amazonaws	aws-java-sdk-directory	1.10.31		6445aa2fe1cde4272abcafb6dd14e878ad0543c2
com.amazonaws	aws-java-sdk-directory	1.10.32		1c4d6371b02363e987d8dc52a911ecd615a89874
com.amazonaws	aws-java-sdk-directory	1.10.33		1ec51d829b52ae873f8be7af8de6f433ca29ebde
com.amazonaws	aws-java-sdk-directory	1.10.34		76276f272beeaaf171db40dac79f052d82437d94
com.amazonaws	aws-java-sdk-directory	1.10.35		86d767bd2bc705ed9b8e7187533a0adfa10f64b1
com.amazonaws	aws-java-sdk-directory	1.10.36		fa24d1c5efe4d0b837c76914608537f1f53a97b9
com.amazonaws	aws-java-sdk-directory	1.10.37		6468a0b294b858b9d67d588126b9a5191e1fb394
com.amazonaws	aws-java-sdk-directory	1.10.38		3b2a5d5d12677441efb513226045001a4c6d66ed
com.amazonaws	aws-java-sdk-directory	1.10.39		0a7598061fde6be6e3ac3270a3e157e3c6c532f0
com.amazonaws	aws-java-sdk-directory	1.10.4		87aecc60b3bd84b1bb5bb6a77d8bef1814a0e263
com.amazonaws	aws-java-sdk-directory	1.10.4.1		1c57128081cea9fd1d0e281a1f9ded4c5afc4173
com.amazonaws	aws-java-sdk-directory	1.10.40		48f5a0a15552eaa347595d3729cc80d8f0c9359f
com.amazonaws	aws-java-sdk-directory	1.10.41		1ea4267054dc0e2992ea972691b37c32ece7fd1e
com.amazonaws	aws-java-sdk-directory	1.10.42		bac2f47fbb76413cf5e7a9784e550a6e65f6e498
com.amazonaws	aws-java-sdk-directory	1.10.43		b1c4cf383ce3e2c269fc37bb2c5d20530c88365b
com.amazonaws	aws-java-sdk-directory	1.10.44		cf5ff46a3c29cf1bd5231d513baa6be941870ba8
com.amazonaws	aws-java-sdk-directory	1.10.45		407a4a569632439f762b87f28e72b8fcec50bdc8
com.amazonaws	aws-java-sdk-directory	1.10.46		bf2aed4ba3ae1baabc9c263301c70560a07ba394
com.amazonaws	aws-java-sdk-directory	1.10.47		100735b9dc2791760fb9ea1253e0933f9bf454d4
com.amazonaws	aws-java-sdk-directory	1.10.48		501c59769f9631bf79f3f7f39813d55d576810ae
com.amazonaws	aws-java-sdk-directory	1.10.49		701e7770a85b949578a82cd99d6170385611b97a
com.amazonaws	aws-java-sdk-directory	1.10.5		6d05a632828fa9966bcb73f324a237228fc69021
com.amazonaws	aws-java-sdk-directory	1.10.5.1		58d36d7748786ae33f0627767df584829263d5d4
com.amazonaws	aws-java-sdk-directory	1.10.50		a14d2cd2aa0ae2078e35b75d67fad641771fee40
com.amazonaws	aws-java-sdk-directory	1.10.51		e56b937cddd17c93f407f5ef7928437771afc7d7
