at.crea-doo.homer	decanter.feature	1.0.11		N/A
aws.sdk.kotlin	mgn-jvm	0.16.0		1dc7ebcc44ffdf43bbb14dc1a03b5979a23950bc
aws.sdk.kotlin	mgn-jvm	0.16.1-beta		e9599a9e7d926b43e70f8d924a8c977cd01b88ff
aws.sdk.kotlin	mgn-jvm	0.16.2-beta		82b2fad929f9246558db6edfee7c71d1706960b2
aws.sdk.kotlin	mgn-jvm	0.16.3-beta		4fac64fa1cb8a750af5deacc22dc0095ad3eb50b
aws.sdk.kotlin	mgn-jvm	0.16.4-beta		020f58556144b2cfa3c5e16260d95537aebe6343
aws.sdk.kotlin	mgn-jvm	0.16.5-beta		55e84b228253a25db833dd70e69ede6250ca9804
aws.sdk.kotlin	mgn-jvm	0.16.6-beta		de99a82bf3d087e1d2ed825387354d6de6a06e55
aws.sdk.kotlin	mgn-jvm	0.16.7-beta		3c38f9f8f4629ceb2cac44e48abc711af5d6fa71
aws.sdk.kotlin	mgn-jvm	0.17.0-beta		bc3be0f629771e77128f5e0c9614423c183c7a13
aws.sdk.kotlin	mgn-jvm	0.17.1-beta		ff63cde7d76a8a8dd1b1c5ac93ad3bef1e673118
aws.sdk.kotlin	mgn-jvm	0.17.10-beta		a1ea395a32ee1f1f68e8c9573139987b01a6a03d
aws.sdk.kotlin	mgn-jvm	0.17.11-beta		fcf5dc4a6b0ebbb6d70b63668c15c4e93f822b82
aws.sdk.kotlin	mgn-jvm	0.17.12-beta		826b48e9733110ec10fc8b61e668b53e76d9072a
aws.sdk.kotlin	mgn-jvm	0.17.2-beta		882bfdec16764ec3baac0775c9258e6ee835e483
aws.sdk.kotlin	mgn-jvm	0.17.3-beta		ead19c1ce0574b724ef588f8ca65d9ed32d60278
aws.sdk.kotlin	mgn-jvm	0.17.4-beta		be672fc223f3e0a9dcf60b886f0de2885d627cc6
aws.sdk.kotlin	mgn-jvm	0.17.5-beta		7654e08cef28fdf1871905c4c60a4ca7f495f3cd
aws.sdk.kotlin	mgn-jvm	0.17.6-beta		88e73c40c7b4b839f28008f5a3b270a8fd8d9a38
aws.sdk.kotlin	mgn-jvm	0.17.7-beta		838cfafa4d55232f8469d4ccbb2ff2aa92a4eb45
aws.sdk.kotlin	mgn-jvm	0.17.8-beta		8a3859a127571b16328639065a2571601b06085a
aws.sdk.kotlin	mgn-jvm	0.17.9-beta		0a9ff0ac717b6c445cbb3651f9d97eba237ba010
aws.sdk.kotlin	mgn-jvm	0.18.0-beta		8497e5a6c9f63b83f7989ea6d2ec96c95754d0ed
aws.sdk.kotlin	mgn-jvm	0.19.0-beta		abe80ab95a2dc7cfd293470ce6e87374069d5238
aws.sdk.kotlin	mgn-jvm	0.19.1-beta		9459b83b8afa1652b8b392d55b2040a34e9dc8b3
aws.sdk.kotlin	mgn-jvm	0.19.2-beta		00b74572e44fc6a29b6d781ff07a21969bd8cc91
aws.sdk.kotlin	mgn-jvm	0.19.3-beta		a18d7c00bde8cd838ba59af11e4e716b6802587a
aws.sdk.kotlin	mgn-jvm	0.19.4-beta		e9857a7e0b0ab67fef5dc5356cc15010f127b851
aws.sdk.kotlin	mgn-jvm	0.19.5-beta		30d201c20717100a70228a5174324ce878a1eeb8
aws.sdk.kotlin	mgn-jvm	0.20.0-beta		6b3e29b578624c71ea35f0a3de0ad15e251142b1
aws.sdk.kotlin	mgn-jvm	0.20.1-beta		74f60d5781c796920b91e817c77def4a4ca4cdba
aws.sdk.kotlin	mgn-jvm	0.20.2-beta		9c7165324d08258035fe95168ec5b5e01bee9433
aws.sdk.kotlin	mgn-jvm	0.20.3-beta		dfb1074f706dae7ddba9de5b465bdcb12d9a1636
aws.sdk.kotlin	mgn-jvm	0.21.0-beta		9cfe102cd4eb6de163f8ef350920a50a6aa44bfe
aws.sdk.kotlin	mgn-jvm	0.21.1-beta		e2c27718f47b253ffdb6f5f2529b182a68cfddf5
aws.sdk.kotlin	mgn-jvm	0.21.2-beta		b6327d2854829298aa502da7337f9ec1b185a4b5
aws.sdk.kotlin	mgn-jvm	0.21.3-beta		556cbb513cc4df1ccdfbb468fdf5ce8d0d8cd145
aws.sdk.kotlin	mgn-jvm	0.21.4-beta		ad1425f62b7db717afd25616099983c812a1ad7c
aws.sdk.kotlin	mgn-jvm	0.21.5-beta		0e9ec59ae0ad0a995b026889af2ed3d1c8f24cc0
aws.sdk.kotlin	mgn-jvm	0.22.0-beta		d79b4ab88a163bac06b4f854a209a19ecad39018
aws.sdk.kotlin	mgn-jvm	0.22.1-beta		cb34541a7440ea18d61afa79dde0ed192ed719dc
aws.sdk.kotlin	mgn-jvm	0.23.0-beta		12845731a095db4c8f1de303c1bdf5240f1aca6e
aws.sdk.kotlin	mgn-jvm	0.24.0-beta		3e6a68304d23e96517c24cc0f1c5bb2fa1e94d7e
aws.sdk.kotlin	mgn-jvm	0.25.0-beta		092f1ac228c2df32e953a5e265cf9d90cc81d2c5
aws.sdk.kotlin	mgn-jvm	0.26.0-beta		e9cd7db51e43d7644f6341756573785e5498e376
aws.sdk.kotlin	mgn-jvm	0.26.1-beta		e4b21a17b1b4e63c97463fb59eacf76edf05cc8b
aws.sdk.kotlin	mgn-jvm	0.27.0-beta		c1d6ed6f1671a83ea174e33b07b5fbe4d4f35d9b
aws.sdk.kotlin	mgn-jvm	0.27.1-beta		d2ca52743302cf988aa0e2234c72ec733a6e0bea
aws.sdk.kotlin	mgn-jvm	0.27.2-beta		5c0be68cff36cde874d32934f092ca1ba5eddc7c
aws.sdk.kotlin	mgn-jvm	0.28.0-beta		ea5fa976fad8637451c600275b99e4b16422132f
aws.sdk.kotlin	mgn-jvm	0.28.1-beta		c3456ef4373cab05882917e58b4635a9c7b8135e
aws.sdk.kotlin	mgn-jvm	0.28.2-beta		6a8fb816fdcf7f03f8127b5da2e135fa0bb470ee
aws.sdk.kotlin	mgn-jvm	0.29.0-beta		9688453a95b17ac36b39e8d7b7354576fbb2c10c
aws.sdk.kotlin	mgn-jvm	0.29.1-beta		f5c58afe025e535463b85f0461bfc41ad6ef5f4d
aws.sdk.kotlin	mgn-jvm	0.30.0-beta		796fcc49942384549424aacaabeb5be5992bc781
aws.sdk.kotlin	mgn-jvm	0.30.1-beta		a3ff8110f431f77f11f06a99948e7ecf668f973c
aws.sdk.kotlin	mgn-jvm	0.31.0-beta		572dbf78f8b1ff731ac99a9d64a26d71a9668f3b
aws.sdk.kotlin	mgn-jvm	0.32.0-beta		ff846d93f4b3028dacb6d11aa4392aabe5ccb638
aws.sdk.kotlin	mgn-jvm	0.32.1-beta		4a48f6ffa6b1f58fcd587089b5013f6340544e5c
aws.sdk.kotlin	mgn-jvm	0.32.2-beta		8151b5b677312434dbd411b3fee2128caf8edc54
aws.sdk.kotlin	mgn-jvm	0.32.3-beta		6a5047dabc0fafd604baa3966cfa4d8165d90c92
aws.sdk.kotlin	mgn-jvm	0.32.4-beta		7b97f7aeb469c80fadf9f7c80a4347642725f934
aws.sdk.kotlin	mgn-jvm	0.32.5-beta		5f8c185dadb4d87058f3082ddc8765162c9c1723
aws.sdk.kotlin	mgn-jvm	0.33.0-beta		9be2f4df34f803d18dc15a5e78a9265c5a35e610
aws.sdk.kotlin	mgn-jvm	0.33.1-beta		654ca960d3c830285c65f4bc5f83fed0b98609fe
aws.sdk.kotlin	mgn-jvm	0.34.0-beta		9279997f964b809b0f6ccc4742d1344f2aad943f
aws.sdk.kotlin	mgn-jvm	0.34.1-beta		f827a9d3e976f835364bbed60ca89fe11c46e6fa
aws.sdk.kotlin	mgn-jvm	0.34.2-beta		159a279113222741f264a0c85e0a731b2d47d5c0
aws.sdk.kotlin	mgn-jvm	0.34.3-beta		cb0458bd2f11d09394f1d018ca3d882c34f8e97b
aws.sdk.kotlin	mgn-jvm	0.34.4-beta		7aff4bb821fddd452344b53f5afeaba9c11f23b4
aws.sdk.kotlin	mgn-jvm	0.34.5-beta		0ea7092303907e7b0ceb65025d5ab2d2010ee719
aws.sdk.kotlin	mgn-jvm	0.34.6-beta		70d558ff40d96ed791b61ee106153c931a5028ea
aws.sdk.kotlin	mgn-jvm	0.34.7-beta		59388a3701c6c3bd1ad897a7a6973e5124aec333
aws.sdk.kotlin	mgn-jvm	0.34.8-beta		d38aac0f579f7049eb6618b78e04e657f206c308
aws.sdk.kotlin	mgn-jvm	0.34.9-beta		0fb3fd91a88f270700768eec1989f9e53a40099f
aws.sdk.kotlin	mgn-jvm	0.35.0-beta		bf2154a4b4f409caaf1610d2d6fe57ea3763f221
aws.sdk.kotlin	mgn-jvm	0.35.1-beta		c2bbf4ce56ff0c80d89bb0adda0b1879b90be60d
aws.sdk.kotlin	mgn-jvm	0.36.0-beta		4fafd7a8ac6346cdddfc6804b4abd06f8d35cb26
aws.sdk.kotlin	mgn-jvm	0.36.1-beta		f3a7f0dfdfa27052114c7dd70f56ac7f81d10941
aws.sdk.kotlin	mgn-jvm	1.0.0		4f6f50752e4ac9286bdcc17b596facef0d7ff83c
aws.sdk.kotlin	mgn-jvm	1.0.1		f03828652a3883befc026cd87c45b2e194fc51b8
aws.sdk.kotlin	mgn-jvm	1.0.10		392e4a49a822c0d362cfcc6b30835c94f1497786
aws.sdk.kotlin	mgn-jvm	1.0.11		a6cc0dc89c9cba5410a4856cdccaf848734a3d72
aws.sdk.kotlin	mgn-jvm	1.0.12		e82092c5ef0320e0d197a142f8afc64d883efd5b
aws.sdk.kotlin	mgn-jvm	1.0.13		519d057e25ef240f5d7d4868d198e26e450f35d8
aws.sdk.kotlin	mgn-jvm	1.0.14		d202f1cb44dac240f03136789264225ed12281e9
aws.sdk.kotlin	mgn-jvm	1.0.15		2eed2320243ccec73428d3278050972ec910cbb5
aws.sdk.kotlin	mgn-jvm	1.0.16		159254ab712370ebd13e79118e31eae95224c3e6
aws.sdk.kotlin	mgn-jvm	1.0.17		f4227f7b4c4f6c6794d8fa73ac23af326e600832
aws.sdk.kotlin	mgn-jvm	1.0.18		7d03fb00b675a729a998b72ead5fb48e948b48aa
aws.sdk.kotlin	mgn-jvm	1.0.19		0bc339a1edc814ee345aef291318dfc5d9956b27
aws.sdk.kotlin	mgn-jvm	1.0.2		a5f00f61534c3a41a67490a9953c3f75f81aa6ac
aws.sdk.kotlin	mgn-jvm	1.0.20		d7184af517c222013738cd9a01b4859c5fc6dc6d
aws.sdk.kotlin	mgn-jvm	1.0.21		c920af49aa9be4a4062a8d10b721c4765b37bfeb
aws.sdk.kotlin	mgn-jvm	1.0.22		1f2c2a058855c54e4401fbe9a408404006b68c34
aws.sdk.kotlin	mgn-jvm	1.0.23		e308befdcb4e9b999d120f0a8c1319a68cf39e8f
aws.sdk.kotlin	mgn-jvm	1.0.24		cd8c0eb5668e0533812bb60ff1a3798fe670cb55
aws.sdk.kotlin	mgn-jvm	1.0.25		12d1f79e8a413dbc54958628a349e3ad0d4ef126
