ai.wordbox	domain	1.0.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.10.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.10.0	metadata	667b1534895353e2cc0b80d291c0cb81b3241d80
app.cash.redwood	redwood-testing-iosx64	0.11.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.11.0	metadata	324aba9eac7dd91512f08c34ad4e3a467789dce8
app.cash.redwood	redwood-testing-iosx64	0.12.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.12.0	metadata	d71ef77fd4daa1ad5e4c066140ffbcf33f7c576c
app.cash.redwood	redwood-testing-iosx64	0.13.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.13.0	metadata	4169120bf485b44bfc811794d84dc1a3acef38b5
app.cash.redwood	redwood-testing-iosx64	0.14.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.14.0	metadata	8b3274a80a0689acf059217c0641bcda073ccd42
app.cash.redwood	redwood-testing-iosx64	0.15.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.15.0	metadata	be5eda8eedf0b3f0446cba72dedf77a11634259c
app.cash.redwood	redwood-testing-iosx64	0.16.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.16.0	metadata	9b63f61783bc2cbb48e55adc7ee9e0b12479db39
app.cash.redwood	redwood-testing-iosx64	0.17.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.17.0	metadata	39daadbac9bc0a9c7cb9acd85ebed14472ea3d7b
app.cash.redwood	redwood-testing-iosx64	0.4.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.4.0	metadata	5b460d70b8420c40c1c940bd1c5f4b66c66095d8
app.cash.redwood	redwood-testing-iosx64	0.5.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.5.0	metadata	e8b7c4c95f159a1791cca7763225e9d1ca69e7ec
app.cash.redwood	redwood-testing-iosx64	0.6.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.6.0	metadata	ebbfa9ec391b090139e7f7e7eef7ff7da1d853ad
app.cash.redwood	redwood-testing-iosx64	0.7.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.7.0	metadata	1782e70c65889713ff9843b2e52acc31112477aa
app.cash.redwood	redwood-testing-iosx64	0.8.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.8.0	metadata	2964cb01906eebe11e423e2244b96691c0888629
app.cash.redwood	redwood-testing-iosx64	0.9.0		N/A
app.cash.redwood	redwood-testing-iosx64	0.9.0	metadata	3cd06393fd70e2eb50127da885c0f4d4ea4ab116
com.47deg	energy-monitor-persistence-app_3	0.2.0		c5375fcb1ab5df264ff758aa094471a787e27577
com.adobe.ride	ride-model-util	1.0.3		fdc4e0c203e9d5a5f83e68dd2a0034c8a7a6080d
com.adobe.ride	ride-model-util	1.0.4		0c51bb1e0bcee608256c871c58f8031400072e8e
com.adobe.ride	ride-model-util	1.0.5		fcad0e59f1c43a491597f97e805c3f2a9b069f73
com.adobe.ride	ride-model-util	1.0.6		edfaefdb814df7c39a816ec3c4c91e8f92df7dbf
com.adobe.ride	ride-model-util	1.0.7		f88e10487c7ec0384e233b670bb3f31405ebcba2
com.adobe.ride	ride-model-util	1.0.8		18cc006a23a123399b29dc7108a4e885dbe730bc
com.adobe.ride	ride-model-util	2.0.0		2cd7d3b73f0e799ac1b355dc2af8743a95c2a548
com.aliyun	cloudauth20200618	1.0.0		0027aea4e93a14424753ea109baf3eaaf0a6625a
com.aliyun	cloudauth20200618	1.0.1		3f9fc4042bc3d0d04b969834442b16b40d6b86fc
com.aliyun	cloudauth20200618	1.0.2		04130e4a6e4210a4a20a60238e5e9a8c5ec08fa2
com.aliyun	cloudauth20200618	1.0.3		065dada09227d57719e1baccff736dcdd89daa89
com.aliyun	cloudauth20200618	1.0.4		e958ead82b58273651c34442c4ce9b9351f1074e
com.aliyun	cloudauth20200618	1.0.5		b8d68ce8b70ba2f65cbd540359273037cf238e4e
com.aliyun	cloudauth20200618	1.0.6		0a882c8c2eb2813da97b9827bdc5df22d0c7fd4c
com.aliyun	cloudauth20200618	1.0.7		b31ef115946974ece35901e9b8f9b45040ec8d33
com.aliyun	cloudauth20200618	2.0.0		0b97fccdf903552bf64b6f9b8f79eb9681d5a8d9
com.aliyun	cloudauth20200618	2.0.1		d371eaa281f18156518e41c1feaef4e15f2e1216
com.aliyun	cloudauth20200618	2.0.2		86dd9c87649840ae0a139816f9d3c93b49b650a0
com.aliyun	cloudauth20200618	2.0.3		4612634cdeea0633ddccfe7493ebd4c00fe18740
com.aliyun	cloudauth20200618	2.0.4		85c4180c8d685c8eeede33fc6bfb99640744de8e
com.aliyun	cloudauth20200618	2.0.4	shaded	98be26fe4a71595337de9a99f0a1c32a60cbb1b8
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.124		ea622e5d4d22b061c6dce7c598a9ace53ec3755a
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.125		7abf9a080253894b9e6bc1cb50cf1f4ebe9e8143
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.126		7576ead5b86aa5a283535b75d3daf3bfbf3e394e
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.127		06be13b17ac08ffa38eae4c7efa87f3c2a7a85c2
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.128		1c1edf3eac6ee324471b7b362d8f30ca4f212b84
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.129		61eb845e0f48fc201403659bc4799715dae88f07
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.130		90b88b015f83cb454d543988318f9ca57f8a43ca
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.131		3a648d30f93cec446a064de50cc5498f534703ae
com.amazonaws	aws-java-sdk-amplifyuibuilder	1.12.132		b07ec1485a6b513606b4bed657ee8662a829e959
