com.cognitect.aws	apigatewayv2	770.2.568.0		68a4b3a42005bc457c31d909e9e379518a2ac05e
com.cognitect.aws	apigatewayv2	781.2.585.0		4673f8c052c2d67a1ebde6f6dd29488200c042b1
com.cognitect.aws	apigatewayv2	794.2.639.0		daf603be1814b2017917ee576ae2623cf3219a4d
com.cognitect.aws	apigatewayv2	795.2.644.0		e43e8e06a4ccaf4b0d9b0c1ba5e4384749825ed3
com.cognitect.aws	apigatewayv2	796.2.659.0		a1249fc23fa187e60fc122e7f00de38de0cf5639
com.cognitect.aws	apigatewayv2	809.2.784.0		cb5a6351dee941f4d5d50e6554fe65dd7c81e18c
com.cognitect.aws	apigatewayv2	811.2.824.0		8628208e68746b547798874e1adb1c6c28f8f401
com.cognitect.aws	apigatewayv2	813.2.972.0		ffcc004a0a567be5b7a34ee6255cbab37fda88b8
com.cognitect.aws	apigatewayv2	821.2.1107.0		bb2069e6e07ecbe17d4988cb9a0eeb598f67f8fc
com.cognitect.aws	apigatewayv2	847.2.1365.0		82e5d1693e2a1d35aa53deff8e22b688731e1e32
com.cognitect.aws	apigatewayv2	852.2.1525.0		569522ee91dbdc22415fa916c186255a54ddb1a9
com.cognitect.aws	apigatewayv2	871.2.29.35		cd3038558726694b1ec31f0928d56f39fb6a87d6
com.cognitect.aws	apigatewayv2	871.2.30.22		6eca425219e956599629be72268b8dc96765cbf6
com.cognitect.aws	apigatewayv2	871.2.31.23		050815db9d7602722f5696ddef77e41e5dc99d0e
com.expediagroup.molten	molten-core	1.0.0		431e604ce68cdddcdf5919d7f6ff0ac6d5758bd6
com.expediagroup.molten	molten-core	1.0.0-beta.2		986b8e475f497ab42f618ec8bcac68f0d8175684
com.expediagroup.molten	molten-core	1.1.0		a73496336d827f185e9c60a0cb28dd7480aece23
com.expediagroup.molten	molten-core	1.1.1		a6810fed93247e5062dcc68c66c6c14f40514c35
com.expediagroup.molten	molten-core	1.1.2		69d4bde74622e2f57815d75f1bb97e925612b92c
com.expediagroup.molten	molten-core	1.1.3		edd9660726934f983b3316b44beb25be5e4ab159
com.expediagroup.molten	molten-core	1.2.0		5b46449e9a3b29b6880e42900aadb6aeb3e25ff3
com.expediagroup.molten	molten-core	1.2.1		3d1992188ea9ad0bad029581f579958a09f4d48a
com.expediagroup.molten	molten-core	1.2.2		e936eff9976ade8c407a84726d7385f2ac3519b0
com.expediagroup.molten	molten-core	1.2.3		a76c9a73c29110c7fffb4da2e470933bc3b4730f
com.github.mrivanplays	IvanACF	1.6.0		cb46cbf5c735a80c0d60190c0408369267d49129
com.github.mrivanplays	IvanACF	1.6.1		5af1305d5f6c066068a0adde1fb7b54f58aaf82c
com.github.mrivanplays	IvanACF	1.7.0		5a7054c4c57b1ac596602a4336909139b7a288d2
com.github.niupengyu	ahead-frame-web	1.2.1-RELEASE		5ac0433540749a3eb634c49266b37c53e1799d28
com.github.niupengyu	ahead-frame-web	1.2.17-RELEASE		d220b38c4d6573d8f2537dffb84503fab3d9d3f6
com.github.niupengyu	ahead-frame-web	1.2.2-RELEASE		eaf3e045d54414388d19918be33d9a7daad720d0
com.github.niupengyu	ahead-frame-web	1.2.3-RELEASE		b649b354a5946aa01d9a4361a748a82ba7eae6c4
com.github.niupengyu	ahead-frame-web	1.2.4-RELEASE		1a91e5163f4a47d85d4950bcc255ae07a3eb002d
com.github.niupengyu	ahead-frame-web	1.2.5-RELEASE		8a2e3954da1ff011dbb8c989266b407337f4fd42
com.github.niupengyu	ahead-frame-web	1.2.7-RELEASE		84ac4f3d06bfc5fa0f1ea7f2332aa7c50fed53a5
com.github.rahulsom	nothing	0.1.0		d34a7939a80c0ac85bb47f7c367b1dddd2a86e66
com.github.rahulsom	nothing	0.1.0-rc.1		b51a3c2a7900944dc150d4a62fc61f5c782cfd0f
com.github.rahulsom	nothing	0.1.0-rc.2		11214f0a51eed8e14564d2f778fb913db87c8f91
com.github.rahulsom	nothing	0.1.1		6e176d518434373af61931427541f91f5324c8f0
com.github.rahulsom	nothing	0.1.1-rc.1		76d57bf159620d290bfb9bb7397a6a787074d0e1
com.github.rahulsom	nothing	0.1.1-rc.2		388b1b177ce34386832889f430d2f4f4802ed700
com.github.rahulsom	nothing	0.1.1-rc.3		f084f88c543e4922e6ed7cc4e1928728f5267536
com.github.rahulsom	nothing	0.1.2-rc.1		4ddb0d8443bc316aa0d398ad2cd0ffe71edbd4ce
com.github.sbaudoin	sonar-yaml-plugin	1.0.0		394bdd4363a5c7e920ece5bc068e8ee44d0425ee
com.github.sbaudoin	sonar-yaml-plugin	1.0.1		3f2c5ea221347e0601913beb01982ee3f2011b36
com.github.sbaudoin	sonar-yaml-plugin	1.1.0		860c36eb4a9f344c0e1ea5afc0633555da95340d
com.github.sbaudoin	sonar-yaml-plugin	1.2.0		c8fa74244c47a33b94effbb47863520eba373729
com.github.sbaudoin	sonar-yaml-plugin	1.3.0		8803b3b403af5b46abe04502defd950435aa84c8
com.github.sbaudoin	sonar-yaml-plugin	1.4.0		17b4fe79947bf7e82124123316a79b9b8cf9e3be
com.github.sbaudoin	sonar-yaml-plugin	1.4.1		27461954abce42b8ab5b7dee8bd942b548c735a6
com.github.sbaudoin	sonar-yaml-plugin	1.4.2		4dbc8667c6ef42a9e7cf58553955c92bee44bc92
com.github.sbaudoin	sonar-yaml-plugin	1.4.3		61bd9a899ee7bd3d1ba8c584db8f26485aba5c7e
com.github.sbaudoin	sonar-yaml-plugin	1.5.0		1555a2ca976b62ae48b51f6d7c476f0dab855715
com.github.sbaudoin	sonar-yaml-plugin	1.5.1		89fac0a96d83a40c8f24bbfbf31065f43329434f
com.github.sbaudoin	sonar-yaml-plugin	1.5.2		d3408f7039372d4a08910171e935cbb673aefd94
com.github.sbaudoin	sonar-yaml-plugin	1.6.0		48e13f9a84be9f36553628e225a4ee5723130d76
com.github.sbaudoin	sonar-yaml-plugin	1.6.1		d3047407b836dc300a004f4a281992bd5fae8911
com.github.sbaudoin	sonar-yaml-plugin	1.7.0		10fb11c9f633b4b1803111a61396c0b140de3d86
com.github.sbaudoin	sonar-yaml-plugin	1.8.0		93e916c6d6703b3392e6a34e5a0a6552c36114e9
com.github.sbaudoin	sonar-yaml-plugin	1.8.1		cb1486b5e4d0797223f14c7f7c46223ee0e3f331
com.github.sbaudoin	sonar-yaml-plugin	1.9.0		41d9b196928b62fc9bbcf5c0355ae44526560430
com.github.sbaudoin	sonar-yaml-plugin	1.9.1		99d6607dc975d7ebd1726fb740475d030e476854
com.github.scala-incubator.io	scala-io-performance_2.9.2	0.4.0		N/A
com.github.scala-incubator.io	scala-io-performance_2.9.2	0.4.0-seq		N/A
com.github.scala-incubator.io	scala-io-performance_2.9.2	0.4.1		N/A
com.github.scala-incubator.io	scala-io-performance_2.9.2	0.4.1-seq		N/A
com.groovinads	sender-iosarm64	0.2.4		N/A
