br.com.archbase	archbase-typescript-maven-plugin	1.0.0		81cdb03b38a993094e813db4f44f0b8244b98383
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-mail-conf	3.0.0.RELEASE		5b5d1d2f073121d6871a18ed1a20396b16df2957
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-mail-conf	3.0.1.RELEASE		cb4eb0133161bbc75c742d75252ea273bf060589
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-mail-conf	3.1.0.RELEASE		67089426563c6a253808eea06029197a3cfed12d
com.alibaba.blink	flink-metrics-jmx	1.5.1		4ef997eccf0d30cb548d8bc9fc21377752bb61ee
com.alibaba.blink	flink-metrics-jmx	blink-3.2.0		db756015fa67d3b79a9f8fed2fcd97d36e4af213
com.alibaba.blink	flink-metrics-jmx	blink-3.2.1		8f629d149d0104df663d3958b96b31a434275423
com.alibaba.blink	flink-metrics-jmx	blink-3.2.2		a2927ead6221846cc44774f9dac23a7d4dc1f274
com.alibaba.blink	flink-metrics-jmx	blink-3.2.3		cc238572552e373175008d57eae8f03ea93dc922
com.alibaba.blink	flink-metrics-jmx	blink-3.2.4		861289ee9e0de2814e020913fe86ed685d3cbaef
com.alibaba.blink	flink-metrics-jmx	blink-3.3.0		3a41791b90a885a3b91d9b513a12b4b46c7a1fcc
com.alibaba.blink	flink-metrics-jmx	blink-3.4.0		29013b1766af132508726030cedec6466fbb8754
com.alibaba.blink	flink-metrics-jmx	blink-3.6.4		622b4536cc56598afc931e38988b6cc2a7c27211
com.alibaba.blink	flink-metrics-jmx	blink-3.6.8		732cf959500284b23cca7004062291deeb30d4ef
com.alibaba.blink	flink-metrics-jmx	blink-3.7.0		9390e7071a78d75bbd4eb649323a8d3b670320e1
com.armanbilge	bobcats_3	0.1-000750b		a8b13e5f92a60271726dfab5690d012dd55f0685
com.armanbilge	bobcats_3	0.1-001b54e		8df2aef39fcdcd30272b342cbcda8ef9522c1144
com.armanbilge	bobcats_3	0.1-0049466		5b8229924751a256b09211c956b68c74ae12b4b4
com.armanbilge	bobcats_3	0.1-03f3083		27a3a7755816163b227175415469db275b9dfb60
com.armanbilge	bobcats_3	0.1-0413446		b1b7db08f1d5b80343ff08f7d3d3b4083cc368b7
com.armanbilge	bobcats_3	0.1-0521607		400090fbe6690ecdcfeae7c1b77affb767268968
com.armanbilge	bobcats_3	0.1-053a891		2bd57318e9677ecf06e22c2463e74f7b009b99ff
com.armanbilge	bobcats_3	0.1-094962b		3e4048b15144744d71a14318ba2019d13cd65cb3
com.armanbilge	bobcats_3	0.1-0a6659d		b0f8c8b8a939e6df9d371e6ba03f7ff9e0708ac2
