app.cash.treehouse	app.cash.treehouse.gradle.plugin	0.1.0		N/A
au.com.agiledigital	play2-elastic-search-testkit_2.11	0.4.8		6cc175a2809be67fc5d6f66a4d265b315b8a53d1
be.orbinson.aem	aemaacs-opentelemetry-instrumentation.api	1.0.0		5f1588ecbbc7e41bdceb6627aa61157616c9a009
be.orbinson.aem	aemaacs-opentelemetry-instrumentation.api	1.0.1		775f2f823ae49a0ac63151ebf08cd56c0c22589c
be.orbinson.aem	aemaacs-opentelemetry-instrumentation.api	1.0.2		b4e9282cc02357877355a67167ea13eb5f50ee80
cd.connect.servlet	servlet-spring-jersey	1.1		c53740d91739b955e15f62c47f60366f82eb6faa
cd.connect.servlet	servlet-spring-jersey	1.10		aa8c7c386c078d7082ccc8c2ada6a2ee7fa7d67f
cd.connect.servlet	servlet-spring-jersey	1.11		b6cf2855eed7ad7cc76a938da8ba222086745300
cd.connect.servlet	servlet-spring-jersey	1.12		b42b57148fea6da39b4ed8acc5999df049d23be9
cd.connect.servlet	servlet-spring-jersey	1.13		bb55ff49a8b0f2235b3f7e79b17d82c40d208f82
cd.connect.servlet	servlet-spring-jersey	1.2		76c4eb58e1e289770123a8585acff063552ad684
cd.connect.servlet	servlet-spring-jersey	1.3		6d497b3e0965f6ecb66dc30257a028e2e75d8623
cd.connect.servlet	servlet-spring-jersey	1.4		4fe647dee423ada4e0f0f77023d3b9eb1dfb06b2
cd.connect.servlet	servlet-spring-jersey	1.5		df9e94c4d508ec6db2dad7dbe6f5295658cedee3
cd.connect.servlet	servlet-spring-jersey	1.6		e26fdf8153db3ff25b3079f2e4dec253f3ffc697
cd.connect.servlet	servlet-spring-jersey	1.7		c90233db670656d0d5a35b2b5ffa2a8d1be4fc24
cd.connect.servlet	servlet-spring-jersey	1.8		1735ac40e4951cb34ff8bb1f6810fd56b475fc1d
cd.connect.servlet	servlet-spring-jersey	1.9		8f664957a05a17da37492426edc13fb23adb9ffd
club.mrxiao	map-java-amap-spring-boot-starter	2.0.5		44056f98474d8a62f93085419a64fd7e83a0db94
club.mrxiao	map-java-amap-spring-boot-starter	2.0.6		57d16c64a72212cc5b030492c2f70c3226a21179
com.aliyun.odps	odps-sdk-core	0.17.3		baad34560bbcd38fbfcaeb03e3148462f571f670
com.aliyun.odps	odps-sdk-core	0.18.3-public		e61a6af92a17954aba85d8f23d393d0d97328f87
com.aliyun.odps	odps-sdk-core	0.19.3-public		e22877cccc001718d365f17ca995bdac548cf43e
com.aliyun.odps	odps-sdk-core	0.20.7-public		22b4a0c57e80b72e6354cecae9e256685ede5981
com.aliyun.odps	odps-sdk-core	0.21.3-public		9c0390587fc3491779551b7e58d0e5befb262344
com.aliyun.odps	odps-sdk-core	0.23.3-public		ba7a1d7166af5c070b93e0d8ba4f7a976875f535
com.aliyun.odps	odps-sdk-core	0.24.0-public		fd69120dc75b1f8ecc86697594141859d16af129
com.aliyun.odps	odps-sdk-core	0.26.2-public		120991405eeb80c606dd00121951a1c5e17e75b7
com.aliyun.odps	odps-sdk-core	0.26.5-public		b18cedf912e774a8f9ddefd21ff9a8d66d8f0201
com.aliyun.odps	odps-sdk-core	0.26.6-public		afcf83413d3a8dcb1040028704371981955fd572
com.aliyun.odps	odps-sdk-core	0.27.1-public		cd8e207857214eb35b7e03d80d421453102d07c1
com.aliyun.odps	odps-sdk-core	0.27.1-public	jar-with-dependencies	c9b5124c0edbbc29e42e455ee939672122b666b1
com.aliyun.odps	odps-sdk-core	0.27.2-public		c3205b9054988a90c244d4f8b653a2c17d15d955
com.aliyun.odps	odps-sdk-core	0.27.2-public	jar-with-dependencies	5b8590c3146d6ae17a730f002767a44a50c6de31
com.aliyun.odps	odps-sdk-core	0.27.7-public-java8		99f3eebc73ab940fe8a16a370133270f55d54736
com.aliyun.odps	odps-sdk-core	0.27.7-public-java8	jar-with-dependencies	efd9bf53c8112ec3adccb902f84064d2a4e31ea1
com.aliyun.odps	odps-sdk-core	0.28.4-public		7ba8118a9a34c864fe8800bcc284106ac7f3ca1d
com.aliyun.odps	odps-sdk-core	0.29.10-public		7a5908ffc3b1795733f011d353dd50fe81cf8101
com.aliyun.odps	odps-sdk-core	0.29.11-oversea-public		588284cd14ed6dc6bc968ce1366c34995b919a0b
com.aliyun.odps	odps-sdk-core	0.29.6-public		dabb59068b8769b9a1280d907f8c83a42b2dfce9
com.aliyun.odps	odps-sdk-core	0.29.8-public		d76a10a4e7af3f1164e175289814e390c0cb0a1b
com.aliyun.odps	odps-sdk-core	0.30.8-public		4f101c150e9ebf11a2bf9611a550b39684b6d0c4
com.aliyun.odps	odps-sdk-core	0.30.9-public		eb470fe3f92f615b301d9c2456551ce08cb9c12a
com.aliyun.odps	odps-sdk-core	0.31.3-public		85ef25d974f8304b30a9bf29c27729a75ab1408a
com.aliyun.odps	odps-sdk-core	0.31.4		64389d0a16c39ae134bc513f5c8d77c05b32911a
