ae.trdqad	sdk	4.7.3		N/A
app.opendocument	wvware-android	1.2.11		N/A
br.com.luizrcs	core	2.0.0		d0ebd7d5d4b896d45cab181848e2774c582d4b56
cloud.piranha.extension	piranha-extension-hazelcast	21.10.0		62dcd12b7223ab90444ea0b95ccb80e3ca83906c
cloud.piranha.extension	piranha-extension-hazelcast	21.11.0		c5e41afe64d807512c5e99c89e35840abfe2d3f1
cloud.piranha.extension	piranha-extension-hazelcast	21.12.0		4ca57b541cccd3be4aa2b4884e8ccced6b0367e0
cloud.piranha.extension	piranha-extension-hazelcast	21.6.0		ecc5d5147f48a3c3f5e6c138e13ad85325db8a89
cloud.piranha.extension	piranha-extension-hazelcast	21.7.0		eefd15200fae0f3e81000b2113c727a0b7714b88
cloud.piranha.extension	piranha-extension-hazelcast	21.8.0		ad569b023b042be201cc39d7003a18b1475e6bcd
cloud.piranha.extension	piranha-extension-hazelcast	21.9.0		93bdb3a52e37ebc7b7979643c736b5d2f35e768a
cloud.piranha.extension	piranha-extension-hazelcast	22.1.0		7ed4c8aff36ebdd119074a29b303dd53cd083bf3
cloud.piranha.extension	piranha-extension-hazelcast	22.10.0		08e9d2dfbdec29be2b7f67000759f12ccf1b6a71
cloud.piranha.extension	piranha-extension-hazelcast	22.11.0		3849f84ff705c559e96805e5c43157787a675582
cloud.piranha.extension	piranha-extension-hazelcast	22.12.0		4ccadb5f7f3012ccd0dfc794d62724052f4c49ef
cloud.piranha.extension	piranha-extension-hazelcast	22.2.0		0094fd89ebbb72fed601699adc58338b5c28de34
cloud.piranha.extension	piranha-extension-hazelcast	22.3.0		9389bc3280fbb8ddd7802bf7029216d3b53b6ea9
cloud.piranha.extension	piranha-extension-hazelcast	22.4.0		2f69002aef7a9b7f4cb412240c0067a99b4a3553
cloud.piranha.extension	piranha-extension-hazelcast	22.5.0		d1b67c1d168ca200703d6b0ce4e89d9e4918478b
cloud.piranha.extension	piranha-extension-hazelcast	22.6.0		35d593c9258fc25f61b6ba4d2040f906bd56ef68
cloud.piranha.extension	piranha-extension-hazelcast	22.7.0		26e8f676dfa174e44db816943e4c04b3afd2a0ca
cloud.piranha.extension	piranha-extension-hazelcast	22.8.0		a717afeac579d5d0a55ca4be6740ffcf1d7ea7c8
cloud.piranha.extension	piranha-extension-hazelcast	22.9.0		0bf2a10b1c38031cd0cd2444160a72ea226f2270
cloud.piranha.extension	piranha-extension-hazelcast	23.1.0		c897c1d236c701a765b10d5f4439db3eb2c11576
cloud.piranha.extension	piranha-extension-hazelcast	23.10.0		5fb7612a694a8af8207d41c138ce867ca811515e
cloud.piranha.extension	piranha-extension-hazelcast	23.11.0		6c9fef28e62307b306246924e1c2fd28b37e3cf5
cloud.piranha.extension	piranha-extension-hazelcast	23.12.0		4a5e90fc3f0faca47353e72b2c1492f9416a7820
cloud.piranha.extension	piranha-extension-hazelcast	23.2.0		5171085c159daa08b0ae66a257b17f84117b1de6
cloud.piranha.extension	piranha-extension-hazelcast	23.3.0		191651086d5ae6006e410dd27a7caf9f05f87a0d
cloud.piranha.extension	piranha-extension-hazelcast	23.4.0		af960e9336025e86c507fb71e85d7b6bc15daf82
