cn.com.analysys	analysys-allgro	4.5.9		N/A
cn.vlts	solpic-core	0.0.1		bf23b3992dd0eaaaab4fda713f8b497c6df73bee
cn.vlts	solpic-core	0.0.2		437b94600294ee5f1eea816b37127c3502afce3f
cn.vlts	solpic-core	0.0.3		9a5411a18faee2146008bc734088a2b8a274c4aa
co.cask.cdap	cdap-integration-test	2.7.0		17d990f8eff5269cc95436e97b51d2911aa50c1d
co.cask.cdap	cdap-integration-test	2.7.1		093abecdaabb58f539992a38135048d6cfe13f55
co.cask.cdap	cdap-integration-test	2.8.0		0a54cc85fffb7c8415b1fbb50d7011df2d3694ef
co.cask.cdap	cdap-integration-test	2.8.1		25b109a9d4bc68f0bf1d7fa936037a0dcbfbfe2f
co.cask.cdap	cdap-integration-test	2.8.2		d40a6c1bf0ea26f27ea4332fcda50f2f798d72aa
co.cask.cdap	cdap-integration-test	2.8.3		20b8c30c0ab99e4279ccf9fc5960b8ce7ef3954e
co.cask.cdap	cdap-integration-test	3.0.0		403fb64b06fac863bca13a0840a0d79e15c8a167
co.cask.cdap	cdap-integration-test	3.0.1		84a0dc65f66d53170d3bcb16929403694cb8baa4
co.cask.cdap	cdap-integration-test	3.0.2		194252b44b1f60dc22b90c15a2a2b0f254869621
co.cask.cdap	cdap-integration-test	3.0.3		6a877ae36d3c48efc9aa261151a20bb2ffaf73da
co.cask.cdap	cdap-integration-test	3.0.4		4b23b8ae8006d02fdc87ad4810fa1f70206f182d
co.cask.cdap	cdap-integration-test	3.0.5		0dad155c63d4cb8701aaa7a32d7ffe8e37c1924c
co.cask.cdap	cdap-integration-test	3.0.6		7c0ce0d52c6b7d358aa7fe85d8f7647a828052d7
co.cask.cdap	cdap-integration-test	3.1.0		de086be43e19ba5e672429d111e74663eb343074
co.cask.cdap	cdap-integration-test	3.1.1		ca2ea9dfa7d27a9ae129661978deb25b45995139
co.cask.cdap	cdap-integration-test	3.1.2		848450e6d5600324569e0d3639e441e2983b338f
co.cask.cdap	cdap-integration-test	3.2.0		fb37929a6806a7e28d28b63b4dcc4c16d48e0be5
co.cask.cdap	cdap-integration-test	3.2.1		fdd03425bd9f99875c76775a8c44238a8b983c99
co.cask.cdap	cdap-integration-test	3.2.2		1494ddad339a6fda8c78e94e2a8e099c600e3608
co.cask.cdap	cdap-integration-test	3.3.0		f9d736cddddb488e484640b39e91369a41af53ad
co.cask.cdap	cdap-integration-test	3.3.1		e917bbd39d81c8f26623b98d005b44d7ab653d02
co.cask.cdap	cdap-integration-test	3.3.2		3b9c36e37b65c888e036b1528f2c820b4bc9a6ee
co.cask.cdap	cdap-integration-test	3.3.3		11488b9dfa8b7e59b44a07677cb092b9f942c6bd
co.cask.cdap	cdap-integration-test	3.3.4		a00d41e16c7caacc5902f5c5ada84f8513fc6657
co.cask.cdap	cdap-integration-test	3.3.5		cdf00e89ad0f570d606cd7b834dedb183f3069c1
co.cask.cdap	cdap-integration-test	3.3.6		2b10e1767a946885ebff8157138ffeef5f0cd412
co.cask.cdap	cdap-integration-test	3.3.7		3a0edf7aba1e9c4dd7f71c1740385932e25aa999
co.cask.cdap	cdap-integration-test	3.4.0		4a335d7652712ba039694fdea653fc8de971b6db
co.cask.cdap	cdap-integration-test	3.4.1		99e4135c0632cc3672cd8876b6f070e6530cc072
co.cask.cdap	cdap-integration-test	3.4.2		a11a77a4caa9cb08f93ede1decb1e2da79d6f63c
co.cask.cdap	cdap-integration-test	3.4.3		c99a4f96b28cb8721d7bf91f10b8199bd06523d8
co.cask.cdap	cdap-integration-test	3.5.0		c10f611259d7a2562eedab69cc6d4a82e5a179e3
co.cask.cdap	cdap-integration-test	3.5.1		9715bfedbffa7cc73db00c0bb4dc7ae9fa3f5378
co.cask.cdap	cdap-integration-test	3.5.3		b3a6ddc2883f2a91646fe4c4f4d2a7a9cdb71fc6
co.cask.cdap	cdap-integration-test	3.5.4		07bd58861cc37b4ac3bc67026edea3428e033e45
co.cask.cdap	cdap-integration-test	3.5.5		6c18a3ac64f27fb189f7dd6a0add04f93e81d226
co.cask.cdap	cdap-integration-test	3.6.0		5c204addbc8c6b7eb3bb914c2ca414547d73d071
co.cask.cdap	cdap-integration-test	4.0.0		9591ce6b5240416ec74312fcb59bca4c638cd057
co.cask.cdap	cdap-integration-test	4.0.1		cd7a5bee57a7a02f7db6ec867f689408d07e696b
co.cask.cdap	cdap-integration-test	4.1.0		8ec17716b602a3006afb90eb26a6e65da6e70d0e
co.cask.cdap	cdap-integration-test	4.1.1		de621f6f0f6aa195f49faf3058a385467715753c
co.cask.cdap	cdap-integration-test	4.1.2		47431cceb8d794b74ea1b462dbe75b9c73dc0606
co.cask.cdap	cdap-integration-test	4.1.3		e78f6b192b5304ef69bae369c79604caa36c7924
co.cask.cdap	cdap-integration-test	4.2.0		2e9037fa41baf6405ad54bac02c4c07b6af215ac
co.cask.cdap	cdap-integration-test	4.3.0		b1a9bcd3cf280dff24101775b4d7d4c5652efdea
co.cask.cdap	cdap-integration-test	4.3.1		8bf80e6cfdc2afad4364b3cfe02f0d62c5bdaf49
co.cask.cdap	cdap-integration-test	4.3.2		2f15941be9cb734a9f80b15faa501bad3f62a629
