biz.aydin.library.uistate-extension	processor	1.0.0		9f89669df86b2386bbf65c5bec4a7040350cd418
com.aetherealtech	kotlinflowsextensions	0.0.1		c1b8e4a47cb30c547f0f799e921499b8489389f1
com.almende.eve	eve-bundle-full	3.0.0		9c6c9faaadffdc09a50b3cb6e6cb03ba81b46ff7
com.almende.eve	eve-bundle-full	3.1.0		a5941ff9e5f22b060b40a743b3d51e8769eb90f3
com.almende.eve	eve-bundle-full	3.1.1		3bd74bde41d507689f6ff51710d987e71750e60f
com.anrisoftware.prefdialog	prefdialog-core	3.0		65e867ab765c00e0a18704f8c2a547ea5b359622
com.anrisoftware.prefdialog	prefdialog-core	3.1		00ac188f64df4ce26518612a5e03a9892e4ce5b0
com.anrisoftware.prefdialog	prefdialog-core	3.2		1178e85609931f3c0c9a1b7e4820143e75fa926c
com.anrisoftware.prefdialog	prefdialog-core	3.3		4236b4e47cc295e731822df3a4c2af0e41a44c3f
com.anrisoftware.prefdialog	prefdialog-core	3.4		4180692ec14d29a0bac57f23d55ba41317d85542
com.anrisoftware.prefdialog	prefdialog-core	3.5		f9890366a312e889abf809205661c4fb287f72f2
com.anrisoftware.prefdialog	prefdialog-core	3.6		7328d1d068106b5d9611c5cefe6cf42b7277e4b6
com.anrisoftware.prefdialog	prefdialog-core	3.7		b737f9d830f68723db4d770240db508f509f0c91
com.antgroup.tugraph	geaflow-engine	0.1		N/A
com.antgroup.tugraph	geaflow-engine	0.3.0		N/A
com.antgroup.tugraph	geaflow-engine	0.5.0		N/A
com.centit.framework	framework-persistence-core	4.0.4		80c8be86e347ad902fe00bd63004a603d4c285d7
com.centit.framework	framework-persistence-core	4.1.1803		93438b454f2b6afe62c15f31e11ca038e569f6fe
com.centit.framework	framework-persistence-core	4.1.1805		f15a36c9d82f8fb6c503938038baa86a8c97445d
com.centit.framework	framework-persistence-core	4.1.1806		392c3fd815f285ebb95312e570ab52d1eb2086ee
com.centit.framework	framework-persistence-core	4.2.1808		30aab6c46e7a15b44985f311f9b3f88f06f7d668
com.centit.framework	framework-persistence-core	4.2.1809		1069a70e60149fad7ba0df01bcc8394b9e25fcc7
com.centit.framework	framework-persistence-core	4.4.1812		b76bed93f3581368a73a81bd7bd0558bfa43e50e
com.eduworks	ew.common	3.0.0		a7dba858f6e1a4b1e55163aee02ed93f0f522161
com.eduworks	ew.common	3.0.1		30f702e8653b3c8aeabd765a8050019eec78ff9d
com.eduworks	ew.common	3.1.0		2da1bf137d02a61b761d709f01f6981c9ddbe881
com.eduworks	ew.common	3.1.1		1613476d15f15a1be3cc63f2cc4c1e70e1aac257
com.eduworks	ew.common	3.1.2		afd1ddc080d9c4ead2b4888f692c88d150846750
