be.objectify	deadbolt-scala_2.13.0-M5	2.7.0		1280c3eccef955fab35e7e383691ea37652dd1d7
ch.exense.commons	exense-core-mongo	1.2.0		95b4ccf2b23622104dd49727455f9d05dc61765c
ch.exense.commons	exense-core-mongo	1.3.0		0e22e9df9923f5ef95b11c92d38a4cea2061b6a1
ch.exense.commons	exense-core-mongo	1.3.1		c0c39d49046d625655f7b700ede8d57ec3903f55
ch.exense.commons	exense-core-mongo	1.3.2		b28e543c1a3a2d139dc568943dab5ea6099d8282
ch.exense.commons	exense-core-mongo	1.3.3		45739f76442786a0b7c8cfec64479793ba5a5b6f
ch.exense.commons	exense-core-mongo	1.3.4		426a2aae80a37811539f14502a4866182b04b18d
ch.exense.commons	exense-core-mongo	1.3.5		425c1379910e701df8088fee746bd9f8c4dc9ca9
cn.smthit.v4	smthit4-logger	0.0.1		924db906690b9c213d590603b41b4ebe41457649
cn.smthit.v4	smthit4-logger	0.0.2		26d53319db70da33035e86dc98d24446aa09b471
cn.smthit.v4	smthit4-logger	1.0.2		110f95a286437c2404bbc7b91c16ef24d906cbb1
com.aevi.sdk.flow	api-constants	2.3.6		6c6c2751de37b13e99a7fc0034826fe093a5eb72
com.aevi.sdk.flow	api-constants	2.3.7		7291753d0636cd7e86c3a1848d76ca349094947a
com.aevi.sdk.flow	api-constants	2.3.8		ea1766d2f787159187de27401f87560aa86b783f
com.aevi.sdk.flow	api-constants	2.3.9		cf94b22be35a93e39847a8cf405cd95731b24b9d
com.amazonaws	aws-java-sdk-gamesparks	1.12.184		158edf82d9373e6bdba92f2385f20aa394427232
com.amazonaws	aws-java-sdk-gamesparks	1.12.185		b1f80d930892bbe92e44b995403f78b45e6b2b10
com.amazonaws	aws-java-sdk-gamesparks	1.12.186		c369b4bbf7cbd3b73f7505bd03bf5973640fc680
com.amazonaws	aws-java-sdk-gamesparks	1.12.187		d18ecc5c2128356379aafd112de361fb80028c26
com.amazonaws	aws-java-sdk-gamesparks	1.12.188		7bd27502152931f28d214220b12ce4ec0830c19b
com.amazonaws	aws-java-sdk-gamesparks	1.12.189		991bd2c1d078a0e60b098e6d5470e57016a8c95b
com.amazonaws	aws-java-sdk-gamesparks	1.12.190		2c5cad422a8ca962a15b47961858ee8a3687293d
com.amazonaws	aws-java-sdk-gamesparks	1.12.191		3ed22a9302228752e02630153a50963ef374dde4
com.amazonaws	aws-java-sdk-gamesparks	1.12.192		5fc7aac292b399a5ab6f55d1cb5f501d3e0c40fc
com.amazonaws	aws-java-sdk-gamesparks	1.12.193		6f7a6ba9e51e0fadb9c5b0a9a828307baf079474
com.amazonaws	aws-java-sdk-gamesparks	1.12.194		a2259a227dfa1147acfa007bfc46fc68b22b95d0
com.amazonaws	aws-java-sdk-gamesparks	1.12.195		7e1490ead2bc83bd651fc3b1827289cd53a4f65f
com.amazonaws	aws-java-sdk-gamesparks	1.12.196		a56eb82560442514020ea7c20fe94f8f853fb9bc
com.amazonaws	aws-java-sdk-gamesparks	1.12.197		c544838043d2884f895b19ce8600400b75124d86
com.amazonaws	aws-java-sdk-gamesparks	1.12.198		0b134d6ef99d450e2357c62f1684771c146effd2
com.amazonaws	aws-java-sdk-gamesparks	1.12.199		b1638b76d676d211e79eefa47507458f7354d9d7
com.amazonaws	aws-java-sdk-gamesparks	1.12.200		5f4a8a0238ce431ffe7a1e6b903d0ce4e1bef1e0
com.amazonaws	aws-java-sdk-gamesparks	1.12.201		62f6ff76d5a699daf642b65bc349cdec19458613
com.amazonaws	aws-java-sdk-gamesparks	1.12.202		398da755ace227d16ad2f6ffbca88aee4a1473c6
com.amazonaws	aws-java-sdk-gamesparks	1.12.203		81d70612f78b19d2a18353fc214bcd75368403c0
com.amazonaws	aws-java-sdk-gamesparks	1.12.204		4072b76cf3b7d5a09e7b1766fe2c955b8dbb40a9
com.amazonaws	aws-java-sdk-gamesparks	1.12.205		60455d2ddfca1797b8239c0fde8b3f94c3006c3c
com.amazonaws	aws-java-sdk-gamesparks	1.12.206		483febe2a4a77150af769723398c4598ba6f2555
com.amazonaws	aws-java-sdk-gamesparks	1.12.207		2236a41a934d2c18eb1bd04ac1c51259222160aa
com.amazonaws	aws-java-sdk-gamesparks	1.12.208		78a80f3278a6a1537716d89bbc3a3527a23f68c1
com.amazonaws	aws-java-sdk-gamesparks	1.12.209		adb511afe72bf070536fb7f90e54b5435f9ad5db
com.amazonaws	aws-java-sdk-gamesparks	1.12.210		a110b4b6d8d883067abbcbbc8fe81a133b9f9b6c
com.amazonaws	aws-java-sdk-gamesparks	1.12.211		6273c014b3f2bbe6ec2d9b19739cad0fa533fd31
com.amazonaws	aws-java-sdk-gamesparks	1.12.212		8ef146e319593a77217ae627cd3cc3ae4e9f9dfc
com.amazonaws	aws-java-sdk-gamesparks	1.12.213		27826887a0c5a5e684263b30996e722180c4ff55
com.amazonaws	aws-java-sdk-gamesparks	1.12.214		82bcdf780c90582580ec22158815d99cca16b5ab
com.amazonaws	aws-java-sdk-gamesparks	1.12.215		9e4ab66d9dfcd474d290247cf81b5d642cc5e766
com.amazonaws	aws-java-sdk-gamesparks	1.12.216		6b836a07a0dd6f6240a15aba37cfe0014c54c4c0
com.amazonaws	aws-java-sdk-gamesparks	1.12.217		3a36ed1226a77aed5c1a704474003227bc4bd4fa
com.amazonaws	aws-java-sdk-gamesparks	1.12.218		46b35933503d9490b125d64aa2c6409b06de746d
com.amazonaws	aws-java-sdk-gamesparks	1.12.219		e4ac74230324214003af1e4db1022b6757f02d5a
com.amazonaws	aws-java-sdk-gamesparks	1.12.220		a895da5674bb8b2a4bc0d8cce22ab6f075805202
com.amazonaws	aws-java-sdk-gamesparks	1.12.221		5ac1388936deac20e20c52e44901567ebf8a408d
com.amazonaws	aws-java-sdk-gamesparks	1.12.222		665d6afe3de7a978b3b9f19a846baf6448dd94f1
com.amazonaws	aws-java-sdk-gamesparks	1.12.223		bd80a590290c319da9311f151cfae241724c3302
com.amazonaws	aws-java-sdk-gamesparks	1.12.224		a3d4a9f2f5ebe1c97ab3474f4ab51422c7800cdb
com.amazonaws	aws-java-sdk-gamesparks	1.12.225		ff8d2249b8e3f760a8d0749dc4086260e077fae2
com.amazonaws	aws-java-sdk-gamesparks	1.12.226		1d56ec47c6ef46d1aabfc76bc98c54b12dbe43ed
com.amazonaws	aws-java-sdk-gamesparks	1.12.227		f1dacaa283e2fc42728285088d47643c948a2852
com.amazonaws	aws-java-sdk-gamesparks	1.12.228		aaf58a8479bc8afb7ef7e810a9598f8a30f98d73
com.amazonaws	aws-java-sdk-gamesparks	1.12.229		9539b5b238584194e71c698085f4454870c36ffd
com.amazonaws	aws-java-sdk-gamesparks	1.12.230		d9e0982b57ae90c55667e09755641e8e790da41f
com.amazonaws	aws-java-sdk-gamesparks	1.12.231		ceab2ead684a5f66b0753d694a9cdb6f6b38afe7
com.amazonaws	aws-java-sdk-gamesparks	1.12.232		75bc2de63b84c42417992a9f1dc5dcb99dbc5dfb
com.amazonaws	aws-java-sdk-gamesparks	1.12.233		cd5f953c2108a86c18d363ead021a0cf845c4d27
com.amazonaws	aws-java-sdk-gamesparks	1.12.234		09039e86625980f6def9a2d6462f5c86c059eb4e
com.amazonaws	aws-java-sdk-gamesparks	1.12.235		8e4e11ed765142c99dff4f3727470489bce9b680
com.amazonaws	aws-java-sdk-gamesparks	1.12.236		b691e749f10c04c79c7872a6dc8c5e5aaeff6b50
com.amazonaws	aws-java-sdk-gamesparks	1.12.237		86d1765f68bbcd688d956a354e4c1b4cc09a3002
com.amazonaws	aws-java-sdk-gamesparks	1.12.238		dd46dcee1bd53a738c898d9dac8280739cd79832
com.amazonaws	aws-java-sdk-gamesparks	1.12.239		ec1e2db4b35d766ee415d496df16023b1dbfc5d3
com.amazonaws	aws-java-sdk-gamesparks	1.12.240		e074a8b4246cd56ff403898c314381ab0db2e367
com.amazonaws	aws-java-sdk-gamesparks	1.12.241		590f39cccace0f12122683bb9f7085dff2100949
com.amazonaws	aws-java-sdk-gamesparks	1.12.242		10b6a2eb546a63e380b929de09554acca3f40ae8
com.amazonaws	aws-java-sdk-gamesparks	1.12.243		2c38ef490a9c171a4a9dd9ad89614b5b11f07657
com.amazonaws	aws-java-sdk-gamesparks	1.12.244		73b39e9f4ae9900b8c04f08a4953015b4bebbe0c
com.amazonaws	aws-java-sdk-gamesparks	1.12.245		676eff2c553f81c12dde111296ca5237db75d06f
com.amazonaws	aws-java-sdk-gamesparks	1.12.246		7a93aaa4e7cd067cade5c5e0feadd7c4697997bf
com.amazonaws	aws-java-sdk-gamesparks	1.12.247		5e4c159a08bf33f63efec9b9b18f674151b8c384
com.amazonaws	aws-java-sdk-gamesparks	1.12.248		044e43d1d16190893105fe923a9e44c5793de8ab
com.amazonaws	aws-java-sdk-gamesparks	1.12.249		2809025c811e2a6ba76ac01e2701ca8ccd2e0a8e
com.amazonaws	aws-java-sdk-gamesparks	1.12.250		20f946499dd7cdd14e66a6f31b636fad56eeff06
com.amazonaws	aws-java-sdk-gamesparks	1.12.251		feb6b1d0b3ecf9ad4d16caa386cf1e61260d8f16
com.amazonaws	aws-java-sdk-gamesparks	1.12.252		2f7e77e211012491ac55977347201e6b3be924b8
com.amazonaws	aws-java-sdk-gamesparks	1.12.253		512756ef94d38bc64f3839df590b06fd28dec4f9
com.amazonaws	aws-java-sdk-gamesparks	1.12.254		daf611c7f9891b99f23d28a707a0555bea4073c4
com.amazonaws	aws-java-sdk-gamesparks	1.12.255		5d78c40074e8080a2d76b9b8b5bb4a028207465e
