ch.sbs.pipeline	sbs-hyphenation-tables	1.23		6cedbc7cf71e289706d5a139c24b9b5569e784d7
city.smartb.f2	f2-dsl-function-jvm	0.1.0		21edee6452ebd230cddf24245f5c6f15bbe86980
city.smartb.f2	f2-dsl-function-jvm	0.10.0		36c7f2e27c557b1add86ce1ea093ae0866902a3a
city.smartb.f2	f2-dsl-function-jvm	0.11.0		38b2291b6591b6d8c6b72d44a6a901c0851aeba6
city.smartb.f2	f2-dsl-function-jvm	0.12.0		285cba84640df0451064cba37d3e7159ef6ae98d
city.smartb.f2	f2-dsl-function-jvm	0.13.0		46202d40550d7ef8197ac0c9971dd08646b35107
city.smartb.f2	f2-dsl-function-jvm	0.14.0		f58193863aee18166e519d559b6fb42c1313ca8a
city.smartb.f2	f2-dsl-function-jvm	0.15.0		008abceeccd84d53ef0a825ae5b2d03efd0de5b3
city.smartb.f2	f2-dsl-function-jvm	0.16.0		93beaced582ee8e2b5f706cb90842c658e8dea8f
city.smartb.f2	f2-dsl-function-jvm	0.2.1		a7646c476daf19bffcd2c57a6925b6a07daf2644
city.smartb.f2	f2-dsl-function-jvm	0.2.2		440a50ebe62160edb012583a7f5e0698188464f0
city.smartb.f2	f2-dsl-function-jvm	0.2.3		a13e7c464b79d501c270fd69e9a8f32a834bd0e6
city.smartb.f2	f2-dsl-function-jvm	0.2.4		12ce2882f0d5a9638c707ae2d45e13ca3f7741b7
city.smartb.f2	f2-dsl-function-jvm	0.3.1		dfb235fec3bb411fc131082888bcc05ebd7d32b5
city.smartb.f2	f2-dsl-function-jvm	0.4.1		39e8f634b112c9276427cc1e388585f3fd70641c
city.smartb.f2	f2-dsl-function-jvm	0.5.0		54a9eddabb97112d4f3323bee137696e5e0e95d9
city.smartb.f2	f2-dsl-function-jvm	0.6.0		7900376e5a08cfd450729b3017aed2d16c271a47
city.smartb.f2	f2-dsl-function-jvm	0.7.0		d1995c551b482227ddebc2ab6b83d29c79a0eccc
city.smartb.f2	f2-dsl-function-jvm	0.8.0		3df675b463f8fde5b5de90017f01056ca55e924c
city.smartb.f2	f2-dsl-function-jvm	0.9.0		588e5c63c5bce3c7b23d70639ea2b2d186f30dc6
club.callmee	spring-boot-pulsar-starter-client	2.10.0-11-1		fbf0a089e65c26f68cb68d36ffe0a627c38d8198
club.callmee	spring-boot-pulsar-starter-client	2.10.0-11-2		c75ba21976c9d7c7e4a165788ba80654bb96bc85
club.callmee	spring-boot-pulsar-starter-client	2.10.0-11-3		43df3e0ed57fbdc0b9878d49a39ae72544ec509b
com.17jee	e-upm	3.0.0.RELEASE		289af76df2c6e3e65d4fb94d4945638dd4768849
com.arpnetworking.code.play2-maven-plugin	play2-provider-play23	1.0.1		00c8882fcbb65048ec448f86673612915b3572a5
com.arpnetworking.code.play2-maven-plugin	play2-provider-play23	1.0.5		101400ec1b653efe601ffb15e27cb72d1454b5e9
com.bradneighbors.buildable	buildable	1.0.1.RELEASE		73d1873f94bf56fccd27e36ff0c24f4eb653351e
com.bradneighbors.buildable	buildable	1.0.RELEASE		8aad8df0e8475bca2896114420ab539738a27f9c
com.bradneighbors.buildable	buildable	1.2.0.RELEASE		af2db4a06678e408781b08f53fc2ad636a718ebd
com.cognifide.apm	apm-runmodes	5.6.13		9b8c80d0bc39799a5874e6d1022bd192fad0f10e
com.cognifide.apm	apm-runmodes	5.6.15		23d9ae02b527f9d700b2c0466687e8c59ae2ea6a
com.cognifide.apm	apm-runmodes	5.6.16		0c567f5a0a9872cfc0839eda0b5b4c78c63de085
com.cognifide.apm	apm-runmodes	5.6.17		a20a02ac07b80ba972446b00d23be17fbd8f741c
com.cognifide.apm	apm-runmodes	5.6.18		1bf19645a7f4082dcfcd0c4ec5a16c330a7190da
com.cognifide.apm	apm-runmodes	5.6.19		a07e2b9d38480a88f8005861e5b949997c58680d
com.cognifide.apm	apm-runmodes	5.6.20		7be31243688d5df7b897b31a771a3fa98ea78e03
com.cognifide.apm	apm-runmodes	5.6.21		cdcf481da8cdf6a179d98fba84b98edac691f96e
com.cognifide.apm	apm-runmodes	5.6.22		ae61eb7876fac4757bcbd19dcc6a9c10a3c6275f
com.cognifide.apm	apm-runmodes	5.6.23		0ab002634c9b0a59b0b25cc096541f7b72d596e0
com.cognifide.apm	apm-runmodes	5.6.24		a2264afc05d9acd328693012d9964d1f10e0176a
com.cognifide.apm	apm-runmodes	5.6.25		2594d96a2e31009838618c16c5cac561153b5b47
com.cognifide.apm	apm-runmodes	5.6.26		17ed509ec7e0476f58b25d386d793808f72cfba4
com.cognifide.apm	apm-runmodes	5.7.0		1c1df2d3adbb7d50f9dbfe5884bd5375900eb699
com.cognifide.apm	apm-runmodes	5.7.1		79f72c1f7adb7cdfa096505a81acc0853a4aba7a
com.cognifide.apm	apm-runmodes	5.7.2		52cd89637da826f00a6ef7423388921b4d6ea038
