br.com.jbugbrasil.bot	telegram-api-objects	1.0-Beta		d14c7fd4fdca791efb76e13aa333f5c151fd45ee
cn.tenfell	mybatis-plus-nomapper	1.0.0		e2f2222a175517939d017d579fe6137012e89fc1
cn.tenfell	mybatis-plus-nomapper	1.1.0		cebdf9f06f2b26795f39293383f4f636ee2a129d
cn.tenfell	mybatis-plus-nomapper	1.1.2		5a67227090ee1fe4c2b2b2572b0d4514e7ef6a2b
cn.tenfell	mybatis-plus-nomapper	1.1.3		934c353b14c8a811760c948cd695136e1a498168
cn.xisoil	xisoil-test	2.0.1-RELEASE		b070a708aec4f829ce89a9d03f2e0c3c98151be9
cn.xisoil	xisoil-test	2.0.5-RELEASE		98ac88db097ffd87d0f90a3625317a0a989f6627
cn.xisoil	xisoil-test	2.0.6-Bate		570c9d6676737478a753cff1a691f972366a9ca0
cn.xisoil	xisoil-test	2.1.0-RELEASE		20036bbcc438be88624158a70dbd6580f6dfd7dc
cn.xisoil	xisoil-test	2.1.4-RELEASE		0176f99b2b33ac96a58357fec7bbff89340187cb
cn.xisoil	xisoil-test	2.1.5-RELEASE		ebbfa9e9c57c04aca39f782b95e219bc80cd181a
cn.xisoil	xisoil-test	2.1.6-RELEASE		70a16f912df970518cea9206272a39ca2365e0d0
co.cask.cdap	cdap-stream-client-integration-tests	1.0.1		43101ca27302286cef2ce5c8fd740cd5602ea3e9
co.cask.cdap	cdap-stream-client-integration-tests	1.0.2		2ae5149fc2112fd805500eab5071939d70a16fc3
co.cask.cdap	cdap-stream-client-integration-tests	1.1.0		f875a80aac76058f6d845bd1b507926cd7773d17
co.cask.cdap	cdap-stream-client-integration-tests	1.2.0		def1c42988c0b9a88052c07bee8984c5faae7689
co.cask.cdap	cdap-stream-client-integration-tests	1.3.0		dde0cab43c9a7f62b141ebd050900ca953ea4ea8
com.51degrees	geo-location.cloud	4.1.2		442ff4ff43518d78a68f09c1e8bb1b1872ce9101
com.51degrees	geo-location.cloud	4.1.3		7e1ac56f1f2db63cc3b25dbb3a8ebeebdf346332
com.51degrees	geo-location.cloud	4.2.0		7b7ac2a0add307fa877f1ebb425fb980d3623d10
com.51degrees	geo-location.cloud	4.2.1		5f1b375d5a9e8afc1312409ddd498f879fc42d06
com.51degrees	geo-location.cloud	4.2.4		5cd7fb5573339fda5b066f5f35daf8f56646b579
com.51degrees	geo-location.cloud	4.3.0		1249f90b60fc1efd4af5a37bb88498fcea91984a
com.51degrees	geo-location.cloud	4.3.1		88c453d9f9194b012866e4a21b8bf927a400ee68
com.51degrees	geo-location.cloud	4.3.10		4467f424cebf070a97ff8a5e7fe6a9e97dabce6d
com.51degrees	geo-location.cloud	4.3.11		df2b5a185fb18d666ca2863a403633c43bd9a478
com.51degrees	geo-location.cloud	4.3.12		76e43acde68474f0b4160991b29b3ca69dbdfb9a
com.51degrees	geo-location.cloud	4.3.2		5576b8735a47d288785bd0d96f33c7ac19988d81
com.51degrees	geo-location.cloud	4.3.5		ba9a3754b1fadc71738dfafee84418dab2598810
com.51degrees	geo-location.cloud	4.3.6		917094f76111c062dcaa77037e5dfd7f7ed3569e
com.51degrees	geo-location.cloud	4.3.7		a0159ee48af6c687f5b9e80c9e0d5f92f26e04fd
com.51degrees	geo-location.cloud	4.3.8		b0934c1e276296227ece0e385ee7c9e4c4c819f3
com.51degrees	geo-location.cloud	4.4.1		9aeb7cbf86dfff71f3169a6e782d46fcaee6004c
com.51degrees	geo-location.cloud	4.4.10		b5c0ffdd1ba0ae395488d4af08f3635d24e47e00
com.51degrees	geo-location.cloud	4.4.11		97b1c6faa47f38895f04162656c2289a8d47e555
com.51degrees	geo-location.cloud	4.4.12		9ea143a5d1ce76021a877094d6e72856d5f94234
com.51degrees	geo-location.cloud	4.4.13		8a1be7e3c819e1fc3f780e8c2eb206e59559856b
com.51degrees	geo-location.cloud	4.4.14		fc3d7acf9388865a9156b0c9143b7dfa962119e1
com.51degrees	geo-location.cloud	4.4.15		589d5ca2e3e549d1793fa198382e5c4c13424a6f
com.51degrees	geo-location.cloud	4.4.16		657763962e937f969c2486aedf9ece20a6f46959
com.51degrees	geo-location.cloud	4.4.17		661032cf288fe2da99cb6e60e2d6c426a2451919
com.51degrees	geo-location.cloud	4.4.18		825005c37d2c27c133391992e18057adee69828d
com.51degrees	geo-location.cloud	4.4.19		70da12ea7e6056e7888299f7322c3ec437259623
com.51degrees	geo-location.cloud	4.4.2		f33fd44fc94c2566d9f8e0c68f6d70e3ba617eb3
com.51degrees	geo-location.cloud	4.4.20		2f94cebe4e83f8ce09c6e5da300dc99b4ca88d0c
com.51degrees	geo-location.cloud	4.4.21		f6528741535d8177b6e03c43f090fa7569da576a
com.51degrees	geo-location.cloud	4.4.22		c74d1064e3a71058df65d2c48e4afa0c458fa194
com.51degrees	geo-location.cloud	4.4.23		1cfdd3a26155eba5dd783a543127e92bbe4697ee
com.51degrees	geo-location.cloud	4.4.24		83cf88b683be76c880e9979715df3a0482493a6c
com.51degrees	geo-location.cloud	4.4.25		cbd07965eefdec99e7391de073154d87f9e80a12
com.51degrees	geo-location.cloud	4.4.26		353cc7d1aa5d942d6cf0cf9e2c54a140a27c5d86
com.51degrees	geo-location.cloud	4.4.27		171c64de0ac6ed01508b3773d94ed626beb5b1ae
com.51degrees	geo-location.cloud	4.4.28		3da895894d895f9fd111f90f2399a68ba5b0bd0a
com.51degrees	geo-location.cloud	4.4.29		a492ca81ffb3e5a71f7c9b2574d82a1d7be35708
com.51degrees	geo-location.cloud	4.4.30		351b03f873fc6c3998c887b5bd474d07e5ba77e3
com.51degrees	geo-location.cloud	4.4.31		40bdef78b6333d7855bf9b9d869053fbd76bf6da
com.51degrees	geo-location.cloud	4.4.32		adab5e09f60391d0429c7bb28cec07b12df194c7
com.51degrees	geo-location.cloud	4.4.33		253e6953439198412ce291fb459c24deb1197708
com.51degrees	geo-location.cloud	4.4.34		47253a36c96460649c7e9956c20b185db70500ea
com.51degrees	geo-location.cloud	4.4.7		91336e74908651b78f6c66024ba9669a40161948
com.adpushup	apmobilesdk	1.0.0		N/A
