br.gov.frameworkdemoiselle.component.archetypes	jbehave-assertj-archetype	1.6.0-BETA2		133292412bc5f8de775565f417c658dd7b808ba2
com.avito.android	artifactory-app-backup	2021.21		6afee98f996807d051ecf578290f7a3e0f7a7243
com.avito.android	artifactory-app-backup	2021.22		bd78a22835fcec2789f5ecec9228c714d7cd997b
com.avito.android	artifactory-app-backup	2021.23		41eabf1502a8e7fcf18894e4e466fccda697a837
com.avito.android	artifactory-app-backup	2021.24		3b540eb044f61199f6b5284eb9d5f7b0bc70b386
com.avito.android	artifactory-app-backup	2021.25		ab88e3a271ae82a5bc58fa259b66b606a97515bf
com.avito.android	artifactory-app-backup	2021.26		96bd93bba177e7289ed855c0cc096209428ce3c3
com.avito.android	artifactory-app-backup	2021.27		2ddc113f202e6cae4a2228fe3b58c67768f91d2f
com.avito.android	artifactory-app-backup	2021.28		0b2b2a77351faeda90f8242aa6bce4adac1b35a0
com.avito.android	artifactory-app-backup	2021.29		1c34e07323867cfd2828a824f9a96673027283e1
com.avito.android	artifactory-app-backup	2021.30		468c09e74734d1c83096671a1dd9f90ac3cb5313
com.avito.android	artifactory-app-backup	2021.31		d09903500f67ce811f45224a41255949044ef5c8
com.avito.android	artifactory-app-backup	2021.31-agp7		f49113e512d8b1bbcde3c1a2d2fac585cf818595
com.avito.android	artifactory-app-backup	2021.32		f15966c8a17f8c55f862f107a46a2ffcc5bf4b08
com.avito.android	artifactory-app-backup	2021.32-agp7		e4c2d2c782dd2886f2aed6c372e05b3c0b78a022
com.avito.android	artifactory-app-backup	2021.32-rc-1		0368bb5914918182dced6d99500efdfa120f3265
com.avito.android	artifactory-app-backup	2021.33		498cc63d3edfec5020c996f38b2a64c5ab422eff
com.avito.android	artifactory-app-backup	2021.34		8dd8f8009662bf561349e415a225977ae0143e6d
com.avito.android	artifactory-app-backup	2021.35		b2c1c34bfef304d4e6d9c263d39baa3a0ec6b7e9
com.avito.android	artifactory-app-backup	2021.36		083cd0dc308668a2cf5ecb8f8b8012993a708fe9
com.avito.android	artifactory-app-backup	2021.37		290d29c41278937317b2aa1b344617bb007511ca
com.avito.android	artifactory-app-backup	2021.37.1		39c6a4bdd94d15d5f3464c61c13a2b7a8a2700ef
com.avito.android	artifactory-app-backup	2021.38		24a6fd75e0e0b041561073b121a2b43e648b28b2
com.avito.android	artifactory-app-backup	2021.39		7f1ab83dc3d26ba6d97f486faa6507550c91a768
com.avito.android	artifactory-app-backup	2021.40		59f0a9c05c2f5418d687b4bc1b45555ee71da81f
com.avito.android	artifactory-app-backup	2021.41		3a5712a80467f6e1dd99f57348ebda724d4ca4d3
com.avito.android	artifactory-app-backup	2021.42		412a4c2abcc55cbeec2bcdd86370020b88ac70e1
com.avito.android	artifactory-app-backup	2021.7		6b3b67abddb056d512ad9e88b1f269ed604caef1
com.avito.android	artifactory-app-backup	2021.8		626f05e6d173e7be2d63d19010157ed669d876ad
com.avito.android	artifactory-app-backup	2021.9		74a4255d15b4b04956c371cf267dda30171105e1
com.avito.android	artifactory-app-backup	2021.9.1		98b78aeaeda5917566a673533104ca6619ef77a3
com.avito.android	artifactory-app-backup	2022.1		ee6e6963f901bf27cacb749a83175bc6b91ab5b3
com.cognifide.apm.crx	apm-ui.content	5.0.0		N/A
com.cognifide.apm.crx	apm-ui.content	5.1.0		N/A
com.cognifide.apm.crx	apm-ui.content	5.5.3		N/A
com.cognifide.apm.crx	apm-ui.content	5.5.4		N/A
com.cognifide.apm.crx	apm-ui.content	5.5.5		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.0		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.0-RC1		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.0-RC2		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.0-RC3		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.1		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.10		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.11		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.12		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.13		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.15		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.16		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.17		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.18		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.19		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.2		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.20		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.21		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.22		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.23		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.24		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.25		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.26		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.3		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.4		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.5		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.6		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.7		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.8		N/A
com.cognifide.apm.crx	apm-ui.content	5.6.9		N/A
com.cognifide.apm.crx	apm-ui.content	5.7.0		N/A
com.cognifide.apm.crx	apm-ui.content	5.7.1		N/A
com.cognifide.apm.crx	apm-ui.content	5.7.2		N/A
com.diglol.crypto	otp	0.1.0		7e61d863f0aaf0ce67da582c7efa822a5a4dfff3
com.diglol.crypto	otp	0.1.0	all	4fb97bd598a6b59cd83f5b006c9574368f3117cc
com.diglol.crypto	otp	0.1.1		3f4942ef4f398cdc24ccfeaaac496e2da0534881
com.diglol.crypto	otp	0.1.1	all	b1e00526a07e2eb89a5d0035073bf364e8d274fe
com.diglol.crypto	otp	0.1.2		50df4a213672c13d2e38152b71c8662e3d18565d
com.diglol.crypto	otp	0.1.2	all	cf4e0fd64f299dce45f9e5f47555209d427ca180
com.diglol.crypto	otp	0.1.3		50df4a213672c13d2e38152b71c8662e3d18565d
com.diglol.crypto	otp	0.1.3	all	cf4e0fd64f299dce45f9e5f47555209d427ca180
com.diglol.crypto	otp	0.1.4		7b757a72b6454c9480d62c5300f577942d75b9d5
com.diglol.crypto	otp	0.1.4	all	809399aceb39ee41757a503fe024e10fa9c593d0
com.diglol.crypto	otp	0.1.5		fc72d3a6199483154fd6168c5d259d0531a22db1
com.diglol.crypto	otp	0.2.0		4045d99db903a4ea870199c06f67c033bb310872
com.github.benfradet	spark-kafka-0-10-writer_2.10	0.2.0		9c4d6e61ae5e8201d159eff6c1cb9cb757a25741
com.github.liuping123.commadapter	commadapter	0.0.3		N/A
com.github.mvh77	gson-log4j2-layout	1.0.0		11fd4249755ccb920dada6742116d0d59081eb8e
com.github.mvh77	gson-log4j2-layout	1.1.0		915e0daa4c147f540a836fb590b34248af7f4c32
com.github.socketIo4Netty	socketIo4Netty	1.0.10		fd1c94b7fff12f6fea6c05f57155a6fdbbb0849d
com.github.socketIo4Netty	socketIo4Netty	1.0.11		6e37d69a59e899f9fd1503382dc3da7baf407d68
