com.aliyun	alibabacloud-paillmtrace20240311	1.0.0		665aa179bf6884e2a6369cc12ad17433fff002d0
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.0		6587663c52febb702b078b959b9cf2cceb604517
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.0-RC1		e1bbcfa7f2a9bdbf62c5e4ed4e72f4285a12d4b7
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.0-RC2		baef9da2e9f46c873cf819f648500587fafc54ca
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.0-RC3		254733924feb83f4b650edfbe43be1e0369bbc2b
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.0-RC4		8679c01925b29a32f52be95b2a4cfd3febb9d91b
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.1		1dcbe27f4b1e609303a8ab8c806e781b46927195
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.2		5c5d031dd1d7499d5195bbfc37f2391abc6ac9d9
com.azavea.geotrellis	geotrellis-spark-etl_2.11	0.10.3		01759114b46bff790f3339a605491a1cd94aa9a4
com.bigossp	max-mediation-spec-lite	5.0.0.1		N/A
com.dnanexus	dxfileaccessprotocols	0.1.0		f0256bee942d40c6189ee9991a32b3e2ad43544f
com.dnanexus	dxfileaccessprotocols	0.1.1		228627070059e991776905b3bb3321e1be47332b
com.dnanexus	dxfileaccessprotocols	0.1.2		64cb19ae90d8be00e08e7af3bd5a3cb71061beb9
com.dnanexus	dxfileaccessprotocols	0.1.3		447ee125b4f828fc976b81c6b10c7831716c2368
com.dnanexus	dxfileaccessprotocols	0.1.4		69911773d8b01524bf0b8a52da4e4ee011295af3
com.dnanexus	dxfileaccessprotocols	0.1.5		17adcea89f94a774defe4770454ddcd360644768
com.dnanexus	dxfileaccessprotocols	0.1.6		d928fef23f6ccff4c7e1eded0d9ad450c597d69f
com.dnanexus	dxfileaccessprotocols	0.2.0		989f86fdc8a0004acdcbe8085756d4df10289400
com.dnanexus	dxfileaccessprotocols	0.3.0		85eb049220b74cfe44850ee200257a5f081eca13
com.dnanexus	dxfileaccessprotocols	0.3.1		5c79866605653471e7ebadc6b9343a6349609f6d
com.dnanexus	dxfileaccessprotocols	0.4.0		31a87ea2680e961dcc1804ea58db7ecd3df79b7e
com.dnanexus	dxfileaccessprotocols	0.4.1		4e4a193eb3186ac5e6aa9c31d5fdf59a15b2aace
com.dnanexus	dxfileaccessprotocols	0.5.0		2a12ddc507ab1b2376a79693caf0fcf571979a48
com.foreach.cwb	cwb-rest	1.1.0.RELEASE		538c393ec0a2fac12051388c9c06bee2c229cc2f
com.genexus	securityapicommons	4.9.0		1202e768c5dd1a843cc4457ec7124ffe9c16383b
com.gilt	jerkson_2.11	0.6.6		1d64530aecdb1ca5b6771d3247943dda5c1cfd86
com.gilt	jerkson_2.11	0.6.7		b8f2a909540a4d448db8a5532439564f7aaf3abc
com.gilt	jerkson_2.11	0.6.8		668ad9d359cab8ab32e22ed4a30441fb755ad654
com.gilt	jerkson_2.11	0.6.8-1		3dbfabd8f06e159a82ab3afbbc4e8546d57eb51f
com.gilt	jerkson_2.11	0.6.8-2		db9bc5da90cc8a9f1bae5c7eb28334516b9d34db
com.gilt	jerkson_2.11	0.6.9		6968de0a90b642a9a9b4076cd64e34c2ef3899e8
com.gitee.chinasoft_ohos	OhosButtonProgress	1.0.0		N/A
com.gitee.topfine	QuickDevSecurity	0.0.1		c45b4c520af0d8eeb2aa9827d6de60c26f83ce09
com.gitee.topfine	QuickDevSecurity	0.0.2		2c814b1da122ba8488089f630c381a91df3ac289
com.gitee.topfine	QuickDevSecurity	0.0.3		d58f1d1188400dd80e90a6af3601d3a59bc04160
com.gitee.topfine	QuickDevSecurity	0.0.4		271145cbf18232ac2234c3b70c5d7ca7c4acf1be
com.gitee.topfine	QuickDevSecurity	0.0.5		1555c446b0afb359556c5e6914d75fc6c05d6a74
com.gitee.topfine	QuickDevSecurity	0.0.6		5c99b7f65dd2c0c108fb098df9d8b213091c782b
com.gitee.topfine	QuickDevSecurity	0.0.7		335677a7a50626d0887d367a1370acb127f48fdb
com.gitee.topfine	QuickDevSecurity	0.0.8		82ce551605be4422bb71ca760b24d24b2b4ca2ef
com.gitee.topfine	QuickDevSecurity	0.0.9		7a9870e42ce17c38cfb67bea0c5a41ea31c29bde
com.gitee.topfine	QuickDevSecurity	0.1.0		74fa88de8ae95f53431e5adfe3320055e8562c98
com.gitee.topfine	QuickDevSecurity	0.1.1		4f276ff97ae093636a94b048ecccca70c46f0efd
com.gitee.topfine	QuickDevSecurity	0.1.2		635764d8826566019b037c89f29415b9b7ebdf8e
com.gitee.topfine	QuickDevSecurity	0.1.3		29856d5f87a01029ba132cfe072f9bdf8cf6784c
com.gitee.topfine	QuickDevSecurity	0.1.4		5da2e0e33e24f2a629db9540721e1e485f1bc098
com.gitee.topfine	QuickDevSecurity	0.1.5		859fdbff8330581fb165945def537a92e9932e68
com.gitee.topfine	QuickDevSecurity	0.1.6		fad3379b9c73ac62bbb2a0728a6692b84230460f
com.gitee.topfine	QuickDevSecurity	0.1.7		7c322030afdaa02d1f9142e29f8ff6f42910e154
com.gitee.topfine	QuickDevSecurity	0.1.8		ed1aae7fe57f32afabe6ac23a15c57ee7adb4032
com.gitee.topfine	QuickDevSecurity	2.0.0		afc7f4d9ff024819820e4a18b727f9b80d039ffb
com.gitee.topfine	QuickDevSecurity	2.0.1		c7ac131602e08bf1718d35cd36192e209083b783
com.gitee.topfine	QuickDevSecurity	2.0.2		cd5a14f807833d3530a2ce131d75d0b4646b6cab
com.gitee.topfine	QuickDevSecurity	2.0.3		e9da2261f6f4e4d7e1aec1d5703ff0cc69376412
com.gitee.topfine	QuickDevSecurity	2.0.4		14a111151c193d717b2dfbe47c80c32e41e929f9
com.gitee.topfine	QuickDevSecurity	2.0.5		9eb294f4e06589a2c0e1e944419c744ba76296ac
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-metadata	0.7.0		8c08a905c1ccac763ff1da9fa744c66cf8b14930
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-metadata	0.8.0		a68d41b0300f4905cb0fd91d91ed8389bb189ff5
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-metadata	0.9.0		9a8d0d20e7061a688b6255ff278395ff078d8f15
