ai.platon	distributed-lock-example	1.4.2		a2c7a0213909e3a3eb647a64802a71c235450fc3
ai.scikitlearn4x	sklearn4jvm	0.0.0.6		e2f0497a36e61124f1c852a7356bb877387d3de6
ai.scikitlearn4x	sklearn4jvm	0.0.0.7		2456a0ed2345c46eaee8a84070294a012fafcb1e
ai.scikitlearn4x	sklearn4jvm	0.0.0.8		0c0e070c643dfbb9a7d383d8355b9c8be6db5607
ai.scikitlearn4x	sklearn4jvm	0.0.3		9cbb6c47fd2802f1609588aebeaeb63d93ffc2c7
ai.scikitlearn4x	sklearn4jvm	0.0.4		cadb1b34be9aa63df6da7be827713c3a8b0f0f1f
br.com.objectos.rio	http-server	0.7.0		554762cf8b0d8bc5ac728b18051b67c2558b9c81
cn.com.antcloud.api	antcloud-api-ak_5b2b21eeab5444aea8861caa551023ae	1.0.0		3e3280a18d155d0bf449fc42438e9fe176d5809d
com.acooly	acooly-portlets-feedback-openapi	5.2.0		041663a1ab60f34d41b927f51a4587f3a04d9b8e
com.acooly	acooly-portlets-feedback-openapi	5.2.1		087265fd2d1edaf9549234f980171abbc5d76061
com.cognitect.aws	chime-sdk-identity	813.2.963.0		55099353de50cc7acf9165c7557e7e694422dec3
com.cognitect.aws	chime-sdk-identity	814.2.1023.0		0e352bff77167d583436937bc92558c9bc94e5fa
com.cognitect.aws	chime-sdk-identity	814.2.986.0		3d87cb0958a8d6e3c054c0b076519848e7962ec7
com.cognitect.aws	chime-sdk-identity	821.2.1107.0		9a1bf54b8fc0b15b29f489b92fd83738158d2e08
com.cognitect.aws	chime-sdk-identity	845.2.1345.0		78f056a31a006baa1cad7b36f83c754369a7ea3a
com.cognitect.aws	chime-sdk-identity	847.2.1365.0		809d19e34a31708fc9ff9e801075f2cab08bfaa6
com.cognitect.aws	chime-sdk-identity	848.2.1413.0		5cb0abcc34807427b8ff5870cbf2760ad4531f7b
com.cognitect.aws	chime-sdk-identity	871.2.29.35		f8a12617972d01d40db356ba2b912d741e71d1ea
com.daveanthonythomas.moshipack	moshipack	1.0.0-beta		964383960d9a4007696123d7ea8133cc5c13397e
com.daveanthonythomas.moshipack	moshipack	1.0.1		74d427c57af7b250031080a65a3b363949618a64
com.earldouglas	xsbt-web-plugin_2.12_1.0	0.1.0-SNAPSHOT		7f74487e8375f86553fb83b112a8934a94c1d1e9
com.earldouglas	xsbt-web-plugin_2.12_1.0	4.2.2		0a505efad3b578f060bd8ddbdddd07fe2c732b4c
com.earldouglas	xsbt-web-plugin_2.12_1.0	4.2.3		46ec3b6fbd8118f8983843083c1c6d65b5c20682
com.earldouglas	xsbt-web-plugin_2.12_1.0	4.2.4		bb976ff74eb1fbc0e70167253123197774388f02
com.earldouglas	xsbt-web-plugin_2.12_1.0	4.2.5		59b20871b2b13aad5b902301d0280c57d0c90339
com.github.eikek	yamusca-macros_sjs1_2.12	0.8.0		5e24a37cefc4caccf5fc0cfd80bfa89c913ce664
com.github.eikek	yamusca-macros_sjs1_2.12	0.8.1		18cdbe4e51efb9e45d71312e0033f679aff81ec4
com.github.eikek	yamusca-macros_sjs1_2.12	0.8.2		3e57c9f194daaf49d87c159aad1f9dbaaf31df52
com.github.kovszilard	twitter-server-prometheus_2.11	19.1.0		9594aa6b22b9a86d3bfb7ae8441f9f3c9195035d
com.github.kovszilard	twitter-server-prometheus_2.11	19.10.0		cb43cec222bf7ab719ea3000a83b28e7776ad629
com.github.kovszilard	twitter-server-prometheus_2.11	19.5.1		aedb8a4e817b84f09933303f1edbd38cf580e271
com.github.kovszilard	twitter-server-prometheus_2.11	19.6.0		af041f40c8a8bcf7f46e5ce4491711c944d1fdfd
com.github.kovszilard	twitter-server-prometheus_2.11	19.7.0		20d7c1ead8804b0078c10c80e948a6a97578ece9
com.github.kovszilard	twitter-server-prometheus_2.11	19.8.0		38d421d3a49f9a7b38ea810e4da8ebe1cd7c99bf
com.github.kovszilard	twitter-server-prometheus_2.11	19.9.0		f50d754f94f109d7b1d857f6a01be6fc97585802
com.github.nfalco79	liquibase-maven-plugin	1.0.0		801b881ef9b0e004cde16621ae7ec48d89fea4b0
com.github.pjfanning	pekko1.1-libraries-bom_2.12	2025.1.0		0645fe9110cd34a9ffbc2702f13ad631e6f82a3c
com.github.pjfanning	pekko1.1-libraries-bom_2.12	2025.4.0		77fd70658a461b022569c8c115106ca623f7c7a1
com.github.yelong0216.dream.first	dream-first-extjs-parent	1.0.0		N/A
com.github.yelong0216.dream.first	dream-first-extjs-parent	2.0.0		N/A
com.github.yelong0216.dream.first	dream-first-extjs-parent	2.1.0		N/A
com.google.api.grpc	proto-google-cloud-tpu-v2alpha1	2.10.0		e45708520e7a4125ac57b336ea43b0292f825121
com.google.api.grpc	proto-google-cloud-tpu-v2alpha1	2.11.0		b89c8568933260150575f15ff16d25cbb87c2257
com.google.api.grpc	proto-google-cloud-tpu-v2alpha1	2.12.0		afa0ffc8bd824d34bd91793a4f20fbef3a5f88ff
