biz.cgta	serland-jvm_2.10	0.1.0		e85e91841900e24d8dbe1148a96c9818a9847786
br.com.objectos.oss-java11	objectos-more-logging	1.0.0		94ae615a921e8167a16aca2d87c592aa540021d9
ch.leadrian.stubr	stubr-dependencies	1.4.0		N/A
ch.leadrian.stubr	stubr-dependencies	1.5.0		N/A
ch.leadrian.stubr	stubr-dependencies	2.0.0		N/A
com.alachisoft	nc-root	5.2-alpha-22		N/A
com.alachisoft	nc-root	5.2-alpha-23		N/A
com.alachisoft	nc-root	5.2-alpha-24		N/A
com.alachisoft	nc-root	5.2-alpha-25		N/A
com.alachisoft	nc-root	5.2-alpha-26		N/A
com.alachisoft	nc-root	5.2-alpha-27		N/A
com.alachisoft	nc-root	5.2-alpha-28		N/A
com.alachisoft	nc-root	5.2.0		N/A
com.alachisoft	nc-root	5.3.0		N/A
com.alachisoft	nc-root	5.3.2		N/A
com.alachisoft	nc-root	5.3.2.1		N/A
com.alachisoft	nc-root	5.3.3		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.0.0-rc03		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.1.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.2.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.2.1		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.2.2		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.0	metadata	54b20f1aa1e6efde45023c99042b54f327f66a7d
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.1		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.1	metadata	aca09639c6f7f5850367d163305961a17a36f6d0
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.2		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.3.2	metadata	d354144ccc9cb025a34f95afcccbafc0d0bb694d
com.apollographql.apollo3	apollo-annotations-macosx64	3.4.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.4.0	metadata	259d492f0d634afc83475ca7d8f0410d69351bd8
com.apollographql.apollo3	apollo-annotations-macosx64	3.5.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.5.0	metadata	ba8b365df074fee9a0988f8996c27f5d7eeb49bc
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.0	metadata	e8f5f39a0b3fa057db0e6422d76753dc17443b21
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.1		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.1	metadata	a9618766202c58db0b61a5719e3c2773711b5ad6
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.2		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.6.2	metadata	9699a848a8e3ca1a1ec17b50e4f33a33847b5d8f
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.0		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.0	metadata	4090a6fbe3b969f2707840978f333cc1c479cbd7
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.1		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.1	metadata	a3c1c0abd0ecc57d2cc005fdc7620c6d75ef01e5
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.2		N/A
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.2	metadata	14d87746874cfbaa3d1fd1f3c880a050d7c8b26c
com.apollographql.apollo3	apollo-annotations-macosx64	3.7.3		N/A
