ai.dragonfly	narr_native0.5_3	1.0		ca2f6799502d7a4578286082f23b78892e90fbb2
br.com.objectos.testable	legacy-pojo-plugin	0.5.0		95786908a9bd57d6f493a19f7db0c0c62ecae76f
br.com.objectos.testable	legacy-pojo-plugin	0.6.0		c14a11cddc7368b554374bc6c97f99f1f9f67f6a
ch.exense.step	step-repositories	3.21.0		N/A
ch.exense.step	step-repositories	3.21.1		N/A
ch.exense.step	step-repositories	3.21.2		N/A
ch.exense.step	step-repositories	3.21.3		N/A
ch.exense.step	step-repositories	3.21.4		N/A
ch.exense.step	step-repositories	3.21.5		N/A
ch.exense.step	step-repositories	3.21.6		N/A
ch.exense.step	step-repositories	3.22.0		N/A
ch.exense.step	step-repositories	3.22.1		N/A
ch.exense.step	step-repositories	3.22.2		N/A
ch.exense.step	step-repositories	3.22.3		N/A
ch.exense.step	step-repositories	3.22.4		N/A
ch.exense.step	step-repositories	3.22.5		N/A
ch.exense.step	step-repositories	3.23.0		N/A
ch.exense.step	step-repositories	3.23.1		N/A
ch.exense.step	step-repositories	3.23.2		N/A
ch.exense.step	step-repositories	3.23.3		N/A
ch.exense.step	step-repositories	3.24.0		N/A
ch.exense.step	step-repositories	3.24.1		N/A
ch.exense.step	step-repositories	3.24.2		N/A
ch.exense.step	step-repositories	3.24.3		N/A
ch.exense.step	step-repositories	3.24.4		N/A
ch.exense.step	step-repositories	3.24.5		N/A
ch.exense.step	step-repositories	3.24.6		N/A
ch.exense.step	step-repositories	3.25.0		N/A
ch.exense.step	step-repositories	3.25.1		N/A
ch.exense.step	step-repositories	3.25.2		N/A
ch.exense.step	step-repositories	3.25.3		N/A
ch.exense.step	step-repositories	3.25.4		N/A
ch.exense.step	step-repositories	3.25.5		N/A
ch.exense.step	step-repositories	3.26.0		N/A
ch.exense.step	step-repositories	3.26.1		N/A
ch.exense.step	step-repositories	3.26.2		N/A
ch.exense.step	step-repositories	3.26.3		N/A
ch.exense.step	step-repositories	3.26.4		N/A
ch.exense.step	step-repositories	3.26.5		N/A
ch.exense.step	step-repositories	3.26.5-CustomizedJv2		N/A
ch.exense.step	step-repositories	3.26.5-customized-j		N/A
ch.exense.step	step-repositories	3.27.0		N/A
ch.exense.step	step-repositories	3.27.1		N/A
ch.exense.step	step-repositories	3.27.2		N/A
cn.lalaki.repack	plugin	3.0.1-LTS		cad0b98cc4ec5e54a2d4fcd1c89b79893e8c5c5d
cn.lalaki.repack	plugin	3.0.2-LTS		87fbbd73ae574382a6b388b789afd1f28bcfa54d
cn.lalaki.repack	plugin	3.0.3-LTS		d5c9e5ea48e32468a8a7b1ceb237916565f7b144
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.4.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.4.0	metadata	a43351102878c09f56b8ce4634797e2371d8fbfc
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.5.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.5.0	metadata	bf639710e366f23b5182ed3e99991fca6b3486af
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.0	metadata	880d2c5e8e9b935fe147d8ab541834879a1cda95
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.1	metadata	ec1425437282191e7c9f6d24a0973d537450b52b
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.6.2	metadata	4e7954af4524fcc7ac4105c5644592950ad83219
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.0	metadata	881abbf852b4a5e84ca7dbb966f9aba33ba7b6b4
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.1	metadata	0bdfa263bf2c363f2bdbf9f6c3d6abe42689eaf8
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.2	metadata	7024e6dc5e9ccb1546c005764a3e9ad7d661f53c
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.3	metadata	8d030926ac38da9f3fa25003b393fd516f949091
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.4	metadata	292733ac54d4ae7bd0addf841544c5a4f622e0e0
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.7.5	metadata	810d8544da6458b9d216b756aa2f4c657c2c0fda
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.0	metadata	4cf642921aeb8ed294a2a794ee34fa6de4fcbac5
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.1	metadata	1f10f11d0ff67c17ad21e8df25ea04f7c28d043c
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.2	metadata	9aa42c5239a561d8e2b209d7b737a56d3dfdd779
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.3	metadata	d1a7de6e60838b974a1f704411e3a424b65bd058
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.4	metadata	dd18c8764c3609a8d6148785346e65d6debbf0ca
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	3.8.5	metadata	38b260791e72c24f1620793780397d4ebbb132af
com.apollographql.apollo3	apollo-normalized-cache-incubating-iosx64	4.0.0-alpha.1		N/A
