cc.kebei	webapp-boot	1.1		N/A
cn.com.tltim.pigx	pigx	5.0.0-20240820		N/A
com.devwu	SerialPort4Android	0.1.0		N/A
com.dtstack.jlogstash	output.elasticsearch	1.0.0		06d850bdad32884191b50d2b615d5db746af6952
com.dtstack.jlogstash	output.elasticsearch	1.0.0	with-dependencies	a0b05e835eeedf874123cd08fd504c97503afba8
com.epam.reportportal	client-java	3.0.7		81b72a6b93a8a1efdc5aff1a9ee22f84a839a47f
com.epam.reportportal	client-java	4.0.10		37ea3a36310f1935526a5d67910006a9730805f0
com.epam.reportportal	client-java	4.0.12		a97b80fe759157748160cc46603888171d1736d1
com.epam.reportportal	client-java	4.0.18		c730650804673ae17f61b2765dea0eef326b12cd
com.epam.reportportal	client-java	4.0.19		0a24eb79803a6edb043219f3a481ddb69a11c279
com.epam.reportportal	client-java	4.0.4		e902b63ea80f9b010bc89e7904e06b9f435c2532
com.epam.reportportal	client-java	4.0.5		51e072a42ba5420b977168a1de6af23cdfa9317a
com.epam.reportportal	client-java	4.0.8		5537072ab2abafa7f278383bdcc778fb007ce6e6
com.epam.reportportal	client-java	4.0.9		7291c8d6456444798a8cec18083bd8d4cb84ad0a
com.epam.reportportal	client-java	5.0.0		641e7ee49cec9660777b4adfe3aca08062d0ed42
com.epam.reportportal	client-java	5.0.0-BETA-9		ee994282210e0257471d0f851876ffe4dba93b98
com.epam.reportportal	client-java	5.0.1		6f85f91d126d2fbb99870ac2e7ce89b7befdfe69
com.epam.reportportal	client-java	5.0.11		df3ac8bfef54e0ea98a04321e9adaa5f5249733e
com.epam.reportportal	client-java	5.0.12		27a36515416594ccb408e78a92bea299359c2507
com.epam.reportportal	client-java	5.0.15		c53f62f6e65b4ce9c6a452b55496ab745aa46479
com.epam.reportportal	client-java	5.0.18		34e30c40b47a1802a5943918694d480ad3466eca
com.epam.reportportal	client-java	5.0.2		ed25d747603c5703bfe26ffa23d02006110408fa
com.epam.reportportal	client-java	5.0.21		1fed576168c71ac747e74dd66a7d4ac34952e70b
