at.released.cassettes	cassettes-base-androidnativearm32	0.1-alpha01		N/A
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.10.0		106e22e91486aa077e4373604b7e5ca5824cfec8
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.11.0		f47e572557bbac3a59cc65474fd314db5811caa4
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.11.1		872aa811f67ecc0e596c55fbbd439d5a581afe98
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.12.0		bc9b5f81e6789c023c30d4f35f60995f6a87cf47
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.13.0		fa344811dcc8a49b9d0f05e25e49ca76e8de47b7
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.14.0		dc34ca0e802e0d4ec7ac62a239cf87f228b99062
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.14.0.RC1		47442c515417acce85c9b10535063f467393ea8e
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.15.0		c70977c9b3ba740b024c111dba32360c11bfe610
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.9.0		3a846b2ad4028de2deefa181baf9abafd5b42cb7
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.9.0-alpha2		a04415de7069dfc455b6652b44e62aeb12f82b3e
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.9.1		645900158f24e9dc8cd871b5200a95b2da4fa202
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	0.9.2		c4b8a5078022c2104d015b11927f0fc0d75203fd
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	1.0.0		N/A
ch.tutteli.atrium	atrium-api-cc-infix-en_UK	1.0.0-RC2		N/A
codes.quine.labo	lite-crazy_sjs1_3	0.4.0		fabbbaa872535eee29033e52c00b2b9e8a8c58ee
com.ToxicBakery.logging	common-metadata	1.20		73e34d70e7119ef8b7478016151d777dddf97bce
com.ToxicBakery.logging	common-metadata	1.27.47		0081b819695440a69e07ae91f05815b48803340a
com.ToxicBakery.logging	common-metadata	1.28.56		2b61bb28e8cd93f129c4b24171117d285cd5efd2
com.ToxicBakery.logging	common-metadata	1.29.60		6ca142a6237f5a7a23557b6ff1b365fc5f13f7df
com.ToxicBakery.logging	common-metadata	1.30.70		bbe587f7c2294e3873dbb6bfd4d05189d8a0aeb0
com.ToxicBakery.logging	common-metadata	1.31.76		6078a734bcc506503b9d2e6f794ea4fc0ac938a4
com.ToxicBakery.logging	common-metadata	1.34.109		ea78c257c27f3685a8e93040b2e13e371c0a3bb1
com.agoda.ninjato	extension-rxjava	0.3.1		65921d2ec8031c225ddc2e156c8519694ded745f
com.bazaarvoice.emodb	emodb-uac-client2	6.5.10		77c90aebd733887bee614d6b6e6fdfed96810661
com.bazaarvoice.emodb	emodb-uac-client2	6.5.11		5b9023cd2664e174a40a11c8e7da2f2ee726ba44
com.bazaarvoice.emodb	emodb-uac-client2	6.5.12		53a444f91a0b67fef9bb73e97439b80fcba32ae4
com.bazaarvoice.emodb	emodb-uac-client2	6.5.13		44db6c1716576589916386adb694366b61a455cb
com.bazaarvoice.emodb	emodb-uac-client2	6.5.14		eaf8c03feda08a8c9f09d249002fa03e063e5a77
com.bazaarvoice.emodb	emodb-uac-client2	6.5.15		f1ff75bee4dc46341dab6c025e46e9acfb9bf452
com.bazaarvoice.emodb	emodb-uac-client2	6.5.16		b5e46963ac0cbd73b669368e2200c869066dae4a
com.bazaarvoice.emodb	emodb-uac-client2	6.5.17		42e87afc34e064926232e5dc32ade6d4326eb52d
com.bazaarvoice.emodb	emodb-uac-client2	6.5.22		46a476beeacc807b9c6d1c5add7dd5eff653b69e
com.bazaarvoice.emodb	emodb-uac-client2	6.5.22.2		183e4345e31a62b002c14407424b53c5698b7c39
com.bazaarvoice.emodb	emodb-uac-client2	6.5.23		8c5f909b5c252b4976d9f91b6ca1cb5480f51206
com.bazaarvoice.emodb	emodb-uac-client2	6.5.24		f0671c29d89ca8bfa8778ecb54cc4f6bae894128
com.bazaarvoice.emodb	emodb-uac-client2	6.5.25		180f38062b2ebb17bb8a01988ddd4040777e7872
com.bazaarvoice.emodb	emodb-uac-client2	6.5.26		cfcc81be89fd47757337b2cf84d9c2983a92395e
com.bazaarvoice.emodb	emodb-uac-client2	6.5.27		32d7f9db6adb68b8dd2071fe197bd5fdd3b062c5
com.bazaarvoice.emodb	emodb-uac-client2	6.5.9		eac8601979ee7974555a41be4c66ef98acc8262e
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.10.0	metadata	b5cd067d9f0d4b6c015ca495a93e00e2beab2843
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.11.0	metadata	31ee0cb91766d3f0d1fcddb7746d8b9c650694c6
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.12.0	metadata	a3a63403012b8f2573a2b9a54ee1f1b78dbb0677
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm32	0.9.0	metadata	d2eaae8f39cd6ea85652fbdf8245a2ab0fb46191
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.10.0	metadata	db124636320185d7ecd470e55dd14b5f7d195acb
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.11.0	metadata	c0d541ef91d7e7e005925bdc16fe9d3f6cd5c49f
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.12.0	metadata	af7b0e36dcd136e14ab14addbfd6d78cd3ea872c
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-sqlite-tvossimulatorarm64	0.9.0	metadata	06114fb503978f40c51d1d722e79fe06faee8845
com.cxense.sdk	cx-java-sdk	1.0.1		0c88a570db13e6a1b7d3597d652ffa1f79d8f9fe
com.cxense.sdk	cx-java-sdk	1.0.3		104990c62bca735fef07cac7326d7682b5b9f1bd
com.digitalasset	daml-lf-validation_2.12	100.13.35		03e02f75efd679f63f31403b73cd40af116fb263
com.digitalasset	daml-lf-validation_2.12	100.13.36		03e02f75efd679f63f31403b73cd40af116fb263
com.digitalasset	daml-lf-validation_2.12	100.13.37		03e02f75efd679f63f31403b73cd40af116fb263
com.digitalasset	daml-lf-validation_2.12	100.13.38		6ff8fcd7b308decd12137785e3bcb700cee7d15b
com.digitalasset	daml-lf-validation_2.12	100.13.39		cbad3bc24366d16ef6bdcd22a9c19af120c5175d
com.digitalasset	daml-lf-validation_2.12	100.13.40		7a8f6df9fd6efdc182bae06c7541940d7b046fa8
com.digitalasset	daml-lf-validation_2.12	100.13.41		64f2abe00ee9510dd425c28134d53d0eb212a065
com.digitalasset	daml-lf-validation_2.12	100.13.42		64f2abe00ee9510dd425c28134d53d0eb212a065
com.digitalasset	daml-lf-validation_2.12	100.13.43		64f2abe00ee9510dd425c28134d53d0eb212a065
com.digitalasset	daml-lf-validation_2.12	100.13.44		64f2abe00ee9510dd425c28134d53d0eb212a065
com.digitalasset	daml-lf-validation_2.12	100.13.45		01c651319b024ad19554f8c8da6286fed20e9985
com.digitalasset	daml-lf-validation_2.12	100.13.46		01c651319b024ad19554f8c8da6286fed20e9985
com.digitalasset	daml-lf-validation_2.12	100.13.48		12fb9d60c662ecd0182f14f06f6401978b767c72
com.digitalasset	daml-lf-validation_2.12	100.13.49		12fb9d60c662ecd0182f14f06f6401978b767c72
com.digitalasset	daml-lf-validation_2.12	100.13.50		12fb9d60c662ecd0182f14f06f6401978b767c72
com.digitalasset	daml-lf-validation_2.12	100.13.51		2b15da78f3f22229b6e05d6a3a40fffa2b4bd804
com.digitalasset	daml-lf-validation_2.12	100.13.52		2b15da78f3f22229b6e05d6a3a40fffa2b4bd804
com.digitalasset	daml-lf-validation_2.12	100.13.53		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.54		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.55		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.55-snapshot.20200226.3267.c9b9293d		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.55-snapshot.20200304.3329.6a1c75cf		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.55-snapshot.20200309.3401.0.6f8c3ad8		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.55-snapshot.20200309.3401.6f8c3ad8		3b3b9af0449260f97f788b4d2b8d870f3ea2bd65
com.digitalasset	daml-lf-validation_2.12	100.13.56-snapshot.20200318.3529.0.6ea118d6		ef6c475ff9f1d78d30268e700833bc2b9e8a09f9
com.digitalasset	daml-lf-validation_2.12	100.13.56-snapshot.20200325.3626.0.a3ddde3a		ef6c475ff9f1d78d30268e700833bc2b9e8a09f9
com.digitalasset	daml-lf-validation_2.12	100.13.56-snapshot.20200331.3729.0.b43b8d86		3fe1fb7425fe16cb26e2e0edb2c5a69a8ed0c924
com.dinstone.focus	focus-parent	0.9.6		N/A
com.dinstone.focus	focus-parent	0.9.7		N/A
com.dinstone.focus	focus-parent	0.9.8		N/A
com.dinstone.focus	focus-parent	0.9.9		N/A
com.dinstone.focus	focus-parent	1.0.0		N/A
com.dinstone.focus	focus-parent	1.1.0		N/A
com.dinstone.focus	focus-parent	1.2.0		N/A
com.dinstone.focus	focus-parent	1.3.0		N/A
com.dinstone.focus	focus-parent	1.4.0		N/A
com.dinstone.focus	focus-parent	1.4.1		N/A
com.dinstone.focus	focus-server-http2	0.9.9		N/A
com.dinstone.focus	focus-server-http2	1.0.0		N/A
com.dinstone.focus	focus-server-http2	1.1.0		N/A
com.dinstone.focus	focus-server-http2	1.2.0		N/A
com.dinstone.focus	focus-server-http2	1.3.0		N/A
com.dropchop.recyclone	recyclone-base-jpa-service	2.0.0		0a4264306c69e8e1f65444afa1b2b2e82376fdf5
com.feraxhp.ktheme	ktheme-compose-jvm	0.0.1		2cab37e540cb3c90f35d88d0243966534358c999
com.feraxhp.ktheme	ktheme-compose-jvm	0.0.2		2cab37e540cb3c90f35d88d0243966534358c999
com.feraxhp.ktheme	ktheme-compose-jvm	0.0.3		749b84dfd070ff173046bbf85b209bb47cad66f1
com.fleeksoft.ksoup	ksoup-engine-okio-ktor3-js	0.2.0		N/A
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0		8fec3049a4dc186ca4c813b5f0119dd3f3881244
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M1		325b7cfb0e64dfc8bef8912e097f842abd46b263
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M2		0ae3139ab458865a27f419ee6199ad86487433f2
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M3		68077c1c0543bb8e63dc99c36067c253b7fe16d4
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M4		3d99f5bd6bd77c7276af6356b2b701ca3d46a90b
com.github.alexarchambault.ammonium	setup_2.10.6	0.4.0-M5		c8ea9600d9279df7d9fd043350cb1958ed47f7bd
