au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-nodisk	2.0		6321bdcd7a849f62bae6404275417beafa69fcfe
aws.sdk.kotlin	evidently-jvm	0.16.0		80bffff93c33de435989b60b607bed63dc35681f
aws.sdk.kotlin	evidently-jvm	0.16.1-beta		3b11fcde3870fc2e04c871922ff199ce1f792c7c
aws.sdk.kotlin	evidently-jvm	0.16.2-beta		c11fd4b7fbbca913c8fc8f31cfd20911f512cbe1
aws.sdk.kotlin	evidently-jvm	0.16.3-beta		1ede51def07cd37bb764d6743ff46d096ad3ee29
aws.sdk.kotlin	evidently-jvm	0.16.4-beta		642e47b48ef0f3b004cd6eac85bc33113a716111
aws.sdk.kotlin	evidently-jvm	0.16.5-beta		4b85dc2e9fdd0038ff74e0cdac86d0b54c48f897
aws.sdk.kotlin	evidently-jvm	0.16.6-beta		b36e358ab6c083e60abe04371c45dbabfecab227
aws.sdk.kotlin	evidently-jvm	0.16.7-beta		92e2224dc8d2849c095b3d5db97ea1bb97c1a099
aws.sdk.kotlin	evidently-jvm	0.17.0-beta		e44e2a3bb955e516dc460cc5ba5029ec90cf2691
aws.sdk.kotlin	evidently-jvm	0.17.1-beta		4d7f7cf9f00efb8cbfb880febd8b3dd42c3e18b4
aws.sdk.kotlin	evidently-jvm	0.17.10-beta		b9278bdbd6e8fc9750a9d9cefb50f76048d87fc5
aws.sdk.kotlin	evidently-jvm	0.17.11-beta		f1ef921fe5469b581e78b8b5a41c3a1045cc87a1
aws.sdk.kotlin	evidently-jvm	0.17.12-beta		286bbb1ef63e19bd3660886230b34c9002546252
aws.sdk.kotlin	evidently-jvm	0.17.2-beta		f792ca23805f5d308ebf31373a88dabb4b2194c0
aws.sdk.kotlin	evidently-jvm	0.17.3-beta		6eeb77ebf4cb9e9574d78de48f96e2c3f8f4cba0
aws.sdk.kotlin	evidently-jvm	0.17.4-beta		f2f2dd09f5bc329562dceca8cf7fc40b2bf3d8fe
aws.sdk.kotlin	evidently-jvm	0.17.5-beta		0ba4f7d4486546ecff5f4678268b9052dd63891e
aws.sdk.kotlin	evidently-jvm	0.17.6-beta		64af7f03c097ff3bda5e082bfce12818c525ef77
aws.sdk.kotlin	evidently-jvm	0.17.7-beta		aef972318c1be917775cf44ee72086de353da103
aws.sdk.kotlin	evidently-jvm	0.17.8-beta		eb8c271a4fc1804742e817248224e8560dd9629e
aws.sdk.kotlin	evidently-jvm	0.17.9-beta		02f6c2969db32049d29823c5dc49df1ae7d64c02
aws.sdk.kotlin	evidently-jvm	0.18.0-beta		182b0ad549681931628a2e7fba69b9330625009a
aws.sdk.kotlin	evidently-jvm	0.19.0-beta		2ef89289ded338807de307576decd9d8157080de
aws.sdk.kotlin	evidently-jvm	0.19.1-beta		9a88cf1f9895d9d4d7113dc32ccf1c707e3f16cb
aws.sdk.kotlin	evidently-jvm	0.19.2-beta		dd29ead2088c588558a8905989b51bc2b8e443a5
aws.sdk.kotlin	evidently-jvm	0.19.3-beta		6cf3d5d5edcf4e49accdaac9af3c6538f1d91991
aws.sdk.kotlin	evidently-jvm	0.19.4-beta		5ad5ee87e91049b8da18ed75e5269887e46dc942
aws.sdk.kotlin	evidently-jvm	0.19.5-beta		73760803339ee16cc1ba5e4f5c3b2c09ad91d5a3
aws.sdk.kotlin	evidently-jvm	0.20.0-beta		330edc3306ebbbc7627d7799c4ee526ac85a2e8c
aws.sdk.kotlin	evidently-jvm	0.20.1-beta		689d5a27c18c99a054a5ee1f5dbf63dc7ef251ae
aws.sdk.kotlin	evidently-jvm	0.20.2-beta		95cecc7b7d10f9a7e2d27409c396e2a9a3635be4
aws.sdk.kotlin	evidently-jvm	0.20.3-beta		8cb9db7d29b4f8826f3845da846edd604b2aee72
aws.sdk.kotlin	evidently-jvm	0.21.0-beta		712144cb4aec6954fbffa388dcb2c0cbfecb9744
aws.sdk.kotlin	evidently-jvm	0.21.1-beta		656e964691b1f3f4870ab11044eaa46606d62aed
aws.sdk.kotlin	evidently-jvm	0.21.2-beta		68d5939a9265363f15bb23cfe56eca2d7a42794e
aws.sdk.kotlin	evidently-jvm	0.21.3-beta		51b23acd923f319fa67cfff540043ca8ac8dd159
aws.sdk.kotlin	evidently-jvm	0.21.4-beta		2a782029a556a5f4d65229b8c7c94472dac2811b
aws.sdk.kotlin	evidently-jvm	0.21.5-beta		1c805791308f12d5d80fc63533d0a5147392043f
aws.sdk.kotlin	evidently-jvm	0.22.0-beta		df1b5a74ec894131bd83826270942b02ffdf30c4
aws.sdk.kotlin	evidently-jvm	0.22.1-beta		7291e2721dff4cbee6d9685f8136dceab12d9791
aws.sdk.kotlin	evidently-jvm	0.23.0-beta		ea1dff660175f47c621cfa10fca60bddbc3ce73f
aws.sdk.kotlin	evidently-jvm	0.24.0-beta		22da6dc97291fb1ed0f9404a3be45219e30f63ee
aws.sdk.kotlin	evidently-jvm	0.25.0-beta		890dc1f0e62adee180d8bdffcefbcb3a4f3bc421
aws.sdk.kotlin	evidently-jvm	0.26.0-beta		57aa3eb27803a0706126043942bca5f1cfcdc5f2
aws.sdk.kotlin	evidently-jvm	0.26.1-beta		8b4e6fd990155e469f140c5ee150bc4817100678
aws.sdk.kotlin	evidently-jvm	0.27.0-beta		7a55e5876b224e5536ebc19bba2e65812b08cc1d
aws.sdk.kotlin	evidently-jvm	0.27.1-beta		eaff563d37e912e9308c36f882b20bfd35705a26
aws.sdk.kotlin	evidently-jvm	0.27.2-beta		c747383351292a0dff2d189052635b183a75574b
aws.sdk.kotlin	evidently-jvm	0.28.0-beta		126021b783326887d385b51315406bb5c7d55c75
aws.sdk.kotlin	evidently-jvm	0.28.1-beta		588cd6c82041dec24cf51a9888c3bf61a8b9505f
aws.sdk.kotlin	evidently-jvm	0.28.2-beta		8d4d249520e014eadb534754e053ce6260f25f5d
aws.sdk.kotlin	evidently-jvm	0.29.0-beta		9820909709a6148820b6c54f97f3297266ae1417
aws.sdk.kotlin	evidently-jvm	0.29.1-beta		68153acbadcaf63837fc7036e2e922345112c5bb
aws.sdk.kotlin	evidently-jvm	0.30.0-beta		041079d1715b7bc49cbad6659b669f600fb06cc3
aws.sdk.kotlin	evidently-jvm	0.30.1-beta		f2e135ada662970a950b8d503eff25c370cbc630
aws.sdk.kotlin	evidently-jvm	0.31.0-beta		93cf3d7e9ff0d87a0deed79b34811364bc217383
aws.sdk.kotlin	evidently-jvm	0.32.0-beta		44a2c106b280b5ad3f987d0f07a03748a5b156c3
aws.sdk.kotlin	evidently-jvm	0.32.1-beta		e030279a8d1c51bb047a60ae318d63d597668c1e
aws.sdk.kotlin	evidently-jvm	0.32.2-beta		6f3624cfa1d5a4843c1121f1f3043e8d141d61f8
aws.sdk.kotlin	evidently-jvm	0.32.3-beta		f7ce2a2e8697a2ecf3cb5e1dcaf7327e98fb0784
aws.sdk.kotlin	evidently-jvm	0.32.4-beta		6faf6a3fb07bc9743e001d4f88768551e31d0d4f
aws.sdk.kotlin	evidently-jvm	0.32.5-beta		b8dc0d19551f4cd55c9cb96b36e91d3387c90176
aws.sdk.kotlin	evidently-jvm	0.33.0-beta		240ace527c912be233d6451f74ce79cc7cf437c1
aws.sdk.kotlin	evidently-jvm	0.33.1-beta		75c5597d820f30ffd2c764f7d6a5519d456f309e
aws.sdk.kotlin	evidently-jvm	0.34.0-beta		280bda05b073e37d260e6ea84a1c4d98b5fc4806
aws.sdk.kotlin	evidently-jvm	0.34.1-beta		a543ee56972b93a4d7005df0a91f75125ede5856
aws.sdk.kotlin	evidently-jvm	0.34.2-beta		4839c1ff5924808b308503f667e993d76791df7e
aws.sdk.kotlin	evidently-jvm	0.34.3-beta		e0479f30ab9c537c83a523b3c34d3bb50acf7577
aws.sdk.kotlin	evidently-jvm	0.34.4-beta		45f72df8f729b91641aa83d3911677c511410819
aws.sdk.kotlin	evidently-jvm	0.34.5-beta		b74a7cade9a2cde3350753de4bf2affe4f3f7195
aws.sdk.kotlin	evidently-jvm	0.34.6-beta		392e80eda7c651531d21dc2230776f504db781ce
aws.sdk.kotlin	evidently-jvm	0.34.7-beta		c33e046b79a779ac4b33307bf981f8f69cc85821
aws.sdk.kotlin	evidently-jvm	0.34.8-beta		76ecf2b5822b61e325d8c7232c8df21a7931dcdf
aws.sdk.kotlin	evidently-jvm	0.34.9-beta		9d6cbf34a0453ad57ec22ec229bf0caec22a9207
aws.sdk.kotlin	evidently-jvm	0.35.0-beta		190d0fbfea1018eb93013f9e199356882cdda00b
aws.sdk.kotlin	evidently-jvm	0.35.1-beta		31e50a6f204110180d8e06f560b281303b1fd8b8
aws.sdk.kotlin	evidently-jvm	0.36.0-beta		188407e5fd91e13f0cb3233189cfcd75c4c458f7
aws.sdk.kotlin	evidently-jvm	0.36.1-beta		d54fdf1be96717a8ebc527cd80dd6ba21ddd0992
aws.sdk.kotlin	evidently-jvm	1.0.0		f18d5c787e6b28e6279a864e3804eda9999a72ba
aws.sdk.kotlin	evidently-jvm	1.0.1		895061c6dbc4a93be40637358e0d8c77bca774aa
aws.sdk.kotlin	evidently-jvm	1.0.10		4ba13e73dbc68ba20d76ce9f81c6578bea4930bd
aws.sdk.kotlin	evidently-jvm	1.0.11		871316a1de190326e7bce044ffbbcf20252fb78c
aws.sdk.kotlin	evidently-jvm	1.0.12		3516793634ff11bfe5ac886921a55f64f680d66a
aws.sdk.kotlin	evidently-jvm	1.0.13		e4ec889554cbee200ef8a56ff020d123ae4be641
aws.sdk.kotlin	evidently-jvm	1.0.14		fb8bf512f673a8763c780f4e52e5221e7a3ec58c
aws.sdk.kotlin	evidently-jvm	1.0.15		5f46200b4ab446068608001554d124ba6427063c
aws.sdk.kotlin	evidently-jvm	1.0.16		ee0798ff835031a3d135e38e52bf02cde7d0afa0
aws.sdk.kotlin	evidently-jvm	1.0.17		faf3536cbc7ac96a228fb905867d5f4a6bb1e967
aws.sdk.kotlin	evidently-jvm	1.0.18		4e94c1913b95aac0378eb19c85b197d5f72a7fca
