au.csiro	elk-util-parent	0.5.0		N/A
co.trikita	anvil-appcompat-v7	0.3.4		N/A
co.trikita	anvil-appcompat-v7	0.3.5		N/A
co.trikita	anvil-appcompat-v7	0.3.6		N/A
co.trikita	anvil-appcompat-v7	0.4.0		N/A
co.trikita	anvil-appcompat-v7	0.5.0		N/A
co.trikita	anvil-appcompat-v7	0.5.1		N/A
co.trikita	anvil-appcompat-v7	0.5.2		N/A
com.anrisoftware.gsanalysis	gsanalysis-core	3.5		412a3ee0cd2c3b1b797a698720a38c0c3b0a4caa
com.antgroup.tugraph	calcite-linq4j	1.18.0-geaflow_1.0		d402e1b3f1ec9faf5e5894d816f525c74ae97da1
com.dadrox	sbt-junit_2.9.3	0.1		aea21b08d06910a60f3078774d5877e343495bdd
com.dlocal.android	mobile-checkout	0.0.1		N/A
com.dlocal.android	mobile-checkout	0.0.2		N/A
com.dlocal.android	mobile-checkout	0.0.3		N/A
com.dlocal.android	mobile-checkout	0.0.4		N/A
com.dlocal.android	mobile-checkout	0.0.5		N/A
com.dlocal.android	mobile-checkout	0.0.6		N/A
com.dlocal.android	mobile-checkout	0.0.7		N/A
com.dlocal.android	mobile-checkout	0.1.0		N/A
com.dlocal.android	mobile-checkout	0.1.1		N/A
com.dlocal.android	mobile-checkout	0.1.2		N/A
com.dlocal.android	mobile-checkout	0.1.3		N/A
com.dlocal.android	mobile-checkout	0.1.4		N/A
com.dlocal.android	mobile-checkout	0.2.0		N/A
com.dlocal.android	mobile-checkout	1.0.0		N/A
com.dwolla	async-utils-twitter-ce3_2.12	0.0.1		07a0ba8e1ac4c816e959d65ceb078c57c7e17526
com.dwolla	async-utils-twitter-ce3_2.12	0.0.10		6f5ec40d5c39a67fc5f703a315a1336849ce192f
com.dwolla	async-utils-twitter-ce3_2.12	0.0.2		8dc4f36e50dab2d39a6a11ab64498a2436004137
com.dwolla	async-utils-twitter-ce3_2.12	0.0.3		0efd20ff34dd8ba132d028e2085a3fdcb64d7cde
com.dwolla	async-utils-twitter-ce3_2.12	0.0.4		d0b16cbb0c839c22477d3bc0b957154d9384e9af
com.dwolla	async-utils-twitter-ce3_2.12	0.0.5		4e4b0a89a0d1a629d84247015194e4cd48cd61a7
com.dwolla	async-utils-twitter-ce3_2.12	0.0.6		41b42c06c81c70717b7f563e1801b66ada59ee68
com.dwolla	async-utils-twitter-ce3_2.12	0.0.7		ca3b5a9aa55834f6360dcf7d63aa610bea78b3fc
com.dwolla	async-utils-twitter-ce3_2.12	0.0.8		1a5c7de824be69a560fef613666bc7a235d6a20a
com.dwolla	async-utils-twitter-ce3_2.12	0.0.9		952909055cfabd137e96c99e5e08254517020c72
com.github.danslapman	morphling_2.13	2.6.0		2e0d49a9ca67af5ee8e91831ec1a79c864517bd2
com.github.danslapman	morphling_2.13	2.7.0		e5ca738cf120af90c51fe5cd8c5f51ea5b823cee
com.github.danslapman	morphling_2.13	2.7.0-glass		06fae327c9a458828749aee44c77fbcfe18d62f9
com.github.danslapman	morphling_2.13	3.0.0		3a3263384edb6d7fb7df4e36ca0f38fdd2498095
com.github.danslapman	morphling_2.13	3.1.0		50aa62864379abf8b85eb69ce3525986fa4619f5
com.github.danslapman	morphling_2.13	3.2.0		25e8071051b0a922b2a61bda3cb194e7ca334bf8
com.github.danslapman	morphling_2.13	4.0.0		4503dc39b20c0afe0fc7db42b5e3edc3999ee683
com.github.eikek	emil-common_3	0.10.0		f6ccde28adb0e048d52a5fa777593af4c3ffb779
com.github.eikek	emil-common_3	0.10.0-M1		425d4f3ab2fb2d8c7bc7b5bc3ede9af0fdc7a625
com.github.eikek	emil-common_3	0.10.0-M2		896d779431908d5a27b5962a53bf5d3ff1aba135
com.github.eikek	emil-common_3	0.10.0-M3		27f74ac6bc02a25ce2ca3110b2010ab020e1caf2
com.github.eikek	emil-common_3	0.11.0		6b12cc0f6bb5388d6623baaae3445d8a3b7ef7ca
com.github.eikek	emil-common_3	0.11.1		ebaa6f7fda69d1c2f5f73bbea40a2278dcda6030
com.github.eikek	emil-common_3	0.11.2		427feaf5a5905f58198ec6d63b2d874da4067bc4
com.github.eikek	emil-common_3	0.12.0		4bc4547e6a648eef24fbc83e002ab88e32431082
com.github.eikek	emil-common_3	0.13.0		618fa4f4dbc67c1d8d21b7a4f7f2838c1dd80742
com.github.eikek	emil-common_3	0.14.0		8af0bae19dda5d54571c52e66c5337c6ab270043
com.github.eikek	emil-common_3	0.15.0		3c59f624d87932f97bda387daad9d2d6c0d7be56
com.github.eikek	emil-common_3	0.16.1		5a58713c8d299bf26681ef0098405512dcfde0c2
com.github.eikek	emil-common_3	0.17.0		17cfa25dcbebb44bf257eeb9e976a6db9be7feb3
com.github.eikek	emil-common_3	0.18.0		e1957422da7804cf425d44b6c905a7f2b06c7a38
com.github.eikek	emil-common_3	0.19.0		82f1acf2228d12b92e8b75f324a22561bd0ca7af
com.github.leeonky	project	0.0.25null		81af9cfd6b781e2e199669a453d6b86aa9b4b372
com.github.leeonky	project	0.0.3null		b3724457dc3bbc90d485ab6cc7d98ec6a75b8c38
com.github.leeonky	project	0.0.6null		d993e6a76330f9e41a91f1b0cd0fc1ba09ac7967
com.github.leeonky	project	0.3.15null		4da3420a9f5727e56b7656fc72e8ececa36dee68
com.github.leeonky	project	0.5.3null		52a1719950f21b750a313ace31affe4e709ba281
com.github.vignesh-s	butterfork-plugin	2.0.2		0a7191833523127cb406468e07142a0efd1a798e
com.gitlab.lae.feistel	feistel-benchmark	0.1-beta3		7520fb9971e7dfa0d4bafc27e3b4b23ec781000b
com.gitlab.lae.feistel	feistel-benchmark	0.1-beta4		7519263a3633524fb51394029a5158da32878e11
com.gu	fapiclient_core_3	12.1.1-PREVIEW.add-etag-caching-support.2024-10-31T1659.23b11d9e		5482774bc65efba0b9dabe83644923980b48d2c9
com.gu	fapiclient_core_3	13.1.1-PREVIEW.add-etag-caching-support.2024-12-13T1538.9cf190cd		aee27fb69aa76bba90c6c62f8c56062f46952c6d
com.gu	fapiclient_core_3	13.1.1-PREVIEW.add-etag-caching-support.2024-12-13T1851.9f8c191c		67cfe6393920ecd98eaa89c84698f9978bf4420f
com.gu	fapiclient_core_3	13.1.1-PREVIEW.add-etag-caching-support.2025-01-03T1201.daaa4d6e		1d97b6929ceb35ec79134ed1a5a789a2b4f75a3b
com.gu	fapiclient_core_3	13.1.1-PREVIEW.add-etag-caching-support.2025-01-03T1238.6de8ec13		d6b6fd295e3c9481427e8b459cbe2b501fdf5195
com.gu	fapiclient_core_3	13.1.1-PREVIEW.add-etag-caching-support.2025-01-07T1516.ba8e60c2		6e1a052783bedbb8ac4ffeeef85766c9b21b58b5
com.gu	fapiclient_core_3	14.0.1		b71915be103e696ad32b41538b2fe23486b88947
com.gu	fapiclient_core_3	14.0.1-PREVIEW.add-etag-caching-support.2025-01-08T1105.4db52b99		0a8e812a1c5105528affea6155db2d7660c70b37
com.gu	fapiclient_core_3	15.0.0		26ebb25c5af8b7a2bf61bfb39b2285ad1479fe2e
com.gu	fapiclient_core_3	15.1.0-PREVIEW.ablimit-sublinks.2025-02-26T1346.c3f75b8d		b960a31e369c03d1623e08be1c6fd1447f574423
com.gu	fapiclient_core_3	15.1.0-PREVIEW.ablimit-sublinks.2025-02-27T0922.c3f75b8d		c74e32783b5e4a78a8585fbae9f24d21ee433169
com.gu	fapiclient_core_3	16.0.0		3f4bfea1ba6349279e11c5e011b2b171044a8a0d
com.gu	fapiclient_core_3	16.0.0-PREVIEW.fpadd-groups-config-field.2025-02-20T1431.ad3fd9c8		11ebe462d1b3dcc4005ecd2faa1fa078557703ad
com.gu	fapiclient_core_3	16.0.0-PREVIEW.fpadd-groups-config-field.2025-02-21T1227.15f48131		f41b9c944b6c0a2061beed202aa5fe4b56de9279
com.gu	fapiclient_core_3	16.0.0-PREVIEW.fpadd-groups-config-field.2025-02-27T1049.d2bf5892		5d5384d351aea863c3da383122b3a519ff8c5915
com.gu	fapiclient_core_3	16.0.0-PREVIEW.fpadd-groups-config-field.2025-02-27T1137.14edb1c0		f992c4c83480c71435d422d049b4675fcdc1f159
com.gu	fapiclient_core_3	16.1.0		b2d266847af3bbaf91a49dd2c712a8049cdb74ba
com.gu	fapiclient_core_3	16.1.0-PREVIEW.absublink-limiting.2025-03-06T1724.2a877e81		27e032bf82bea2b4608316ad117382896241d3b2
com.gu	fapiclient_core_3	16.1.1		58494c93bddb0d1225cf1232f3d2d76653963f38
com.gu	fapiclient_core_3	16.1.1-PREVIEW.absublink-limits.2025-03-12T1509.ae46edcb		e830bb9290268b8d9c8ecc1c642b0a97e9fc949a
com.gu	fapiclient_core_3	16.1.2		6bb0003cad98cd331427ce9dee4175dd00be98cc
com.gu	fapiclient_core_3	16.1.2-PREVIEW.absplash-card-flex-special.2025-04-02T1008.a26d1061		5dc09d877416d704095a619067b353e482a90a79
com.gu	fapiclient_core_3	17.0.0		346b14e3d4ad6af82eb1340b0ec52df83d4da197
com.gu	fapiclient_core_3	17.0.0-PREVIEW.dfmore-facia-content-fields.2025-03-26T1804.b4bc4f7f		8ac4554f5f69951e3685ae8fac8e363a5743a47f
com.gu	fapiclient_core_3	17.0.0-PREVIEW.dl-abimmersive.2025-03-26T1619.199dda26		d8ffad9881c2ac669c3090f33aa8e66277c6bec1
com.gu	fapiclient_core_3	17.0.0-PREVIEW.dl-abimmersive.2025-03-26T1702.a09a9468		4ce4706af0e5a4f0f9d838e420830c5d3b0eb690
com.gu	fapiclient_core_3	17.0.0-PREVIEW.dl-abimmersive.2025-03-31T1429.4a4be421		6a8fc06f6d5e174d0c8332b3ad628d48697bd555
com.gu	fapiclient_core_3	18.0.0		d53206a80ca07658f1068024ec98d63e9b372e3b
com.gu	fapiclient_core_3	18.0.1		36d011cf1bfa31311c4bffa0fe61cec72e9a407d
com.gu	fapiclient_core_3	18.1.0		7742380d58d921ef4e57538ffecea5fa89ff61aa
com.gu	fapiclient_core_3	18.1.0-PREVIEW.group-based-default-boosts.2025-04-29T1545.8b129dd5		138fffa23f4d639473d2378d9c8b0a9c1be7b141
com.gu	fapiclient_core_3	18.1.0-PREVIEW.group-based-default-boosts.2025-04-30T1029.90f88dee		258dd584c036796b76e2c4985daea747182577f1
com.gu	fapiclient_core_3	18.1.0-PREVIEW.group-based-default-boosts.2025-05-01T0848.344c70a0		2fa873e20ba3380f82c11c5e2ec1c83e8ab5ab79
com.gu	fapiclient_core_3	18.1.0-PREVIEW.group-based-default-boosts.2025-05-01T1308.2fd5da37		a8a6c6d1ff25d4d80df11d4a7e9990ec09bc8024
com.gu	fapiclient_core_3	18.1.1		47a7d65999aa6198b5ed343d2ecc21e5e6cb2944
com.gu	fapiclient_core_3	19.0.0-PREVIEW.fpallow-media-atoms.2025-04-14T1417.bc08f21d		e71139b53d02e024404cfcb24c4087ba02304612
com.gu	fapiclient_core_3	19.0.0-PREVIEW.fpallow-media-atoms.2025-04-24T1539.ea7f07a0		900423e3d74e5bc3a032e75f15c9204274cdeaab
com.gu	fapiclient_core_3	19.0.0-PREVIEW.fpallow-media-atoms.2025-05-01T1033.4a4d2a24		d67284987cdf59410defa38ac2cb9d4e2e7762eb
com.gu	fapiclient_core_3	19.0.0-PREVIEW.fpallow-media-atoms.2025-05-09T1007.0266482a		d753a87d15268a2e9e49c81adb0fe71c041f43ca
com.gu	fapiclient_core_3	19.0.0-PREVIEW.fpallow-media-atoms.2025-05-15T1413.90f28479		524ae76af37f6e0a081b7c6bbfde6febd5699b75
com.ibm.websphere.appserver.api	com.ibm.websphere.appserver.api.webcontainer.security.app	1.0.0		5ab5cd6a168ed927810f2d41a8158da3dc1c353d
