au.id.tmm.github-pr-language-detection	github-pr-language-detection-lib_2.13	0.0.2		0c3365543e3d65dcbe8d75be665ac038f6a7a08a
aws.sdk.kotlin	mq-jvm	0.16.0		10fd491b189380dad7afe9368f17bb5008bfa628
aws.sdk.kotlin	mq-jvm	0.16.1-beta		59aca6ee06e576418a4118936fc126ced26bc46a
aws.sdk.kotlin	mq-jvm	0.16.2-beta		d983d1a5a69f93d4b851e347a2cd6c0e764136d5
aws.sdk.kotlin	mq-jvm	0.16.3-beta		7168ad3614e3df5aa49d597226d47720f37dad92
aws.sdk.kotlin	mq-jvm	0.16.4-beta		e75388b8ba90813b52331353464a2e0fc7bf356b
aws.sdk.kotlin	mq-jvm	0.16.5-beta		d728e7750a0310d846f02fe7ace81306020be981
aws.sdk.kotlin	mq-jvm	0.16.6-beta		82483dbc1f48346d9e17afe8677938dd55d0ca4c
aws.sdk.kotlin	mq-jvm	0.16.7-beta		74b00314bcfd419134de7078a4249bf36d2f79ee
aws.sdk.kotlin	mq-jvm	0.17.0-beta		9bc07dc3e59b5bbba85f0891959a9535685c762e
aws.sdk.kotlin	mq-jvm	0.17.1-beta		dc5dd601f2eba15a60e48d52c10445752ac56767
aws.sdk.kotlin	mq-jvm	0.17.10-beta		2f3a6ec1b06f5a57950cd47ccc572f384c2a48ee
aws.sdk.kotlin	mq-jvm	0.17.11-beta		8da2c477444b22f79bca03df4fc9cf6c376a7c71
aws.sdk.kotlin	mq-jvm	0.17.12-beta		4033472cbf85875cee913cf0ee8e2851bbd8be7c
aws.sdk.kotlin	mq-jvm	0.17.2-beta		9117e50922ce95327749aa6e810153899023f776
aws.sdk.kotlin	mq-jvm	0.17.3-beta		4213cef6922ef5c1e4932211342b34288eb31fd7
aws.sdk.kotlin	mq-jvm	0.17.4-beta		9296d51f11dd1eeef8358067ba2f821a274f3deb
aws.sdk.kotlin	mq-jvm	0.17.5-beta		a37b0a5421d8da9cc294962d2efa2aa6daf734c1
aws.sdk.kotlin	mq-jvm	0.17.6-beta		7f5b054007f1608f329c5e51af068de3f01b3eea
aws.sdk.kotlin	mq-jvm	0.17.7-beta		9be6798052e5a23e038615c1cff5c9567d2a69d1
aws.sdk.kotlin	mq-jvm	0.17.8-beta		9392a21299994124082d966f8fc3b9b23a15b4f3
aws.sdk.kotlin	mq-jvm	0.17.9-beta		962beb40556191a8975e932009d6843d315df439
aws.sdk.kotlin	mq-jvm	0.18.0-beta		17fa779dc1a62ad4e67f4682fe96fcadaac47b9c
aws.sdk.kotlin	mq-jvm	0.19.0-beta		9b63bcf014db09f3129f010de5a3ca374c0eda71
aws.sdk.kotlin	mq-jvm	0.19.1-beta		d3182a8d1f24d1e9ab5a8c203dd10e15e041a980
aws.sdk.kotlin	mq-jvm	0.19.2-beta		e788d6dabc96c8fef3503254f9e98bd15fed66a2
aws.sdk.kotlin	mq-jvm	0.19.3-beta		8f95b3fef0eb436ef809b2aec73de94e7ecce840
aws.sdk.kotlin	mq-jvm	0.19.4-beta		a4c75d67c6ce8a418413e4b83925cd75b8d9aac2
aws.sdk.kotlin	mq-jvm	0.19.5-beta		4ce066d7be16ec58552a054f748b393140d5ac4f
aws.sdk.kotlin	mq-jvm	0.20.0-beta		b5e100532ce38dc40fc86a1341ffc50ae3c014bc
aws.sdk.kotlin	mq-jvm	0.20.1-beta		d7e4b144cecb725a68ae18852de0341e0f7ea1f0
aws.sdk.kotlin	mq-jvm	0.20.2-beta		e26fc8e1243c250beb59cb43dd847f60a99eb0eb
aws.sdk.kotlin	mq-jvm	0.20.3-beta		971ebbb4dc928e7495523aa43df32d4089ab82d9
aws.sdk.kotlin	mq-jvm	0.21.0-beta		5fc5024b08f5193ff9c026f5a999562de0a2ef4f
aws.sdk.kotlin	mq-jvm	0.21.1-beta		44de749b41690659abd78111d8d2863368b3703b
aws.sdk.kotlin	mq-jvm	0.21.2-beta		092267da2dfc83b7d88f24616a15d074ee2d3a7d
aws.sdk.kotlin	mq-jvm	0.21.3-beta		c7e0e6925a936cc14fe1b133ef1ef4fc38dbd061
aws.sdk.kotlin	mq-jvm	0.21.4-beta		ac3bd051e14781a8990bf48277af39a0c5f29b3b
aws.sdk.kotlin	mq-jvm	0.21.5-beta		6b003eeccee284f5e21ba7414cf0c5934664142d
aws.sdk.kotlin	mq-jvm	0.22.0-beta		a9f704d69b1d4d7e42e01e426994061b00605e4f
aws.sdk.kotlin	mq-jvm	0.22.1-beta		fd72d9fb544b698b4a361fdaaf4f5c4e19c3d7e1
aws.sdk.kotlin	mq-jvm	0.23.0-beta		b96ad58e45832a51c43375bd338a6730acdd0fe5
aws.sdk.kotlin	mq-jvm	0.24.0-beta		20b442c253c4368a09cd36d5343c60dd2c584253
aws.sdk.kotlin	mq-jvm	0.25.0-beta		8e57929e303ad301d8534db3fa142c8d9ce5884a
aws.sdk.kotlin	mq-jvm	0.26.0-beta		0ffd1d84d34ff149f56f20a7d1dfd2b6355a88be
aws.sdk.kotlin	mq-jvm	0.26.1-beta		47e519b7c11eda2bf7f27d281fdcba58041abb77
aws.sdk.kotlin	mq-jvm	0.27.0-beta		0fcef3f7ca3474e935e7618e58bd73938c9f926f
aws.sdk.kotlin	mq-jvm	0.27.1-beta		baf4ab27e5d7126451b41d54f8f92ec495ae1503
aws.sdk.kotlin	mq-jvm	0.27.2-beta		89b206712643cbc948a82b27ed0d55df60050057
aws.sdk.kotlin	mq-jvm	0.28.0-beta		cc29137cd7a5b65da86b8d07024eacb84470dd91
aws.sdk.kotlin	mq-jvm	0.28.1-beta		c483cc4ffea7b6e04b48f6b22924e0a9d7f813a8
aws.sdk.kotlin	mq-jvm	0.28.2-beta		c0a06b3519a0925b904a544e559da108f7829fa2
aws.sdk.kotlin	mq-jvm	0.29.0-beta		aff06c580315c1f75e5ad33feaa006d4f29cbd2d
aws.sdk.kotlin	mq-jvm	0.29.1-beta		78d40c9d2630f3ea849d00ee8ef0702b07be060d
aws.sdk.kotlin	mq-jvm	0.30.0-beta		c2c4d578684b997cc9b5b4fbef0f4fecd482847a
aws.sdk.kotlin	mq-jvm	0.30.1-beta		25de4816751c08a9f5bdc53fea9393e35534e1cf
aws.sdk.kotlin	mq-jvm	0.31.0-beta		0bcb81c3e7c3b489c595ece0b702b59a2c776ff2
aws.sdk.kotlin	mq-jvm	0.32.0-beta		0c20ec652c7b5544b1440bf3a465cc1b85bb2a47
aws.sdk.kotlin	mq-jvm	0.32.1-beta		87447b7e90521b6acf919eed7094ec6e0934f5c4
aws.sdk.kotlin	mq-jvm	0.32.2-beta		e7645e3037b17fe01e58cae539f53752e9f41512
aws.sdk.kotlin	mq-jvm	0.32.3-beta		f6597618e98857300812eb5520dadb9d89845fe4
aws.sdk.kotlin	mq-jvm	0.32.4-beta		9a6814349e66b84a62fcf459005b4bd9a49de4ef
aws.sdk.kotlin	mq-jvm	0.32.5-beta		0a944ce4a6b25f072b75dc0586d3d9c0bf3d7c80
aws.sdk.kotlin	mq-jvm	0.33.0-beta		0eafc3210c8753759fa4837bee77e245124eb55b
aws.sdk.kotlin	mq-jvm	0.33.1-beta		9c29d668acb19aff5d6cdba3f62a77e1077f7904
aws.sdk.kotlin	mq-jvm	0.34.0-beta		3d265bf6f28cd6d19a4cd3167c50dcbcc0a14caf
aws.sdk.kotlin	mq-jvm	0.34.1-beta		a59ba36d6efee7429aeb8765847631bae0bb8345
aws.sdk.kotlin	mq-jvm	0.34.2-beta		8385b44868ed5bd0129f00ea39d50b5446fbcf62
aws.sdk.kotlin	mq-jvm	0.34.3-beta		13867cd4bc99b3dccb3ccf9d8daaef07baef807b
aws.sdk.kotlin	mq-jvm	0.34.4-beta		9ce14fe1eb26adce18af774c77a89cafadc303a1
aws.sdk.kotlin	mq-jvm	0.34.5-beta		4d2e29eec183b823bbbbf8efd25b1be4d977edb2
aws.sdk.kotlin	mq-jvm	0.34.6-beta		2820d8f65379775792993dc790f523c38b360141
aws.sdk.kotlin	mq-jvm	0.34.7-beta		0a833ac55e28dd4d3522e40dd24304374e63488a
aws.sdk.kotlin	mq-jvm	0.34.8-beta		7c25d816fb74c72fbc2a3395e5ccf209bc183dd8
aws.sdk.kotlin	mq-jvm	0.34.9-beta		a5c464560cfe95a78d50f0e326fa81e407422ee8
aws.sdk.kotlin	mq-jvm	0.35.0-beta		86eeec7796a38459a5ee7f2e4652ac646f36cbb0
aws.sdk.kotlin	mq-jvm	0.35.1-beta		e0e91939c494e575be7e2941063274f0d0ccf115
aws.sdk.kotlin	mq-jvm	0.36.0-beta		353d97f3ac5df7125f18cf304976a3390ad77838
aws.sdk.kotlin	mq-jvm	0.36.1-beta		0cc25ee4335360f4cebe1a2493bc3e53a8363d49
aws.sdk.kotlin	mq-jvm	1.0.0		b1b51ace9806f10d675631857f74f8c5970d95a4
aws.sdk.kotlin	mq-jvm	1.0.1		0d1e5385b1305410180c466dbf9ac24de0b2462d
aws.sdk.kotlin	mq-jvm	1.0.10		5596c1f4b6b871630bb34c50f5c5ded3d2c57365
aws.sdk.kotlin	mq-jvm	1.0.11		ddd2d274b2e80d5abbcfc1752438364b15cea545
aws.sdk.kotlin	mq-jvm	1.0.12		33f23487a903d93cc6c05bd6af4c46b0ebe819db
aws.sdk.kotlin	mq-jvm	1.0.13		77ebdc1b71f3ca2cfce65969918e62c8092d4682
aws.sdk.kotlin	mq-jvm	1.0.14		768fd024bcb502c4941d135a12246a8e0c15472a
aws.sdk.kotlin	mq-jvm	1.0.15		bdf27530b6b19b7f8da2466c5f00f39e41fded56
aws.sdk.kotlin	mq-jvm	1.0.16		e883ca2f229abd169a2636656d280011d961d61b
aws.sdk.kotlin	mq-jvm	1.0.17		d7c1e4b5824ace6c5ffe91c81a243ca177a0ce0f
aws.sdk.kotlin	mq-jvm	1.0.18		dd315924a072182ffeda55ec2b0742309e77ee1b
aws.sdk.kotlin	mq-jvm	1.0.19		7e38b7e2109498e5dcac76513cd3ca8db937e017
