at.released.cassettes	cassettes-common-xdg-linuxx64	0.1-alpha01		N/A
ch.cern.spark	spark-repl_2.12	3.0.1		f25d778503aa1f86302ed13f156fea4a09032c40
cn.hyperchain.javasdk	hyperchainsdk	4.2.1		68d3efe96d9f2027ffe857ffd11e7420999c2b70
cn.hyperchain.javasdk	hyperchainsdk	4.2.2		7a55c3f032e90712b6321d1531e9eb5c6de50b4f
cn.hyperchain.javasdk	hyperchainsdk	4.2.3		3ede504766590b0420b6b3500cbc068d6762cecb
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.0		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.0-rc1		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.0-rc2		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.0-rc3		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.2		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.3		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.4		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.5		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.6		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.0.7		N/A
co.touchlab	stately-concurrent-collections-androidnativearm64	2.1.0		N/A
com.barrybecker4	bb4-cave	1.4		4688f78087fe99ced3947e307bfeed9bbccb65c8
com.barrybecker4	bb4-cave	1.5		f8ffb5924b0b84e9f3bc68f24d2ac7b280a36575
com.barrybecker4	bb4-cave	1.5	scaladoc	84b46bb26c63968cc4d4a6b714546e79ba9b0334
com.barrybecker4	bb4-cave	1.6		4f4fc08c6398209198479a7679a01f8bf50275e8
com.barrybecker4	bb4-cave	1.6	scaladoc	c3cb9ca857040a6300a99c13716d746819179d76
com.barrybecker4	bb4-cave	1.6.2		d2eaac2f5c733f786377e3d4ff553ab67f7164ff
com.barrybecker4	bb4-cave	1.6.2	scaladoc	2c71dcf9205250038220d95a1402799cdadb2565
com.braintreepayments.gateway	braintree-java	2.100.0		4601cbb77541b2b5eec50328414fc9f3540947e5
com.braintreepayments.gateway	braintree-java	2.101.0		ec8acb3c46adab545094161c7508404981a084e8
com.braintreepayments.gateway	braintree-java	2.102.0		918b6197ee1c2d48841edf35908533016478789e
com.braintreepayments.gateway	braintree-java	2.102.1		3472240da1384f0f269ce37f78ba918b3315ed46
com.braintreepayments.gateway	braintree-java	2.103.0		c51e015c59be3a5e95a3bdfa710c3b0bf6149c59
com.braintreepayments.gateway	braintree-java	2.104.0		bb52a0cd644301b790fcec5c18394e0c9f690aae
com.braintreepayments.gateway	braintree-java	2.105.0		ad6a1f7d497982ab0860284dfae354084b875bad
com.braintreepayments.gateway	braintree-java	2.106.0		3a4691082b064838797dca0ad1b5771f13464cb5
com.braintreepayments.gateway	braintree-java	2.107.0		5e0a0f810e7bd353d89900a3df35522f9b09df85
com.braintreepayments.gateway	braintree-java	2.108.0		76e6d86552755f6efc76a0b62d28ea529d0b65b3
com.braintreepayments.gateway	braintree-java	2.109.0		4ac4e15bd63dc0ed739c74cba39593c903878fd2
com.braintreepayments.gateway	braintree-java	2.22.1		4c0279806be8865d2a3653264127c4fe37d90b9b
com.braintreepayments.gateway	braintree-java	2.22.2		5ec25cd1ae43f1ea35c04505ae531b3df4ec5be0
com.braintreepayments.gateway	braintree-java	2.23.0		d427629b0dc51d81de045b8fde18a4a3beb64e5b
com.braintreepayments.gateway	braintree-java	2.24		995a96be459115771746c58ee1279c6b573335ec
com.braintreepayments.gateway	braintree-java	2.24.0		7894e7aaa827066b8daca557ac68e411f546cc91
com.braintreepayments.gateway	braintree-java	2.24.1		58f50e7faf248d54e7e76dc239251b0ef1aa7b45
com.braintreepayments.gateway	braintree-java	2.25.0		a909d41311da991246ebfe893e8886362271a1dc
com.braintreepayments.gateway	braintree-java	2.25.1		2e99bd6341520222097453118f609bbfe455e4a3
