com.adyen.checkout	dotpay-base	3.8.3		N/A
com.guicedee.services	zstd-jni	1.0.19.10-jre15		c20ee9a749a5e5bfa01a5406ef5a8de7b55fc7f9
com.guicedee.services	zstd-jni	1.0.19.10-jre8		bfe999755df136c3fc762b58d8569c7509529468
com.guicedee.services	zstd-jni	1.0.19.11		5cbb75e322cc5ecb976f82fe49dc2752411b1205
com.guicedee.services	zstd-jni	1.0.19.11-jre14		dabe88081ea9d127d2be880515cd64ae70d0d03a
com.guicedee.services	zstd-jni	1.0.19.11-jre8		e3a9394363894f0e7e3e3f2c3e5c17dd030b94ca
com.guicedee.services	zstd-jni	1.0.19.12-jre14		05730662267776b7f2be4eadbe43ec9b6834d947
com.guicedee.services	zstd-jni	1.0.19.12-jre8		b76310511406734293fda272e0a849ab7856586e
com.guicedee.services	zstd-jni	1.0.19.13		4473177688d82193eabd0491f4bf5598941e7714
com.guicedee.services	zstd-jni	1.0.19.13-jre14		c274d8257e726bc07cad27973194eceb30a64b0b
com.guicedee.services	zstd-jni	1.0.19.13-jre15		d680671dc07a581bb8341adc3c3c4919b64fb66c
com.guicedee.services	zstd-jni	1.0.19.13-jre8		2eecb8cf9416eaf7d4741326c67ab60cf3ad283b
com.guicedee.services	zstd-jni	1.0.19.2		4f9c4ed3ca848acea20ddea2487f3854127f69a7
com.guicedee.services	zstd-jni	1.0.19.2-jre13		34344cc6ba18c9bc586011cc92f4b2c09fca2688
com.guicedee.services	zstd-jni	1.0.19.2-jre14		67ca2e88653d064de6cb54ac95d988ca4e88dec2
com.guicedee.services	zstd-jni	1.0.19.2-jre15		75c42285b3f9093f38eba0cc5201a4e6e60358d6
com.guicedee.services	zstd-jni	1.0.19.2-jre8		a289f2c3dd67a4050b50218f4680d8d9fd43bff5
com.guicedee.services	zstd-jni	1.0.19.3		de4c1233f469709cf3d91a3353ee27ee8d5aebf7
com.guicedee.services	zstd-jni	1.0.19.3-jre13		d95f8c09eec9ef1a144d039f8ce3a1d0d585722d
com.guicedee.services	zstd-jni	1.0.19.3-jre14		aec9856f86ce2080cc115ad263588e13bcc33e7f
com.guicedee.services	zstd-jni	1.0.19.3-jre15		c05f7223833685f9018829126a26bd57ccbd782f
com.guicedee.services	zstd-jni	1.0.19.3-jre8		9f66b379db613d7127160b886c4506ae665cf48c
com.guicedee.services	zstd-jni	1.0.19.4		047404421dbe4b5f542ae28eaaab65d39fee530a
com.guicedee.services	zstd-jni	1.0.19.4-jre14		4117c5269b9b8a9e133411a55d6339198417d1df
com.guicedee.services	zstd-jni	1.0.19.4-jre15		0b84792bfde5343363b28446673702fe89a24eef
com.guicedee.services	zstd-jni	1.0.19.4-jre8		864ff12fadbc82ef6196ef5cd850e0a4c89e3e27
com.guicedee.services	zstd-jni	1.0.19.5		0299fad02fc613f592f47109abefd2bb3ee3bc82
com.guicedee.services	zstd-jni	1.0.19.5-jre14		4b1dceb39fc671f7a48ec0c51a275c0c8b924902
com.guicedee.services	zstd-jni	1.0.19.5-jre15		e551ba2a07782d862e8fe75e76895ae6042e2bd3
com.guicedee.services	zstd-jni	1.0.19.5-jre8		5f8a5c6ed33c3687ec6fa24631d9a620a0cc773c
com.guicedee.services	zstd-jni	1.0.19.6		cb3259e325d050107b08cf28619717657021d0d9
com.guicedee.services	zstd-jni	1.0.19.6-jre14		7e4e857ed278d4fc991826653968b370cc60258b
com.guicedee.services	zstd-jni	1.0.19.6-jre8		6399a436ba18dd642d121ae168a5fa21f4df3dd9
com.guicedee.services	zstd-jni	1.0.19.7-jre14		ce8b2de511c9f55ef902f919fc26a9a7e5d7ec49
com.guicedee.services	zstd-jni	1.0.19.7-jre8		bebbdbff4edca7170348a1a18dc7944778afe81b
com.guicedee.services	zstd-jni	1.0.19.8-jre8		7e93e2f44f25a2157fd2aba9db9b57515520f58b
com.guicedee.services	zstd-jni	1.0.19.9		4f582f038f7b95383e40326bd49bac0761f008ef
com.guicedee.services	zstd-jni	1.0.19.9-jre13		5eced3e55fa1465b902a2ee0fa197500d6d7287a
com.guicedee.services	zstd-jni	1.0.19.9-jre14		775e130c0cc0c89936114dcb1297aa4f14017a81
com.guicedee.services	zstd-jni	1.0.19.9-jre15		cd2150a3fcf321629a1a87b3a8be8c7d1bf13e0b
com.guicedee.services	zstd-jni	1.0.19.9-jre8		3877b64cb74912d02e096f392016b7d5f03dc170
com.guicedee.services	zstd-jni	1.0.20.0		651956e0fda5a7c65610bc796a5235f1015d0bc9
com.guicedee.services	zstd-jni	1.0.20.0-jre14		73a32ad9a08881b3e6fce8ee87a94aa26aa2b412
com.guicedee.services	zstd-jni	1.0.20.0-jre15		8a1b865200ccc8c5f807115ad943a8b5ff1d59d6
com.guicedee.services	zstd-jni	1.0.20.0-jre8		1beec465f1a3f3744a0f7fe16f9958fcc25923ae
com.guicedee.services	zstd-jni	1.0.20.1		b87003202da3e93201f6dde6db633e5dc61563a5
com.guicedee.services	zstd-jni	1.0.20.1-jre14		66aa5dcf55f53c08b6e3d601bb701a8a98df0582
com.guicedee.services	zstd-jni	1.0.20.1-jre15		5d8b70fb0dc308e42b5d4dd8a7c698a3479c358f
com.guicedee.services	zstd-jni	1.0.20.1-jre8		95b32cc2bcdc0913deea160cb7f0dc72bd46267a
com.guicedee.services	zstd-jni	1.0.20.2		cca8a597ab5ac94e2e9484d29ca7efc749853aad
com.guicedee.services	zstd-jni	1.0.20.2-jre14		7ac68dda0ff8d8ccf7b71c487e12eae7c8224db1
com.guicedee.services	zstd-jni	1.0.20.2-jre15		2e256429e1e4d398ea965c9d6801a227d0e13e88
com.guicedee.services	zstd-jni	1.0.20.2-jre8		1bc27818e942beb265e89aea2dd5d07bf36cb818
com.guicedee.services	zstd-jni	1.1.0.0-jre15		ff1208e3caaaa0c1f8808b3f522440b3f6632273
com.guicedee.services	zstd-jni	1.1.0.1		22b28b49da5e1ddec1d85052319cf31a12b07038
com.guicedee.services	zstd-jni	1.1.0.1-jre14		4ea59e5f50a9b3d1359f078634efd12cb4c71b08
com.guicedee.services	zstd-jni	1.1.0.1-jre15		0001cc9fe6bb40b6cf976c3b47e3b8cfb9d4e63f
com.guicedee.services	zstd-jni	1.1.0.2		fe411a40b87503ecef58f752a7e6db173b250e95
com.guicedee.services	zstd-jni	1.1.0.2-jre14		4b8f0be374a483d03b0884e64dc872de31264075
com.guicedee.services	zstd-jni	1.1.0.2-jre15		6839440f8b77ce2a8b93ffe4e6811bd4f8fb18ad
com.guicedee.services	zstd-jni	1.1.0.3		5041e60a03f86b3380c27e33a6630667dc1cf279
com.guicedee.services	zstd-jni	1.1.0.3-jre14		e10ee463b04545655478bcd8e152bd13b25ee577
com.guicedee.services	zstd-jni	1.1.0.3-jre15		8560517afbbd3dc17d3cf918bd101ff1e18f04b8
com.guicedee.services	zstd-jni	1.1.0.3-jre8		5edf4e721a4422ca4bd168dc8ac072bcc5aabd40
com.guicedee.services	zstd-jni	1.1.0.4-jre14		0dfca346d78f68bfef77710679ac6d663f7e3280
com.guicedee.services	zstd-jni	1.1.0.4-jre15		fad4d50ce7afae2105ee40e9a4c35b8d58652363
com.guicedee.services	zstd-jni	1.1.0.4-jre8		117495cb5ac8345199e93adc2ffe354fa0fdc992
com.guicedee.services	zstd-jni	1.1.0.5-jre14		57324ab396d831f3ecb0e94e4db7a8a979b2b181
com.guicedee.services	zstd-jni	1.1.0.5-jre15		30e88759caecd2a5d87fdcc28b3ca717ef7afe50
com.guicedee.services	zstd-jni	1.1.0.6		c6651737ad8549e62aae6712cb66eb34fa4f43c4
com.guicedee.services	zstd-jni	1.1.0.6-jre14		c89cb5223b393c4d7550c8cece257fb9c670f120
com.guicedee.services	zstd-jni	1.1.0.6-jre15		fa2d054cca0c3a13defc239d2bd190b03137a0df
