com.dougnoel	sentinel	1.0.3	-	842ebd44dca29202731dec736244ceaeba2c4770
com.frostwire	jlibtorrent-linux	1.1.0.1	-	0438597b5ef24113edbe77c38f5f841b09fff981
com.frostwire	jlibtorrent-linux	1.1.0.10	-	bbfc0b089bf5d09542fe394c785b3fa0552f73b9
com.frostwire	jlibtorrent-linux	1.1.0.11	-	9678adb3c2528f1811dd8bf8ce983916195e86d1
com.frostwire	jlibtorrent-linux	1.1.0.12	-	6a8a1e1f87826112c527326a751c590835962b66
com.frostwire	jlibtorrent-linux	1.1.0.14	-	aa77ec3edb5dffadc54e18ff67281bff1861b46a
com.frostwire	jlibtorrent-linux	1.1.0.15	-	81ac7866f2c3a2c326d0fb43db77699d47502ce8
com.frostwire	jlibtorrent-linux	1.1.0.16	-	da981b0ef7ef17e7d2630d1dd163857ddcda6836
com.frostwire	jlibtorrent-linux	1.1.0.17	-	4a7541bfa1506304b8467282509c58e62576eb70
com.frostwire	jlibtorrent-linux	1.1.0.18	-	45399435706fb4b850088a97580619b7ddc0eace
com.frostwire	jlibtorrent-linux	1.1.0.19	-	70136aad3e8f1f974c3302561d73df6f598161e8
com.frostwire	jlibtorrent-linux	1.1.0.2	-	8a7d38a70866cdbf76fd901c0dfd563248efdf9f
com.frostwire	jlibtorrent-linux	1.1.0.20	-	34f5ba3826b5dac3a5ee10f79324d2f87bfe889f
com.frostwire	jlibtorrent-linux	1.1.0.21	-	84840c734ccb8adcbb00bcf38b4376c8cf8f93b4
com.frostwire	jlibtorrent-linux	1.1.0.22	-	d5965c219fde0595648f5146c7b98403a7361472
com.frostwire	jlibtorrent-linux	1.1.0.23	-	fa9b80a5191d59b34065a990702e2498f393638e
com.frostwire	jlibtorrent-linux	1.1.0.24	-	d196a862e6f9861243fe158ae5014032548c68c9
com.frostwire	jlibtorrent-linux	1.1.0.25	-	38451f543c00d902c36b69608492da506297f791
com.frostwire	jlibtorrent-linux	1.1.0.26	-	8c0f7cad69f7c998bd7e23b2c5807dae0f4eb233
