app.softwork.serviceloader	runtime-wasm-js	0.0.15		N/A
br.com.tecsinapse	glimpse-server	1.1.1		69beb819ebe5c34ca525493f88dca43ff16ec421
br.com.tecsinapse	glimpse-server	1.1.2		6fdb3a9cb1cbd764281a70306895e75395b788a1
cn.easii	tutelary-repackage-logger	1.0.0		3b6c1733abeed59eea7a23db58b0bf963af7a756
cn.easii	tutelary-repackage-logger	1.0.1		a3a2d756f0f4c6c572e6c1f1b3d11c306b086225
cn.easii	tutelary-repackage-logger	1.0.2		8a1c2ef54d246e502296256a993c5053d4ca71c4
cn.easii	tutelary-repackage-logger	1.0.3		077961d307404a39e3b5e5dd80fb23589d4ef9a1
cn.easii	tutelary-repackage-logger	1.0.4		ef92c61dd6b9b36c7500453ffb5a71ac257800f9
cn.easii	tutelary-repackage-logger	1.0.5		9fe16ccfbe75a099033e566e32c252c1ed7571c5
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0	metadata	4c7f515ea2fc10e1b4f1a80f2ee6cd62bbcca167
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta	metadata	d919ab1c9685326076d6cfa3b8951930b4891379
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta01		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta01	metadata	78d7f66371566a573adebaf2297018cf93c0ec05
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta02		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta02	metadata	78d7f66371566a573adebaf2297018cf93c0ec05
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta03		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta03	metadata	8e12c293eba7c4d15a1783e9d4664390e873873a
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta04		N/A
cn.erolc.mrouter	core-iossimulatorarm64	1.0.0-beta04	metadata	4c7f515ea2fc10e1b4f1a80f2ee6cd62bbcca167
com.android.databinding	baseLibrary	1.0-rc5		4d15bfec5956b906a26527dbde26a4fc84326611
com.android.databinding	baseLibrary	2.0.0		b8b808a164595b20caac1c1f342b475d0036ad21
com.android.databinding	baseLibrary	2.1.0		a7aeef173c4e5b104ec04f146f8e8f9debde1c5e
com.android.databinding	baseLibrary	2.1.2		d0395908c940f4171fb024435b25f7458c1147f3
com.android.databinding	baseLibrary	2.1.3		2a02ce196835bbe38a1fc19112154a817582a2c7
com.android.databinding	baseLibrary	2.2.0		e1d81f36ef9a5803689b3e888eb93a8759a17be0
com.android.databinding	baseLibrary	2.3.0		00d63c4d23204cadf1390fd1bbca8c1b05396aed
com.antgroup.antchain.openapi	openapi-defincashier	1.0.5		1c296b8d25560b18b6abb7290d6518d57dca28ab
com.antgroup.antchain.openapi	openapi-defincashier	1.1.0		cf20e9955487c0b1879a456076fd2978348b8ffa
com.antgroup.antchain.openapi	openapi-defincashier	1.1.1		ce42d3875755e399af975387fb85accee0107917
com.antgroup.antchain.openapi	openapi-defincashier	1.1.2		5900a564dfde5af705c2d865fc254d55c3408666
com.antgroup.antchain.openapi	openapi-defincashier	1.1.3		e5c92b097572f69c87f79396348a589aa00d82f4
com.antgroup.antchain.openapi	openapi-defincashier	1.1.4		fd39230aba3f856ac9f08e0533d76a3e0c052561
com.antgroup.antchain.openapi	openapi-defincashier	1.1.5		db7e057f2343bc7c148863295bc2f6376e7bb28a
com.antgroup.antchain.openapi	openapi-defincashier	1.1.6		83977a86531e0950a429d75a1141488338abbcf2
com.antgroup.antchain.openapi	openapi-defincashier	1.1.7		fd0b285012b8986ce5e14abf42b90dfff2763b0c
com.antgroup.antchain.openapi	openapi-defincashier	1.1.8		bc5d727fd0d707f36590a39d5c51e4162f7c9a39
com.authme	authme-sdk-ocr-plugin-nfc	2.7.1		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.2		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.3		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.10		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.13		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.16		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.17		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.19		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.20		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.21		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.22		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.23		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.28		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.29		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.30		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.31		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.34		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.37		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.8		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.4-rc.9		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.10		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.11		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.12		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.14		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.15		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.16		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.17		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.18		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.6		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.7		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.7.5-rc.9		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.11		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.12		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.13		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.14		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.15		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.16		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.17		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.18		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.19		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.20		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.21		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.22		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.23		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.24		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.25		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.26		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.27		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.28		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.32		N/A
com.authme	authme-sdk-ocr-plugin-nfc	2.8.0-rc.9		N/A
com.chinagoods.framework.thinkcloud.ddd.quickstart	think-cloud-ddd-quickstart-archetype	4.0.5		9e2227053302af0add86f71d2a6ac063633e3880
com.chinagoods.framework.thinkcloud.ddd.quickstart	think-cloud-ddd-quickstart-archetype	4.2.3		829f2d84159fa8731f4ebb482a8c646bf26def60
com.cloud-lego.spring.boot	lego-strategy-spring-boot-starter	0.0.1		de5c69f601507263a22ff9669f7983a857eaf631
com.cloud-lego.spring.boot	lego-strategy-spring-boot-starter	0.0.2		352bafd8bd2dd2d9072eac2c38a52edae6ebd798
com.daml	ports_2.12	0.13.56-snapshot.20200403.3814.0.47541e70		b64ed570068227e25452a1aaece4d0d21c237c01
com.daml	ports_2.12	0.13.56-snapshot.20200404.3816.0.30f2c742		b64ed570068227e25452a1aaece4d0d21c237c01
com.daml	ports_2.12	0.13.56-snapshot.20200407.3843.0.10bac143		1693d59c8260ea8d12d7face54c9de9411e4c604
com.daml	ports_2.12	0.13.56-snapshot.20200407.3859.0.b488b353		1693d59c8260ea8d12d7face54c9de9411e4c604
com.daml	ports_2.12	0.13.56-snapshot.20200408.3871.0.b3ccacc0		1693d59c8260ea8d12d7face54c9de9411e4c604
com.daml	ports_2.12	0.13.56-snapshot.20200408.3877.0.1ddcd3c0		1693d59c8260ea8d12d7face54c9de9411e4c604
com.daml	ports_2.12	0.13.56-snapshot.20200411.3905.0.f050da78		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.0.0		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.0.1		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.0.1-snapshot.20200417.3908.1.722bac90		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.0.1-snapshot.20200424.3917.0.16093690		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.1.0		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.1.0-snapshot.20200422.3991.0.6391ee9f		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.1.0-snapshot.20200430.4057.0.681c862d		e1d05c13f0e128ed7d1e8d3c21a8978b34f2f90b
com.daml	ports_2.12	1.1.0-snapshot.20200506.4107.0.7e448d81		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.1.1		4866218ef1130254ddcf6bdb97b199cb7b5d1176
com.daml	ports_2.12	1.10.0		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210120.6106.0.58ef725a		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210125.6143.0.550aa48f		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210201.6207.0.7cf1914d		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210202.6218.0.c0573678		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210208.6257.0.61feb5bf		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.0-snapshot.20210209.6265.0.19bf4031		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.1		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.10.2		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0-snapshot.20210212.6300.0.ad161d7f		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0-snapshot.20210217.6338.0.ba6ba901		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0-snapshot.20210224.6385.0.dba114a2		3978db9fcd15874753643dc9c20468b13d37a175
com.daml	ports_2.12	1.11.0-snapshot.20210225.6390.0.0617fbde		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0-snapshot.20210303.6421.0.145ddaa8		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.0-snapshot.20210304.6422.0.d3d5042a		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.1		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.1-snapshot.20210312.6429.0.7cd6380e		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.1-snapshot.20210312.6429.1.7cd6380e		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.2		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.2-snapshot.20210610.6432.0.ac4a2848		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.2-snapshot.20210610.6433.0.a08f6ea2		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.2-snapshot.20210610.6433.1.a08f6ea2		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.3		109e7cdf616a15dc66d5635f36c78b71363f9186
com.daml	ports_2.12	1.11.3-snapshot.20211110.6439.0.632ba5a7		109e7cdf616a15dc66d5635f36c78b71363f9186
