at.released.cassettes	cassettes-base-jvm	0.1-alpha01		2b9521548ae200d9b75d4c43da2f7e02ccdd9e56
build.bleep	bleep-plugin-sonatype_2.12	0.0.1		e9d25395d3c306ec69527c3340cefbd8dcfa0487
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M20		86dae01f7744a2b012f0569a0d620271afcd5739
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M21		13c8aeec2d24a7bba44e4142b311a71fa4fa2892
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M22		9c9c66716b6b18db854b6157285521de27c945a3
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M23		2c65406768258e7b5727ad3832cdefc4be77a0c3
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M24		e3424a34c51671c72d27ee19ff6d6dce54c191ea
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M25		dc989981bd2cda08a0a0d18d41f8d044fe26571f
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M26		a0a917b5eb15e44114ff54743f1479080c2f7838
build.bleep	bleep-plugin-sonatype_2.12	0.0.1-M27		64976805a46b37a888d7e7c52882564649c9640b
build.bleep	bleep-plugin-sonatype_2.12	0.0.2		f1ca8d7ace7d236ceb4535c2e888c2a8d60cad3b
ch.randelshofer	org.jhotdraw8.xml	0.1		e4c91f8656096a043e2719dfb097370eb6595501
ch.randelshofer	org.jhotdraw8.xml	0.2		c657ba5be5449043d246d76ed371030499f8ea7c
ch.randelshofer	org.jhotdraw8.xml	0.3		9e462666faadc0cd02978e9413d0b1e8d4d76780
cn.ibizlab.plugin	ibiz-plugin-metasphere	8.1.0.565.50		1c56ae263775c49de3d477c4357c480bb07310f7
cn.ibizlab.plugin	ibiz-plugin-metasphere	8.1.0.565.51		09bc3aff925b4760f36456b6b2aecf44fe0c06c2
cn.ibizlab.plugin	ibiz-plugin-metasphere	8.1.0.565.97		32886c921754a8fe60a8077c3dce3c7d51d98fdc
cn.ibizlab.plugin	ibiz-plugin-metasphere	8.1.0.567.22		574c3048a002ed7354fc06dc1129c1107d49973c
com.adyen.checkout	base-ui	3.8.3		N/A
com.braintreepayments.api	braintree	1.0.0		N/A
com.braintreepayments.api	braintree	1.0.1		N/A
com.braintreepayments.api	braintree	1.0.2		N/A
com.braintreepayments.api	braintree	1.0.3		N/A
com.braintreepayments.api	braintree	1.0.4		N/A
com.braintreepayments.api	braintree	1.0.5		N/A
com.braintreepayments.api	braintree	1.0.6		N/A
com.braintreepayments.api	braintree	1.0.7		N/A
com.braintreepayments.api	braintree	1.0.8		N/A
com.braintreepayments.api	braintree	1.1.0		N/A
com.braintreepayments.api	braintree	1.2.0		N/A
com.braintreepayments.api	braintree	1.2.1		N/A
com.braintreepayments.api	braintree	1.2.2		N/A
com.braintreepayments.api	braintree	1.2.3		N/A
com.braintreepayments.api	braintree	1.2.4		N/A
com.braintreepayments.api	braintree	1.2.5		N/A
com.braintreepayments.api	braintree	1.2.6		N/A
com.braintreepayments.api	braintree	1.2.7		N/A
com.braintreepayments.api	braintree	1.3.0		N/A
com.braintreepayments.api	braintree	1.4.0		N/A
com.braintreepayments.api	braintree	1.5.0		N/A
com.braintreepayments.api	braintree	1.5.1		N/A
com.braintreepayments.api	braintree	1.6.0		N/A
com.braintreepayments.api	braintree	1.6.1		N/A
com.braintreepayments.api	braintree	1.6.2		N/A
com.braintreepayments.api	braintree	1.6.3		N/A
com.braintreepayments.api	braintree	1.6.4		N/A
com.braintreepayments.api	braintree	1.6.5		N/A
com.braintreepayments.api	braintree	1.7.0		N/A
com.braintreepayments.api	braintree	1.7.1		N/A
com.braintreepayments.api	braintree	1.7.10		N/A
com.braintreepayments.api	braintree	1.7.2		N/A
com.braintreepayments.api	braintree	1.7.3		N/A
com.braintreepayments.api	braintree	1.7.4		N/A
com.braintreepayments.api	braintree	1.7.5		N/A
com.braintreepayments.api	braintree	1.7.6		N/A
com.braintreepayments.api	braintree	1.7.7		N/A
com.braintreepayments.api	braintree	1.7.8		N/A
com.braintreepayments.api	braintree	1.7.9		N/A
com.braintreepayments.api	braintree	2.0.0		6da581f45fdc32450c677ab2cf0c097d3b391cfe
com.braintreepayments.api	braintree	2.0.1		cf63b0604d3a88719f8da1cd0438917f23722a7f
com.braintreepayments.api	braintree	2.1.0		c157d399ab65e9f0a642e5354ae8d49a4fc4bf29
com.braintreepayments.api	braintree	2.1.1		c90b7882d0fa1edd555c62a610e6d21cb1da9e5e
com.braintreepayments.api	braintree	2.1.2		1c7d5a6c65a1e819bb61352df0df4a7ad42e2512
com.braintreepayments.api	braintree	2.10.0		N/A
com.braintreepayments.api	braintree	2.11.0		N/A
com.braintreepayments.api	braintree	2.12.0		N/A
com.braintreepayments.api	braintree	2.13.0		N/A
com.braintreepayments.api	braintree	2.13.1		N/A
com.braintreepayments.api	braintree	2.13.2		N/A
com.braintreepayments.api	braintree	2.14.0		N/A
com.braintreepayments.api	braintree	2.14.1		N/A
com.braintreepayments.api	braintree	2.14.2		N/A
com.braintreepayments.api	braintree	2.15.0		N/A
com.braintreepayments.api	braintree	2.15.1		N/A
com.braintreepayments.api	braintree	2.15.2		N/A
com.braintreepayments.api	braintree	2.16.0		N/A
com.braintreepayments.api	braintree	2.17.0		N/A
com.braintreepayments.api	braintree	2.18.0		N/A
com.braintreepayments.api	braintree	2.18.1		N/A
com.braintreepayments.api	braintree	2.19.0		N/A
com.braintreepayments.api	braintree	2.2.0		N/A
com.braintreepayments.api	braintree	2.2.1		N/A
com.braintreepayments.api	braintree	2.2.2		N/A
com.braintreepayments.api	braintree	2.2.3		N/A
com.braintreepayments.api	braintree	2.2.4		N/A
com.braintreepayments.api	braintree	2.2.5		N/A
com.braintreepayments.api	braintree	2.20.0		N/A
com.braintreepayments.api	braintree	2.20.1		N/A
com.braintreepayments.api	braintree	2.21.0		N/A
com.braintreepayments.api	braintree	2.22.0		N/A
com.braintreepayments.api	braintree	2.3.0		N/A
com.braintreepayments.api	braintree	2.3.1		N/A
com.braintreepayments.api	braintree	2.3.10		N/A
com.braintreepayments.api	braintree	2.3.11		N/A
com.braintreepayments.api	braintree	2.3.12		N/A
com.braintreepayments.api	braintree	2.3.2		N/A
