app.slyworks.navigator	navigator	1.0.0-alpha		N/A
avalon-composition	avalon-composition-impl	1.0-beta-1-RC1		ddbd4fde6ce489c4a3196032aee10d89bc2f9e3d
avalon-composition	avalon-composition-impl	1.0b1		08390944891e982440213678a112f8ddfccb0b7f
avalon-composition	avalon-composition-impl	1.2.2		798e303026251ca14f88e02051f0ba79527864a6
avalon-composition	avalon-composition-impl	1.2.3		96d00f83b630a935452d3639948ae58b98362a4d
avalon-composition	avalon-composition-impl	1.2.4		fe69ec24aa937948c101094d5fdfc4043fecd933
avalon-composition	avalon-composition-impl	1.2.5		b0b3d6fffa3ad9d90c8bf19c2e8a24dd34d13528
avalon-composition	avalon-composition-impl	2.0.0		4a5d9a1ea3f7d5bcf264522c96f7c620c5ee00d6
avalon-composition	avalon-composition-impl	2.0.dev-0		96423c851591ef8759bceb511eb61e02b909ffb9
br.com.objectos.oss-java7	objectos-testing-logging	2.0.0		af83434240935570c4b88bf02bca21f911019edc
br.com.objectos.oss-java7	objectos-testing-logging	3.0.0		6ee3c46001015949e5ba1e32261d9d7a13adb46b
br.com.objectos.oss-java7	objectos-testing-logging	3.1.0		4175f99ced2f5082de468dca9855e701696254cb
ch.difty.kris	kris-core	0.4.0		3bd2c6f6c66da1e91898aee7ea683d0d38aa32a2
ch.difty.kris	kris-core	0.4.1		1774a44a90b780067b704c165f2700888d9fa990
ch.difty.kris	kris-core	0.4.2		6ca692b755219350ebf06478681e4234bffb849f
ch.difty.kris	kris-core	0.4.3		fc73d597b741115b13772e6d016ca00512a42fcf
ch.difty.kris	kris-core	0.4.5		91dcb4aa62239c0282455882b547fc473fc00084
ch.difty.kris	kris-core	0.4.6		ce1bc239437ea42e330cce215234a5adb2c46d23
ch.difty.kris	kris-core	0.4.9		80168cf2d1d64f3f16f805b6620cd36ee3b9cfd2
ch.difty.kris	kris-core	0.5.0		9539048c53b72e685e42f76864193f6422fde4fc
ch.difty.kris	kris-core	0.5.1		ebdc2e19c79233b9b4dc87eb6f8413a429fb2272
ch.difty.kris	kris-core	0.5.10		10b674e2b38a73fc77759db3de5e011356c582d5
ch.difty.kris	kris-core	0.5.12		43901f48f75cfe894095c530e596e8b2d2ef0c99
ch.difty.kris	kris-core	0.5.3		5694adb86a668261800cc0833a1dc2e76a96826e
ch.difty.kris	kris-core	0.5.9		f11ea1692856a4580005cd715422a416054bc233
ch.epfl.scala	collection-strawman_0.4	0.6.0		facd66520f74c489a98ddb025f8ed0582e55530a
cn.com.antcloud.api	antcloud-api-ak_8fc79ca1cf9041e8b9ec7ac63afacbb4	1.0.2		62e2f74c4c6b1c61b536e452aa6b214120a53336
cn.com.antcloud.api	antcloud-api-provider-caasplatform	1.4.0		a17c905ef179b0a1b4ed9371ff5b851f895e4309
cn.stylefeng.roses	biz-support-file-api	1.0.0		9b3d1ff3914ed3de53ee248852840d2c68eb19ff
cn.stylefeng.roses	biz-support-file-api	1.1.0		1edb600fd4f1f10dacd6a48f7c78c701149e2cff
cn.stylefeng.roses	biz-support-file-api	1.1.5		e5fa05cbb9301f46118ab107879f94bfeca16ebf
com.apollographql.ffs	apollo-kotlin-ffs	0.0.0		0f5c951049c55476473658c37d49843e0e16b8b1
com.claireneveu	nonemptystring_2.10	1.0.0		c16b58d8e36765fb8091999e47cc1540611cdd02
com.cognitect.aws	emr-containers	810.2.817.0		4e4f4668c18ec7461f1a70beb1f64f9ac8ad80b8
com.cognitect.aws	emr-containers	811.2.844.0		4ee49b446e57ce6d51c3ada4604d9ee986bd1ada
com.cognitect.aws	emr-containers	811.2.958.0		6db5bec3b5595e7a61481be0ffd4b42bb9971ad1
com.cognitect.aws	emr-containers	814.2.1023.0		ff4060bb951ed49895eee67faca419cde34a4141
com.cognitect.aws	emr-containers	821.2.1107.0		fc0665a2a6c907de39d008d0790b49c72e66240e
com.cognitect.aws	emr-containers	823.2.1216.0		6a1348e61ff62461e33ea265d72de858b824b95f
com.cognitect.aws	emr-containers	825.2.1250.0		dafa9d29ebe0e45c6ade5c58309aaa447af69490
com.cognitect.aws	emr-containers	836.2.1323.0		e966c2443c5eb117ae5a5ad74e252811af38646a
com.cognitect.aws	emr-containers	847.2.1365.0		115a69c58c4e17539286ec6ba52041baf11c04ef
com.cognitect.aws	emr-containers	847.2.1387.0		4b8dbc8813b0649047ece9c5d7e9a36995e27ae9
com.cognitect.aws	emr-containers	847.2.1398.0		be799e78ff77e435eeaccf60e15355ed0d356839
com.cognitect.aws	emr-containers	868.2.1599.0		332298ae0462afc8506d92a7d9aabb8d75ec2131
com.cognitect.aws	emr-containers	869.2.1616.0		c8aafe38cb7fab8a4cdbdab3bf0f6ac7178403aa
com.cognitect.aws	emr-containers	869.2.1687.0		1616024ef6e8e987fe0a6547e4723f7ec325c10a
com.cognitect.aws	emr-containers	871.2.29.35		15be4d1745571cadae33d6d258d6f17edaa00196
com.cognitect.aws	emr-containers	871.2.31.23		6a6c5b7d7cbf167c151e020dea023ed9931db59b
com.dwolla	fs2-utils_2.12	2.0.0-M11		2f370cf7d5ebebfbb7b2f89ac32d328b766afee1
com.dwolla	fs2-utils_2.12	2.0.0-M12		c41320fe28cee5dedc0eb539ddeecf07f84d34d2
com.dwolla	fs2-utils_2.12	2.0.0-M13		47b5f6653d798e26c025be949b1e4df07ba8020f
com.dwolla	fs2-utils_2.12	2.0.0-M14		1d748689d9a8952863905d251ebf942586630538
com.dwolla	fs2-utils_2.12	2.0.0-M15		dc07f207a2b7844aec10aa69e1d73298e623be3d
com.dwolla	fs2-utils_2.12	2.0.0-M16		d732820c234d33e1f0b2de12be21d7516b34c267
com.dwolla	fs2-utils_2.12	3.0.0-RC1		cc352e655204c89724f7cac7470dffd2d3a40dfc
com.dwolla	fs2-utils_2.12	3.0.0-RC2		03a3c9323b3662f9f0906d3cee82f613278a02eb
com.github.agaro1121	scala-slack-web_2.12	0.2.10		35036e7e92cd5ec9a5b8d8d4b13f4bba6e8c8593
com.github.agaro1121	scala-slack-web_2.12	0.2.11		b549ce4d36f0df63d47350d471989d4b12b337ef
com.github.agaro1121	scala-slack-web_2.12	0.2.13		5c80fa5fbec48becb1cb22e37c96dd718cf7926a
com.github.agaro1121	scala-slack-web_2.12	0.2.16		02159d41c5ef905a35b2fb652ae5f05e2937332b
com.github.agaro1121	scala-slack-web_2.12	0.2.17		1d834cb1cf4a06d79afba2d654f08671ab90b8e6
com.github.agaro1121	scala-slack-web_2.12	0.2.18		74076622f6b694e62fded913c7eb21aae7dfb7be
com.github.agaro1121	scala-slack-web_2.12	0.2.21		20416e09a48df5e9e4b06dbffa1b32264cf523f1
com.github.agaro1121	scala-slack-web_2.12	0.2.22		d46e71284459034037c527b210e4357d1207f20a
com.github.agaro1121	scala-slack-web_2.12	0.2.24		ce2ae1ff8fa6e439129e942fe1cbf399783bde06
com.github.agaro1121	scala-slack-web_2.12	0.2.25		ca8aa17ca07f35ced91483e184e409a568e6826c
com.github.agaro1121	scala-slack-web_2.12	0.2.27		d8521641560f4c9e62389d96051bd387d0211a52
com.github.agaro1121	scala-slack-web_2.12	0.2.29		1ffc468aaec755163273c31a76206c0cd9b34f1b
com.github.agaro1121	scala-slack-web_2.12	0.2.5		bb9b17b47f8fef362154ba37d71f3794582c633e
com.github.agaro1121	scala-slack-web_2.12	0.2.6		39e2554cf270a7a050439f05a6c86fd71baed76b
com.github.agaro1121	scala-slack-web_2.12	0.2.7		ad91635f8762b7c96440bb38ee92c2973fd15ba3
com.github.agaro1121	scala-slack-web_2.12	0.2.8		7b31a2d0f6e5bc76fe57c5a7d0657e56b898c783
com.github.biopet	mergesv_2.11	0.1		76871eb850681510f48ea4642631f49868462238
com.github.biopet	mergesv_2.11	0.2		42d374e185ffafa677d5a2be14e12f04fa29b243
com.github.fridujo	jdbc-sample	1.0.0		64f09e96160ad94a85cdf32db3777713207863c5
com.github.hal4j	hal4j-api	0.10.0		b934e624d496c0299608c583060f3429c45c0ac6
com.github.hal4j	hal4j-api	0.11.1		adf424b8d95391be79d16c046f6dd8597e90c241
com.github.hal4j	hal4j-api	0.12.0		0229f775c0177bbd7cba82a18d08d4af48e736bf
com.github.hal4j	hal4j-api	0.12.1		dc9e7c5f0154b51c4e3d391be2a7ca453e5bf4b8
com.github.hal4j	hal4j-api	1.0.0		deef947d3a972977774852f3b4185456bf245d4a
com.github.hal4j	hal4j-api	1.0.1		69f7e92b2c55f34cfd8e9c8b9cf93d14a40ad7f6
com.github.hal4j	hal4j-api	1.1.0		77705f9939a9499440dd8c52c3dec043816770c0
com.github.hal4j	hal4j-api	1.2.0		f8fcd1b076a6f0bf7b240f66b75dc2a2bee8576e
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.1.4		92b0da46b9cf5291f5d52254ae6491dc91447524
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.1.5		cba9f4e91238393a8c20d4080e8a997467c94a6b
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.1.6		4eac12ea8052bffc8d2241527e9d90894c2e0737
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.1.7		f9765dfc2545087118ffcce7b5238ff4382e1d5e
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.1.8		282ae8d1341d48393f4a6ba1138ab6696d5a8d49
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.2.0		e5d0565ec6ae417de0efbb4fd9612f02e213b5e0
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.2.1		f568d448216503f5ac6d883171a13e804ee49537
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.2.3		ec110b057ce567de07c48485f486e5bc65dcb942
com.github.j5ik2o	reactive-aws-eks-akka_2.13	1.2.6		e4a830a082538bcfed19b78557371eb9bbd0833c
com.google.crypto.tink	tink-gcpkms	1.10.0		cf819687a0d755fe4790d574a68c3bb0951a5766
com.google.crypto.tink	tink-gcpkms	1.3.0		aa9e7c89ebfba5ca7b0c8edca7808998ae83acf1
com.google.crypto.tink	tink-gcpkms	1.3.0-rc1		346cbffd33b29e7c5eaab781fa2d204534259d37
com.google.crypto.tink	tink-gcpkms	1.3.0-rc2		1dfeefdcee44c43918162b49165597453a8c8f15
com.google.crypto.tink	tink-gcpkms	1.3.0-rc3		c4aa9f89e072eedb0f1abfc3d3267c15353dafc7
com.google.crypto.tink	tink-gcpkms	1.3.0-rc4		76bc4a3f36d98d94d6bdbdce689edc5d0d2c1ab4
com.google.crypto.tink	tink-gcpkms	1.4.0		f28e059dca206d63f9d7a39bab41af8f594dae5e
com.google.crypto.tink	tink-gcpkms	1.4.0-rc1		ab7afabd881ccc692fb14b310d37c5c34e38b799
com.google.crypto.tink	tink-gcpkms	1.4.0-rc2		a42a2b9b01b2055d4dfdd864b97f56619c25b35e
com.google.crypto.tink	tink-gcpkms	1.5.0		6a870b779934a18f1db4aebe1e946eb8dcca2d66
com.google.crypto.tink	tink-gcpkms	1.6.0		1509b1db579c1e73c80a179f5994fd8054fb19cb
com.google.crypto.tink	tink-gcpkms	1.6.1		83305e8543c3b003be715ecd58e27640cae00e93
com.google.crypto.tink	tink-gcpkms	1.7.0		6babe30f4c53fffa8fff9edc9cb67b21ec69f998
com.google.crypto.tink	tink-gcpkms	1.8.0		492cbde9f473015c1296dbc73284ec83034f1e0d
com.google.crypto.tink	tink-gcpkms	1.9.0		f3d3b0522d1d2dbb05bdf2801288d13d7afbdc58
com.henrymxu.openaikotlin	shared	0.0.1		6882ac363e059814d8682a49da1f028a59a74177
com.inkapplications.kimchi	analytics-androidnativearm32	2.1.0		N/A
com.inkapplications.kimchi	analytics-androidnativearm32	2.1.1		N/A
com.inkapplications.kimchi	analytics-androidnativearm32	2.1.2		N/A
com.inkapplications.kimchi	analytics-androidnativearm32	2.2.0		N/A
com.io7m.mime2045	com.io7m.mime2045.core	0.0.1		b603b2547b18081ee9278ef7c52290565905d4a1
com.io7m.mime2045	com.io7m.mime2045.core	1.0.0		604cc05290ff261ca5255a0177be852c3ece2f1e
com.io7m.mime2045	com.io7m.mime2045.core	1.0.1		62712a232d333242af71034b767dfb14ab070d3d
com.io7m.mime2045	com.io7m.mime2045.core	1.1.0		9cec342ca830709808e7c111a077d13d8660d5e1
com.jdroidframework	jdroid-gradle-timer-plugin	0.9.0		c61449c5b61db2d513c60c12f2c1662f118d46df
com.jdroidframework	jdroid-gradle-timer-plugin	0.9.1		a27e969b7fff19bf56430d40f0bb61f8c9682790
com.jdroidframework	jdroid-gradle-timer-plugin	0.9.2		2811c8c9d7de12acae3ed92e1f99a3053b8128a3
com.kitakkun.kondition	gradle-plugin	0.1.0-alpha01		e433342c7888127eb3a9a2531537912fbfcb9e86
com.kitakkun.kondition	gradle-plugin	0.1.0-alpha02		826013aca3e0bd77ec0c4705193875dabf07256e
com.mntviews	mnt-bridge-exec	1.0.1		74c9ee7acb75ddc4157e9052ed29a4971121eff3
com.mohamedrejeb.calf	calf-ui-android	0.1.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.1.1		N/A
com.mohamedrejeb.calf	calf-ui-android	0.2.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.3.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.3.1		N/A
com.mohamedrejeb.calf	calf-ui-android	0.4.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.4.1		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.1		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.2		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.3		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.4		N/A
com.mohamedrejeb.calf	calf-ui-android	0.5.5		N/A
com.mohamedrejeb.calf	calf-ui-android	0.6.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.6.1		N/A
com.mohamedrejeb.calf	calf-ui-android	0.7.0		N/A
com.mohamedrejeb.calf	calf-ui-android	0.7.1		N/A
com.mycila	license-maven-plugin-fs	4.3		457f7b125c47e96f3ee131e0d074ef58fa3259fd
com.mycila	license-maven-plugin-fs	4.4		d10e8367fec85a79cacdaeb63c9e888070caea99
com.mycila	license-maven-plugin-fs	4.5		f63a666a642db639da071d1bda703084ad320c90
com.mycila	license-maven-plugin-fs	4.6		8a0107e99266a5f2682add02b4cd17d2c05d3370
com.mycila	license-maven-plugin-fs	5.0.0		09b08c97f4188f4e58a8f4ec556bb70a42765e8e
com.nbsaas.boot	quartz-resource	1.0.1-2024		a4da8238621b2899b5a1acfeb312cb508525984f
com.nbsaas.boot	quartz-resource	1.0.1-2025		a69c9e375a19948d8fec5e1d6edaf1a075d5ac34
com.nbsaas.boot	quartz-resource	1.0.3-2024		ddefd082a63775468e5812d8b2d094c308aa6256
com.rms.miu	slick-cats_2.11	0.10.0		d421c6c5606dee1c13c9e10abf400d58db838ee4
com.rms.miu	slick-cats_2.11	0.10.1		11cf990347c910ab7c1dce50e5ba0c19a7674c10
com.rms.miu	slick-cats_2.11	0.6		9f89377de39264cb27be77b807e619f5ac4605ba
com.rms.miu	slick-cats_2.11	0.7.1		be9a6b2854e2fac80163cb1a429a439cca319229
com.rms.miu	slick-cats_2.11	0.7.1.1		848398e4c85c72a4c85d68eb470c34ccf2843178
com.rms.miu	slick-cats_2.11	0.8.0.0		7be155ba4dcfb5a3aea3738d81311b725d7bac47
