co.roverlabs	picasso	2.5.2		N/A
com.aoindustries	ao-credit-cards-authorizeNet-book	1.0.2		98b7da8305cbc32b59bedfa926b8c3bf279f4787
com.aoindustries	ao-credit-cards-authorizeNet-book	1.0.3		d392534410f83d7c63fdf3d9dcf027f07d3f9bee
com.aoindustries	ao-credit-cards-authorizeNet-book	1.1.0		b0af281a7685d937cea6a37c1b133d391f895dd0
com.aoindustries	ao-credit-cards-authorizeNet-book	1.1.1		46f6c5799e2d230ec17c312f8e8352a99bcf4740
com.aoindustries	ao-credit-cards-authorizeNet-book	1.1.2		dd2cfd31a8c560ace0b129424f0de1da77f594d6
com.aoindustries	ao-credit-cards-authorizeNet-book	1.3.0		3f0496c3fc8627808eb1ac80a50b98536c93c4a2
com.ardor3d	ardor3d-collada	0.9		7144fd8485509ca44b84fe34ced85433f8d3cb4f
com.ardor3d	ardor3d-collada	1.0.0		122807b99009e6b256ad17bd83b3dce4f4539534
com.avito.android	shared	2021.42		4edf9a6f7b8dc9311845396b84469342548df64e
com.bnd-lib	bnd-math-spring_2.12	0.7.3		a23b83c5ce4e36f6a48280fc0885a47803a39036
com.butor	butor-kafka	1.0.0		9a619babefdea5be73dd9f63ed548b2c139b0755
com.ctosb	ctosb-ueditor	1.1.2		ebf265ec71e0af85b4f735355908f9a5c7aac9d6
com.ctosb	ctosb-ueditor	1.1.2-official		597e7b920a39ef75e38c3becff3c8c246ada4a9a
com.diglol.crypto	mac-iosarm64	0.1.0		N/A
com.diglol.crypto	mac-iosarm64	0.1.0	metadata	22b8fc67728d504466259fede49676dfe3e470f9
com.diglol.crypto	mac-iosarm64	0.1.1		N/A
com.diglol.crypto	mac-iosarm64	0.1.1	metadata	c98a7811370d85c8900b0ee6d09585ff4d12adea
com.diglol.crypto	mac-iosarm64	0.1.2		N/A
com.diglol.crypto	mac-iosarm64	0.1.2	metadata	847371b0d875f59fd4d466f5b3911130ae788755
com.diglol.crypto	mac-iosarm64	0.1.3		N/A
com.diglol.crypto	mac-iosarm64	0.1.3	metadata	847371b0d875f59fd4d466f5b3911130ae788755
com.diglol.crypto	mac-iosarm64	0.1.4		N/A
com.diglol.crypto	mac-iosarm64	0.1.4	metadata	982ca373e181932cd268f15d3c39b5e72148b7a1
com.diglol.crypto	mac-iosarm64	0.1.5		N/A
com.diglol.crypto	mac-iosarm64	0.1.5	metadata	2a1486f0913964e5db57666b97d6ab6c41a2bdca
com.diglol.crypto	mac-iosarm64	0.2.0		N/A
com.diglol.crypto	mac-iosarm64	0.2.0	metadata	3e053d2d0ddd569faa7b378e4c4c4e6240d20533
com.documents4j	documents4j-transformer-msoffice-excel	0.2		bc9ec184e66ca1748811cc2c22ce7ed6e90c2cd2
com.documents4j	documents4j-transformer-msoffice-excel	0.2.1		c77c969768f6f4a63896cea28538f4cddf303377
com.documents4j	documents4j-transformer-msoffice-excel	1.0.0		6e0c2964e7ad0129d98de2cc99608a40875f7d45
com.documents4j	documents4j-transformer-msoffice-excel	1.0.1		7d7332fe1b04b18bee65a309f1559ca320259059
com.documents4j	documents4j-transformer-msoffice-excel	1.0.2		49609dd2cff14be733794f1138f95186c24c4c64
com.documents4j	documents4j-transformer-msoffice-excel	1.0.3		f1589fe9bccfc371c317eb639fbd5b119c322850
com.documents4j	documents4j-transformer-msoffice-excel	1.1.0		b39f3f3f1272710286fb5e0f33fd521d10ee6773
com.documents4j	documents4j-transformer-msoffice-excel	1.1.1		c1f6886f61bc4aa87363a58b0e5bc09f4a43ecd7
com.documents4j	documents4j-transformer-msoffice-excel	1.1.10		768bd0ac50c311bd4bc0e32dfb65e522faf2022e
com.documents4j	documents4j-transformer-msoffice-excel	1.1.11		b0ca0d18df4dca7cad42b05fd2541d1b1aac0909
com.documents4j	documents4j-transformer-msoffice-excel	1.1.12		67a72974e71b625d291acafe31fcf7bbfcb73b19
com.documents4j	documents4j-transformer-msoffice-excel	1.1.13		7d892a7a12a032e97d0a670afce8cef3a371db89
com.documents4j	documents4j-transformer-msoffice-excel	1.1.2		c0ca52bcd0f23b3f2e544e33d980bac3ce86487d
com.documents4j	documents4j-transformer-msoffice-excel	1.1.3		bf55c62410225afdae245ab5a82568062e789894
com.documents4j	documents4j-transformer-msoffice-excel	1.1.4		ce2a4a31fcfe8024f565e4b1f933e80dc07464c9
com.documents4j	documents4j-transformer-msoffice-excel	1.1.5		aee979eb8de6a440ee64b7f44db3d0a5f1dc6102
com.documents4j	documents4j-transformer-msoffice-excel	1.1.6		b576c47b608ed3cfe2299d73cd6cb6a3e6c95cd5
com.documents4j	documents4j-transformer-msoffice-excel	1.1.7		6fd2d38f11f394ad7b87fe15407e2c274432bce6
com.documents4j	documents4j-transformer-msoffice-excel	1.1.8		dec46f2ae5d4e9fad324b6c8c826df53a785c9af
com.documents4j	documents4j-transformer-msoffice-excel	1.1.9		9eb26f5b730fb3fccc0cdef8ec7725ccd83df76e
com.episode6.redux	compose-iosarm64	1.0.0		N/A
com.episode6.redux	compose-iosarm64	1.0.0	metadata	9d8bb3e27cb6f5cc876dbc7ac740dbe7bde38360
com.episode6.redux	compose-iosarm64	1.0.0-alpha03		N/A
com.episode6.redux	compose-iosarm64	1.0.0-alpha03	metadata	a7d1f2b70c25afde2cc5c207bd4de22cef476fc2
com.episode6.redux	compose-iosarm64	1.0.0-beta01		N/A
com.episode6.redux	compose-iosarm64	1.0.0-beta01	metadata	55fdd478b076191bf089b6a2bf9f25d9c5a55cb0
com.episode6.redux	compose-iosarm64	1.0.1		N/A
com.episode6.redux	compose-iosarm64	1.0.1	metadata	0bb4a95c8d61c0b6fe301e6b16247e2f1b262f09
com.exactpro.th2	task-utils	0.1.0		5aa93ad544d50962363b971fec2bb37dd62e4801
com.exactpro.th2	task-utils	0.1.1		fe0cc59b20c5042383e7d1a311789a91004df213
com.exactpro.th2	task-utils	0.1.2		0ee31ed3b6eee60897facb43d74bc150da9a67cf
com.exactpro.th2	task-utils	0.1.3		5bd7926cc64f529d5c50679378dc1cc17b50fa65
com.exactpro.th2	task-utils	0.1.4		967b913bebe5701c6ff1d3114a9f2f83dc7f497a
com.github.brandtg	stl-java	0.0.1		a63518f82d050e5cd5a47eba02f68e019a918408
com.github.brandtg	stl-java	0.0.2		f5420f569dd000ee6e799bb49aef1ea96182eead
com.github.brandtg	stl-java	0.0.3		d921b37ca13239da66c041a71030bea43636fbe4
com.github.brandtg	stl-java	0.1.0		862960a04f1dbe9e4f3a7bc215ad1da0a0ff6563
com.github.brandtg	stl-java	0.1.1		7e488d95468c0bb3477bb5a75d43671eecf46c7a
com.github.brandtg	stl-java	0.1.2		16ccf0514038632f443ff27965c81913ee6ac385
com.github.fscheffer	arras-components-demo	1.0.0		N/A
com.github.fscheffer	arras-components-demo	1.1.0		N/A
com.github.fscheffer	arras-components-demo	1.1.1		N/A
com.github.fscheffer	arras-components-demo	1.1.2		N/A
com.github.fscheffer	arras-components-demo	1.2.0		N/A
com.github.houbie	lesscss	0.7-less-1.4.1		a1b9eb2c286bafb3cc3b1169ebb444548cd653a7
com.github.houbie	lesscss	0.9.1-less-1.4.1		69e462dc0fd29389973499fb9c4db0adca2f1b55
com.github.houbie	lesscss	0.9.4-less-1.4.1		7c7b642af0657313dd18e01cd20108a68f601aa3
com.github.houbie	lesscss	0.9.5-less-1.4.1		0fc70dc7a294172e2a4c6045b32835ae8adc5c02
com.github.houbie	lesscss	1.0.0-less-1.4.1		8232338cfe2516c273da86d4ec04ef12611ff84b
com.github.houbie	lesscss	1.1.0-less-1.7.0		a36d0c67d40b6ef5c4f2ac9319649fcb703d72f3
com.github.houbie	lesscss	1.2.0-less-1.7.0		39e16279770b0f99445fa581c03c8dc80efd4429
com.github.houbie	lesscss	1.2.1-less-1.7.0		a417c6334a2f97d6c7f05e5ca75f6dec664b637a
com.github.houbie	lesscss	1.2.2-less-1.7.0		5fcb919744bdf6d6e235a2c2647329d4fb575aa8
com.github.houbie	lesscss	1.3.0-less-1.7.0		ef9d4fc394f333e4e708628aa6062ad8322825f7
com.github.houbie	lesscss	1.3.1-less-1.7.0		788745c4388370c0c5b4214aa510a5219dc48350
com.github.houbie	lesscss	1.3.2-less-1.7.0		1b9789859e5d5f5dec4909a9a621adca7561d41c
com.github.jdbc-bare	spring-jdbc-bare	3.1.4.1		435e6cc7de056407e0160994a38b74bd0182b95b
com.github.jdbc-bare	spring-jdbc-bare	3.1.4.2		d099b15a2e53a4e6438cb19a6c5c2284475a2542
com.github.paulakimenko	allure-testng-retry-listener	0.1		8bbac9c6b297127afe5cbec90e8ab90d8fc7daf8
com.googlecode.gwt.inject	gin	1.0		132efcc77157382a6062fe68e990d7d48c1d8926
com.huaweicloud	spring-cloud-huawei-common	1.0.0		0a1ec2379cd9f36dcdb270b282bf47dd674f57fd
com.huaweicloud	spring-cloud-huawei-common	1.1.0		bbe7345839f6e1671bdd1f36c74ffac14ca43db6
com.huaweicloud	spring-cloud-huawei-common	1.10.0-2020.0.x		a93ed6a6965219e84bf448793449e9f39c4ebec3
com.huaweicloud	spring-cloud-huawei-common	1.10.0-2021.0.x		4b9b62a9403da279515a056300d317a7623ddf50
com.huaweicloud	spring-cloud-huawei-common	1.10.1-2020.0.x		d2fca0486e16ec21949c83bc908170016db8c996
com.huaweicloud	spring-cloud-huawei-common	1.10.1-2021.0.x		1533543f605c81ec254517dd71c0126ef5dc3b9a
com.huaweicloud	spring-cloud-huawei-common	1.10.10-2021.0.x		a3b9734291933317e4f54e39f3721120e8cbe462
com.huaweicloud	spring-cloud-huawei-common	1.10.11-2021.0.x		6bf8e3d52f667ff00f56b22b1f75db34e15788d8
com.huaweicloud	spring-cloud-huawei-common	1.10.12-2021.0.x		7fce4f14f3d1fa8aeff786289d61a28ceb8212df
com.huaweicloud	spring-cloud-huawei-common	1.10.13-2021.0.x		6d116eb2cf9a999503b36cb3bd067774daa56a84
com.huaweicloud	spring-cloud-huawei-common	1.10.2-2020.0.x		30a3acef7b235fb96e486806363859eaa405f617
com.huaweicloud	spring-cloud-huawei-common	1.10.2-2021.0.x		9fd28a339710b2c2d27894be88716704f563ce97
com.huaweicloud	spring-cloud-huawei-common	1.10.3-2020.0.x		5bb6e63dc2ac93375c88b684305cd65e277b35fb
com.huaweicloud	spring-cloud-huawei-common	1.10.3-2021.0.x		a5826a3a6eaf27117b6d8e0de9552aa1d16bfd39
com.huaweicloud	spring-cloud-huawei-common	1.10.4-2020.0.x		30b6a7c1f34a67bfb65793de6d2bb364deac5e7f
com.huaweicloud	spring-cloud-huawei-common	1.10.4-2021.0.x		334f7a65cc4f586d0957c1d52cba8756dc0fdbfd
com.huaweicloud	spring-cloud-huawei-common	1.10.5-2020.0.x		d5ca7a1f7989d906c34d41a783ef0e42b8b107ed
com.huaweicloud	spring-cloud-huawei-common	1.10.5-2021.0.x		e0c338073af8165a13a1dd18861f6f5b7c698c6e
com.huaweicloud	spring-cloud-huawei-common	1.10.6-2020.0.x		24512f1db2e727547ff0121cf920afd7c151a5a0
com.huaweicloud	spring-cloud-huawei-common	1.10.6-2021.0.x		75e0f02274dd31af32d9fa945c9ac1c63b8bc3b7
com.huaweicloud	spring-cloud-huawei-common	1.10.7-2020.0.x		c4184571d45de077d8931389ab1a2398ac00a022
com.huaweicloud	spring-cloud-huawei-common	1.10.7-2021.0.x		df4c72c9581ee5d5ba0331402dc72e4e40db27a8
com.huaweicloud	spring-cloud-huawei-common	1.10.8-2020.0.x		950f72523610414bbb37e58994e188a7db9ffbe2
com.huaweicloud	spring-cloud-huawei-common	1.10.8-2021.0.x		129802897054edccdf1a819e73fb77e31d236515
com.huaweicloud	spring-cloud-huawei-common	1.10.9-2021.0.x		613fb5fa95ecafb440e41998dc619d94fe3ed1b2
com.huaweicloud	spring-cloud-huawei-common	1.11.0-2021.0.x		ef5dad75981f9d0ece788554249654afc341471b
com.huaweicloud	spring-cloud-huawei-common	1.11.0-2022.0.x		7c72ae1b36ad30c7e6852b2d7366a43f5cdeb04f
com.huaweicloud	spring-cloud-huawei-common	1.11.1-2021.0.x		0421088ccab83591116af3091be3da158f4b647e
com.huaweicloud	spring-cloud-huawei-common	1.11.1-2022.0.x		51cba5424d6177c7697c57b7d835b2245b4b8be0
com.huaweicloud	spring-cloud-huawei-common	1.11.10-2021.0.x		0f54f63d9c241d5775bf727de17c44bc52673d08
com.huaweicloud	spring-cloud-huawei-common	1.11.10-2022.0.x		109f40d4a1cbf8e7763047236db8a45f712a1c15
com.huaweicloud	spring-cloud-huawei-common	1.11.10-2023.0.x		5d40847f8a391685cc7ca3e2656e3481770939b1
