be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	rdf4j-repository-sink-processor	2.12.0		N/A
cloud.piranha.extension	piranha-extension-standard-servletannotations	22.1.0		1ee3cdb95416dfb02c86f8f1ce0521c2dbf033a5
cn.easyproject	easyobjectutils	1.7.4-RELEASE		03447b323b43542a5b822ad2991d1eb8125dce7f
com.47deg	fetch-debug_2.10	0.5.0		9ec99234971e84adeb1269d7474064c07843cf6c
com.47deg	fetch-debug_2.10	0.6.0		58d93fc823e4aed4cdfab00ec9f4a48c473c0b34
com.47deg	fetch-debug_2.10	0.6.1		6577b4567367eb5917332cc2b60c032a86099c05
com.47deg	fetch-debug_2.10	0.6.2		ac24605b1bb68afd163d648b4b1c806bc72baf52
com.ajjpj.a-collections	a-collections	0.9		616659cfcc7eb3fcda182df9923d65a62da3b07b
com.ajjpj.a-collections	a-collections	0.9.1		8bf2d61fa5eb27c59c8f13fdd3d28fe72a85a3ab
com.ajjpj.a-collections	a-collections	0.9.2		1b333fdf46fae539d8356da14a587261f6f9be17
com.aoindustries	ao-oss-parent-book	1.0.0		89693ff96b7e75d755807b1362380fca4981c1d3
com.aoindustries	ao-oss-parent-book	1.0.2		0587a7fd930c895068277059980721c6d9624b30
com.aoindustries	ao-oss-parent-book	1.0.3		807a8a96f3f25252f9d4142b9b2c63173428b6b7
com.aoindustries	ao-oss-parent-book	1.1.0		74120c667d9008c42a433e3b9f1268033c833bff
com.aoindustries	ao-oss-parent-book	1.10.0		ecceea80efda1ebeaa42f3945db423e278ea75b6
com.aoindustries	ao-oss-parent-book	1.11.0		6edd1f0b70ab29de8cc8c3f89b7220d7b1b1d11e
com.aoindustries	ao-oss-parent-book	1.12.0		0202d84b388f7421be1782a3e5b6cfab4112cc0d
com.aoindustries	ao-oss-parent-book	1.13.0		68075fd7ed87d170d07c13096f6028b31f62bf80
com.aoindustries	ao-oss-parent-book	1.14.0		4e1d308153d5e85747da83029ee1211c1d3d7882
com.aoindustries	ao-oss-parent-book	1.15.0		66bb77f3b5d4a7ecc9f8e49e2331e18df6faead8
com.aoindustries	ao-oss-parent-book	1.15.1		e49868ad70982dbaf169b41368c5b197eac023a2
com.aoindustries	ao-oss-parent-book	1.2.0		323a8508ecd39edc114e0745887d6021d1b4e291
com.aoindustries	ao-oss-parent-book	1.3.0		8b8311bc3b0c031a5f43aa2dab63731284e990a8
com.aoindustries	ao-oss-parent-book	1.3.1		329514237eeb0a6cc8c0b8f5c79c849d02bc8a92
com.aoindustries	ao-oss-parent-book	1.5.0		4a13c368422511b62240bffd1f93456d425d6224
com.aoindustries	ao-oss-parent-book	1.6.0		c686e18e6c519c1472070dfcaeed372d8ec4ed53
com.aoindustries	ao-oss-parent-book	1.7.0		038c9aa49e259c6ea19e97cacdd1030c0ea327e9
com.aoindustries	ao-oss-parent-book	1.7.1		1c984802053124f314562277812bf9f43a8a36da
com.aoindustries	ao-oss-parent-book	1.7.2		85f35a87ff8896029fa907b5015f15583fe48261
com.aoindustries	ao-oss-parent-book	1.8.0		ea79593309da1d48e74795abcd858ae2ce10669c
com.aoindustries	ao-oss-parent-book	1.9.0		fd26536ccf17aba183519670bdc17207f6f4fe4a
com.authologic.client	authologic-client-core	0.1.17		aa83d54ccd256dcaa25ef49bdb567f6a38bb77ad
com.authologic.client	authologic-client-core	0.1.18		1835d48d095008d04225cb1784fa3ac91099a6ec
com.authologic.client	authologic-client-core	0.2.11		516cd51a414c3ffb40048cdcf58eceadd656c58c
com.authologic.client	authologic-client-core	0.2.15		a5977e32d4c9f3b9c962ef03163bb9027ad58a37
