at.released.weh	filesystem-mingwx64	0.1-alpha01		N/A
au.id.tmm.tmm-scala-plotly	tmm-scala-plotly-core_2.13	0.0.2		d738acd9651b0eafa7622549f629c46b9563c119
au.id.tmm.tmm-scala-plotly	tmm-scala-plotly-core_2.13	0.0.5		98af24beb1bfa99405103d777db7dcba371ffa6d
be.yildiz-games	module-network-netty	1.0.0		ad3c4e59227e49599fbb7eb38d114bdaf2c5077b
be.yildiz-games	module-network-netty	1.0.1		be8d593d789f612bc0744d49b91f64748fcf73e6
be.yildiz-games	module-network-netty	1.0.2		1a0d8cc1f274ff54ab6a3778b3b523e4391af58f
be.yildiz-games	module-network-netty	1.0.3		8f7f1c3ababa81be6b988f0d464c81562542b263
be.yildiz-games	module-network-netty	1.0.4		34f0b93d0ab4e28dd1fe4d9d4353cfa038c8aa49
be.yildiz-games	module-network-netty	1.0.5		4814412206a7becf5ceae6b88ce607c491a083c6
be.yildiz-games	module-network-netty	1.0.6		5d5a6fccc7212540e91ffbcd995070b34681839b
be.yildiz-games	module-network-netty	1.0.6T		ed59be9382eb0692fcca902e182097b4e02165e6
be.yildiz-games	module-network-netty	2.0.0		95ff787c51764696acd3117fc2cc59b057bc07cf
be.yildiz-games	module-network-netty	2.0.1		15c19bf3476524dd74fd556a25fcf1e924ae0882
be.yildiz-games	module-network-netty	2.0.10		e9594cb50166c522cd6f0ce6e7cf0537d2e9a354
be.yildiz-games	module-network-netty	2.0.11		edd1b5af92259b05dc0df839c0636de56009400d
be.yildiz-games	module-network-netty	2.0.12		a8f0eab5ccb142e65263a04dcf053d340bc07403
be.yildiz-games	module-network-netty	2.0.13		0136f3e31b379ded9a7a3545cce5a7b1ad35748d
be.yildiz-games	module-network-netty	2.0.14		74082aa8ba000c44fdcfdf355367f72b00a6b526
be.yildiz-games	module-network-netty	2.0.15		3ef85d840af4d6645790cd29c9482e9f737859ee
be.yildiz-games	module-network-netty	2.0.16		d5cbda07b30f9dd6d3cc5d09bdacf70281b14183
be.yildiz-games	module-network-netty	2.0.17		7c8fdd7b1048de3606e9c419bf35075431d4c626
be.yildiz-games	module-network-netty	2.0.18		da466226e8ec624f63082b974fdd2efb89d408a8
be.yildiz-games	module-network-netty	2.0.19		595ea2e12eab95e385d0ea7b8b85dde6cd8cc452
be.yildiz-games	module-network-netty	2.0.2		e19129299539c189e881a842b637843bc7db90b0
be.yildiz-games	module-network-netty	2.0.20		01447b299bb248d539502f83433bf08b1aa248e6
be.yildiz-games	module-network-netty	2.0.21		377d3c43ee5aece755be27926da4a15959753c4e
be.yildiz-games	module-network-netty	2.0.22		01f1f1d6249299a0088ff31f14a3f34a8c973355
be.yildiz-games	module-network-netty	2.0.23		bb9f1072af8c475e1e1fc02ee48f7a727f622731
be.yildiz-games	module-network-netty	2.0.24		1b30d1969c0b9ea1adb0865a6b740f4329f5c671
be.yildiz-games	module-network-netty	2.0.25		9ff6cf4a6f56592af609af4b3cd8750343e465bb
be.yildiz-games	module-network-netty	2.0.26		5ddcfb101d090128bc0514b524af9187d33101d6
be.yildiz-games	module-network-netty	2.0.27		33f72a832fc3494561beda329a6d3786fc7b757a
be.yildiz-games	module-network-netty	2.0.28		804c1ea94cd03df8c2cbb7aed2572d51bcdec397
be.yildiz-games	module-network-netty	2.0.3		52e2d28135663e0cabe21a30413186cc3f308df0
be.yildiz-games	module-network-netty	2.0.4		0cac544bc65061a7046b99324b74ca0d2f4f1dda
be.yildiz-games	module-network-netty	2.0.5		37dc0b6d919f0ce0a5010a131385669fb6a210ab
be.yildiz-games	module-network-netty	2.0.6		7cc83fb75230cd7ff68ee6485e871eac54bbd2e3
be.yildiz-games	module-network-netty	2.0.7		43f2599b28208d7e5f649dcba44ff00ba6381715
be.yildiz-games	module-network-netty	2.0.8		4ac091073791aa6c7cd80d56d79b8d4e427a6d3b
be.yildiz-games	module-network-netty	2.0.9		b8d3674adee06d26bebdecaa8e9c41779b409d95
cash.atto	commons-gatekeeper-wasm-js	3.1.0		N/A
cash.atto	commons-gatekeeper-wasm-js	3.2.0		N/A
cash.atto	commons-gatekeeper-wasm-js	3.3.0		N/A
cash.atto	commons-gatekeeper-wasm-js	3.3.1		N/A
cloud.unionj	unionj-generator-frontend	1.0		39df713293a5f2ca47a81851ffb8435eff8faaf6
cloud.unionj	unionj-generator-frontend	1.1		6c534dca9d91ae191a4779fa03d1545d8b6fe60f
cloud.unionj	unionj-generator-frontend	1.2		af8b60d1fc66b6764ae75446f3510bf6b8194808
cloud.unionj	unionj-generator-frontend	1.3		924d0694b89481ff9fdf9c97c3dd0a82da5ce840
cn.org.opendfl	task-tool-web	1.0		d47adf9687eb621945073e6303f32f71cf4d057e
cn.org.opendfl	task-tool-web	1.1		0fde0abf76694073a75675c655d039811b581e52
cn.org.opendfl	task-tool-web	2.0		d219cbd3a12b249c5224f0348f81ab0df32b1cc4
cn.org.opendfl	task-tool-web	2.1		30c043c8ffd25343c9af75aef583ef7900a425b6
cn.org.opendfl	task-tool-web	2.2		cd1b724f2042ffff446fdcefab13bfac39b1440d
com.alanapi.banner	banner-banner	0.0.1		N/A
com.aoapps	ao-io-posix	4.0.0		8d606b455769a19f79bd68facaa111e98b8a3aa0
com.aoapps	ao-io-posix	4.1.0		0d196ce27a100ffd828f1ef7974b7c76e80edab2
com.apollographql.apollo3	apollo-mockserver	3.0.0		74dd0a0abb115731a3c58991b4e82cb9014a2cab
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha01		b18fbd2730162e8d3d528f554615ea72d947dda4
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha02		d1d6d59a7af1ca32b9bce81bbd904320e9e07e28
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha03		761530497a0430c6499ac431db3d7a52b6d9a37b
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha04		a3b2c5acdfac0eb5a7f61391ff0e0291d20874fc
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha05		f8487f83fd20681dd035cd2f1fe160baa8aaa673
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha06		b4a9836ce6b57c905cf556e0aa71fbd2342180ed
com.apollographql.apollo3	apollo-mockserver	3.0.0-alpha07		35766c78fab6a01f096729a1345aa658b30a94a7
com.apollographql.apollo3	apollo-mockserver	3.0.0-beta01		b40f1626db08cc432cd65b88d9b2087dd1def557
com.apollographql.apollo3	apollo-mockserver	3.0.0-beta02		2bc0b9450f0da34007aca805e9f9c63a57188b85
com.apollographql.apollo3	apollo-mockserver	3.0.0-beta03		34359aab7072b8d8a94c9c4fd700baa770f90cc7
com.apollographql.apollo3	apollo-mockserver	3.0.0-beta04		011a2de18487aebc4d479b3be17b2a813b22c2e0
com.apollographql.apollo3	apollo-mockserver	3.0.0-beta05		c6f7fd4442428907125d9cf0221cf0cd1b474b03
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev10		826e4411aaffe8d1141e9dcab8b31f9b997b376d
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev11		05104eb9a787f89bf444483891c0766fe1fa1288
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev12		7fceaf94875541c2fc826af0558ce777c00f123c
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev13		3b6edc58171ec6e798722a21ba5ca2c86bf52fc1
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev14		40fab52a788c7e7fb383902f3c864c368dc13cb5
com.apollographql.apollo3	apollo-mockserver	3.0.0-dev9		bc899700132fe68b4ecbe5966802345dd73e10bc
com.apollographql.apollo3	apollo-mockserver	3.0.0-rc01		3f5cf3c2e79f42cdd343660d85e667beb07ac415
com.apollographql.apollo3	apollo-mockserver	3.0.0-rc02		e1fc370914f69337d9301db3bdb6a1f1583b3fdc
com.apollographql.apollo3	apollo-mockserver	3.0.0-rc03		ec1e16112c00ef6a3b5d170b72d5beb310117dd0
com.apollographql.apollo3	apollo-mockserver	3.1.0		1acf415251bff9f72d5a2459fee406e2ed9b3102
com.apollographql.apollo3	apollo-mockserver	3.2.0		11309f49bbe18ba97b96461661736e7a2db6d574
com.apollographql.apollo3	apollo-mockserver	3.2.1		3f5ec9be973fc598c24500631950913bc2f7d888
com.apollographql.apollo3	apollo-mockserver	3.2.2		f270b2d068d618cf81f3dc33615e0a9d6d718a36
com.apollographql.apollo3	apollo-mockserver	3.3.0		580ea715671cd20b861f4083ecc6530826480582
com.apollographql.apollo3	apollo-mockserver	3.3.1		805a70f9c7490bb019d2f77949571354d6eb8bbc
com.apollographql.apollo3	apollo-mockserver	3.3.2		072dd3ad568913b13fcfd09af8847f6076974145
com.apollographql.apollo3	apollo-mockserver	3.4.0		3965caf32948b9b45a5bb81ca084808f723c9938
com.apollographql.apollo3	apollo-mockserver	3.5.0		4ee1dded1b77041805ed49c987582035edab2239
com.apollographql.apollo3	apollo-mockserver	3.6.0		a973ca3d3b9e3f1ff1b67061df1020a9c0ca1232
com.apollographql.apollo3	apollo-mockserver	3.6.0	all	bedb461dc9ef76abe1b9711cb3a798b767be1302
com.apollographql.apollo3	apollo-mockserver	3.6.1		3dab522bfaf24e8d73db7accdbf4c8afa35c9fce
com.apollographql.apollo3	apollo-mockserver	3.6.1	all	844f0d3066cfc5c5ab0ee41624a7724b0d450aac
com.apollographql.apollo3	apollo-mockserver	3.6.2		7f5aae0640627271521ba4332bb883fb62e45686
com.apollographql.apollo3	apollo-mockserver	3.6.2	all	df224727b177fb9b382c1f78fd0ca1d60d28927e
com.apollographql.apollo3	apollo-mockserver	3.7.0		45dcf61dadcf15fe9a597bb7496820831291ecde
com.apollographql.apollo3	apollo-mockserver	3.7.0	all	746991a0344f5ad3c182571b38edd683e69f336a
com.apollographql.apollo3	apollo-mockserver	3.7.1		6522080011c0d851b58e7dbbf0ddd7e5fb9ddbc3
com.apollographql.apollo3	apollo-mockserver	3.7.1	all	56c9c3310a053bc81501b9f6e48bc2ea90e452ae
com.apollographql.apollo3	apollo-mockserver	3.7.2		39773684df77b2824bcc48405f06b29f93117973
com.apollographql.apollo3	apollo-mockserver	3.7.2	all	aa72a5058484780ba00d763d32a1591657ce9233
com.apollographql.apollo3	apollo-mockserver	3.7.3		7884607e3f6ed08066a16ded5a7b724604390161
com.apollographql.apollo3	apollo-mockserver	3.7.3	all	0e8df2787f0bb5c35156d4f623ca7ba0e1065298
com.apollographql.apollo3	apollo-mockserver	3.7.4		1768e319f972437b1b4b0bd96f83b01c62fca058
com.apollographql.apollo3	apollo-mockserver	3.7.4	all	ff5cbe77d4f519375b7a9b85a316aef27229ece0
com.apollographql.apollo3	apollo-mockserver	3.7.5		69585a99e9eec71f28f890ad2b08465907c9946e
com.apollographql.apollo3	apollo-mockserver	3.7.5	all	98fa6d2cc14a6c46de92442e5c8be46a73b0a325
com.apollographql.apollo3	apollo-mockserver	3.8.0		df202ffbd4c2de203bf530d50588dc0343c76f14
com.apollographql.apollo3	apollo-mockserver	3.8.0	all	4e6e6748c76328e4a3e7eb44d6aa3d95f98f0129
com.apollographql.apollo3	apollo-mockserver	3.8.1		4a52075fc54f187364e77cc047cf5510432c17f5
com.apollographql.apollo3	apollo-mockserver	3.8.1	all	2c96b385d798758cec4d34ffd42edc05e67c348a
com.apollographql.apollo3	apollo-mockserver	3.8.2		024186d162ea27e8eda1a6199eb85dd32210ce00
com.apollographql.apollo3	apollo-mockserver	3.8.2	all	57bf09becf5f9349229d873ad79a4bab357aaddd
com.apollographql.apollo3	apollo-mockserver	3.8.3		992982950008cd41ccfcf3f81adf7a96b0942d34
com.apollographql.apollo3	apollo-mockserver	3.8.4		08608f3a6c6669e2cd7d58fce8b80eea16f293c4
com.apollographql.apollo3	apollo-mockserver	3.8.5		3fb3ffdffde5cec95415e474031a7e99595f6835
com.apollographql.apollo3	apollo-mockserver	4.0.0-alpha.1		f59b93f079f1ab8398a5f1ca85fb2f45a2a03684
com.apollographql.apollo3	apollo-mockserver	4.0.0-alpha.2		832152cd5f0c81d5a215ae78d19742d04b39c310
com.apollographql.apollo3	apollo-mockserver	4.0.0-alpha.3		2f36b029976ef71137dc490f6805093ea1dcec88
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.1		3791e48039a70c24f098fcd9c6db6460a77b0230
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.2		bf38fda4a08656ed760ba6bc1145b05c83b8cf1b
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.3		837773585a0bdfaafec4d10c646abfd61b0f1bed
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.4		541d60f03eadf729cb225e8536da146375cf48d6
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.5		251e39352b9fd81a825f7eefae6c4d99bd6e16cf
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.6		be769b21f5b730bf2b6441ae9915d51a680b6a93
com.apollographql.apollo3	apollo-mockserver	4.0.0-beta.7		ec7c2b8aa19ea37c6c1cdc4335e937c8bf99aa6d
com.betfair.caching	local-caching	2.1.1		16bcc0669d972ba90009dfb1096823a791514383
com.bloomberg	selekt-android-lint	0.12.1		2ee8382cbf956358e5cb119410ad8669a7ca7b0a
com.bloomberg	selekt-android-lint	0.12.2		01cb2904d5efbdf90ebfcbd076c88acf78d1865d
com.bloomberg	selekt-android-lint	0.12.3		00baec44fdb2fd62c6d48397a0c699f7cbb58c3a
com.bloomberg	selekt-android-lint	0.12.4		07869ec1867b7d581bcb9b2a59af38ffc25694e3
com.bloomberg	selekt-android-lint	0.12.5		e54965ee080c6a0c1489365d9ecaf97c93f6723a
com.bloomberg	selekt-android-lint	0.12.6		16567a1c140ef0ba263ab0592093d48bd67e5c7f
com.bloomberg	selekt-android-lint	0.12.7		fa4061ea930d37a01b9c57215609a58960b8f491
com.bloomberg	selekt-android-lint	0.13.0		837c15a8ff24db83191bbea76f9bf19e0030a051
com.bloomberg	selekt-android-lint	0.13.1		7be0322bf4d0deb16871dc83032020a3dcdea0f2
com.bloomberg	selekt-android-lint	0.13.2		5ca67dbac1587ed57bd24b66c0db1c8ac6d6eee7
com.bloomberg	selekt-android-lint	0.13.3		6ee7a5f9db5c0499dfdbddc562bc642845e36606
com.bloomberg	selekt-android-lint	0.13.4		61ceac01334eadf8799d88c1adfaefe2e74e4771
com.bloomberg	selekt-android-lint	0.13.5		74b70d3a2f508b6a290676902280e30dcb18b0a3
com.bloomberg	selekt-android-lint	0.13.6		dc3c9ed09fd8a680999695b841d16086f9f97c3f
com.bloomberg	selekt-android-lint	0.13.7		a2cf4f472a318d565c124027bc7c881830595ba6
com.bloomberg	selekt-android-lint	0.14.0		d7a7f44305f9df2c87176701e90f4939b339008a
com.bloomberg	selekt-android-lint	0.14.1		01a0f9b181cc26824a12a6bbea6dd552b981444d
com.bloomberg	selekt-android-lint	0.14.2		bdb1743fee2ead5596c5c9112469b2ec833d05e7
com.bloomberg	selekt-android-lint	0.14.3		00125307a698aad78db6819491c32484fcd6342b
com.bloomberg	selekt-android-lint	0.14.4		83802748981a9df3f38058ec835d01b5e353b86b
com.bloomberg	selekt-android-lint	0.14.5		0aa52ec9141f03b7178bb28588e06473ce6cb077
com.bloomberg	selekt-android-lint	0.15.0		2f0393eb3914bb302ccdaaff544e38eb291c64a2
com.bloomberg	selekt-android-lint	0.15.1		5767a1ecdcfc12643f3b73eaf3beb521120cc3e9
com.bloomberg	selekt-android-lint	0.15.2		8ab9a61f7068554bc380951b3b4827a2c817f6fd
com.bloomberg	selekt-android-lint	0.15.3		d721c008df9d86020781064e079661d35a6cd838
com.bloomberg	selekt-android-lint	0.15.4		e2e99c60578890a56d30dfb896ba45852fb496d3
com.bloomberg	selekt-android-lint	0.15.5		d3c28c83c5f7871adc9010a23b4a6ac3e1f8cd00
com.bloomberg	selekt-android-lint	0.15.6		b92ef4f3fe0b11cb6cf6fb435ef0686e6437f0aa
com.bloomberg	selekt-android-lint	0.15.7		a923a9eb8b696c53b896d6e3f42e16355527282f
com.bloomberg	selekt-android-lint	0.16.0		1dff0681efc72b93aaecc8767b808faddbf85c7a
com.bloomberg	selekt-android-lint	0.16.1		def37ab4c6be1f4e988d81c582c09d4d4887f352
com.bloomberg	selekt-android-lint	0.16.2		34bb57f3c3c4eea4c41b5e7d67aa9a79c87f3b76
com.bloomberg	selekt-android-lint	0.16.3		5aef3f0b31026551f81deeceb9330e6b5103a2e6
com.bloomberg	selekt-android-lint	0.16.4		73a1456fdab7c5ce33c822756916b73501797595
com.bloomberg	selekt-android-lint	0.17.0		0c674f9302a1f1be11fb74102c056b6848363069
com.bloomberg	selekt-android-lint	0.17.1		5a7c0bb27d20bcc60f57faae6f376d686a9b81d6
com.bloomberg	selekt-android-lint	0.18.0		42d8fd791b7c534fbecd4ada062489a7f7d58be8
com.bloomberg	selekt-android-lint	0.18.1		085d7b5b64b8ad290fd5c73ca26308748667d740
com.bloomberg	selekt-android-lint	0.18.2		7a77cdfe0657decd2b566ce4d89205075eb127e3
com.bloomberg	selekt-android-lint	0.19.0		081bc03781befae3a662087bbae567a419542f13
com.bloomberg	selekt-android-lint	0.20.0		6c457c8f5c429cb0e93395f00c80389f1d39eb85
com.bloomberg	selekt-android-lint	0.21.0		c0bbca147a4cd30acab18cd1b79432904312c33d
com.bloomberg	selekt-android-lint	0.22.0		da679caee7e2b61e8002715ef56340e42a1d2fbd
com.bloomberg	selekt-android-lint	0.22.1		b78cf3e2b4f72ed8a070ddb5e46397787632801a
com.bloomberg	selekt-android-lint	0.22.2		abbed09fa1e77329f74ad7b53fc0d29ded33df3e
com.bloomberg	selekt-android-lint	0.22.3		e29fe8429413680bc946725dcd56eb21f492c898
com.bloomberg	selekt-android-lint	0.23.0		6664804bba8dc45dad871360ee0294e68ddc0f73
com.bloomberg	selekt-android-lint	0.23.1		0e77a884de7debc6ed27fd536c72bdc1a46cc0c6
com.bloomberg	selekt-android-lint	0.23.2		3d1fc4daee0b29dc8b0268fb5972f032b2b6a5e8
com.bloomberg	selekt-android-lint	0.23.3		c4b88c044ec863c26176d8b2244a1d53c87b4796
com.ckjava	jee-components	1.0.0		N/A
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.02.09		d7acdeb1580974af5678cf708f1c67392be146df
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.02.10		ba823b53eecca3b912c8213d511b94231dd6adfe
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.09.22		c341a31366d4c945a29fa12cd363bdfe5dde5af5
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.14.24		0eb1f31ebacfb03bc6c459457ba4eec3f3a55b8a
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.22.04		38f4335d426fe6c6299ed40c81ea62db9a1d5633
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.22.13		3f2d704d210a78045cdee12411394606b182e11a
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.23.06		5fa9f7e6c5de5db512047346714060c3a3003ad2
com.disneystreaming.smithy	aws-cloudtrail-spec	2023.23.30		fca917049064a097a119b56f3a30d66485b656f7
com.disneystreaming.smithy	aws-cloudtrail-spec	2025.03.31		bf27d750bcfdc2729261b2aa7742f2737b28f3a8
com.disneystreaming.smithy	aws-cloudtrail-spec	2025.04.08		994a9d8fed0cdde294dde7065d0ae7de214b0633
com.dwolla	monitoring-server_3	7.1.0		01c44211aa3bb6e2cc85436191605b3d7aa3a71b
com.dwolla	monitoring-server_3	7.1.1		db24b527279e15d813d4e1746a6c2e684350f23d
com.gitee.smiletou	basic-crud-mp	0.0.1		e53b5b92e5d6a092557ef3078f5ad435626c6de2
com.github.nexus-actions.sample	nexus-actions-demo-jvm	0.1		1e54885577ddf5bd9a1222babc6f3a631e5a42b9
com.github.nexus-actions.sample	nexus-actions-demo-jvm	0.2		b02e8ed0dd2617d509ce57fedd3dec3287d0eeb4
com.github.olivergondza.dumpling	dumpling-groovy-api	2.0		21602d2ee9cf39d594ab087ebce279ceaf00f0cc
com.github.olivergondza.dumpling	dumpling-groovy-api	2.1		fad0f8fbc18ff8a994227f12843a56f6ef07836a
com.github.olivergondza.dumpling	dumpling-groovy-api	2.2		d86e56c1a95342695412c4881d175698fe4eb6bd
com.github.olivergondza.dumpling	dumpling-groovy-api	2.3		37d38ec80a56e5d930451b9f6a2cc106a00de63b
com.github.olivergondza.dumpling	dumpling-groovy-api	2.4		1b0b88db5dd360d00585432a45172d7198780d15
com.github.olivergondza.dumpling	dumpling-groovy-api	2.6		a634cb66a8a1f5b159dd1692ba27049e1354db00
com.github.storm-bit	tiktok-api	1.0		94eb51936467d1a61b683263ae19bb7816692f5c
com.github.storm-bit	tiktok-api	1.0.1		0816f6c6a80368652bdca23e1fe91347b82a1037
com.github.storm-bit	tiktok-api	1.0.2		44381b97a8d32d9133c5ad4eb70633e1de10cea7
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.0		2cfde43e87e122e5096b7bb187a2e057a4fc27ff
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.1		89f1523d882a754214b5c2247866124842065fdc
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.2		911abfab8be7d8537b9a74775ba90013cd02eac1
com.holon-platform.jaxrs	holon-starter-jersey-client	5.0.3		28be7cc2690584fc335c06d6337534f8e8a0a872
