ch.nexsol-tech.spring	spring-build	1.0.0		N/A
cn.jdevelops	jdevelops-api-sign	2.0.7		5615b01bb4a6ed6ef3744aa3fab0a7f21aa2eb50
cn.webfuse	webfuse-framework	1.0		ec425111399108a5431da1f865633b2530d61d90
cn.webfuse	webfuse-framework	1.0.1		b1f3d46393d0de3cde1b9cff908357a715f3cd57
cn.webfuse	webfuse-framework	1.0.2		1930c5adf45f42446bcd6e025794ba377fbcc2ae
com.akexorcist	instant-dialog-all	1.0.0		N/A
com.apzda.cloud	apzda-cloud-gsvc-jpa	3.4.2		15f3a332317ca3232a94c9310aeeeba6d7335bd5
com.apzda.cloud	apzda-cloud-gsvc-jpa	3.4.3		149ef084e2e4a4f82d6a173c2c36a41d85b7f30f
com.dangdang	sharding-jdbc-transaction-storage	1.2.0		f1368d1a4694aca6c70e1f8eb261bfb240228ec3
com.dangdang	sharding-jdbc-transaction-storage	1.2.1		3480f863ae848749caabd30ac430f3353f71aa33
com.dangdang	sharding-jdbc-transaction-storage	1.3.0		4d207122c569809728266a4273f4ebb917d4ec32
com.dangdang	sharding-jdbc-transaction-storage	1.3.1		192bf6a84a4d1fb4d047756c223be9e6e0dc4393
com.dangdang	sharding-jdbc-transaction-storage	1.3.2		21f4093e9ff7fa35f302bf15cd6a1e7d4abd6fe3
com.dangdang	sharding-jdbc-transaction-storage	1.3.3		5ec9753b5569406b8e21f6e04a16d6964e56202c
com.dangdang	sharding-jdbc-transaction-storage	1.4.0		d3218b5a3da8d1775d949d8c4026db79bad19bfa
com.dangdang	sharding-jdbc-transaction-storage	1.4.1		e08853af0c78f6fba226f008248cc44b2c4351f8
com.dangdang	sharding-jdbc-transaction-storage	1.4.2		63da703893435b9249170e42df0929c7200a42e3
com.dangdang	sharding-jdbc-transaction-storage	1.5.0		761fcdf049ad0483e08acabd4da134b37c22be7b
com.dangdang	sharding-jdbc-transaction-storage	1.5.0.M1		981220ab103a7084525cd15e31fb2eb0eda7faa8
com.dangdang	sharding-jdbc-transaction-storage	1.5.0.M2		22e024a16a033744fa1e287b22608abc62db7f98
com.dangdang	sharding-jdbc-transaction-storage	1.5.0.M3		6a493e94b492a58f00b764d6eadabc24be94478b
com.dangdang	sharding-jdbc-transaction-storage	1.5.1		80b7b34e6c350d8634498452d1fb2c067f5d98b0
com.dangdang	sharding-jdbc-transaction-storage	1.5.2		e3abaf1c99090ab27ce3073416c9f80a0af26d16
com.dangdang	sharding-jdbc-transaction-storage	1.5.3		8612ec00ad976d3c69b56e460d98888dc514417d
com.dangdang	sharding-jdbc-transaction-storage	1.5.4		c3aba2a04e4da088cfcd3409edb0addb5bb7a94e
com.dangdang	sharding-jdbc-transaction-storage	1.5.4.1		5a7dd4cb22b434fd4411df4c88650bdd1ddce988
com.darkrockstudios	SymSpellKt-mingwx64	2.1.1		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.0.8		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.0.9		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.1.0		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.2.0		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.3.0		N/A
com.darkrockstudios	SymSpellKt-mingwx64	3.3.3		N/A
com.eimapi	content-store-api	0.0.1		fc53fc97b21c40e4f722a4941c762d5417feba4e
com.eimapi	content-store-api	1.0.0		5a800905c7739069decd36ff4c7ca2b945afb5d6
com.erigir	wrench-drigo	0.921		e8b80cdb5cbfd3daa1c2bd2adcb34f7769b2d317
com.erigir	wrench-drigo	1.0.28		6f86febf30a9792cd25b1ef010780568ac4549a3
com.erigir	wrench-drigo	1.000		dc830bbe231527f434eeaf4e9fcdca071f391a88
com.erigir	wrench-drigo	1.001		ea4df05387519559f439562ef4416f45f8c5f0ce
com.erigir	wrench-drigo	1.002		ac428bf72ff0df8c7e8291f8c9652193a59a7a3d
com.erigir	wrench-drigo	1.003		75dd1240ee8926eb1c0c6e3cf12356c330768174
com.erigir	wrench-drigo	1.1.0+49		e08c826d87fbe04170c054d8943a7c9690671ca3
com.erigir	wrench-drigo	1.1.1+55		2c1cb9b11ece5b8e731b13147738c95c2fd1d150
com.erigir	wrench-drigo	1.1.2+58		f218125c4b1bc05c0fe38136a65ddcfc1ed83c5e
com.erigir	wrench-drigo	1.1.3+61		e6d64456bac71f0b8b8f01c10bebd7b2dd39f2bd
com.erigir	wrench-drigo	1.1.4+62		a70f31fe26f9121f96f75e540d5507a82d59b188
com.erigir	wrench-drigo	1.1.5+64		23b95e9424ee2a48d9df9872560204eec83f959e
com.erigir	wrench-drigo	1.1.6+68		d1837c0444509478045a0b1d96a67b5e32728bc3
com.erigir	wrench-drigo	1.1.7+69		36a2ccde3a7b6195380fa2ebd78f051acb0295a6
com.erigir	wrench-drigo	1.1.8+71		d718c9f90f98620d0dba4a50da96b9a4da3ca6a3
com.erigir	wrench-drigo	1.2.0+74		91747de45727fe5fed2b37ed82ee529f2cf6f1e1
com.erigir	wrench-drigo	1.2.1+76		4169447712cf208e29a9177cd0eea81fcdfabb9c
com.erigir	wrench-drigo	2.0.1+116		00a9d16b36d773b9b3155a1853eb84739a26ae73
com.erigir	wrench-drigo	2.0.2+118		43cb7ebd4e8bbbe6c3ef5ce6ca0ea15fcd2d9279
