ai.faculty	dynamic-configuration_2.13	0.4.0	-	bbdfccb3e9c915d1c8ebaed38ddb3b94bc559464
ai.grakn	test-snb	0.16.0	-	1eecfd8c1ece81395f5f5deac5de637d3697858a
ai.grakn	test-snb	0.17.0	-	b090e52befab65a6a232c1d061842da891dcfc37
ai.grakn	test-snb	0.17.1	-	a7f2c7db80c5257704acd299fc7dc69380e1a8fb
ai.grakn	test-snb	0.18.0	-	be4735f9662d7939a28ce405af48a5e008a47825
ai.grakn	test-snb	1.0.0	-	5fb13ddda3f02585d0c6ada9d1bf4375ee59fa0b
ai.grakn	test-snb	1.4.1	-	03b7d122f3d8689a3cdf86170974ee1f23c2d2fb
ai.grakn	test-snb	1.4.3	-	a4fc7cddea7ac616a1ced5865e9b248c6b91d739
ai.grakn	test-snb	v1.1.0-226-g847ecff2d8e26f249422247d7665fe15f07b1744	-	d9135c66938cfd732626c55f30600c90c8a08601
app.softwork.kotlin.actions	ktor-engine	0.0.10	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.11	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.12	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.13	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.14	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.15	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.16	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.5	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.6	-	9fa905d86d6a9e924e47001681bc7391e3aeb832
app.softwork.kotlin.actions	ktor-engine	0.0.7	-	9fa905d86d6a9e924e47001681bc7391e3aeb832
app.softwork.kotlin.actions	ktor-engine	0.0.8	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
app.softwork.kotlin.actions	ktor-engine	0.0.9	-	b3b8bf147a210c2f0912cf8f759f1daa4e93153b
aws.sdk.kotlin	dataexchange	0.10.0-beta	-	dcf0be98fd1e982fd37dcf95fdfd90714973715b
aws.sdk.kotlin	dataexchange	0.10.1-beta	-	39f847de927aaa22d2929a9373fc46aa159388cc
aws.sdk.kotlin	dataexchange	0.11.0-beta	-	82aac9e964ac150c8b89bd153652c698a4417162
aws.sdk.kotlin	dataexchange	0.12.0-beta	-	913eb20d99aa96f18c8cd70ade639204ea2e32d5
aws.sdk.kotlin	dataexchange	0.13.0-beta	-	a45a6e33895a4a0352815278ba03f94e8660d9d0
aws.sdk.kotlin	dataexchange	0.13.1-beta	-	5fce58cd6e537092bac357a211881c7f300029ba
aws.sdk.kotlin	dataexchange	0.14.0-beta	-	bd2b4bb058558451123b15a5e115f040c87cd58f
aws.sdk.kotlin	dataexchange	0.14.1-beta	-	c94efd0f7bcc5daa067e928c012f2c4dbd693a7b
aws.sdk.kotlin	dataexchange	0.14.2-beta	-	c2608d34fc87f6814f3023fdb11be0c16e0bfe19
aws.sdk.kotlin	dataexchange	0.14.3-beta	-	05fc4b8a9c3b453a797d758e5c5b3646fbd238ac
aws.sdk.kotlin	dataexchange	0.14.4-beta	-	b6993b9be5cc096c6c31f31a5a0af9b55237bf92
aws.sdk.kotlin	dataexchange	0.15.0	-	796129ee9ae2c60a12435db74723eaf268a4e62d
aws.sdk.kotlin	dataexchange	0.15.1-beta	-	99f5038f96a459f7eb35713042c8e0115f3f3036
aws.sdk.kotlin	dataexchange	0.15.2-beta	-	985b1aae45d8c2aad65c3b5f06c8c21ce043eaf8
aws.sdk.kotlin	dataexchange	0.16.0	-	5c74bac3352e08582268679c6750b39ba37e3801
aws.sdk.kotlin	dataexchange	0.16.1-beta	-	6c6731073be4e3af5aba8282e694ad12bddd0b30
aws.sdk.kotlin	dataexchange	0.16.2-beta	-	1f09751e879f6d866191ad22b6e443f3111837f1
aws.sdk.kotlin	dataexchange	0.16.3-beta	-	65f063ad9996c87a7593d413b77578a68d735800
aws.sdk.kotlin	dataexchange	0.16.4-beta	-	74cce633513ee8b71d128410846d6c3ecdfea189
aws.sdk.kotlin	dataexchange	0.16.5-beta	-	952ed4b02057a92a35705fbb65a64f93d14df339
aws.sdk.kotlin	dataexchange	0.16.6-beta	-	0ac86f64478279180f14cc1a541844a30ffb2d54
aws.sdk.kotlin	dataexchange	0.16.7-beta	-	8d2a619fad4686d201d18289407e3e4920f55019
aws.sdk.kotlin	dataexchange	0.17.0-beta	-	02b0f90c0a6cc0af4d6859deae722f18a5938167
aws.sdk.kotlin	dataexchange	0.17.1-beta	-	ba330c0822e95bb441d7343ae59c46f08a080955
aws.sdk.kotlin	dataexchange	0.17.10-beta	-	d7d16f9024caeb267aea091c656ef9a78243a75a
aws.sdk.kotlin	dataexchange	0.17.10-beta	0.17.10-beta-all	46492efc2427a06f2df57ba35013226e353548f4
aws.sdk.kotlin	dataexchange	0.17.11-beta	-	2cf82843a83226a9cefdf045c8fb3eff326116fe
aws.sdk.kotlin	dataexchange	0.17.11-beta	0.17.11-beta-all	c1dc75cbc64ae28c2985b266201e703089919976
aws.sdk.kotlin	dataexchange	0.17.12-beta	-	0a824b216fec5ffcaf8794b144f998b4d08841e3
aws.sdk.kotlin	dataexchange	0.17.12-beta	0.17.12-beta-all	a6b7a3a636cb4804e40ad8f965921cdebe16c286
aws.sdk.kotlin	dataexchange	0.17.2-beta	-	2ea6b78afed9043d618ebcda0dfe1968d5b70c0b
aws.sdk.kotlin	dataexchange	0.17.3-beta	-	ac99843fb0036db7201803fef82e426d966efe36
aws.sdk.kotlin	dataexchange	0.17.4-beta	-	d250eb19fe67522f5237f488b16e4b89f2550acf
aws.sdk.kotlin	dataexchange	0.17.5-beta	-	0f513ed9d09be736fbe6b2307108f4247d61f16d
aws.sdk.kotlin	dataexchange	0.17.6-beta	-	6765d63e2dc66106f4d6aa514dca51dced942994
aws.sdk.kotlin	dataexchange	0.17.7-beta	-	3c13c90dbf1c5bc6435c5aba8b2a4b868b50b9bc
aws.sdk.kotlin	dataexchange	0.17.8-beta	-	d0977da4fd2bf49dae141e5d355d54e711b92fdf
aws.sdk.kotlin	dataexchange	0.17.8-beta	0.17.8-beta-all	9aa59a1cac9528a883547da4c84aa9f2f711c1e6
aws.sdk.kotlin	dataexchange	0.17.9-beta	-	87de29efbafc3cb8e594f6b3eb5707d8f492e260
aws.sdk.kotlin	dataexchange	0.17.9-beta	0.17.9-beta-all	b73e692ac9049a05fc2fdf10f137e8a8d817735d
aws.sdk.kotlin	dataexchange	0.18.0-beta	-	e3fa42dd590964342393d575e6342da5a38fca4f
aws.sdk.kotlin	dataexchange	0.18.0-beta	0.18.0-beta-all	32023f851c16821775dae15a0a492c7b1f524774
aws.sdk.kotlin	dataexchange	0.19.0-beta	-	65bc7d8bfa12e5805905ae2582725bee1a57c532
aws.sdk.kotlin	dataexchange	0.19.0-beta	0.19.0-beta-all	2e784faf556cf8e638e76b031e0b4415b4b7e02a
aws.sdk.kotlin	dataexchange	0.19.1-beta	-	75b7c067d5e26b01f0cfd1d82d0c489073e5a5a1
aws.sdk.kotlin	dataexchange	0.19.1-beta	0.19.1-beta-all	27344fdd0d0c0ff4b12c77ceaac9957b3b31f50a
aws.sdk.kotlin	dataexchange	0.19.2-beta	-	39834a70f16b9059fb37812b2e6bab6e98f293ba
aws.sdk.kotlin	dataexchange	0.19.2-beta	0.19.2-beta-all	81004868920e3728c622219d36cf46c7a408c9c9
aws.sdk.kotlin	dataexchange	0.19.3-beta	-	b0489a8c50de5914dec54b1c4af61025071f82ba
aws.sdk.kotlin	dataexchange	0.19.3-beta	0.19.3-beta-all	ef186cdeadcdbfb479f757f8c6403a1d4f1f3e7f
aws.sdk.kotlin	dataexchange	0.19.4-beta	-	95b64ebe04d2b7cbfc8803103a8f94fca8526529
aws.sdk.kotlin	dataexchange	0.19.4-beta	0.19.4-beta-all	b100863f36d1db01cec6fcbca18cd6f6e2700fd7
aws.sdk.kotlin	dataexchange	0.19.5-beta	-	52c6342b236e6d06e0409123c0f609b240c1d321
aws.sdk.kotlin	dataexchange	0.19.5-beta	0.19.5-beta-all	11b80a6ccb51ed2306d7ed904a2b908c6070d8ea
aws.sdk.kotlin	dataexchange	0.20.0-beta	-	9677ad4152e580022a73e5dfaae8c7028193dead
aws.sdk.kotlin	dataexchange	0.20.0-beta	0.20.0-beta-all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	dataexchange	0.20.1-beta	-	46dcd8dbe2171eb232cf2ab36ba0e71c3422a4a3
aws.sdk.kotlin	dataexchange	0.20.1-beta	0.20.1-beta-all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	dataexchange	0.20.2-beta	-	c23adadc647afc9512d1c9e0cb8f958fa222cbfa
aws.sdk.kotlin	dataexchange	0.20.2-beta	0.20.2-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.20.3-beta	-	c1266fc65c1aa4933bd2888abcf60c6862674f99
aws.sdk.kotlin	dataexchange	0.20.3-beta	0.20.3-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.0-beta	-	bb725df9964eeaf29706703bec54ea936b5263b1
aws.sdk.kotlin	dataexchange	0.21.0-beta	0.21.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.1-beta	-	1d413bf2d74961ef2992fb317bffb8f3816a4c7a
aws.sdk.kotlin	dataexchange	0.21.1-beta	0.21.1-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.2-beta	-	015b85136e2997245d84306faf60d672332a98c4
aws.sdk.kotlin	dataexchange	0.21.2-beta	0.21.2-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.3-beta	-	fd491e17cf8322ed26a3ce0fa48d3d1508c96fda
aws.sdk.kotlin	dataexchange	0.21.3-beta	0.21.3-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.4-beta	-	5f6bf6e3bb1063c1c4ed29020849adbfe815b8cf
aws.sdk.kotlin	dataexchange	0.21.4-beta	0.21.4-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.21.5-beta	-	40692b16597e34be4dad9f6729c5ff7b78841406
aws.sdk.kotlin	dataexchange	0.21.5-beta	0.21.5-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.22.0-beta	-	27aa09b697a101238670c9eff0bc3eb20164b047
aws.sdk.kotlin	dataexchange	0.22.0-beta	0.22.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.22.1-beta	-	2f103dd3275057b98df4744715237f0cdac3dfdc
aws.sdk.kotlin	dataexchange	0.22.1-beta	0.22.1-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.23.0-beta	-	862131b9b910a2e520cbabd4658f338095030d1f
aws.sdk.kotlin	dataexchange	0.23.0-beta	0.23.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.24.0-beta	-	dd4067ae115072d79db85eb08530e1a8336de087
aws.sdk.kotlin	dataexchange	0.24.0-beta	0.24.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.25.0-beta	-	1825e1ec7e3ed8a6ea6c94e213199688a6093d25
aws.sdk.kotlin	dataexchange	0.25.0-beta	0.25.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.26.0-beta	-	2366c942c6df1864e8c6acbe829597dff571538e
aws.sdk.kotlin	dataexchange	0.26.0-beta	0.26.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.26.1-beta	-	4b3714686f960b6f86161ae34c2ea0cba9c2945b
aws.sdk.kotlin	dataexchange	0.26.1-beta	0.26.1-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.27.0-beta	-	9c6551ea80fda928c4c1ae18c703907fd89c86ee
aws.sdk.kotlin	dataexchange	0.27.0-beta	0.27.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.27.1-beta	-	10ede29553209988ab5765919c276a78796d5065
aws.sdk.kotlin	dataexchange	0.27.1-beta	0.27.1-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.27.2-beta	-	17b35317db1ab4b03097ec1039368898ffd3266e
aws.sdk.kotlin	dataexchange	0.27.2-beta	0.27.2-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.28.0-beta	-	ea5e1d765a69c4f989a0a93c31a1f0c6402c8e39
aws.sdk.kotlin	dataexchange	0.28.0-beta	0.28.0-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.28.1-beta	-	9b74415c744d559c37317df5e119e30dba1c548f
aws.sdk.kotlin	dataexchange	0.28.1-beta	0.28.1-beta-all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	dataexchange	0.28.2-beta	-	35e4958337bfcd9aa383b0ff660e8709c01b6eab
