at.asitplus.crypto	provider-versionCatalog	0.1.0-PRE		N/A
aws.sdk.kotlin	secretsmanager	0.10.0-beta		66a0db8227a914302788aa4390ad56b87ed13b5b
aws.sdk.kotlin	secretsmanager	0.10.1-beta		1ef35b2268a6892877299246319f6bf10532baf2
aws.sdk.kotlin	secretsmanager	0.11.0-beta		b8dae122edff2abde9333c697ea814acaeed66b8
aws.sdk.kotlin	secretsmanager	0.12.0-beta		e04de10d5603b454ae8d238f620e04c61358bcfb
aws.sdk.kotlin	secretsmanager	0.13.0-beta		6493e580c074a573b49fd1d83d24ee137a7a885c
aws.sdk.kotlin	secretsmanager	0.13.1-beta		8f3bb412abbe97f834e7774b32e7e4e18bbac542
aws.sdk.kotlin	secretsmanager	0.14.0-beta		59cabd1d5e028f41d22e326b4b1413d0e58d2a84
aws.sdk.kotlin	secretsmanager	0.14.1-beta		9ff8cdfc24120adff8e30793c3f85eb93b395c77
aws.sdk.kotlin	secretsmanager	0.14.2-beta		518a3b5f93def85db77272601d7fb90708b48372
aws.sdk.kotlin	secretsmanager	0.14.3-beta		bf260a865066b5d9fd8702fbb3b6de9f45134b50
aws.sdk.kotlin	secretsmanager	0.14.4-beta		95dfafccda585b81846a794369a03ea0ca186455
aws.sdk.kotlin	secretsmanager	0.15.0		441bffee7741a88e3dc8c56aa9642c2eac285403
aws.sdk.kotlin	secretsmanager	0.15.1-beta		2af676b0f7574509bf2c48566758272a59cc6a39
aws.sdk.kotlin	secretsmanager	0.15.2-beta		8029ca0d503752e5148b73ea08e9d10d8a2e9777
aws.sdk.kotlin	secretsmanager	0.16.0		1197059d6c35311ad699e480093fdcbf60b8ab45
aws.sdk.kotlin	secretsmanager	0.16.1-beta		7665f68b19701cb31ebc75018a8f24a311dd99ec
aws.sdk.kotlin	secretsmanager	0.16.2-beta		42e2e8758127233c0a0107ccf792f7be3101b19f
aws.sdk.kotlin	secretsmanager	0.16.3-beta		33222f15124aafe626c98b90966012409db81187
aws.sdk.kotlin	secretsmanager	0.16.4-beta		df43dcdd1be74fd61d0920b214ffe26167793e8e
aws.sdk.kotlin	secretsmanager	0.16.5-beta		7c8d5eec8c12d9ead76f90a6f3db60b7ea979b53
aws.sdk.kotlin	secretsmanager	0.16.6-beta		fceff4748a7c5506aa9620c2a75e3f64218f628a
aws.sdk.kotlin	secretsmanager	0.16.7-beta		11b3a9c58911d5ccc18638d98167cbb5786a6a90
aws.sdk.kotlin	secretsmanager	0.17.0-beta		81728d06d69f8246555a60b8167c147ba0f3625d
aws.sdk.kotlin	secretsmanager	0.17.1-beta		f736b3d77993df24c830a7c29f9abd46aa061789
aws.sdk.kotlin	secretsmanager	0.17.10-beta		29e816c4f44f353a080824878d4c1bd3eaf7f162
aws.sdk.kotlin	secretsmanager	0.17.10-beta	all	3851e7f42c2f45b67d940fc28d32b521e194f06e
aws.sdk.kotlin	secretsmanager	0.17.11-beta		aaea10bc970a37d3ac90a8998c56abbe391bd262
aws.sdk.kotlin	secretsmanager	0.17.11-beta	all	068bd6939be91634fc97e4f00be1aef6ba045083
aws.sdk.kotlin	secretsmanager	0.17.12-beta		7844272d8d7b63a6e7ab4589c1d47f26b189f8ee
