app.peac	core	0.0.1		725e61c037609f030587205a669ecf3c6b95a72b
aws.sdk.kotlin	forecastquery	0.10.0-beta		2b6536fc8c8752b6a2837d992f3e7f8e368c6e95
aws.sdk.kotlin	forecastquery	0.10.1-beta		c4af8efacf77ad6e1701db52e1e662cd98d2b7e9
aws.sdk.kotlin	forecastquery	0.11.0-beta		43e4bf0e77d1b13180af4cffe2bbb7728589fb89
aws.sdk.kotlin	forecastquery	0.12.0-beta		81dde6245de8d3a4028052247f477aca019627c7
aws.sdk.kotlin	forecastquery	0.13.0-beta		dfbc2b54a6d4a79175deb7b05c8bf61615275053
aws.sdk.kotlin	forecastquery	0.13.1-beta		31c6dced1318c7d412011f1dce6be3a6f737df96
aws.sdk.kotlin	forecastquery	0.14.0-beta		dd19230773162ddd09667d222586a316669476bc
aws.sdk.kotlin	forecastquery	0.14.1-beta		258beb72005cef8979dad76f9daa0c4c9143f074
aws.sdk.kotlin	forecastquery	0.14.2-beta		de0be8e768942865265c0cc482d4eba092d02007
aws.sdk.kotlin	forecastquery	0.14.3-beta		b30f85f2365fe34f8860aea59d024351aa018e55
aws.sdk.kotlin	forecastquery	0.14.4-beta		8e894c9461c60184df926a5550d8b035322ec7be
aws.sdk.kotlin	forecastquery	0.15.0		6b3fef5592426ad6961d808eb3c0f8e0f93b0018
aws.sdk.kotlin	forecastquery	0.15.1-beta		13aba3ea6f4e34e6e246dabfc52058e2d7eedc89
aws.sdk.kotlin	forecastquery	0.15.2-beta		763c1c4f27b34056b3dbf3a7078507a74e297dbc
aws.sdk.kotlin	forecastquery	0.16.0		89be281b02c73406745e8693b9c1c6a1e1cf6851
aws.sdk.kotlin	forecastquery	0.16.1-beta		51471ea126a282476ee35b585605bb3a04d53c20
aws.sdk.kotlin	forecastquery	0.16.2-beta		0377dfb3cb783d48001922c8eba21eac19d8ee8b
aws.sdk.kotlin	forecastquery	0.16.3-beta		9810c56b3a59654f57697cd4f7c0da0380b98fe8
aws.sdk.kotlin	forecastquery	0.16.4-beta		3b742a94508e673caa86a5b05f3b29b9ef507254
aws.sdk.kotlin	forecastquery	0.16.5-beta		3f66696d85bb14101b2f04a75f7544ec6f2f8be9
aws.sdk.kotlin	forecastquery	0.16.6-beta		49415b2b189098846faf547a29930b8c38606dc8
aws.sdk.kotlin	forecastquery	0.16.7-beta		f49acdcc471454398e56b02c76537e2cf325fa02
aws.sdk.kotlin	forecastquery	0.17.0-beta		ca1f559fd3621439190ad6dfa06022715a6af444
aws.sdk.kotlin	forecastquery	0.17.1-beta		67906374aea1fef09dcd68245c3059799c1543af
aws.sdk.kotlin	forecastquery	0.17.10-beta		e73d66e15fc78cb264984a38fb2597bd8245a3ce
aws.sdk.kotlin	forecastquery	0.17.10-beta	all	9e5da573571724b86ac6a41ab15378cf08561d16
aws.sdk.kotlin	forecastquery	0.17.11-beta		58d9ee14ba1ec05be34bc4646967a0bf1db297b2
aws.sdk.kotlin	forecastquery	0.17.11-beta	all	b3aa7fc9d52926ae5639f0531ece07905539f8a5
aws.sdk.kotlin	forecastquery	0.17.12-beta		8f31d944695e846b059e590949134d2e0949540b
aws.sdk.kotlin	forecastquery	0.17.12-beta	all	2068f98b4c59d007bb7d458646464d74ba83aa2c
aws.sdk.kotlin	forecastquery	0.17.2-beta		050f2c81cb7c5256907a1b97f2df4cb66a852746
aws.sdk.kotlin	forecastquery	0.17.3-beta		50d1e28f0d2033a4230867b175cbafa47b4383ad
aws.sdk.kotlin	forecastquery	0.17.4-beta		43a2e08bff2ae9d1367ed25aaee048655c9b9c0f
aws.sdk.kotlin	forecastquery	0.17.5-beta		1f8f54bfa13f86cbf53da9fdb8bf6cafe5f859e3
aws.sdk.kotlin	forecastquery	0.17.6-beta		69ae02975d4b009f74557753b96d8d7cd229e6c0
aws.sdk.kotlin	forecastquery	0.17.7-beta		a487e8fedbbbba37ba0a6e6cb80156254e37add4
aws.sdk.kotlin	forecastquery	0.17.8-beta		1a6e6c1c3c7ef2e7cfc6aa97e0e41e0184097877
aws.sdk.kotlin	forecastquery	0.17.8-beta	all	b293f4c62c135120cf001da29011947ebec2037a
aws.sdk.kotlin	forecastquery	0.17.9-beta		6e9ae429f6c168ee3c393ccb002b1e5024973bd1
aws.sdk.kotlin	forecastquery	0.17.9-beta	all	2444a2a4c694df4ce19847183fb0d5aa8e54c236
aws.sdk.kotlin	forecastquery	0.18.0-beta		920db55a6621ef65f435b131ead58f61f86c5d26
aws.sdk.kotlin	forecastquery	0.18.0-beta	all	9bd95e2ec228e9d6dc13cecfeb828a15561986e5
aws.sdk.kotlin	forecastquery	0.19.0-beta		a4562d30ab0a1af7c7e0f5375395668f89526282
aws.sdk.kotlin	forecastquery	0.19.0-beta	all	0915bfb517b7302f65ee1817cd0fc2c361d46058
aws.sdk.kotlin	forecastquery	0.19.1-beta		2d3d5433c379cd3e87238d884217ef732ce245ce
aws.sdk.kotlin	forecastquery	0.19.1-beta	all	568b6f9c46c5520619a9e544326a7dad1be1c1c3
aws.sdk.kotlin	forecastquery	0.19.2-beta		a1d7c4fa30dce0e5cd9c9668ba1b6ad7496ac13b
aws.sdk.kotlin	forecastquery	0.19.2-beta	all	19bca9baf930988ceb564cb5d031cce87b1aa79e
aws.sdk.kotlin	forecastquery	0.19.3-beta		9336bb8181cd9491ec3e5e7fb4c09a38f191bbbf
aws.sdk.kotlin	forecastquery	0.19.3-beta	all	0b7a8d3851d6b8e9f763217e13b8da56b9b3fd11
aws.sdk.kotlin	forecastquery	0.19.4-beta		244894935c98114274c115852c112e701c5f6c62
aws.sdk.kotlin	forecastquery	0.19.4-beta	all	94cfaa357393591e40a54d8da8ccd465ac810a23
aws.sdk.kotlin	forecastquery	0.19.5-beta		791ee785606cefe77df11dbb6d27a12de2293daa
aws.sdk.kotlin	forecastquery	0.19.5-beta	all	09feccd4458aab165eb673c1604a27dd4bb8cb23
aws.sdk.kotlin	forecastquery	0.20.0-beta		58ce3e4aededa2d9a8825aac094097f6195a9ff9
aws.sdk.kotlin	forecastquery	0.20.0-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	forecastquery	0.20.1-beta		c7e370c24ae874e20b8c70b934bd1219ada435f1
aws.sdk.kotlin	forecastquery	0.20.1-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	forecastquery	0.20.2-beta		19dc1f22aeb25d3fec10e020f494e55edd12bf99
aws.sdk.kotlin	forecastquery	0.20.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	forecastquery	0.20.3-beta		8af80e0d540ec016862a24ddb6b08ec2000ce6d0
aws.sdk.kotlin	forecastquery	0.20.3-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	forecastquery	0.21.0-beta		d00d796bd1e956aa991c1ed91ac3244e455ccd39
aws.sdk.kotlin	forecastquery	0.21.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	forecastquery	0.21.1-beta		da6e8e73eb51087e108f3c574353062cb80497de
aws.sdk.kotlin	forecastquery	0.21.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
