ai.floom	java-sdk	1.0.0		5a34a162e968506fedd0c5a04bd20465a8aea51b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M3	plugin	94bfd8ddd3b4c10455a82e3789534ec84045bf8d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M4		0fdc8697af45214f458ee8b86101697478a71c9b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M4	plugin	56cf17e185ab0ff54df7a7eda0707dce3637f16a
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M5		d5f90c6e54e2cac3dd5c4470a69552bc92b5a1a8
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M5	plugin	f542a200ba9d726eb47e6cecd80ef7074ec70bce
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M6-1		65cb2b8d1aa5f98e1b9a886e921eaa84b870c2bb
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M6-1	plugin	0d4ae03ec01fe776fdf46658fe38f69842d847cb
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M7		622fda940dcea5dc1fffa2df2602ff1a9079323f
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M7	plugin	53b3693b6ea7e6a5be72b59a1d73356f70622392
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M8		2781ed519e3bc678f9bb73bc4a953888895226cb
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M8	plugin	972728bd08a5da25a38d3b0d7b2f07ad7b233b35
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M9		75de80c269640b66dd3576954d79d8d7fc174f76
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-M9	plugin	bde68c4320d7d1427ff181c2842a397244642319
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-MX		be52d56fcc0cd1768c63acf406e44f13dcbe1ca6
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.8.0-MX	plugin	37892be988e83ca982aec23ec3476f8b3cf99182
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0		394cb876a34735d8a88d60f1d005b5fbf83b7e6d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0	plugin	c2cc899a153640d11f7ffb2550e48b6269d88a1d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M1		6c3cf18a2cce7cd5baedbc252ec389ca15630800
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M1	plugin	d855d8ce778ec7f4ec4ce86032d1a48f19a9ac4b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M10		508f9ba61f1688b0143cec92c909c699d6dad627
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M10	plugin	45668793d365928f2999956a6df8f6d4a51d14a6
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M11		1a483ac51c1232d25e701c41181ca9f2d4605320
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M11	plugin	0b5e761a7424a2f08c775305d9a0f7c52f199b53
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12		6f82c8dc957b073ff691e2ef9bbd686c40ae7617
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12	plugin	47bf4d2842c9e8e9447f1fcc4a554396fde0085a
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12-1		1ce32770aa340575c7ce9e25d8d4430a02cb9ea8
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12-1	plugin	a563c4eb272fe2215870d838cedc0bf1a2c68436
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12-2		8120a4b7d4870313e49ba915cfcf1d6678719557
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M12-2	plugin	74a062b66b691f77e86d91928328e3cee3d52254
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M13		c6dcd560d2fb67ffce0f146b93626345723b52a0
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M13	plugin	62ea4d398e1ba28feab375a39c5ef802f17ad3aa
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M14		4593c7af8e0172ed34d3e43339443a261888444b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M14	plugin	3eeed34c4b51cdffbac42ba51c388c234faed601
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M2		a91f20675c5d4a1e7ba3f7c5a14dad8c32d8ae34
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M2	plugin	8dc456c50408e05cf840a26b1381bad64420b93b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M3		26c64c2bbb788da70924209935e63ce5200982a2
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M3	plugin	7f9e0d1177769c3edd47bc3357067c1e42812853
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M5		11220a1125e751918514b393656456ac26bef354
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M5	plugin	b63001e82a37a05c2e342ae785ddf04dfd93fc6a
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M6		df0dc8311d93ce239baed72ca59b2f7cda67e6a7
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M6	plugin	c6daebd696e04023cd09da45e11f08896399f312
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M7		22412dad252463b361a9ef50bb2cb47c21859962
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M7	plugin	855e41fef5f931930a8f14460274fc37d10af7c1
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M7-jdk11		dbff74c0f45ec37363f1ab4d0c4f91f0fbcc7098
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M7-jdk11	plugin	e9b07eb9ef4c903db13cf670ddcddd7ebcb8f1bc
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M8		42c9d9382d6cc74217d95f7c583c8362753d0794
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M8	plugin	a318346612766e47ede5171a327500602b48b43d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M9		ee1b1b5b483b4b0d29d0f2c4d6699984bfe3acdc
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.0-M9	plugin	d7880cb82326d471f1071d184cf044086734cff1
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.1		66bcdb7267f506a9b02a3ebf421ef82eaa137279
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.1	plugin	bffc4beeca2801618589078fdf56a69e6917daa0
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.1-M1		a3d856b71f46590ec01298376002255190604547
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.9.1-M1	plugin	8a6b2cc271a38a24fe5630970dd37eb2b197ec13
ch.sourcepond.maven.plugins	jenkins-maven-plugin	1.0.1		02e9e11b32576809dff0edc84cc47947be1e63a5
ch.sourcepond.maven.plugins	jenkins-maven-plugin	1.0.2		07b7ec20ff3412e0f2d49e2af0dbfd5285c440bb
ch.sourcepond.maven.plugins	jenkins-maven-plugin	1.1.0		cfc9b32ddb917d0a7c29ad174678abe733e15934
ch.sourcepond.maven.plugins	jenkins-maven-plugin	1.2.0		d82b9f3f17ad731bbddc42b075df1e3ffa0bf805
cn.6xyun.android	util	0.2.6		N/A
cn.6xyun.android	util	0.2.7		N/A
cn.6xyun.android	util	0.2.8		N/A
cn.6xyun.android	util	0.2.9		N/A
cn.lovecyy	relaxed-common-log	1.6.0		N/A
cn.moltres.android	auth_hw	0.1.0		N/A
cn.moltres.android	auth_hw	0.2.0		N/A
cn.moltres.android	auth_hw	0.3.0		N/A
cn.moltres.android	auth_hw	0.4.0		N/A
cn.moltres.android	auth_hw	0.5.0		N/A
cn.moltres.android	auth_hw	0.6.0		N/A
cn.moltres.android	auth_hw	0.7.0		N/A
cn.moltres.android	auth_hw	0.8.0		N/A
cn.moltres.android	auth_hw	0.9.0		N/A
cn.moltres.android	auth_hw	0.9.1		N/A
cn.moltres.android	auth_hw	0.9.2		N/A
cn.moltres.android	auth_hw	0.9.4		N/A
cn.moltres.android	auth_hw	0.9.6		N/A
cn.moltres.android	auth_hw	0.9.7		N/A
cn.moltres.android	auth_hw	0.9.8		N/A
cn.moltres.android	auth_hw	0.9.9		N/A
cn.moltres.android	auth_hw	1.0.1		N/A
cn.moltres.android	auth_hw	1.0.2		N/A
cn.moltres.android	auth_hw	1.0.3		N/A
cn.moltres.android	auth_hw	1.0.8		N/A
cn.moltres.android	auth_hw	1.1.0		N/A
cn.moltres.android	auth_hw	1.1.5		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.0-pre-alpha05		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.0-pre-alpha05	metadata	b13c73f3b0f7ec33ba45db5ae2cc033b58a5aac5
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.1-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.1-alpha01	metadata	8b4d88f61ccaf8fbea5a099888bd25acd65e52e4
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.1-alpha02		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.1-alpha02	metadata	163b5ef45311a99c39e765db6289b8a75932655a
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.2-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.2-alpha01	metadata	cc82c664fd4354862d81b9f40906fa31da2dc124
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha01	metadata	2f8aea37107f01d230dd691be723b85ed7361632
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha02		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha02	metadata	c4aa7aab936271caaee206a18409e2be17f9b9de
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha04		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha04	metadata	89736c4b491284d1fbd3f4c2bad93f91147bfaed
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha05		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha05	metadata	c0d406f27fa2a1b4c99dbab6dd710aaa19f27f04
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha06		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha06	metadata	dd19a1bbfed182477b888c7a0c8c86979828b765
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha07		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha07	metadata	c09e2dad6ec7abf6534e10a7b68787a152b44e80
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha08		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha08	metadata	790d21a5200bcd7a5939d44ab34c038601027161
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha09		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha09	metadata	77c0a017b7510f961371b96354effe9c120a726b
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha10		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha10	metadata	d645ba2072ddf7a9db5c1e8550411d58b4bde648
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha11		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha11	metadata	866dd81dacb0856e9378c5ea5ef190e46b7d490e
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha12		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha12	metadata	70c38dc008401db24195a20ff4a09f4b4ec04adf
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha13		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha13	metadata	b47081953e938211212fa79bcb566092426b5487
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha14		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha14	metadata	7ba19b7f0df827bfc77cca422b87cecac4715f33
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha15		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha15	metadata	b61a53b6441266c7f28d4a45ba51b798bae95575
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha16		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha16	metadata	c4e0a92649c2f982a6c6de6901a7dba01244f589
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha17		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha17	metadata	6a7bc9fa61c80dedfe73e2745f68ce85d66bccc1
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha18		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha18	metadata	c30259b6e96316dc81091cd0e5683e284782e38e
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha19		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-alpha19	metadata	ed2a6f8f1798dc6a7e8706095fc3abb6b7911cb4
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-kotlin19-alpha10	metadata	e5a6fe2a23bd7024b6fdfebef017a7f605805238
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-kotlin19-alpha11		N/A
com.attafitamim.mtproto	client-sockets-ktor-iosx64	3.0.3-kotlin19-alpha11	metadata	f1a8643c7425bc4cb6f81670dbc996fc9eb58869
com.bellotapps.webapps	webapps-commons-jpa-utils	0.2.0-RELEASE		7a3e84e4bab298d8e1fd6027bac4ef280c744906
com.bellotapps.webapps	webapps-commons-jpa-utils	0.3.0-RELEASE		60f9dd5889dd7e2d114caf1a49e1a234617628f7
com.codbex.aion	codbex-aion-modules-app	0.5.6		84e7636d5c1bdb94cd088347c45b2db1a99254e6
com.codbex.aion	codbex-aion-modules-app	0.5.7		4dd537da5f791d7e0bdb73b6d2c77bda26c941cc
com.freeletics.flowredux	compose-linuxx64	1.2.0		N/A
com.freeletics.flowredux	compose-linuxx64	1.2.1		N/A
com.freeletics.flowredux	compose-linuxx64	1.2.2		N/A
com.gilt	calatrava-client-library_2.10	0.0.1		f16108ca131cbbe1aeddd5590e2728e7b31bdafa
com.gilt	calatrava-client-library_2.10	0.0.2		55e376bddf7792df49343d744b517cbbad3abea6
com.gilt	calatrava-client-library_2.10	0.0.3		ea753e3ebcdc67fec1fe7624a01ab3e442485c8c
com.gilt	calatrava-client-library_2.10	0.0.4		42bda0725edacfc92445fe7e3b6d1c3e3ffa8aef
com.gilt	calatrava-client-library_2.10	0.0.5		961f0176e92a3074631a0ccbee019c6248cc80bf
com.gilt	calatrava-client-library_2.10	0.0.6		6c83ed0bf71283d5a1d6d5bb2a0fa412b70ba803
com.gilt	calatrava-client-library_2.10	0.0.7		e36def58017911e7cc53613aba7f0ef83c76d6a7
com.gilt	calatrava-client-library_2.10	0.0.8		cc6854b2bb5f940e11b15636dd973c95d392029c
com.github.cowwoc.digitalocean	digitalocean	0.1		de8b946c7d36c80ad74be70a9cda5ed2614280af
com.github.cowwoc.digitalocean	digitalocean	0.10		7ec0076e13494efb1d32c6ca8c223a612ea5a12b
com.github.cowwoc.digitalocean	digitalocean	0.11		e26b8f0f726b572e9b1e05d85266997fc0f25f79
com.github.cowwoc.digitalocean	digitalocean	0.2		57f9d6e6766a51260962cba0263ba58c1f00b6ff
com.github.cowwoc.digitalocean	digitalocean	0.3		54da7ee1f1eea1d656b2fb536aa0ebf7ee5456f0
com.github.cowwoc.digitalocean	digitalocean	0.4		68b8b5265913f5c4e9ac76f86ad211d9fab2f191
com.github.cowwoc.digitalocean	digitalocean	0.5		34073c3d56ae26e1c478b3e0da69157ab3033ab1
com.github.cowwoc.digitalocean	digitalocean	0.6		7c9ffca432a543ef610ac910d3354b1a6fa1a31d
com.github.cowwoc.digitalocean	digitalocean	0.7		f9f350c0e1b4810a74ae83a54b346db653551e0a
com.github.cowwoc.digitalocean	digitalocean	0.8		752340fbad8bdc4118eee266a51c5c68f8fab97e
com.github.cowwoc.digitalocean	digitalocean	0.9		c735ad5ca9a41a42bd5c90790181f6c23a51a3b8
com.github.iamsteveholmes	scrooge-gradle-plugin	0.1		f85680c6d7d8966e023643abbda2bc3babc52fbc
com.github.iamsteveholmes	scrooge-gradle-plugin	0.2		3151d529da35e2ecda168a27e654a10e7f2210c3
com.github.iamsteveholmes	scrooge-gradle-plugin	0.3		370159d434a16c1750644fafc7bda264962b2d30
com.github.iamsteveholmes	scrooge-gradle-plugin	0.4		b6f1f7ae1c458e1a7f574abc7e10220fe1304e1f
com.github.iamsteveholmes	scrooge-gradle-plugin	0.5		8882309c2c19518704bdd993b1a988450912d622
com.github.malliina	util-audio_2.10	1.2.1		53253962c5046291a83c5ff862490f6f8530fdce
com.github.malliina	util-audio_2.10	1.2.11		ec5e7e77eb5019352f29ca61608f00f7558f8e7d
com.github.malliina	util-audio_2.10	1.3.0		cbcc7c0a5262d10b3794a70a24db2547b6581b45
com.github.malliina	util-audio_2.10	1.4.1		42a4c97a69d0ce6f29149d89ad0f76a78cc2a1c1
com.github.wookietreiber	scala-cli-tools_native0.3_2.11	0.0.1		a0826bbc91730652a148a2eaa7770106010ecf2f
com.github.wookietreiber	scala-cli-tools_native0.3_2.11	0.1.0		90f48fd51358007c0aa0b65a6fef0f3b1f5510c8
com.github.wookietreiber	scala-cli-tools_native0.3_2.11	0.2.0		9cfd6970009996300ebcff7369d1cffdccc07c69
com.github.wookietreiber	scala-cli-tools_native0.3_2.11	0.3.1		7659ffd4caf1ffe6a0bc266c29c9173fffa3b306
com.googlecode	jfreesane	0.96		84f9a6afa9fcccf7bcc460d2896efb95f5cd519f
com.ing.baker	petrinet-api_2.12	1.3.1		f8b354316858e4c66892f0b50dba9710ac4da633
com.ing.baker	petrinet-api_2.12	1.3.2		131ea8bfef4b75be55bb40255cc0dd7f7f3b084b
com.ing.baker	petrinet-api_2.12	1.3.3		7d86b20293e3daa21dde49d5126d70d30cd01748
com.ing.baker	petrinet-api_2.12	1.3.4		924c0141062f88001784f9da505f3b41f7b78bf1
com.ing.baker	petrinet-api_2.12	1.3.5		182bff36581828759211c9f8950d98ed34518e2f
com.ing.baker	petrinet-api_2.12	1.3.6		26327efa4d390b276c5c89a58682584775078500
com.ing.baker	petrinet-api_2.12	1.3.7		afb3761be3fa17caca24b96679f834560fcdd4ca
