ai.yda-framework	website-retriever-starter	0.1.0		053be3cb6925fc4de470a09b1a154495640b5d23
be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	ngsiv2-to-ld-processor	2.12.0		N/A
cn.bootx.platform	bootx-platform-parent	1.2.3		N/A
cn.bootx.platform	bootx-platform-parent	1.3.0		N/A
cn.bootx.platform	bootx-platform-parent	1.3.1		N/A
cn.bootx.platform	bootx-platform-parent	1.3.2		N/A
cn.bootx.platform	bootx-platform-parent	1.3.3		N/A
cn.bootx.platform	bootx-platform-parent	1.3.4		N/A
cn.bootx.platform	bootx-platform-parent	1.3.5		N/A
cn.bootx.platform	bootx-platform-parent	1.3.6		N/A
cn.bootx.platform	bootx-platform-parent	1.3.6.1		N/A
cn.bootx.platform	bootx-platform-parent	1.3.6.2		N/A
com.amadeus	hotel	0.0.3		N/A
com.apihug	it-common-spring-data	0.0.1-RELEASE		b2ee3b62ff9962085855c6ce96f71ee9d65e6531
com.apihug	it-common-spring-data	0.0.2-RELEASE		d1e919adebb2c38e1969ef290df983b904cd2e0e
com.apihug	it-common-spring-data	0.0.3-RELEASE		28c3ec10107d0de85e269d777cd32bb44389efc0
com.apihug	it-common-spring-data	0.0.4-RELEASE		bf22d358958b369aea75e91d9d487bfc5aa55fe9
com.apihug	it-common-spring-data	0.0.5-RELEASE		d9fb45dca33c3ec7a4894b92dda314255ba5d4c2
com.apihug	it-common-spring-data	0.0.6-RELEASE		9c64bdfdec9159d8330309a0898a4a49071e3aba
com.apihug	it-common-spring-data	0.0.7-RELEASE		bc01bd9d515d235b39d4fa9b99337c3b9f526331
com.apihug	it-common-spring-data	0.0.8-RELEASE		2be9128805593411df3b866c8a2b3f776c37152e
com.apihug	it-common-spring-data	0.0.9-RELEASE		1dd6f95c3e0929ecb4ebc4950350062ac37988b5
com.apihug	it-common-spring-data	0.1.0-RELEASE		7888ac07a59a3142945eb12200601d861b17e20f
com.apihug	it-common-spring-data	0.1.1-RELEASE		735b5e5651c5858805920bc58e2cc8bc15e4619f
com.apihug	it-common-spring-data	0.1.2-RELEASE		76e33b61d0349b436b563d4709534fcc1b6d8955
com.apihug	it-common-spring-data	0.1.3-RELEASE		53feee586b150fe97458aa7721b78cae0daf2e33
com.apihug	it-common-spring-data	0.1.4-RELEASE		ff0b1b6ef6a4b2892b06b18ac5902b82425bc0f6
com.apihug	it-common-spring-data	0.1.5-RELEASE		7e01bc1b36fde95afd8a7fff84dc93a723920677
com.apihug	it-common-spring-data	0.1.6-RELEASE		89d68b9ed843d334169f5105f608c3f7ce884eb2
com.apihug	it-common-spring-data	0.1.7-RELEASE		78c6d8880018251041118a4eb4e68be55c9caabc
com.apihug	it-common-spring-data	0.1.8-RELEASE		0c07063909486a3933ca45d47b85a55324cfd60d
com.apihug	it-common-spring-data	0.2.0-RELEASE		e673a187c7b79e5f7726e217567982941c1780f7
com.apihug	it-common-spring-data	0.2.1-RELEASE		ae7cd510ce8d9416c3b25c3a674f3416e8d6c1b9
com.apihug	it-common-spring-data	0.2.2-RELEASE		990fdabf0187ebc256a5a734e2075f4599682a78
