app.keyconnect	keyconnect	1.0.0		N/A
avalon-meta	avalon-meta-impl	1.1		6610f4433cc3a960bf5861560c3b1b637c09c145
avalon-meta	avalon-meta-impl	1.1-RC1		ca853c8ecbfbec87217081a41206a8e565725095
avalon-meta	avalon-meta-impl	1.3		5155fdf4f80526e03c572249ba7ac035f9de178f
avalon-meta	avalon-meta-impl	1.3.1		85f0ceb3afdc40aab56bc158e146ae4d83535262
avalon-meta	avalon-meta-impl	1.4.0		bed95ccaa44b55b5fef8a9d8794e78021178350c
avalon-meta	avalon-meta-impl	1.4.dev-0		329047deb06c811af2699a0ec767f8b1b21762ca
br.com.jbugbrasil.bot	uptime-service	1.0-Beta		ae3c5ea5fe783e80acbc52eff27d6de33fd02ef5
com.2oi7	file-uploader	1.0.0		80f56c47acd05b3cf6580cf6c6936985d8f08fe8
com.aliyun	aliyun-java-sdk-dts-v5	5.1.13		f49beb67dd0c7f8e34fe0d91a833eebd9541e031
com.aliyun	aliyun-java-sdk-dts-v5	5.1.16		ae9c2036c5b7335d16e0c9b83d992a3f3ebd9864
com.aliyun	aliyun-java-sdk-dyvmsapi	1.0.0		db5b9e5c33ff27062e582916ed852be2e1453b14
com.aliyun	aliyun-java-sdk-dyvmsapi	1.1.0		bba2034a533116a455f6a40e540a1efa7c29a93a
com.aliyun	aliyun-java-sdk-dyvmsapi	1.1.1		7fee1e49e98e9ca0140642a6876442f225022805
com.aliyun	aliyun-java-sdk-dyvmsapi	1.1.2		54bcaa6f50fb3f8c5fd4aee833eb4b77dd932fa8
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.0		6fdc05c6c92a55e00fae2e64531b9a8f281c2efe
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.2		5b11b2cce9772a4e97f615a0fe02cbe8923f2c1e
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.3		cee1d92a5f9ebc9dc7eb459e50ad393c1c66d31e
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.4		73f01a134e319b60dd60e4a6fca310f08d402530
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.5		b70e5b1357a0955d4a6d9fc1448791a0e43c1c4a
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.6		a4baac2d12f953d68645005ac761ef42ff76b7a5
com.aliyun	aliyun-java-sdk-dyvmsapi	1.2.7		b96408676e67392afc624a26384267a53b41d7bc
com.aliyun	aliyun-java-sdk-dyvmsapi	1.3.0		1040a2489489469f34fabc68e5b5879ebb1604a8
com.aliyun	aliyun-java-sdk-dyvmsapi	3.0.1		d6755b23f1d2fba0d44ac608c9a93b8d9a22eeb8
com.aliyun	aliyun-java-sdk-dyvmsapi	3.0.2		a07f7edc96ee5327bc9fea23c2703671c9add576
com.aliyun	aliyun-java-sdk-dyvmsapi	3.1.0		ff45db69dc7c6e9bc3c631f57caa6809da49364b
com.aliyun	aliyun-java-sdk-dyvmsapi	3.1.1		f618de27e6013188ce51c426d6e26af2cc3a8684
com.aliyun	aliyun-java-sdk-dyvmsapi	3.2.0		aa0ae12dcac4ecccd8dd50e6e3eadb3ee2138fde
com.aliyun	aliyun-java-sdk-vod-v5	2.15.10		7ee56317a4839919060944a575fdebc9301049bb
