br.com.objectos.sql	parent	0.12.0		N/A
ch.epfl.scala	bloop-native-bridge-0-4_2.12	0.0.0-1-640c0683		5d7a1745a860577aea0c1992afa0e4c0ab777e31
ch.epfl.scala	bloop-native-bridge-0-4_2.12	0.0.0-1-6a1d3dcc		7105532b8e6bee71553cc6a90d9c1b03e4a6b151
ch.epfl.scala	bloop-native-bridge-0-4_2.12	0.0.0-1-f5da8eb0		1f3dbb98f45d5c5fedb16ce592a15e9e8331b293
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.3		4f7e02412607740b4aba0ee25fe68ee1b1e2eac0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4		adbcde00cf0742412139debd0ad7d37a3a7fa6cb
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+163-f9d3c4fc		2461eceeb6b4ec0f3fc9670221c595aeaa6a78a2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+173-3c75c6e8		6aee2502156a3963929eb5158763abfee6666d72
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+194-f8402c3d		f39de234d7ff32ec39d6547844370534860130be
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+199-62c60de6		c0f1fd315974b1b2976d248afd0b6dcf0439ab3d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+200-f5e1cfe2		93312b94ea3cd262f881b18fa8eb08acb200cf12
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+222-7603085f		35fbead0d8d63ea7758a02441d5494f4ad18fd53
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+226-153862a1		578f270cddf9a73458af73c9da8be5f1729db68b
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+228-d1eb4db0		6ca8d77da4c8ec133ffa3e0ef848cbc839c303e0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+229-35b59938		839d8aeb168d4d4e9409d3cec24e87e006e0ff3a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+230-bbf7b79c		b5bd6565f63302363b20282e68aa748df8b074fc
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+235-b5df81ea		588ac11e2b4abf446e4e4cda0585da9860299c4f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+236-3982b95a		f5a5cc7a39d14cfb83c3d6deb66f92e83e319919
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+239-f3d68fb7		485725d980ff21ea4daea8f6f2da98c506fbb8dd
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+247-533137e6		b11837e26ce2f6d766fd16501a96646aee786d51
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+250-848d3a5d		5a633a8732f07a7a0fe79a98455ae09805e1b70b
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+251-1d81dfe5		6d636de1777496148273f49efebcc04c73471809
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+257-91ab5543		5f8c459895c78db9ad17cacc35500f453d472fa1
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+258-67c8f4f6		65311d81a2c6837521a284233f95995e355a16be
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+260-896345c2		8ff7b90e0f70f9899d76bf510782cac4de802d3a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+267-051a6f11		65c88944d7ed0ba8d28123b617aa9fe95258697f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+268-8fb06ac6		d6f8d0d1d0e9160271ba976099486e91b51561a1
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+270-f8c05478		fb3acae20c73778fd2ac52f7b5786ae5b99de492
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+271-42941449		8ded12fde337cb8b91fadf9f4cbc1a63fd4d65cd
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+273-e589074b		94b5f4bf68633620af364333bdf7929b3bc51306
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+275-d834ac4b		d702d4bad4a1bbb04da285633a0a00125a8ed7fc
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+276-446e4f31		c2eb669afe91c61c296c1398ee43e5b4f8b16e69
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+283-5597a88d		989293f220f9e244352a588717ebae4e349472dc
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+285-293af45b		fe8c8d8216dae8ef342070d3958c088c6d183a0a
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+286-965f8c9f		b83c01d4372477a06226954ffcdf7961f97f720c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+288-1f8ecbb4		a486631b37ca5d364ce8bb1b140957900e1f98d6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+295-044dafe1		cd409c8cb36a539fc1ec6357a9c41903163ed0fd
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+297-48a21249		1cc9187e42d1c50f7b0584dc50673d966a8bfdf8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+298-2c6ff971		73ac6e2e4836a4c5a270e3419bcc4fb846d51eb3
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+300-6b726c45		efca5b9f1ca93cef5ab6b233409ba41319bd646c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+319-7eab8059		f2df3bc7edc78b2b2763f7e4dbdf545a7662c00c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+320-90fd46c2		6b7c3416ea4af0fd76d42a1bd85e104aed5949bc
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.4+321-2dd71dea		630e65fc6a23ecbab1015ee08c5f7fbd311941b5
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.3.5		201ec171a93a4ea495e47a2145a4038cb91d8dd8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0		7f4e78e6d15291dfde9ee8491e65f9551a74dfaf
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-1-558a94e8		7d89b87904ff828edcfe23a83cf1ff0fe1b0fd8e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-3-f576d239		3e5da5faf6b7985d9e8632f855d5cc3c1090d98f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1		ac006c6c5da6c84374e0a776697a5b28c06eb2a4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+10-db2d98a1		27fc9f91ec58a645938d70e460b41a8009c5084f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+12-033b25fc		d76ec5ad2e6cb9c4e286705d4b8726229d088506
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+14-97098ec8		9ed3ff4192e895f5b0088c584253d86e0e3be0bf
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+16-1cd95092		3caed6f09751be124ab76ab679f2f9daca430f13
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+18-5df9d055		517f61544b28127594daa9e59c99d4d09bbe36dd
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+2-2d96bcf6		b17f11e4d1d8ecd2945b4d0f04e7e8ea0fb6723c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+23-f7a2397e		050d5b0a6f8b5c00e9bbdf40bc636acc706859ac
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+26-c7213104		2440106b7afd6ee3c3000994a48c6ec1daf33888
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+31-8be4df88		ff7419c65e8d28acd6867c9fb37185e515786bc0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+33-dfd03f53		a9dda059fec4a4794674d51962d79bf861e40818
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+5-c4af26bb		a3f9e8a79924d44a3e620dae3042cc30a7e232d4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+7-3286edcc		b56fa567b87ccad93ab52157eae701a10811d68b
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1+9-e94b10c3		dfaf132b12b180379f4a4c0585847ed705e791c5
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-101-98f5ba87		12db2b5d5e5e7cf229c861f2b6bf558e8d45ed48
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-102-aa58d93a		3a08a9f43d9a9593c098c56424a86964822d68a6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-105-118a551b		784bc81cef78565c33fffd479b874d02bf92670e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-113-2d5d2caa		a71f42a7bc25db59ee365a1d163829830e7f03ba
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-116-068b96f5		1d07032e1dcde1d1fa65cd87f961d37e5be3edbf
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-133-51724c77		eb2fc65492220701b422ade2898e084d77c2282d
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-134-7ea766e6		01f7bc3dde8c875b3e12cbd98c22f0033c14c854
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-135-fc3ad358		4c83e49a4d734c79d1d495cd014dad8f6fc7682e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-137-54515774		dabfa42ac040d58fced8311255be17dc32eae309
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-140-1a034f71		acd4f97f9a2a8aabaa0373625b8c9329eaae7489
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-142-90456e06		1b04e7bbd5463fe3a0aa131cca809be7146d6855
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-146-9819e173		45541cdf0f881904738dd032c21f5f74fcb2e1ea
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-154-0236c401		74dc67c69016e16383d08121449ccb4fa653cbf2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-157-3c527103		669ddc013aa7ac8c3ead2002ba1dbd8c3e876f9c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-162-888454e1		dba123f7dff540dc8142a816e9aa75478d3b7738
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-164-a44940fe		b482ab3a02bab584c2efcea7dc8b6a1cde0ff1c2
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-165-906110dc		ef20c9ce2000d359ef552e6356e1d68743a77d69
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-167-61fbbe08		225c1d3bad7b726c5ff90e921c59245296f56c71
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-169-f69dd3ba		9565fb98e87fbf09410b3351ee234e3d5d3f830f
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-176-7e217024		ff99912ecc31b3dc9bd3fe4faffade26a71a8253
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-179-0a15e6fa		88649baf8583aac8ad386d43cb9878dcac0ebee8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-181-b975461d		ab7e8d3d64d4bef000e025b6b7163d259cfa3a95
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-185-d13246c0		7178fad6f3bdb1590e727b91a569cbb2bd29c090
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-187-1b2f9b25		c533b9035ea8c1b8681e6952e3daba26a11834f5
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-190-ef7d8dba		ae22cbe8b4562e22807a36b1e6020dc216fb69d8
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-192-72a856b6		bc09ddd6091d1360c4d6ee19d1af2dce001935d9
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-194-5293bd25		30ef0128594d3dad818d35f7bfda21113c030ec6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-197-ae96534a		f635844ddd6e48b1cdd05de600f5ae9b793dbb6e
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-202-b8c48e3f		d60c2ed6f87e28d68c86df8e693e13d65efded0c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-203-ee72533a		93956feecc630b842a8b79ed1165c8256183645c
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-206-559dce64		732fee5098324435975a14f900eab9a680b18de6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-211-fe37baa7		ad73c3c800fbd465c21acafe31f2c68e19ea49c0
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-217-82189658		db40f6ab72f750564d47ddc961054689a485e7f4
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-219-a3514983		350d7dcddf5ac9e8638f76138ac1060e3efb53b6
ch.epfl.scala	bloop-native-bridge-0-4_2.12	1.4.0-RC1-222-f6582f40		eb59be8d274795a59f2a12566e75ecfe4125fdb0
