be.siteware	excelprocessor	1.0.4		2a3c7a0e14237cf2b6bc72709766b1eca60c5052
club.javafamily	javafamily-core	2.3.2-beta.1		N/A
club.javafamily	javafamily-core	2.3.2-beta.2		N/A
club.javafamily	javafamily-core	2.3.2-beta.3		N/A
club.javafamily	javafamily-core	2.3.2-beta.4		N/A
club.javafamily	javafamily-core	2.3.2-beta.6		N/A
club.javafamily	javafamily-core	2.3.2-beta.7		N/A
com.aliyun	alibabacloud-vcs20200515	1.0.0		26885ea8bbf5b6a6b02e711b6a3deef0e2fd62bc
com.bkahlert.kommons	kommons-macosx64	2.4.0		N/A
com.bkahlert.kommons	kommons-macosx64	2.4.0	metadata	90726a86a42808165a2577b13a723bc83c189c71
com.bkahlert.kommons	kommons-macosx64	2.4.1		N/A
com.bkahlert.kommons	kommons-macosx64	2.4.1	metadata	fe14afc7451cdc39385f31deed15f3e7eb54d282
com.bkahlert.kommons	kommons-macosx64	2.5.0		N/A
com.bkahlert.kommons	kommons-macosx64	2.5.0	metadata	f8df5fee6ba495ca84e9c3437358c1ee3533584c
com.bkahlert.kommons	kommons-macosx64	2.6.0		N/A
com.bkahlert.kommons	kommons-macosx64	2.6.0	metadata	49f376d5c7008d4ab570392d0e59047fcb585e04
com.bkahlert.kommons	kommons-macosx64	2.7.0		N/A
com.bkahlert.kommons	kommons-macosx64	2.7.0	metadata	3489622f097538f49072a8cecadbbf613ba57973
com.bkahlert.kommons	kommons-macosx64	2.8.0		N/A
com.bkahlert.kommons	kommons-macosx64	2.8.0	metadata	c89199ce42ad9c23a3524bc656b0aaae35273e3d
com.fleeksoft.ksoup	ksoup-engine-kotlinx-ktor2-macosarm64	0.1.5		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-ktor2-macosarm64	0.1.5	metadata	ab3673cdaedc31f991800d00e0c016fcfdc41258
com.fleeksoft.ksoup	ksoup-engine-kotlinx-ktor2-macosarm64	0.1.6-alpha1		N/A
com.fleeksoft.ksoup	ksoup-engine-kotlinx-ktor2-macosarm64	0.1.6-alpha1	metadata	55955615dd150538dcdb895fac5022430f535e2c
com.fortify.ssc.parser.util	fortify-ssc-parser-util-cyclonedx	1.7.0.RELEASE		4579730da066a7499039653918dd7ca7eaaaff43
com.fortify.ssc.parser.util	fortify-ssc-parser-util-cyclonedx	1.7.1.RELEASE		1e2750590a017f368d097ee0cf745117ba2b1563
com.fortify.ssc.parser.util	fortify-ssc-parser-util-cyclonedx	2.0.0.RELEASE		1b70c733fe788565a212bfdb22c59c75922d9d0c
com.fortify.ssc.parser.util	fortify-ssc-parser-util-cyclonedx	2.1.0.RELEASE		97592905bcb12e4cea0d29719185f8f6b759d236
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	0.0.3	metadata	7bac0ac2887526972032941ff25f062838debc5f
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.26.0	metadata	e0dda08d176cef6eccc28a87f4f9b8612f04deb5
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.26.1	metadata	a8d60d0c7a711d8ca3c2f2d830e86ad506cf4bed
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.0	metadata	bde8b46b9d7054d19ffec2fd22e99034ef198f36
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.1	metadata	7b08b3456e5e2286e453feac80a0fa1120606ac9
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.27.2	metadata	44899c4427770a6e2032cb8c0448e50edd8abcd3
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.28.0	metadata	8fd54dc79d9bdc9f5cb6cc762d2b11c6e732c743
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.0	metadata	4ac0a24e4496b0ea4cffe020c4599c161d323247
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.1	metadata	6015540382dd75080b38b6a08ea3fd4036e1cc91
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.29.2	metadata	1f7d00c3734806cd2b07ab7859b27d027008d763
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.30.0	metadata	5afbfd6fb42a8c27a1f899730867619e0afe8104
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.30.1	metadata	68855071d2d39f19326cdaa224b3bcefde3ec99a
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.31.0	metadata	aa71cef42a52df28b4d26c557b19f56ff0e2d853
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-collections-implementation-iosx64	1.31.1	metadata	de86a6f99601ef2ddb5f93543df283790442984a
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	0.0.3		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.26.0		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.26.1		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.27.0		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.27.1		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.27.2		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.28.0		78d6dd888a5d6f2b42cea03ece3cd59101fb5a31
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.29.0		32310ed7da5df7ab3673ce59d38f1e3067672173
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.29.1		32310ed7da5df7ab3673ce59d38f1e3067672173
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.29.2		32310ed7da5df7ab3673ce59d38f1e3067672173
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.30.0		32310ed7da5df7ab3673ce59d38f1e3067672173
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.30.1		32310ed7da5df7ab3673ce59d38f1e3067672173
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.31.0		02356ca151b039cc6c741d78e85d0659ad2ad4c4
com.fresco-kitchenos	kitchenos-client-sdk-cooking-session-api	1.31.1		02356ca151b039cc6c741d78e85d0659ad2ad4c4
com.github.DigioAndroid	couchbaseorm	1.0		N/A
com.github.DigioAndroid	couchbaseorm	1.1		N/A
com.github.DigioAndroid	couchbaseorm	1.2		N/A
com.github.DigioAndroid	couchbaseorm	1.3		N/A
com.github.DigioAndroid	couchbaseorm	1.4		N/A
com.github.DigioAndroid	couchbaseorm	1.5		N/A
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.1		261ad9dd170ab02d79115c2a39dc68e3a9f2b9b3
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.2		b6e07204dcbe27cc6aa0989ec2cc2969eb5fcd0a
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.3		e2d486d8602263bdc360cd61b7ccc92af3a6a3ba
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.4		8983ac6e6020985f5d2a08819df2f9a06dfc1f0c
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.5		93aa3681af17b7af93957e281ae916962a3aa1c7
com.github.mvysny.vaadin-groovy-builder	vaadin-groovy-builder-v14	0.0.6		8374e39eb5f137a777f62b071e68150fc4d4bafa
