br.com.luizrcs	nbt-cli	1.0.0		26b200a78acaf7c85b0c2ecad00138962a16fe4c
cn.huolala.glog.android	glog-android-shared	1.0.0		N/A
cn.huolala.glog.android	glog-android-shared	1.0.0	so-symbols	5d44ecd880cd3801a4c9e485f95f47e36d58e0db
cn.huolala.glog.android	glog-android-shared	1.0.1		N/A
cn.huolala.glog.android	glog-android-shared	1.0.1	so-symbols	36978cd04f441ab50c66d22a1cda97d10bcc6eef
cn.taketoday	today-jdbc	1.0.0.RELEASE		8b266a9ec9e94a693b5760877ccaafbfa2c0d0f7
cn.taketoday	today-jdbc	4.0.0-Draft.1		c9bc625ac00afe99078193133c80856a14ea1f5d
cn.taketoday	today-jdbc	4.0.0-Draft.2		248ac0be91f854d92f414081b7ae98a46947bd76
cn.taketoday	today-jdbc	4.0.0-Draft.3		b7f01a6b2046b1018130d31625e9a6a56f31a20d
cn.taketoday	today-jdbc	4.0.0-Draft.4		8d3cb0d4ef0d9cd17cd579952113004e4e41fcae
cn.taketoday	today-jdbc	4.0.0-Draft.5		59f3cdcdf356e7a7357c67faa84c79af0e0c9571
cn.taketoday	today-jdbc	4.0.0-Draft.6		c657c96955b109fa1dc132dae35a4385480bde58
cn.taketoday	today-jdbc	5.0.0-Draft.1		ffde7161e5c8aad6dfbbe209dbfc729b67697cfb
com.acooly	acooly-app-parent	5.2.0		N/A
com.acooly	acooly-app-parent	5.2.1		N/A
com.arcbees	build-tools	1.0		N/A
com.arcbees	build-tools	1.1		N/A
com.arcbees	build-tools	1.2		N/A
com.avast	sst-fs2-kafka_2.13	0.1.42		4976b9a3418f7422027c93d21e6fa0e0560816e1
com.avast	sst-fs2-kafka_2.13	0.1.43		26c8e5e806c0e62afc48736f2d76a45e3d1ae703
com.avast	sst-fs2-kafka_2.13	0.1.44		3be4031f003e405404116f186a990d52e88906ee
com.avast	sst-fs2-kafka_2.13	0.1.45		f1cd2954d5a97f82c4dfa1e0e16305ea75874cc9
