br.com.objectos.jabuticava	serasa	0.3.0		N/A
camp.xit.jacod	jacod-provider-gsheet	1.3.10		42e83f1643e9be43be81b723a820b515d25b0051
camp.xit.jacod	jacod-provider-gsheet	1.3.11		7bdcab154fa85ec1e1a4b27d947fc5e9cd6bb355
camp.xit.jacod	jacod-provider-gsheet	1.3.12		f36884e6e26f94e2b8cb1024d9d5fb0f3e85a921
camp.xit.jacod	jacod-provider-gsheet	1.3.13		0a1b2f7741536fb09312d933e23785faf809280a
camp.xit.jacod	jacod-provider-gsheet	1.3.5		f4564709ba9560eeba124e43fe88a25e7807cbe6
camp.xit.jacod	jacod-provider-gsheet	1.3.6		6d30897fdbc6cab0eccfeea93240e317796f146f
camp.xit.jacod	jacod-provider-gsheet	1.3.7		e2ec47d7e65b415577369b1e8e9764b67476dbe3
camp.xit.jacod	jacod-provider-gsheet	1.3.8		13904dd8990a91763dbaa828f9d1b72fd151be17
camp.xit.jacod	jacod-provider-gsheet	1.3.9		1a19b1ba70a95e0e7f2511d55190a3a1e2aeacc1
ch.epfl.scala	collections_3	2.0.0-alpha10		79502b4b06d87a5f9de2b2f33c2368557fb54a27
ch.epfl.scala	collections_3	2.0.0-alpha11		7a8bb9e09e0899ac40490b8c683980dcfadc85c8
club.gepetto	circum	1.0.10		N/A
club.gepetto	circum	1.0.11		N/A
club.gepetto	circum	1.0.12		N/A
club.gepetto	circum	1.0.13		N/A
club.gepetto	circum	1.0.14		N/A
club.gepetto	circum	1.0.15		N/A
club.gepetto	circum	1.0.16		N/A
club.gepetto	circum	1.0.17		N/A
club.gepetto	circum	1.0.18		N/A
club.gepetto	circum	1.0.19		N/A
club.gepetto	circum	1.0.20		N/A
club.gepetto	circum	1.0.21		N/A
club.gepetto	circum	1.0.22		N/A
club.gepetto	circum	1.0.23		N/A
club.gepetto	circum	1.0.24		N/A
club.gepetto	circum	1.0.25		N/A
club.gepetto	circum	1.0.26		N/A
club.gepetto	circum	1.0.27		N/A
club.gepetto	circum	1.0.28		N/A
club.gepetto	circum	1.0.29		N/A
club.gepetto	circum	1.0.30		N/A
club.gepetto	circum	1.0.31		N/A
club.gepetto	circum	1.0.7		N/A
club.gepetto	circum	1.0.8		N/A
club.gepetto	circum	1.0.9		N/A
cn.mybatis-mp	mybatis-mp-sql-api	1.0.0		079625fe29d693e506e201d9bbbb7ded40a20ed0
cn.mybatis-mp	mybatis-mp-sql-api	1.0.1		5ddb29c19cd67d100d303fd2b9743bc9d7e3c019
cn.mybatis-mp	mybatis-mp-sql-api	1.0.2		623ba2ff66e8a275122f014071ed1ceef7c34666
cn.mybatis-mp	mybatis-mp-sql-api	1.0.3		e8d0260b09b9887f2da9a23bc364d8833b9765d5
cn.mybatis-mp	mybatis-mp-sql-api	1.0.4		c58648f214c72846fe6b9c746e2182b22312a24a
cn.mybatis-mp	mybatis-mp-sql-api	1.0.5		bfc4e62b4ff735f1defa227ebfd9b529a7798c1d
cn.mybatis-mp	mybatis-mp-sql-api	1.0.6		5b60ac90f46db15131ceb0c27e0a1a7ef3569559
cn.mybatis-mp	mybatis-mp-sql-api	1.0.7		8970adf7405b1659dbeaf6d54061c94239433260
cn.mybatis-mp	mybatis-mp-sql-api	1.0.8		f70cde6c8de98012272050d78940d4be1a031774
cn.mybatis-mp	mybatis-mp-sql-api	1.0.9		da7a033d17b415b03a1c30c0c385bdfcc7bd54c6
cn.mybatis-mp	mybatis-mp-sql-api	1.1.0		2cd6f2736c05dc5f4ed08bd899531cdd74642637
cn.mybatis-mp	mybatis-mp-sql-api	1.1.1		b8c16621c29eaa827fe51ec3eb97b8331222b3b6
cn.mybatis-mp	mybatis-mp-sql-api	1.1.2		b1e11f68544d7bae373ee034d0b5b310656e625e
cn.mybatis-mp	mybatis-mp-sql-api	1.1.3		3c17f7aa5d56a11db7ab0fd5e1216900de9a0e76
cn.mybatis-mp	mybatis-mp-sql-api	1.1.4		a6ae14ba3a79f3d070bf1ffaa8a0b3beb2d423ef
cn.mybatis-mp	mybatis-mp-sql-api	1.1.5		4cc75a1f9b4b96af18edddd3d9e4457fb64be2d0
cn.mybatis-mp	mybatis-mp-sql-api	1.1.6		48ddc58ea4ca1b1515fc114b524db0cce566ee7e
cn.mybatis-mp	mybatis-mp-sql-api	1.1.7		a58dc736ed4c7da0f224ac7130b4d71b12bce353
cn.mybatis-mp	mybatis-mp-sql-api	1.1.8		4f9b97eff4513ebc1d1537008cbb5b465d21d333
cn.mybatis-mp	mybatis-mp-sql-api	1.1.9		ef61e4d85fae28b97e73a0d81f6821732d1eb2a7
cn.mybatis-mp	mybatis-mp-sql-api	1.2.0		0ffec5bb14578258b3381567d2d64bf7e6595e55
