br.com.thiagomoreira.liferay.plugins	social-buttons-portlet	1.3.0.0		N/A
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.286		bd4d02bbc0e6b8fb624a9eb162101eefb1da9ba2
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.298		8122aff1024cdd77687876ff42ee1f1b2a81c66c
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.301		72fabcdd5cc40c4f50023dc6013c57631a6be246
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.304		6c39a93fa19fead527e467df108797fbe991a61d
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.310		6cddf28db7768f271cbec1aa1d76c779b9039e8e
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.317		8c7f6c2807197a48c78d1f971ded0a2917c6156b
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.319		a1cb06fcf7e05749bea853fe80cfe7db65a62943
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.371		7852671f5e7c4ecdba6183bf52a7188bb41a83d6
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.372		a15663029cd007b16aa7a0db9c5ff1164f5cac84
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.458		987b6b6657c3c2385b21a88fade702b84b37874c
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.465		de626c59ff1bf981582081558dd24c42d5061c8f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.472		8fa4b511c5003551e663e93c1084f0710c2ba07f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.487		92531622e67b2a387261e703447c3e1ea6150f56
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.503		c7e543c30224d11990961b92b1389c115112e399
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.516		c3bb33e38af08187489cc810d5e93b05216ff068
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.535		219fcd29eef9557504ace7ab54696a96cb1a44d5
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.545.2		1d5cb5d4c402adea6e8dfb2c039e9e2628e77e4e
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.549		000cbc388301928b263aa87f5f2787125332c02f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.557		f893ee3dfa8a2120c86d93e27eefacf92394ba9f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.559		865efb0ac6664af7f7b57285d2409c8439cde943
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.563		0ad6e2e7ede008090d4dd9a6f7265a962c99810f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.564.6		c6b8495e796a08adaf5684040bdf01f526e5c731
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.565.50		6183bf256281439f7896f7e6c6871f353799b0bc
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.565.51		9e3da278f474cbdd69fb7ca467c21a6696a51301
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.565.97		95e380ab8416c556329c5781395e2013a8599b3d
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.567.22		79643dbcb98a5cd86659d9a0ed44c58954892134
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.567.27		094bb88d00d9231afef9b193306c2d9820c0ea5f
cn.ibizlab.plugin	ibiz-cloud-rabbitmq	8.1.0.569.25		fc6f4c53c818b065a130d02959f96b7780fe19b4
com.adobe.api.platform	launchpad-test-support	1.1.11		65ed4addacbbe823043b14354187e636db0d8c5c
com.adobe.api.platform	launchpad-test-support	1.1.16		15fdb9eb9e77505240c56ca92c8169a456262613
com.adobe.api.platform	launchpad-test-support	1.2.1		034ceee965a2f8cbe6d4f2c856b7a08dc790e14c
com.adobe.api.platform	launchpad-test-support	1.3.0		9e4584092ba5531225d5bcad6509bb9efedfd3b6
com.adobe.api.platform	launchpad-test-support	1.3.1		e3142eba0e2f36d8280d4bbe1010967ed712c6db
com.adobe.api.platform	launchpad-test-support	1.3.2		47fca4637c3749da39fa0d55a3b4ca6904e4b8c3
com.adobe.api.platform	launchpad-test-support	1.3.5		22ca34131988fc065c69c33d8f7ca78dda81a294
com.adobe.api.platform	launchpad-test-support	1.3.6		1048bcdf3815fb74dc6960f203e67e4484a209b9
com.adobe.api.platform	launchpad-test-support	1.3.7		4a836b4c5c506caf48b1d10f87aff7425197e5d4
com.alippo.chatwoot	openapi-java-client	1.0.0		0497a6c29db3c1f31ecc04947c6dca66ae80cda5
com.alippo.chatwoot	openapi-java-client	1.0.2		67e8419ef1b957ca743b9e8b93cef52100d59ed4
com.alippo.chatwoot	openapi-java-client	1.0.3		59057cbbcb63eb88d9080559881b797490a84c82
com.alippo.chatwoot	openapi-java-client	1.0.4		b893c0ed08e39e168f1a17c5eaf3d02469a79de6
com.aliyun.schedulerx	schedulerx-plugin-trace-skywalking	1.0.0		1926c4bb0bc4c5a6c80da3fa9741c75746ca19ec
com.aliyun.schedulerx	schedulerx-plugin-trace-skywalking	1.0.1		7af435dd597be3edae355d3736c082c10f29cf86
com.aoindustries	ao-credit-cards-usaepay-book	1.0.2		4f0a378679f7d06f86ac45224826f3f7e4b7626d
com.aoindustries	ao-credit-cards-usaepay-book	1.0.3		bd9203b3956b428ac8e137f45c909d4d3ca786e5
com.aoindustries	ao-credit-cards-usaepay-book	1.1.0		8df55b8a78cc4683107fc3c9873564339131c934
com.aoindustries	ao-credit-cards-usaepay-book	1.1.1		4b1cd7c861bb78021caf19a75653918d9c587aa4
com.aoindustries	ao-credit-cards-usaepay-book	1.1.2		1f8b7297d2ad91c02b8aaaa9f8d6489ed33d951e
com.aoindustries	ao-credit-cards-usaepay-book	1.3.0		1b15263edacb46d046cd0ef5214eb58519c358d1
com.armanbilge	circe-shapes_2.12	0.14.2-158-f15be0d		7c401a5150c0edd0e753b4337fec8e07a46c9e4f
com.cedarsoft.commons	serialization-stax-test	1.6.3		f1fa79b9990c51455114d6b607ae994fd890f81c
com.codeborne	selenide-full-screenshot	6.10.0		c9f330d81ac535a92886059244f9118916f2a328
com.codeborne	selenide-full-screenshot	6.10.1		b4e09cac2706d2b714e7c214bbcb3faa44a381af
com.codeborne	selenide-full-screenshot	6.10.2		3c4395ba1ae1bee409ca85d0d735a781f0e75c92
com.codeborne	selenide-full-screenshot	6.10.3		6683d1403f573609004e2aaff63d97a1b7286c60
com.codeborne	selenide-full-screenshot	6.11.0		2fd078dadc687d293553bcc11bf51e2db860472c
com.codeborne	selenide-full-screenshot	6.11.1		1ea915f261b01a39dc657602a7e22dde17ae8b3d
com.codeborne	selenide-full-screenshot	6.11.2		841d6b9773977b56d431bad55cee5caf9f713053
com.codeborne	selenide-full-screenshot	6.12.0		f1b718449165f087bc3ff037990bef9d2b6762dd
com.codeborne	selenide-full-screenshot	6.12.1		80e8b62f8de783988d4a9ea5216714bd0cb87f52
com.codeborne	selenide-full-screenshot	6.12.2		31a085cb6ba22ef8411a9ee45b32948258cc3cbe
com.codeborne	selenide-full-screenshot	6.12.3		67de99b0b81c10bac4635e03cb5ad81211c54170
com.codeborne	selenide-full-screenshot	6.12.4		f55dbbe3566463f4410cd105b21e2c16e984c556
com.codeborne	selenide-full-screenshot	6.13.0		fafaf7df5e695babc0ee7e9bc248870e4236524d
com.codeborne	selenide-full-screenshot	6.13.1		73b5b0181441dd248ff7a8eb1ec8575635ceaa46
com.codeborne	selenide-full-screenshot	6.14.0		9f423eb6a1b563b8b73c5138ccc44963c8ca8db9
com.codeborne	selenide-full-screenshot	6.14.1		1abef04d2cd9e805c528820011da4041f04a4256
com.codeborne	selenide-full-screenshot	6.15.0		f93c90822766c67d5aee17a032d8a30eefdc0f37
com.codeborne	selenide-full-screenshot	6.16.0		ffb34420b5797d80cf84ed34f18bfb1d36442ada
com.codeborne	selenide-full-screenshot	6.16.1		ccae234c367c518ba8cbf0d6e5629d7c0b0b9e46
com.codeborne	selenide-full-screenshot	6.17.0		64c0c6aa72437d57c2b3c3ecb8c4887326b9fc8c
com.codeborne	selenide-full-screenshot	6.17.1		9e5e77ee104e2a127f58629c6118bf2bdc21eee5
com.codeborne	selenide-full-screenshot	6.17.2		f2b3afd4c8db6ff081b7b2dc5f9b3e1b92fd70d3
com.codeborne	selenide-full-screenshot	6.18.0		08d548f7feadd1b4d1770b842738049fa8e32d9e
com.codeborne	selenide-full-screenshot	6.19.0		d685159bc5abb5b55129cfd449b76b3cbee9c59a
com.codeborne	selenide-full-screenshot	6.19.1		6a52f97df6645a9e1e693e48c0bd1ae6473e4d45
com.codeborne	selenide-full-screenshot	6.7.0		94470d6275546a409978652eff2630291d41e5ef
com.codeborne	selenide-full-screenshot	6.7.1		bf80b2b641a0e59ca238c80bcbf792808b3db3ad
com.codeborne	selenide-full-screenshot	6.7.2		4573baca462d5876b32edd4020627ec87c2fd195
com.codeborne	selenide-full-screenshot	6.7.3		8450bb3feb515f4568f89eb25c2d00afdb2f0d91
com.codeborne	selenide-full-screenshot	6.7.4		fbc4681b8a405bcb6008521c4fe3c15d04e4f529
com.codeborne	selenide-full-screenshot	6.8.0		c319007cde607b76d0d6753a15e65bb157495277
com.codeborne	selenide-full-screenshot	6.8.1		a4929f8d5f537e2a88010220bd78fb989e211d05
com.codeborne	selenide-full-screenshot	6.9.0		22b59276abfbe088c8e2577e5e086abd91413c36
com.codeborne	selenide-full-screenshot	7.0.0		4edbb60502c85d1e44d7010fb5ab566c0a589f6a
com.codeborne	selenide-full-screenshot	7.0.1		ac0c154330544a3be701345b4042eb8a29429f99
com.codeborne	selenide-full-screenshot	7.0.2		dffdd5713544682443bdee4802567cbf5251a459
com.codeborne	selenide-full-screenshot	7.0.3		66b922d5fc808f78a7413bc279f11ede0b97af92
com.codeborne	selenide-full-screenshot	7.0.4		1fe0b04f90c6ae88fd9ed4afa4631286dd3c2ad5
com.codeborne	selenide-full-screenshot	7.0.5		76d8fddecc43c2f0d7bdec7f437ec59b3be3872e
com.codeborne	selenide-full-screenshot	7.0.6		4d3518dafee558b77f2d9a296b9c8c11df4ae390
com.codeborne	selenide-full-screenshot	7.1.0		a8273f8baee4dd08df4f59cf58b09482f409f039
com.codeborne	selenide-full-screenshot	7.2.0		d5f7d2b847d5b24d7265db3e8212b2f8015d993a
com.codeborne	selenide-full-screenshot	7.2.1		93eb42185bb9d00ece3823a9d3ece9ade2c2096b
com.codeborne	selenide-full-screenshot	7.2.2		6bc83478e581a6aa0a070592d2ddf011576fcf4a
com.codeborne	selenide-full-screenshot	7.2.3		a43a2f4a19c68bde7b18192e21836da767ffbacf
com.codeborne	selenide-full-screenshot	7.3.0		e5bf8c1027277427949fdfab70313034cbd0027b
com.codeborne	selenide-full-screenshot	7.3.1		96836cb03910f231a4b20fd552d80a3e230318eb
com.codeborne	selenide-full-screenshot	7.3.2		11a5201bdb523414730ac65611b3b0119768a5b9
com.codeborne	selenide-full-screenshot	7.3.3		4e205ae11fbcd51adeedf1421c6425f4e7d5b036
com.codeborne	selenide-full-screenshot	7.4.0		8d17fcb8f5fe8f122b70b67cc0030b351553ff5a
com.codeborne	selenide-full-screenshot	7.4.1		3cfea1a9ae40def63d93d6a634e67f1618cbe4e2
com.codeborne	selenide-full-screenshot	7.4.2		a69c21117fb9db46a683866e512a29f1f4161f6f
com.codeborne	selenide-full-screenshot	7.4.3		824f4edd58f97394288248c5aa3053685530743d
com.codeborne	selenide-full-screenshot	7.5.0		a466920894ca09248a505235cfeb9ccea6df5d97
com.codeborne	selenide-full-screenshot	7.5.1		b51840fca3519ae97d52153eb2627327b8808e4c
com.codeborne	selenide-full-screenshot	7.6.0		d6119df87cdbc9ed69fd431f7eec8c561ed7509c
com.codeborne	selenide-full-screenshot	7.6.1		e9247ed90f79fdf8bae63b0ea228956c108f00c1
com.codeborne	selenide-full-screenshot	7.7.0		37901e7b135f8a87e767a61203dd027ee8a0f20e
com.codeborne	selenide-full-screenshot	7.7.1		cdfa23482fe4daa704c07e7eeddaba1c95b6ce64
com.codeborne	selenide-full-screenshot	7.7.2		b31b0286dedb8019ebecbfe6339ecfaf415472c4
com.codeborne	selenide-full-screenshot	7.7.3		69fe81c3bd3bc59030703f83f24f702f1a8d47d6
com.codeborne	selenide-full-screenshot	7.8.0		03ff0d8fe42b46236f627a0d32a5e869ef310df9
com.codeborne	selenide-full-screenshot	7.8.1		1210d743cacce1d046119cb362f6016e3fcd7052
com.codeborne	selenide-full-screenshot	7.9.0		f292d4b95988b3be47bd05d18d88a94dffc5bd97
com.codeborne	selenide-full-screenshot	7.9.1		fda78dd709e279fcc06ad49b43ba32bd8c1d62c2
com.helger.font	ph-fonts-markazi	4.1.1		30b7ee4f118b282398ec73ff8e523306c86ab824
com.helger.font	ph-fonts-markazi	4.1.2		bd7955ecff484b898d3cc0bc43a1495c66cc4b4a
