ai.swim	swim-fabric	3.10.0	-	e77cf0e7d6793d1bc27fe0fa45971da2c8171f14
at.iem	scalacollider-trace_2.12	0.2.1	-	1d5e9ecb20a740ec96df70ede311a52e4a4ebf5f
at.iem	scalacollider-trace_2.12	0.3.0	-	e7122fe287a1eba315ba66a6e8fe5ba38f9a6ad4
aws.sdk.kotlin	supplychain-jvm	1.0.34	-	78215799e1607b887c70742e2d09606ceae6de19
aws.sdk.kotlin	supplychain-jvm	1.0.35	-	19f854ecc864e60e957518ca0bbb38be3f8090bd
aws.sdk.kotlin	supplychain-jvm	1.0.36	-	00dffe901dc89ad39c0531cf088f086a33c17851
aws.sdk.kotlin	supplychain-jvm	1.0.37	-	11e8a079c11e488fa6fc62959f4686b83779fbfe
aws.sdk.kotlin	supplychain-jvm	1.0.38	-	d38b725536e4a30e5d860517ba9deb6ea5207ed2
aws.sdk.kotlin	supplychain-jvm	1.0.39	-	7cbf31e1632bbb1b896057fc280dcb78ccd85d04
aws.sdk.kotlin	supplychain-jvm	1.0.40	-	f19bfedf3c5ec430e4c604a80406210f4ce260ab
aws.sdk.kotlin	supplychain-jvm	1.0.41	-	c1b91a8347eb48ef422d11114301e7ea9f13946d
aws.sdk.kotlin	supplychain-jvm	1.0.42	-	0d568b106dfc3c910b2cce2ac70c46ddd1134d01
aws.sdk.kotlin	supplychain-jvm	1.0.43	-	7e1162947fa821e7919621c289cf5b1a84b57563
aws.sdk.kotlin	supplychain-jvm	1.0.44	-	c23de876447456554e565fa9c116cb427e05ba01
aws.sdk.kotlin	supplychain-jvm	1.0.45	-	3cdb3a84a52d44d4f751ec588c37c2a676000085
aws.sdk.kotlin	supplychain-jvm	1.0.46	-	2095c6a32d34503521fe33d295488c91d2eb5118
aws.sdk.kotlin	supplychain-jvm	1.0.47	-	223bb98028bfc5641c4ef609c92abd0c7bda064a
aws.sdk.kotlin	supplychain-jvm	1.0.48	-	994ec4fc7d5dae5bc313740140bc928497742dec
aws.sdk.kotlin	supplychain-jvm	1.0.49	-	dc8184052102cf2b4e5f9a27669fec0f20d9d7e5
aws.sdk.kotlin	supplychain-jvm	1.0.50	-	f80611f4496c748f7e597e3324f1d8cf4721dc61
aws.sdk.kotlin	supplychain-jvm	1.0.51	-	4244d4d6633df30978811e034f4bdba8a4f43dc4
aws.sdk.kotlin	supplychain-jvm	1.0.52	-	ba6bc16505ecd1584a91153fa66ba2447d5e2125
aws.sdk.kotlin	supplychain-jvm	1.0.53	-	74981b1be0f129f18030bbe5dbea7ad4c53ec98d
aws.sdk.kotlin	supplychain-jvm	1.0.54	-	8ecbc612cace5e055dbdd5dcfffb55e921136b0a
aws.sdk.kotlin	supplychain-jvm	1.0.55	-	83fe1ef3353d552084996ef27637869653fae905
aws.sdk.kotlin	supplychain-jvm	1.0.56	-	b5730be6b2c54a5dd05866bfb63d1fb02e27f5bd
aws.sdk.kotlin	supplychain-jvm	1.0.57	-	ffc1c3f88bfb66270c13f8d2ec430115fed23b86
aws.sdk.kotlin	supplychain-jvm	1.0.58	-	7dab1921f1d82bf316bcc0e9cde3f59a623a8586
aws.sdk.kotlin	supplychain-jvm	1.0.59	-	4d5048967d65947de689523a265782978023a073
aws.sdk.kotlin	supplychain-jvm	1.0.60	-	cbfbeac1b7a2cd8e857a070b68f9dd177a6f0bdb
aws.sdk.kotlin	supplychain-jvm	1.0.61	-	6937ad9eb82f1db9bcb186c5cd9fa9ab2f5324d5
aws.sdk.kotlin	supplychain-jvm	1.0.62	-	b4a3d67999bb2c872e95ca11de93501f18733406
aws.sdk.kotlin	supplychain-jvm	1.0.63	-	e4d47d85ec057ef27a86b44cde8c8263ce5e1ded
aws.sdk.kotlin	supplychain-jvm	1.0.64	-	9f1bf642cc8273266a73420a8a604da89e9e6782
