ch.epfl.scala	case-app_sjs0.6_2.12	1.2.0-faster-compile-time		54ca25f6ec7ffb2a979dcc4bcdeb5740479ede3b
cn.com.antcloud.api	antcloud-api-provider-bot	1.1.0		1f178da4f176dc900b073a54c90f6c9da5a47554
cn.com.antcloud.api	antcloud-api-provider-bot	1.1.12		d1862b78a4b74ec7070f527b5ccf1b61cb0fe5b4
cn.com.antcloud.api	antcloud-api-provider-bot	1.1.7		2555cce820fe0094547687de0094f9d0dc008388
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.12		f9eb488f4d5a87787d689dedb57ad9a1aace8b54
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.15		36704b77aecd7607fb323244237dd199a4aae311
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.18		2bbc63001ad07b20a5d8635922d438bc37a4c44f
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.2		1e7144b25df3b0429ed6807b6a5e0b6eb4f53dc4
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.23		94eed188680b7ddd785c5081d4f1f1ecdecfdb0c
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.26		7885cf7cc49a3f1f7b76aef6a3e6f491dd366151
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.3		846616098060ba9b3bf5eb87656824f7b801cd9c
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.30		a0b90d98cc66016e530f9b7d1b49f11863207be4
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.31		986a785a356d60cd7e343bcf6afb8cc3cc4bc0a1
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.34		efe5f7df81ce71769d421f2860e543a150853b31
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.35		af8cce9d74a90c8e6249a4de4e872af21b35422e
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.6		6c3c70abb53243a5f8a938175485138422014b8d
cn.com.antcloud.api	antcloud-api-provider-bot	1.10.7		51d84d2d5cd5d448056e93aea514a470696c3732
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.1		296cdac88a214096a74b37671b299f4ca1e74d2e
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.18		640e4a3503e7c3964a960eede0953cbcd5191643
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.19		a0a68026f84b067a0bb9bfa1453792c0dd2dd5a2
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.2		45bb55692e009245cf9f3e4004490ecb6b49b74e
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.3		981ed27d428d42fd6fa6806bfc4ceb1c22a4f9ac
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.34		edc5ac04021331f4e6c1edeca31abf598a2d6621
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.4		a5aed398771226416b18ba7a6084bcb361b64d34
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.41		57f93335a0d0f62da1def3da9b20130d16666ac7
cn.com.antcloud.api	antcloud-api-provider-bot	1.11.42		8d6dbba4ef231336d7f7649a7217c6fa12cf64d2
