build.buf	build.buf.gradle.plugin	0.10.0		N/A
ch.inftec.ju	ju-devops	4.4-19		4922f4bfbc33678980e41ff22021ba1892d85d5d
ch.inftec.ju	ju-devops	4.4-20		278c13e120be3d69f03dc2cdf2fdc304e10ab1c3
ch.inftec.ju	ju-devops	4.4-22		507cb2d2cc169f5cde9624f46119fec53a87880e
ch.inftec.ju	ju-devops	4.4-23		ae6d76d655055b25b7b8cc42cc2f7a76332fa679
ch.inftec.ju	ju-devops	4.4-24		fdc06137e7ad9165195f4739ae6fb3f70ecbab88
ch.inftec.ju	ju-devops	4.4-25		1984f63649c9495d3fd8444469b8484580fc42e9
ch.inftec.ju	ju-devops	4.4-26		5921c60fdcbd248ca2371f9496cfdd760648e00d
ch.inftec.ju	ju-devops	4.5-beta-4		915af6c386c0af2d333bed9c6d96355856bf6f26
ch.inftec.ju	ju-devops	4.5-beta-5		6cfacac5198c8281f02d19a8995a3d33684ae80f
ch.inftec.ju	ju-devops	4.5.1-11		f7bb7984350a288476e1f919cf6ad0252c5866c8
ch.inftec.ju	ju-devops	4.5.1-SNAPSHOT-27		ef4e756b9e0818d0d58530b3e07e98ef157f6c2f
ch.inftec.ju	ju-devops	4.5.1-rc-2		ab82bf211eba54f9c1ceefdbe806359eba6f0f59
ch.inftec.ju	ju-devops	4.5.1-rc-4		49ad262ed7a1c5329207d1dfb70396367b1ece87
ch.inftec.ju	ju-devops	4.5.1-rc-5		aba349be33704ba7017b22a264f0db08395802fd
ch.inftec.ju	ju-devops	4.5.1-rc-8		29d9042af2b665300651d36746d45ccc81be5774
ch.inftec.ju	ju-devops	6.1		5108de575fbd6b69e88dbec827a10ede4f883647
ch.inftec.ju	ju-devops	6.1-4		4d6895b7406692ba21b71456c3abeda0a1728b25
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.0		N/A
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.0	metadata	6fe0bc2cd850cc31d8af0aae866a64fb29dbee4d
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.2		N/A
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.2	metadata	a6888b8b1999ea4241fc3118e95288c23549fdec
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.3		N/A
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.0.3	metadata	fe8e444a1fb68fdcbd13d45ce154edb8ed348927
co.touchlab	kermit-bugsnag-test-tvossimulatorarm64	1.1.0		N/A
