biz.cgta	cenum-sjs_sjs0.5_2.11	0.2.1		c57b97c60f44d6e1e9f9907623384a8cf6936d1e
co.cask.cdap	cdap-file-drop-zone	1.0.1		c683ed18b746cfc4c74d8fa7374b6743aba89fe9
co.cask.cdap	cdap-file-drop-zone	1.0.2		d3086e6e330ba30f20843bfec1dd56b24d38b67b
co.cask.cdap	cdap-file-drop-zone	1.1.0		08eacf543f4da549da5ad4872c115eddd1cab294
co.cask.cdap	cdap-file-drop-zone	1.2.0		0710ddf4161636c2a5342f7cc6f3a4132e2d0333
co.cask.cdap	cdap-file-drop-zone	1.3.0		f303015bf05e25c3b4afd755a967e0b145b1d06f
com.addc.build	service-install	2.5		N/A
com.addc.build	service-install	2.6		N/A
com.addc.build	service-install	2.7		N/A
com.addc.build	service-install	2.8		N/A
com.addc.build	service-install	2.8.1		N/A
com.addc.build	service-install	2.9		N/A
com.amazonaws	aws-java-sdk-tnb	1.12.412		9b53132a186dd5b927b04de81ab7fbc799b3a928
com.amazonaws	aws-java-sdk-tnb	1.12.413		f2e9f21783908f83b35c385694a80d30e5a51b1e
com.amazonaws	aws-java-sdk-tnb	1.12.414		5babd599a584a77907cbbe04d6298d895ee7ca68
com.amazonaws	aws-java-sdk-tnb	1.12.415		911388e30337d31245375d6939520f5a648b5c46
com.amazonaws	aws-java-sdk-tnb	1.12.416		2085fa994e06d82f4e468e28def74d4bf885f080
com.amazonaws	aws-java-sdk-tnb	1.12.417		b1c0eef018e60486857c6a33c3e7cf7bcd9d078f
com.amazonaws	aws-java-sdk-tnb	1.12.418		8ca326591a4e3e0793a4c2458377b910fc96e846
com.amazonaws	aws-java-sdk-tnb	1.12.419		99b62a54e418b42ed29f763369a43880f84b086a
com.amazonaws	aws-java-sdk-tnb	1.12.420		5903bda0f6bb9cd4cb9388f4f252725de63d1e28
com.amazonaws	aws-java-sdk-tnb	1.12.421		58fca7c353905d7f93c833ea9902183ddb4ef033
com.amazonaws	aws-java-sdk-tnb	1.12.422		d709f9a34f7a96049a38bf5903786dee966d03d0
com.amazonaws	aws-java-sdk-tnb	1.12.423		6cfc5e73116dccf7529cf940ceac2e10a5d2b69a
com.amazonaws	aws-java-sdk-tnb	1.12.424		614133503a615832703d8cc6e16c2be5d7f76ba9
com.amazonaws	aws-java-sdk-tnb	1.12.425		2218d6737428c3bfcbb8fa57aac36bad4640eec0
com.amazonaws	aws-java-sdk-tnb	1.12.426		61be1d92caa32f9690c1aa129b91a4e2f1e11905
