ch.ethz.inf.vs	cf-coapbench	0.18.7-final		179125912374f7860ed68b354886343b73dbc728
com.adobe.aem	aem-cif-sdk-api	2021.02.01		47370e425c21b5285bbe2f9a72b8e39bb6bc1184
com.adobe.aem	aem-cif-sdk-api	2021.02.24		3c049caebc62dae7f5c3c33e504efc8d00e783db
com.adobe.aem	aem-cif-sdk-api	2021.03.26		5efeee9b06ebcb9edc94091d58cf5e82b6d83e99
com.adobe.aem	aem-cif-sdk-api	2021.04.22		0d9d72522bb9081099ac4b09ab12530f1eb5f67f
com.adobe.aem	aem-cif-sdk-api	2021.05.26		207fdcd1ceb79bad13e61b3272bd1d80412a0b68
com.adobe.aem	aem-cif-sdk-api	2021.06.18		16c06b6244711f12c3c58695a1b029c73bb87b14
com.adobe.aem	aem-cif-sdk-api	2021.07.21		8aabc6953dc931238fbd6fc04b31b57ce696e5e8
com.adobe.aem	aem-cif-sdk-api	2021.08.20		4439a1e0aac274ddc4d6e1692786093f79fffa5d
com.adobe.aem	aem-cif-sdk-api	2021.09.02		1977c71861a9e9c8497383ea131927204261e5c2
com.adobe.aem	aem-cif-sdk-api	2021.09.27		891e4c5ad281ba03d9be8eb75f4864fa924cb70d
com.adobe.aem	aem-cif-sdk-api	2021.10.05.00		b639e61f3f426f8a1bff73a2879742d208c4165f
com.adobe.aem	aem-cif-sdk-api	2021.10.20.02		6ffbe52c03046260ac392c061f545ad25b47134c
com.adobe.aem	aem-cif-sdk-api	2021.11.18.00		a345a2758a91c97aa863faa7b463d4c125c6f8e7
com.adobe.aem	aem-cif-sdk-api	2022.01.20.00		50a88ec9bf9e43d5f7e41f6408df965b4f404dd1
com.adobe.aem	aem-cif-sdk-api	2022.02.24.00		baea3a0d657ff6b0f915b3b697749ba39c67bb4f
com.adobe.aem	aem-cif-sdk-api	2022.04.28.00		6dccab373eb79067f655205fd24821cbf548cc57
com.adobe.aem	aem-cif-sdk-api	2022.05.31.00		d3c65589d504e904444f025b3a3c9e91a14db4a2
com.adobe.aem	aem-cif-sdk-api	2022.07.05.00		d80eac8be28974cc86c5c68d6012e660db51e372
com.adobe.aem	aem-cif-sdk-api	2022.08.02.00		eee1e4cb87801653cdac1dfad53565e4d297acd4
com.adobe.aem	aem-cif-sdk-api	2022.09.20.00		6b254f9d1b1ea08bf3c6d34359319a32b0b29d91
com.adobe.aem	aem-cif-sdk-api	2022.09.30.00		c9fa6498986cf4b0ca111656faa803fee1aa1bb8
com.adobe.aem	aem-cif-sdk-api	2023.11.23.00		326baf338cbfcb9dfaccd21ca4e5efd71a57ea8c
com.adobe.aem	aem-cif-sdk-api	2025.02.07.02		11d1286991571d03363b44ec37736f2d99ac6aed
com.adobe.aem	aem-cif-sdk-api	2025.03.18.00		19dd9077212279ad5d5fe4bce60f24693ac223f8
com.adobe.aem	aem-cif-sdk-api	2025.04.29.00		4035e0350a624f61866933adc897df4388295191
com.adobe.commerce.cif	core-cif-components-apps	0.1.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.10.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.10.1		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.2.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.3.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.4.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.5.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.6.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.7.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	0.9.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.0.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.1.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.1.1		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.1.3		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.10.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.11.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.12.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.2.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.3.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.4.0		N/A
com.adobe.commerce.cif	core-cif-components-apps	1.5.0		N/A
