app.cash.treehouse	compose-android	0.1.0		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.0		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.1		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.2		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.3		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.4		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.5		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.6		N/A
be.dabla	grizzly-spring-boot-starter-parent	2.7		N/A
ch.swaechter	smbjwrapper	0.0.1		1a111bcda5038bbafaba47356d0926cbb4381cfc
ch.swaechter	smbjwrapper	0.0.2		e83147a6ebad6c94c462c19d96c4aec213db2acf
ch.swaechter	smbjwrapper	0.0.3		733ae9d87028cfedd92b90a5382a0fa496ed2b39
ch.swaechter	smbjwrapper	0.0.4		7b6cd607e31aa86efac799cd11e50f6419a43be4
ch.swaechter	smbjwrapper	0.0.5		c6d4950367062b781ee99d71a4379f271f41a7f5
ch.swaechter	smbjwrapper	0.0.6		441745f4ce2ed5125afb59b35a5b5decc9f72138
ch.swaechter	smbjwrapper	0.0.7		79b3c47ad396bcd29f1e87596aba12c76c4a3921
ch.swaechter	smbjwrapper	0.0.8		f54d177d1be9deec63ce2270df670f7576fe5760
ch.swaechter	smbjwrapper	1.0.0		44d284d6e1049725abc9d1ccfd0d1084d077fea9
ch.swaechter	smbjwrapper	1.1.0		f62fd49ae8777a7b789e54ef6898e44d445b784b
ch.swaechter	smbjwrapper	1.2.0		0cdfa81f6526a9b4480a2640ff96a2c28702acb3
cn.ablxyw	quick-code-media	1.0.2		08450cb30fb1c7d798b58f2c3c8c03b3038abd0b
cn.ablxyw	quick-code-media	1.0.3		e8a52c39a36b4cd280c588b2c7430da700802142
cn.ablxyw	quick-code-media	1.0.4		a8125f5ed5e234dcedbd400e5f4fae167ddc12e2
cn.zhxu	xjsonkit-gson	1.4.0		22344f717bc5376426a67d154e8413fe9d7b2b25
cn.zhxu	xjsonkit-gson	1.4.1		f243d8c78214375d2b84c5af3e5aebf5e5a97a16
cn.zhxu	xjsonkit-gson	1.4.2		d0238992b49ba1823fefa3db188b6445a6c30677
cn.zhxu	xjsonkit-gson	1.4.3		50dee693014c9b88ff083383ce3c502f220fdb54
cn.zhxu	xjsonkit-gson	1.5.0		136ade05ab661b217bce6a638f354a81e66966a3
cn.zhxu	xjsonkit-gson	1.5.1		157a3422efad04684a3c3affbbef67ba04121791
com.4paradigm.openmldb	openmldb-synctool	0.8.0		173daaf255a9d6cec7e758d833e7f661336405a6
com.4paradigm.openmldb	openmldb-synctool	0.8.1		0b43153fff5af286917fbb3367a775e50d92ebc5
com.4paradigm.openmldb	openmldb-synctool	0.8.2		7f9e0379351741e558963b95283b7ce5e6cde8f2
com.4paradigm.openmldb	openmldb-synctool	0.8.3		5d80ec1b9c242bf43395b37c55deef3754cb58aa
com.4paradigm.openmldb	openmldb-synctool	0.8.4		951cd643caf2c410272380a10ebe364a402959f0
com.4paradigm.openmldb	openmldb-synctool	0.8.5		be05c42dc800af78b5bebb889e17d537c008306f
com.4paradigm.openmldb	openmldb-synctool	0.9.0		9dc5406a8834837225716e537f39a4a24929e221
com.4paradigm.openmldb	openmldb-synctool	0.9.1		69967d9fc59133dabefbda32a5949d2cdd70e53d
com.4paradigm.openmldb	openmldb-synctool	0.9.2		3d863d205cd31728c976432163525a7220293df0
com.4paradigm.openmldb	openmldb-synctool	0.9.3		faeac045be4e9e9d0eedc12c7ef9fff3f608dc31
com.babylonhealth	lit-common_2.13	0.14.5.1		ffa31288ef92d47f6fed5dfcf80f5d8665c2e517
com.carlosedp	scalautils_2.11	0.10.0		2c05df8bf865b158284944f1bb4e0c56e7ac16f5
com.carlosedp	scalautils_2.11	0.10.1		e5b28a3d2870ceaed917a16bcd1d07750f20630d
com.carlosedp	scalautils_2.11	0.10.2		a677c99b63819de2d2f2293042671b5d6fbe933d
com.carlosedp	scalautils_2.11	0.3.0		74ed90ce9a79dc4e9757bbf27c696632989aa9b0
