be.objectify	deadbolt-java_2.13.0-M5	2.7.0		097f497a287862c6b55cf742893c410fd0e3ead4
com.aliyun	voicenavigator20180612	1.0.0		ca89943aa0bce4146902ecfcba2ce62d5afdb0a9
com.aliyun	voicenavigator20180612	1.0.1		ff03053d86796615b97f9614d23288101dff70ac
com.aliyun	voicenavigator20180612	1.0.1	shaded	d9d909b193f5763b253136fd4497eca4b9a6eb1e
com.aliyun	voicenavigator20180612	1.0.2		43f5955a204bf606a57837cb1f4b953101836d8a
com.aliyun	voicenavigator20180612	1.0.2	shaded	de7bff7df28496972c172a0dc71ec08b9bf764df
com.aliyun	voicenavigator20180612	1.0.3		688214ad847307d8b726f5b19a4f6d87d0f34f94
com.aliyun	voicenavigator20180612	1.0.3	shaded	19da4ce359bc0e0c1a4a0010cec3433ef5f360fa
com.aliyun	voicenavigator20180612	1.0.4		3e5a462fdf4a8452710fd8be93dce0da63744b90
com.aliyun	voicenavigator20180612	1.0.4	shaded	7a67a2424cd6cef5ca09d6b564e7c4b144cd57c1
com.aliyun	voicenavigator20180612	1.0.5		c68315e7bcf110adaaee8f9cff9c775eb632f6af
com.aliyun	voicenavigator20180612	1.0.5	shaded	f929db2c3b393ac60f73d49bebdc03869e23348d
com.aliyun	voicenavigator20180612	1.0.6		d93ea7a46d0fbc4aebe8a6b51c4aad968af229a8
com.aliyun	voicenavigator20180612	1.0.6	shaded	7b9c50c23cad760dba9244148e2d21f2a992ae09
com.aliyun.phoenix	ali-phoenix-queryserver	4.11.0-AliHBase-1.1		091db94cfed4d2d19e1b167e8490ec68d6558862
com.aliyun.phoenix	ali-phoenix-queryserver	4.11.0-AliHBase-1.1-0.1		d052c1c1d2ec8ef16f4d7788cccb3582e83254bd
com.aliyun.phoenix	ali-phoenix-queryserver	4.11.0-AliHBase-1.1-0.2		e54b7a8f3771e456ea39432cf210eb1d0ebbba47
com.aliyun.phoenix	ali-phoenix-queryserver	4.11.0-AliHBase-1.1-0.3		dde6be8f9b181d8b7a40018d97f94887b0460b6c
com.aliyun.phoenix	ali-phoenix-queryserver	4.12.0-AliHBase-1.1-0.1		3ef83ca291624cd7b7f1af6b2101660133f7dd79
