br.com.objectos	db9-maven-plugin	0.1.0		141888e1d7040f8be1f26c235e8fd7b7f60d8dab
com.aallam.ulid	ulid-iosarm64	0.1.0		N/A
com.aallam.ulid	ulid-iosarm64	0.1.0	metadata	39cecd1490fd34320ce7662dece87150af4e21e8
com.aallam.ulid	ulid-iosarm64	1.0.0		N/A
com.aallam.ulid	ulid-iosarm64	1.0.0	metadata	3866b5e96f4081ac793a9ae5818dc4a0641337f8
com.amazonaws	aws-java-sdk-sesv2	1.11.1000		c16266d8ca6b8e6c9e79d7837bdbfa5e9f14e6ae
com.amazonaws	aws-java-sdk-sesv2	1.11.1001		d827b67b71067fb1794bf0a05d0e7dd3ca48f9de
com.amazonaws	aws-java-sdk-sesv2	1.11.1002		464acffc4e2b09963d082335bac5fe0d70f09c94
com.amazonaws	aws-java-sdk-sesv2	1.11.1003		bd59531a0e7e5f44ce8cc3c1af76fc6addd9f570
com.amazonaws	aws-java-sdk-sesv2	1.11.1004		1d4dbd12973d23e580726537959042d6afc1a062
com.amazonaws	aws-java-sdk-sesv2	1.11.1005		7e92e15f9bda9458cb1ece6e16da83f4ec00c3b6
com.amazonaws	aws-java-sdk-sesv2	1.11.1006		f30e86135079ba05a21161b2186b385d9d0e8296
com.amazonaws	aws-java-sdk-sesv2	1.11.1007		2a66f402be595669e7c703e4ed1ffbafe246056d
com.amazonaws	aws-java-sdk-sesv2	1.11.1008		2582dc8308a6499518935dc056e12f25078a8a78
com.amazonaws	aws-java-sdk-sesv2	1.11.1009		9704a4bcf400df368b888dbef755d1e97c3bfe5d
com.amazonaws	aws-java-sdk-sesv2	1.11.1010		a1f71933d731e0940df1fb347901f19e05e09329
com.amazonaws	aws-java-sdk-sesv2	1.11.1011		6bcdfe979ecec82b830999a8a333a711421a48f5
com.amazonaws	aws-java-sdk-sesv2	1.11.1012		3f7d735d6857edd692c263e15b744bf27f686f7c
com.amazonaws	aws-java-sdk-sesv2	1.11.1013		dc86b9cb51d3513c60b7d80cde167d6181dd4330
com.amazonaws	aws-java-sdk-sesv2	1.11.1014		99010ac15a1c68274922d340b620e9d6a7ed692e
com.amazonaws	aws-java-sdk-sesv2	1.11.1015		a47823434bdfe1cac1d84a695df18e77c7ecd8a2
com.amazonaws	aws-java-sdk-sesv2	1.11.1016		f72a93b92c9384de082a7aef2cc3347e10b84717
com.amazonaws	aws-java-sdk-sesv2	1.11.1017		ca08f75b9371a23e7c2b326883a05bd909749417
com.amazonaws	aws-java-sdk-sesv2	1.11.1018		eb37affba5565824ba104bea2d49a7cb97d689d3
com.amazonaws	aws-java-sdk-sesv2	1.11.1019		e375d392ee41bd291d1acefcaeeddc745a30b417
com.amazonaws	aws-java-sdk-sesv2	1.11.1020		f4fb9e4326773bae2ec367dbb64bd7d0377647d0
com.amazonaws	aws-java-sdk-sesv2	1.11.1021		b694775185c6318a6d5b74d095dbf57f5c916978
