bayern.steinbrecher	jcommander	1.80		b23a3bd2f8f9c160303246f43141cfd817c5758d
biz.aQute	biz.aQute.osgi.jna.support.test.a	1.3.0		B946C8A8311E90F51B16570AAA44857401FA293C
ch.exense.commons	exense-auth-cyphers	1.3.0		f6c6e4587ca0409e4c786cd8a095945edf9b5f94
ch.exense.commons	exense-auth-cyphers	1.3.1		207abf3b6d2fe35828920b6bb9ec8fd0813306c5
cn.com.analysys	analysys-push	4.2.1		727c9ac9e4b5853281caf717ab1e9b973fae220b
cn.com.analysys	analysys-push	4.3.2		f462a80c25e04092e2d2e431f69aeb1ea9a2bbe8
cn.com.analysys	analysys-push	4.3.2.1		789400c1e404e73b047752cc1feee627086ae0b7
cn.com.analysys	analysys-push	4.3.3		e84cf36a5be218c6a95b80cdd36a4cbaede0662e
cn.com.analysys	analysys-push	4.3.4		8ed942fa635fbc82609d43777dcaad503ebe639f
cn.com.analysys	analysys-push	4.3.5		5b6f8792e6d31488b93978daa97cf43321294715
cn.com.analysys	analysys-push	4.3.6		f4302362fb9271bde74923dcfddcc6afd8593081
cn.com.analysys	analysys-push	4.3.6.3-beta		bbf886abb191c60ddfc0f1ff3a57668191b8edae
cn.com.analysys	analysys-push	4.3.7		1922624d495699ef8e2d6d5fccd4081f180e81cc
cn.com.analysys	analysys-push	4.4.0		N/A
cn.com.analysys	analysys-push	4.4.1		N/A
cn.com.analysys	analysys-push	4.4.10		N/A
cn.com.analysys	analysys-push	4.4.10-beta		N/A
cn.com.analysys	analysys-push	4.4.10-beta1		N/A
cn.com.analysys	analysys-push	4.4.10-beta2		N/A
cn.com.analysys	analysys-push	4.4.11		N/A
cn.com.analysys	analysys-push	4.4.11.1		N/A
cn.com.analysys	analysys-push	4.4.12		N/A
cn.com.analysys	analysys-push	4.4.12.1		N/A
cn.com.analysys	analysys-push	4.4.13		N/A
cn.com.analysys	analysys-push	4.4.13.1		N/A
cn.com.analysys	analysys-push	4.4.2		N/A
cn.com.analysys	analysys-push	4.4.3		N/A
cn.com.analysys	analysys-push	4.4.4		N/A
cn.com.analysys	analysys-push	4.4.4.2		N/A
cn.com.analysys	analysys-push	4.4.4.4		N/A
cn.com.analysys	analysys-push	4.4.4.5		N/A
cn.com.analysys	analysys-push	4.4.5		N/A
cn.com.analysys	analysys-push	4.4.5-beta		N/A
cn.com.analysys	analysys-push	4.4.6		N/A
cn.com.analysys	analysys-push	4.4.6.1		N/A
cn.com.analysys	analysys-push	4.4.7		N/A
cn.com.analysys	analysys-push	4.4.8		N/A
cn.com.analysys	analysys-push	4.4.9		N/A
cn.com.analysys	analysys-push	4.4.9.1		N/A
cn.com.analysys	analysys-push	4.4.9.2		N/A
cn.com.analysys	analysys-push	4.5.1		N/A
cn.com.analysys	analysys-push	4.5.10		N/A
cn.com.analysys	analysys-push	4.5.11		N/A
cn.com.analysys	analysys-push	4.5.12		N/A
cn.com.analysys	analysys-push	4.5.13		N/A
cn.com.analysys	analysys-push	4.5.13.1		N/A
cn.com.analysys	analysys-push	4.5.14		N/A
cn.com.analysys	analysys-push	4.5.15		N/A
cn.com.analysys	analysys-push	4.5.16		N/A
cn.com.analysys	analysys-push	4.5.16.4		N/A
cn.com.analysys	analysys-push	4.5.16.6		N/A
cn.com.analysys	analysys-push	4.5.16.8		N/A
cn.com.analysys	analysys-push	4.5.17.7		N/A
cn.com.analysys	analysys-push	4.5.17.8		N/A
cn.com.analysys	analysys-push	4.5.18		N/A
cn.com.analysys	analysys-push	4.5.2		N/A
cn.com.analysys	analysys-push	4.5.3		N/A
cn.com.analysys	analysys-push	4.5.3.1		N/A
cn.com.analysys	analysys-push	4.5.4		N/A
cn.com.analysys	analysys-push	4.5.6		N/A
cn.com.analysys	analysys-push	4.5.7		N/A
cn.com.analysys	analysys-push	4.5.8		N/A
cn.com.analysys	analysys-push	4.5.9		N/A
com.ansvia.graph	blueprints-scala_2.9.1	0.0.7		2caa5cbd30297dac4f203c8557e426407b5fd4bf
com.blossom-project	blossom-core-scheduler	1.0.0		5aef2b84dfbbcbfc70afbc8c5db22b21b8179aaf
com.blossom-project	blossom-core-scheduler	1.0.0.M2		16df3d47a337a0d7c9f4d285777124241531c223
com.blossom-project	blossom-core-scheduler	1.1.0		50b32a023b0c7c9bb2ab738e1622ab493e5c1850
com.blossom-project	blossom-core-scheduler	1.1.0.M1		a05ad28ba9cccd5179ceba7eceef635331a90cf9
com.blossom-project	blossom-core-scheduler	1.1.0.M2		d7d9291dced1ddb5a33eb1bb6ab8ba6f53869023
com.blossom-project	blossom-core-scheduler	1.1.0.M3		9e01466dfa0d4039dde5fb7efcc2baa03c9a9428
com.blossom-project	blossom-core-scheduler	1.1.1		b5d308248b47879fd6cbfd383b8bdf4b8ea8da27
com.blossom-project	blossom-core-scheduler	1.1.2		3e43458e283fd49a4f99ee6a2bc53352d5a7ac1f
com.blossom-project	blossom-core-scheduler	1.1.3		bef2a372ef470eeab2be440dea0071d31dcc2880
com.blossom-project	blossom-core-scheduler	1.2.0		ae9abd5ee00e3b45644cf4485766f2213c77ccfa
com.blossom-project	blossom-core-scheduler	1.2.1		b57457bc06def5c9a9a4103a6768933369bb8c9b
com.blossom-project	blossom-core-scheduler	1.3.0		2ee2589e7c32ae3c88370ee4862cfdba77d91492
com.diglol.crypto	hash-iossimulatorarm64	0.1.0		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.0	metadata	77697d398497c38e5e6fc991404512c9b05b2328
com.diglol.crypto	hash-iossimulatorarm64	0.1.1		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.1	metadata	8f40d463455b68564747b1d43283a522c8fddae7
com.diglol.crypto	hash-iossimulatorarm64	0.1.2		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.2	metadata	1938bc118532407cb7638c5c3bf74548cf040a9b
com.diglol.crypto	hash-iossimulatorarm64	0.1.3		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.3	metadata	1938bc118532407cb7638c5c3bf74548cf040a9b
com.diglol.crypto	hash-iossimulatorarm64	0.1.4		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.4	metadata	6a7a416a8b60619499c41f97ca016bc53d6c0cb9
com.diglol.crypto	hash-iossimulatorarm64	0.1.5		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.1.5	metadata	1ab7de7ac0fce5c06eb63635f1dc27f56f01d538
com.diglol.crypto	hash-iossimulatorarm64	0.2.0		N/A
com.diglol.crypto	hash-iossimulatorarm64	0.2.0	metadata	bb9110a91deedc34d1d332b0332ae0114c91314c
com.github.houbb	loan-calc-java	1.0.0		4e505c0ea20c95584ef3c609a9d9a73fb8f7f3e7
com.github.j-mie6	parsley-debug-json_native0.5_2.13	0.1.0-M1		8d45615d061882d38c44d9bcde090e0a17508b69
com.github.jobservice	job-service-core	9.0.0-530		bbf76bc891c476e798cba2c65aaeea428e088230
com.github.jobservice	job-service-core	9.0.1-534		7f378b2add5a0abacf62a1ce0bbd8a565f6dfef0
com.github.jobservice	job-service-core	9.1.0-548		3b133be0c0d81c8920df09401c4de6eab54383c3
com.github.jobservice	job-service-core	9.1.1-554		3b19427906e2c9fb6d5b82fe308ebc5b920793e2
com.github.jobservice	job-service-core	9.2.0-566		5e8f1f473d5de0ea925fac8368c7c8800aea8d75
com.github.jobservice	job-service-core	9.2.1-577		e74d402225e67deb801063fcb006c95dd96b2f7f
com.github.jobservice	job-service-core	9.2.2-581		19956f41342b201bdba92b422d7a64afc5ead8a3
