cn.com.jeeweb	jeeweb-minio	1.0.0		cebfc0a9825712ebd8fbf0a705825008e76298a3
cn.herodotus.stirrup	message-spring-boot-starter	3.3.0.0-M1		567e85bbe4e1291c9becaa4c313208e9f9681bb0
cn.jdevelops	jdevelops-caches-redis	2.0.7		cd938b04f287ff78dd712e30f872b5d9eab36b96
com.aylien.textapi	client	0.1.0		d4285b10e1b90080d568b2f4c5e6596ffb2ff85a
com.aylien.textapi	client	0.2.0		16bb2a06af66bce5bd5c5605c314ba4a63e599e7
com.aylien.textapi	client	0.3.0		d77eee6746fb4fa6d8df764de548f1c864dc5c7e
com.aylien.textapi	client	0.4.0		a73c0fb7f64041ad403cc3bd43c9b40465508c73
com.aylien.textapi	client	0.5.0		ae1d51ec2d11d51f70a24fe7764e0e9b7f81dfea
com.aylien.textapi	client	0.5.1		c595f9cf453af74344dddafa4a1c518afb0a444e
com.aylien.textapi	client	0.6.0		e69a12b83d145e80f6b0e193e9cbff7c1a315226
com.aylien.textapi	client	0.6.1		c839c3fe54ba097b52085f1dc2f030db37a833ab
com.aylien.textapi	client	0.7.0		1967904af3acd19d2ebb911f54cdbd5a2579e5bb
com.beachape	enumeratum-scalacheck_native0.4_2.13	1.7.2		715405252a4bd9fc9e809e162e7c81852eecf2aa
com.beachape	enumeratum-scalacheck_native0.4_2.13	1.7.3		d5897fc86729ef62f79ad05325bef9252a60994b
com.beachape	enumeratum-scalacheck_native0.4_2.13	1.7.4		40fb33c4ac5294e411c29c5e1b9a1e42cd3ba16d
com.braintreepayments.api	core	2.10.0		N/A
com.braintreepayments.api	core	2.11.0		N/A
com.braintreepayments.api	core	2.12.0		N/A
com.braintreepayments.api	core	2.13.0		N/A
com.braintreepayments.api	core	2.13.1		N/A
com.braintreepayments.api	core	2.13.2		N/A
com.braintreepayments.api	core	2.14.0		N/A
com.braintreepayments.api	core	2.14.1		N/A
com.braintreepayments.api	core	2.14.2		N/A
com.braintreepayments.api	core	2.15.0		N/A
com.braintreepayments.api	core	2.15.1		N/A
com.braintreepayments.api	core	2.15.2		N/A
com.braintreepayments.api	core	2.16.0		N/A
com.braintreepayments.api	core	2.17.0		N/A
com.braintreepayments.api	core	2.18.0		N/A
com.braintreepayments.api	core	2.18.1		N/A
com.braintreepayments.api	core	2.19.0		N/A
com.braintreepayments.api	core	2.2.0		N/A
com.braintreepayments.api	core	2.2.1		N/A
com.braintreepayments.api	core	2.2.2		N/A
com.braintreepayments.api	core	2.2.3		N/A
com.braintreepayments.api	core	2.2.4		N/A
com.braintreepayments.api	core	2.2.5		N/A
com.braintreepayments.api	core	2.20.0		N/A
com.braintreepayments.api	core	2.20.1		N/A
com.braintreepayments.api	core	2.21.0		N/A
com.braintreepayments.api	core	2.22.0		N/A
com.braintreepayments.api	core	2.3.0		N/A
com.braintreepayments.api	core	2.3.1		N/A
com.braintreepayments.api	core	2.3.10		N/A
com.braintreepayments.api	core	2.3.11		N/A
com.braintreepayments.api	core	2.3.12		N/A
com.braintreepayments.api	core	2.3.2		N/A
com.braintreepayments.api	core	2.3.3		N/A
com.braintreepayments.api	core	2.3.4		N/A
com.braintreepayments.api	core	2.3.5		N/A
com.braintreepayments.api	core	2.3.6		N/A
com.braintreepayments.api	core	2.3.7		N/A
com.braintreepayments.api	core	2.3.8		N/A
com.braintreepayments.api	core	2.3.9		N/A
com.braintreepayments.api	core	2.4.0		N/A
com.braintreepayments.api	core	2.4.1		N/A
com.braintreepayments.api	core	2.4.2		N/A
com.braintreepayments.api	core	2.4.3		N/A
com.braintreepayments.api	core	2.5.0		N/A
com.braintreepayments.api	core	2.5.1		N/A
com.braintreepayments.api	core	2.5.2		N/A
com.braintreepayments.api	core	2.5.3		N/A
com.braintreepayments.api	core	2.5.4		N/A
com.braintreepayments.api	core	2.6.0		N/A
com.braintreepayments.api	core	2.6.1		N/A
com.braintreepayments.api	core	2.6.2		N/A
com.braintreepayments.api	core	2.7.0		N/A
com.braintreepayments.api	core	2.7.1		N/A
com.braintreepayments.api	core	2.7.2		N/A
com.braintreepayments.api	core	2.7.3		N/A
com.braintreepayments.api	core	2.8.0		N/A
com.braintreepayments.api	core	2.8.1		N/A
com.braintreepayments.api	core	2.9.0		N/A
com.braintreepayments.api	core	3.0.0		N/A
com.braintreepayments.api	core	3.0.1		N/A
com.braintreepayments.api	core	3.1.0		N/A
com.braintreepayments.api	core	3.10.0		N/A
com.braintreepayments.api	core	3.11.0		N/A
com.braintreepayments.api	core	3.11.1		N/A
com.braintreepayments.api	core	3.12.0		N/A
com.braintreepayments.api	core	3.17.0		N/A
com.braintreepayments.api	core	3.17.1		N/A
com.braintreepayments.api	core	3.17.2		N/A
com.braintreepayments.api	core	3.17.3		N/A
com.braintreepayments.api	core	3.17.4		N/A
com.braintreepayments.api	core	3.18.0		N/A
com.braintreepayments.api	core	3.18.1		N/A
com.braintreepayments.api	core	3.19.0		N/A
com.braintreepayments.api	core	3.2.0		N/A
com.braintreepayments.api	core	3.20.0		N/A
com.braintreepayments.api	core	3.20.1		N/A
com.braintreepayments.api	core	3.21.0		N/A
com.braintreepayments.api	core	3.21.1		N/A
com.braintreepayments.api	core	3.3.0		N/A
com.braintreepayments.api	core	3.4.0		N/A
com.braintreepayments.api	core	3.4.1		N/A
com.braintreepayments.api	core	3.4.2		N/A
com.braintreepayments.api	core	3.5.0		N/A
