com.github.nagyesta	cache-only	2.0.50		151cb23f0b6e661d114195b36b346cfcbda59320
com.github.nagyesta	cache-only	2.0.6		5ccc7b133576a79f487abffce3a4ab621686f42c
com.github.nagyesta	cache-only	2.0.67		2fb45fc8339fbd21741409be5048fe6d6e296e71
com.github.nagyesta	cache-only	2.0.77		f464c60e2c1b01c34a7e2731b1a07b7b5e28be19
com.github.nagyesta	cache-only	2.0.82		716fb44bceec1ec4880a01a44e7f63900f207f0f
com.github.nagyesta	cache-only	2.0.92		2eb53ff5adae1bf33a0d27bc49be6818afbd8fda
com.github.nagyesta	cache-only	3.0.0		fbbc2b10191efc0e0ab83549bcd096b724e006ab
com.github.nagyesta	cache-only	3.0.117		2f21a475bf90a2a76721b1107152d0064e0913d3
com.github.nagyesta	cache-only	3.0.142		bdf471c989cee2b7a480f63ff71948ae8568aebe
com.github.nagyesta	cache-only	3.0.161		bc71f540024a8dd41f380d8da50ddf11f981560a
com.github.nagyesta	cache-only	3.0.18		81a3c1400113b30e8bb59c6bf8e86dc23bd9908b
com.github.nagyesta	cache-only	3.0.181		c56e935726bb910d98c66e3253b6867f248aa61b
com.github.nagyesta	cache-only	3.0.198		5f336905dde5acc9f02142d8b77560cd2ee6c46f
com.github.nagyesta	cache-only	3.0.223		2f8f2a7f4fb8f55d471f4a27a20e9d161c669434
com.github.nagyesta	cache-only	3.0.35		63bc6b6e1c7a928e07960052aa17fe10d2e5c73e
com.github.nagyesta	cache-only	3.0.36		a660b7f8881337b7ccae0341a97e3b2135356032
com.github.nagyesta	cache-only	3.0.37		d1b3cdb6704cf70d50b90c83353466b343d192f4
com.github.nagyesta	cache-only	3.0.44		9345ccdc22e951f62b34295fc4a5a0de6296da18
com.github.nagyesta	cache-only	3.0.62		fd1f918806db469a4e5c11287f97deadf83a36b4
com.github.nagyesta	cache-only	3.0.74		006e8a7c42bfda261a1ab02b9c32bee8cf581617
com.github.nagyesta	cache-only	3.0.98		95e3e6ec24924c0dd01b31e28b224e6b0e29b32d
com.github.nagyesta	cache-only	3.1.0		e879e87fc372bc8c8e10f0eef7f2b806ae04692d
com.github.nagyesta	cache-only	3.1.15		b3281f730934c879ce698abf35421a9bde9d7f39
com.github.nagyesta	cache-only	3.1.17		ffbd5547dd10b0c2cca92a939e06a27822cb3ca5
com.github.nagyesta	cache-only	3.1.27		dbb5115e17176923695d7abea5b1e3b6cc48afe3
com.github.nagyesta	cache-only	3.1.33		e11860b3b78de940b8960378f6edab651f00f70c
com.github.nagyesta	cache-only	3.1.6		2a31e022435f0dc00d03442107405cbb8f9b84d2
com.github.tianjing	tgtools-flowable-autoconfigure	6.4.2.0		d1083a71d05fffad62c55521fc21477f1d2a706d
com.gitlab.privatik.publishtest	testLib1	1.0.1-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.2-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.3-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.4-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.5-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.6-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.7-beta		N/A
com.gitlab.privatik.publishtest	testLib1	1.0.8-beta		N/A
com.guoshiyao.rely	home-integrate-flywayt	10.1.1-RELEASE		b4895b2107dc5f57cead2e0e1607149dd2798771
com.guoshiyao.rely	home-integrate-flywayt	10.1.2-RELEASE		fe3fc0e798d8870988c1bbe0fd72801f377b123e
com.guoshiyao.rely	home-integrate-flywayt	9.0.10-RELEASE		40ecd7415c2f75ea675a56d6fa3b250830630acc
com.guoshiyao.rely	home-integrate-flywayt	9.0.11-RELEASE		de6c799661046fc2a0d0366cc238015b51224a11
com.guoshiyao.rely	home-integrate-flywayt	9.0.12-RELEASE		92dcc48c72b192386e8764bb3c6ecd8381defebb
com.guoshiyao.rely	home-integrate-flywayt	9.0.13-RELEASE		5028fb8f24095d8042cb0842dc58cf7454ec0eaa
com.guoshiyao.rely	home-integrate-flywayt	9.0.3-RELEASE		b555332e1525ce698c553c139084872770deb2eb
