biz.netcentric.cq.tools.aemmjml	aemmjml-components	0.1.0		N/A
com.alibaba.cola	cola-framework-archetype-service	4.0.0		b57033868d92ae8fe5d67164687a54fb20201d38
com.alibaba.cola	cola-framework-archetype-service	4.0.1		5dfdf6ae01be8109fbfa90bd662b7abc83d668a3
com.alibaba.cola	cola-framework-archetype-service	4.1.0		c0795d195f08e9af15be8c538b40727890e64d6c
com.alibaba.cola	cola-framework-archetype-service	4.2.1		dc4f5fd0401cf84e70c24e2fb3c2803ad7787055
com.alibaba.cola	cola-framework-archetype-service	4.2.2		a64130c9293f7a5028ae9ec325e03b395f691f5a
com.alibaba.cola	cola-framework-archetype-service	4.3.0		cc90c5a6b8761b056166d6f0841958ba98414480
com.alibaba.cola	cola-framework-archetype-service	4.3.1		781765712fda53d1b995a4d6bbb98eda111f1625
com.alibaba.cola	cola-framework-archetype-service	4.3.2		8b9db501215e23114efa92154be0975478ba47d5
com.alibaba.cola	cola-framework-archetype-service	5.0.0		5260e7b8b7ceec3c6a9062488de7827a9224f916
com.benasher44	uuid-watchossimulatorarm64	0.3.1		N/A
com.benasher44	uuid-watchossimulatorarm64	0.3.1	metadata	dc165000294cfc162e88690da8410605f38574ff
com.benasher44	uuid-watchossimulatorarm64	0.4.0		N/A
com.benasher44	uuid-watchossimulatorarm64	0.4.0	metadata	f7041ee3d9032c2f3080314c8dc0e2c7a4c6a812
com.benasher44	uuid-watchossimulatorarm64	0.4.1		N/A
com.benasher44	uuid-watchossimulatorarm64	0.4.1	metadata	abe152621e3756c442e76944562d394305c42241
com.benasher44	uuid-watchossimulatorarm64	0.5.0		N/A
com.benasher44	uuid-watchossimulatorarm64	0.5.0	metadata	6a15bcf6c3b6c08bad2ebda7551993510f5a5e10
com.benasher44	uuid-watchossimulatorarm64	0.6.0		N/A
com.benasher44	uuid-watchossimulatorarm64	0.6.0	metadata	be1826d29e825ede40ca159657af2be6555b27f2
com.benasher44	uuid-watchossimulatorarm64	0.7.0		N/A
com.benasher44	uuid-watchossimulatorarm64	0.7.0	metadata	583e2586f1980891e6ff0170649863814eb4029d
com.benasher44	uuid-watchossimulatorarm64	0.7.1		N/A
com.benasher44	uuid-watchossimulatorarm64	0.7.1	metadata	3d5cda88023b56dce87bd9273964f260163b0097
com.benasher44	uuid-watchossimulatorarm64	0.8.0		N/A
com.benasher44	uuid-watchossimulatorarm64	0.8.0	metadata	c76eb91dad86bd06e42828f9ee3203f72f8f2603
com.benasher44	uuid-watchossimulatorarm64	0.8.1		N/A
com.benasher44	uuid-watchossimulatorarm64	0.8.1	metadata	178aa83ec63c99de46f932b2361d0a8dab490708
com.benasher44	uuid-watchossimulatorarm64	0.8.2		N/A
com.benasher44	uuid-watchossimulatorarm64	0.8.2	metadata	c88e0db23347994dd72883798da28ca73e312e80
com.benasher44	uuid-watchossimulatorarm64	0.8.3		N/A
com.benasher44	uuid-watchossimulatorarm64	0.8.3	metadata	436caf13cacb98791dc25067f5ed55b669cb560d
com.benasher44	uuid-watchossimulatorarm64	0.8.4		N/A
com.benasher44	uuid-watchossimulatorarm64	0.8.4	metadata	960d6aee1a7e4961f35503559c2c0ad728d3cb72
com.gitee.chinasoft_ohos	EmojiRain	1.0.0		N/A
com.github.Shouheng88	startup	1.0		N/A
com.github.Shouheng88	startup	2.0		N/A
com.github.Shouheng88	startup	2.2		N/A
com.github.adenza	xmlrpc-scala-client_2.12	0.1.1		e0d4049990dd5e1c405005fb98653a9289c1ff2f
com.github.akarnokd	async-enumerable	0.1.0		067f533a8944e67654d16ee998e3ca2e7ba50a92
com.github.akarnokd	async-enumerable	0.2.0		90d07598cd34f52b1163979082adfc9935b47ac8
com.github.akarnokd	async-enumerable	0.3.0		f5dab68fbc05c6d961ce9bd42064a00034f66669
com.github.akarnokd	async-enumerable	0.4.0		0e2152e7d3d3485b0f9a3997cc0aef011ea11e50
com.github.akarnokd	async-enumerable	0.5.0		2076f50672947f09011029ac42d9a3ab9595d197
com.github.akarnokd	async-enumerable	0.6.0		1b7a657209c208eb19d1c075f84565263171f7b4
com.github.pgcomb	spring-cloud-stream-binder-activemq	0.0.1		cf5c0d570d29c02a598ceb56038d8fb6c22b9a16
com.github.pgcomb	spring-cloud-stream-binder-activemq	0.0.3		1c57e91eed5c0fa904dbabef595d3f6c01142b24
com.github.rockjam	play-functional_2.11	2.7.0		0b9b3be63f322ec00e9a403ab5e0b5e87da087d3
com.github.shynixn.patreonauth	patreon-auth	1.0		671ccb8fed34f99d790c82a4a99de207c107f705
com.github.shynixn.patreonauth	patreon-auth	1.1		5bf8c02ec1cc574e3eb53ee42f9c413fd4980726
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.0		b8c1331142f2d73e417627220e9505177aa8d26d
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.1		510ac103771111377c09d9f6288e0057a3847a62
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.2		b21a2553527bf1f69b25a2e0f92859889f6fa730
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.3		ec3dc0ba25125ea75a5377df320e579e16bb0f0f
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.4		28bb250c50fb8057e6bf67baf070743fd8b74401
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.5		53415f5c31edad4a61489ae939031c46f76e25c8
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.6		dce682ac98045020ef68015e268a3da152386b2f
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.7		22812a1266e7e3219889438ede98a76420ce8adc
com.github.skjolber.xml-log-filter	xml-log-filter-core	1.0.8		b9e9bcb189ec8264f43b6fa0f1f70d919b7bda7e
com.guicedee.persistence	guiced-persistence	0.70.0.1		6c7a4004b2a0ec71cb1ea7ced511f73059c74d4c
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc13		2b326f563ce314f5d971287a6ac34da5d1cb29e9
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc14		4705e8ddcb82a251c32a27a6a2fb4de17aa78ecf
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc15		cbdb446f27efbe7c7a4073af544bb91188fcbeb0
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc2		4e170dc4dc5dfd8a381cc5947d1781f1ccaea9c1
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc3		8d2eeb67cc40c2f82901e56223cfee6d442f70c4
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc4		4147e9880b7609a5b6bb25dfdabdeaed4647739f
com.guicedee.persistence	guiced-persistence	0.70.0.1-rc5		467409d9e148c8efbac6666618857f44e0ebaf2b
com.guicedee.persistence	guiced-persistence	0.70.0.2		bf108c86eb27ad382bf3846fc7a882be77616f22
com.guicedee.persistence	guiced-persistence	0.70.0.3		1fa4ad061a328260d30b4799881b4bceb6f79b5a
com.guicedee.persistence	guiced-persistence	0.70.0.4		9aa87aa92ca46f6084718f472a48ac72408ebeae
com.guicedee.persistence	guiced-persistence	0.70.0.5		fb9ccc9b9366eef407a62a2f1786494d78c54da1
com.guicedee.persistence	guiced-persistence	0.70.0.6		78cbba60f42db77e36548e01580e49cefb415e0a
com.guicedee.persistence	guiced-persistence	0.70.0.7		bdc9ace2d867da68dc89b23de85e5f91f3b4e5f5
com.guicedee.persistence	guiced-persistence	1.0.0.0		3f2526d1b8167d79ab6392f35a3a3a6a05dfb5e2
com.guicedee.persistence	guiced-persistence	1.0.1.0		a964803e9d12a8d3bf250042293615bba941e8f7
